country,code,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,fcf_margin,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,eps_yoy,revenue_ttm,net_income_ttm,eps_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy,eps_basic
CN,300666,2016,Q4,2016-12-31,2017-05-23,0.29981263200490993,0.12433244688060863,0.13864227919764074,0.06752084850913194,0.030238213131491446,1.264809327566168,1.2336809224046181,0.5524857505734772,0.16009928835449838,0.06878915955843426,-0.004679825085135111,-0.5150074336120556,,-0.17964759598503843,,-0.17964759598503843,,,,,,,,0.1192242350825867
CN,300666,2017,Q1,2017-03-31,2017-05-23,0.3248723958482506,0.09746836531243686,0.08298757793506997,0.03256554143361113,0.014763030353495086,1.2709662527846037,1.1808372321953644,0.5417509794856196,-0.059945048077189984,-0.2942564224558326,0.02542692230365761,,-0.18098397044846593,,-0.509758805352674,,,,,,,,,0.05844863143780094
CN,300666,2017,Q2,2017-06-30,2017-08-21,0.30899596775241434,0.10422737637862209,0.08154695243868315,0.026765948683137194,0.014224575401244556,2.041331984885602,0.7061644101799373,0.41273723837485704,0.16054371418410704,-0.06392454394579486,-0.013779734990671338,,0.1667318076729647,,0.1464778897806478,,,,,,,,,0.05025754772353264
CN,300666,2017,Q3,2017-09-30,2017-10-28,0.3335908410047912,0.1300880087546654,0.12990920381930107,0.033963439223241375,0.021000283785004487,2.5479554173244052,0.5209163079977349,0.34120736627026754,0.07470648625095247,-0.24662173870832668,0.008923715183808526,,0.029791983309901182,,0.6405206160448462,,530307096.15,58181571.65,0.2659607407661364,0.1097129796534781,0.1095585332307417,,,0.08244854315231302
CN,300666,2017,Q4,2017-12-31,2018-04-23,0.30211814739152554,0.17341699988247844,0.158038970180237,0.04600580580794017,0.029815322152678486,2.318659657373449,0.5533969434506827,0.35505155450375836,0.09036957734873455,-0.08371813071655691,0.012766374931742623,0.13975837514566747,0.15824343147669873,0.29921580130360903,0.4090425754838265,-0.025588149022293227,550025687.03,64034567.92,0.29271607204242095,0.11642104983454596,0.11591832808370531,,,0.11617350758822455
CN,300666,2018,Q1,2018-03-31,2018-04-23,0.30649200323046266,0.09953867503485636,0.09458451869313955,0.022945123801841893,0.014160704948709813,1.894809396565619,0.6756816880124468,0.4020358485120166,-0.04894291838085604,-0.29625124424020205,0.021488185556488792,0.19973189984680806,-0.1378877501003054,0.3673861453891407,-0.4840356646007855,0.025539609041855593,573105796.71,67557678.7,0.30882098509782413,0.11787994308873687,0.11821441133772753,,,0.05994138663375389
CN,300666,2018,Q2,2018-06-30,2018-08-30,0.2703952831658817,0.08379674903468128,0.07308683882462946,0.019853312186953725,0.011020551646273665,1.5583810186283733,0.9173927660168507,0.4772663743588918,-0.04080893216372859,-0.29111781316307994,0.017174011718870112,0.16513836105493085,0.1330898064445194,0.04426072411284099,-0.12444495989756643,0.04426072411284099,595370117.1099999,68044296.2,0.31104542055220336,0.11428906867260222,0.11766479589026281,,,0.05248198317791186
CN,300666,2018,Q3,2018-09-30,2018-10-27,0.306345299985491,0.12125731632738627,0.11883837921257313,0.03496104845367347,0.01839266823771199,1.2844227312884031,0.8757824358292844,0.4657934705000267,-0.023683775869300445,-0.266241917037334,0.022058216649485384,0.2482436644482493,0.10324349607915728,0.14186870201842972,0.7938615359387795,0.14186870201842972,629835979.78,70603103.0,0.32274228835253244,0.11209760202118252,0.11985086332904979,0.18768159874264212,0.21349597471727977,0.09414541095264216
CN,300666,2018,Q4,2018-12-31,2019-04-26,0.30016689936943247,0.03860846500389322,0.07538957716543626,0.022455335347928113,0.010592811428559674,1.1548233293888621,1.3501814295272976,0.5735407128348375,0.12413230970574028,0.06831296419441112,-0.006848726226161641,0.12342122093514662,0.042420872614501226,-0.46409261760951426,-0.3387012736495001,-0.46409261760951415,649683244.58,58808599.14,0.26882702111903456,0.09051887920861793,0.09696067340512579,0.18118709707563974,-0.08161168177989331,0.06225824035472666
CN,300666,2019,Q1,2019-03-31,2019-04-26,0.31882273879241874,0.06142605784981522,0.06449916393461803,0.017370073488567762,0.007755762141288527,1.168410225036978,1.1237610510104388,0.5283145614736395,-0.0022982867674816825,-0.24564503802066998,0.008032121777812307,0.2018085302901209,-0.07773341228625996,-0.18046159684240937,-0.21095957731884596,-0.18046159684240948,677661083.24,56442246.33,0.25800990277015906,0.08328978559627638,0.09123089520450818,0.1824362746463486,-0.16453247926649095,0.049124268284878404
CN,300666,2019,Q2,2019-06-30,2019-08-27,0.2860284774310859,0.00015549928761160263,0.016858396962071035,0.0048919768367361996,0.0023392294002499785,1.1295598992538058,1.0521333008141016,0.5119143351560844,0.18697846762304354,-0.010019757032498805,-0.023605439577563666,0.1493829802386648,0.08366191933656908,-0.734880385389142,-0.716759075708725,-0.734880385389142,701127138.76,48005115.02,0.21944192274638874,0.06846848790491969,0.07715283597335236,0.17763239808433418,-0.29450199794997656,0.013914003154141525
CN,300666,2019,Q3,2019-09-30,2019-10-30,0.29026544937803883,0.10403625876378059,0.08461987442105112,0.0296080262395793,0.013663247555029562,1.1321062363598715,1.2641695596467661,0.5558271193759842,0.3495880817077469,0.10935268222049731,-0.04278340325059468,0.2777752744540447,0.2264817604132845,-0.09014929369563696,5.156263420500926,-0.09014929369563707,749266900.3999999,46148467.77,0.21095478044432256,0.06159149395944678,0.07291712490990435,0.18962225794359466,-0.34636771177040193,0.08565826865057598
CN,300666,2019,Q4,2019-12-31,2020-04-25,0.34015328241737475,0.12128304880663945,0.1234897455580443,0.04768065449907452,0.021585337192235175,1.2324520300379695,1.1359075435131287,0.5290514411668198,-0.06304618943070635,-0.13649497224414486,0.03260546887521507,0.4190157327293309,0.15764614321359272,1.3243782279488108,0.6894072302727734,1.3243782279488112,824964791.18,64185986.25,0.2934082384805266,0.07780451594569349,0.09667426339216276,0.26979539346641745,0.09143878937157757,0.1447116983909307
CN,300666,2020,Q1,2020-03-31,2020-04-25,0.33758621268505257,0.09612918587991165,0.07003683544404472,0.02397622370885039,0.011263925652479191,1.2293843231870647,1.1004681724259637,0.5213304317833564,-0.2565237550981458,-0.41272040680065153,0.052520280072273114,0.4334251823828903,-0.0683682208677967,0.5564940302430419,-0.47162785610522007,0.5564940302430419,897179233.99,70166307.57,0.320745600521119,0.07820768126559433,0.10057682839077699,0.32393501143735537,0.24315228631687935,0.07646163032547083
CN,300666,2020,Q2,2020-06-30,2020-08-11,0.28575759033645604,0.06526781506014653,0.08192007597347273,0.02946178519886706,0.014230457163948476,1.2703775044955525,1.0205376210646313,0.5004960363653806,-0.08685491311509656,-0.21901295456095263,0.02931815216270658,0.6298713041514779,0.2321741570022171,6.920040165353269,0.441238741216631,6.761399341232804,1010904132.8799999,91229714.95000002,0.408677801647728,0.09024566423533409,0.11149309731886586,0.44182713376045535,0.9004165475281474,0.10799213491446519
CN,300666,2020,Q3,2020-09-30,2020-10-29,0.32115445130284215,0.2442377573136805,0.2215203722594087,0.07037985950476078,0.03532741727283078,1.2844465085135721,0.9357175938715331,0.4797020406295216,-0.028167733062493375,-0.20279212188238196,0.039819524474434445,0.4090105840430751,0.06028358015529012,2.688548951769902,1.8671166449185828,2.598217346812688,1101477262.99,141609366.0,0.6314746271681034,0.12856313131293898,0.14419414150793886,0.47007329751517246,2.06856051441987,0.30821706815644395
CN,300666,2020,Q4,2020-12-31,2021-04-16,0.19545043828594488,0.13469472606103625,0.1157873912729735,0.03515285049443085,0.016913760511650444,1.1254190463995715,1.1896345183766373,0.5403187551319556,0.1557847378127353,-0.18142813726672513,-0.0058426529265188515,0.253810305369911,0.03013325859343685,0.1756071223072928,-0.4615554250857604,0.14601741471251484,1166542634.09,147168583.7,0.6558072360916961,0.1261579126208308,0.13900867176747028,0.4140514196023073,1.2928460291439392,0.1658421264686316
CN,300666,2021,Q1,2021-03-31,2021-04-16,0.29915618867113036,0.06300949289186923,0.055419095638738126,0.01622100108379496,0.007050828208758885,1.080424834528663,1.3880068121767124,0.5787858643230198,-0.09210868820004094,-0.574508255686884,0.018769578389493752,0.3288504083291852,-0.012610388660805105,0.05149936318308179,-0.5274076157869546,0.02497995138548692,1245081267.36,148030000.48000002,0.6596114449692542,0.11889183811581591,0.13652334209800923,0.3877731674893823,1.1097020152061,0.07837163813385617
CN,300666,2021,Q2,2021-06-30,2021-08-27,0.25454845590074815,0.1063355171287696,0.10603529586649002,0.03856157229802288,0.016248255376102298,0.9726351770287437,1.3443378627778884,0.5721808967817236,0.1414821247879342,-0.01799493723841022,-0.005431673707157063,0.37956673783226513,0.27920078254261727,0.785676654657667,1.4475396410969017,0.7703471837528166,1356779215.98,166970492.0,0.7415493885582015,0.12306386332679589,0.1495699137393081,0.3421442962297767,0.830220472479948,0.19118357191327767
CN,300666,2021,Q3,2021-09-30,2021-10-28,0.2607634272628168,0.11066711787186549,0.08652831325531654,0.027334819980126712,0.011812499382843672,1.585846249729645,1.278013059840238,0.5593057759245564,0.19106049728611277,0.056472135768784744,-0.014270315841100863,0.2822547761684411,-0.014506766897422474,-0.49913706891255827,-0.19580488281691977,-0.5053790058787044,1444847672.55,132471009.34,0.5833623915345377,0.09168510415094693,0.10459848987102827,0.31173626646446473,-0.06453214867157864,0.1524506326566914
CN,300666,2021,Q4,2021-12-31,2022-04-26,0.2227500498509746,0.01261330429652207,0.02417098408869535,0.007984784161330956,0.003739876257166743,1.769801643606301,0.9855390645693293,0.4948055341262191,-0.003698271854336906,-0.1082566039462582,0.0043120945437631645,0.4637705133366181,0.17595872268239332,-0.6944332763837022,-0.6715054471124551,-0.6987473647620022,1593912652.91,106626738.28,0.4684378891183659,0.06689622426005087,0.07486683677892722,0.36635610763886417,-0.27547893987105065,0.049960377632148584
CN,300666,2022,Q1,2022-03-31,2022-04-26,0.2996150430251457,0.06874070454642463,0.0682998462431716,0.021654655392108754,0.010874037439648146,1.8104319100001154,0.9908901387188981,0.49766309418702215,-0.13723720778114185,-0.32539857820342755,0.032723611305623075,0.542877672587909,0.04075151917625863,0.9014801052819215,1.940847111406232,0.8417572011095529,1766203826.21,122482117.34,0.528629893079849,0.06934766844143218,0.07930703140103687,0.4185450159048325,-0.17258584784948194,0.14434152889578164
CN,300666,2022,Q2,2022-06-30,2022-08-30,0.3148279925010389,0.2407436159414562,0.20436165756579736,0.06970844859798948,0.03385186322669488,1.9133001554622844,1.1191423087755359,0.5281942247897488,0.04494551582084382,-0.18760719019202632,0.026406780463405055,0.469637184446297,0.21847705090198377,1.8324294149368368,2.645835291365814,1.7168795867085618,1956864990.2900002,201364037.13,0.8578148472657546,0.10290134379692621,0.11512191735107481,0.44228697435975906,0.20598576861113882,0.5194227438452125
CN,300666,2022,Q3,2022-09-30,2022-10-27,0.2943254656236554,0.11606540366143571,0.1133100879678148,0.024580607589171896,0.014315641020756973,4.511240014550735,0.5133248524856253,0.33950308725379935,0.02707837506670474,-0.722819219746623,0.010894548478754273,0.4971977597962147,0.003974502354070264,0.9606022986620595,-0.44333765671011016,0.7393045008357622,2155786879.09,234618908.36,0.9165722513550337,0.10883214413988698,0.08496781828006471,0.4920513214277249,0.7710962536552226,0.2651580715350428
CN,300666,2022,Q4,2022-12-31,2023-04-07,0.2893042645989892,0.08667675327809414,0.0657054692229021,0.01095563038641787,0.007906456413772536,3.6871071605697985,0.27455706646106354,0.21614055391654496,0.06366585913130349,-0.12797753580206375,0.00024542992358228484,0.357273486031928,0.06605662780448718,2.6895598017972744,-0.38182246431602196,2.1623665460520023,2323878581.81,265204791.62,0.9986306942742247,0.11412162136863445,0.06924754210353049,0.45797109870939545,1.4872259613116623,0.15799302685203143
CN,300666,2023,Q1,2023-03-31,2023-04-28,0.31803703299413694,0.10503452368536297,0.09908999992305419,0.013854683793861117,0.010636116896745748,4.647892385314108,0.3394215134950143,0.25437092444020476,0.05447818789573192,-0.3019687796852524,0.004788540196454795,0.15367934707604736,-0.11536359807486463,0.6737678443079054,0.3341145270771244,0.4597855690607233,2399128849.49,287737974.88,1.0831037545377968,0.11993435656495338,0.07121743246898156,0.35835333039571027,1.3492243694748,0.21070768089822345
