country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,603986,603986,2016,Q2,2016-06-30,CNY,346549477.17999995,298741508.04999995,256090111.10999998,1376134.02,11129761.809999999,36197497.279999994,-8648792.28,47298782.7,3921867.2600000002,74915.60000000003,-3550091.4799999995,54123769.550000004,75000000.0,170566077.1,383545996.91,28489059.42,380748245.62,124386072.89,5385096.99,287207862.83,827406979.42,,18110863.31,125981354.99,184530574.47,6309479.12,1392462.37,203961773.05,81384007.68,664144983.76,668042553.68,843702.18,124386072.89,184530574.47,14050143.45,52864001.68,350121583.5,9425097.120000001,288054001.45,25556911.17,10044011.88,19654850.999999996,31011094.77,9754198.15,-26194391.15,700000.0,8118692.780000001,8118692.780000031
CN,603986,603986,2016,Q3,2016-09-30,CNY,393418703.61,345528647.71000004,286154141.12,805251.0500000003,11672378.940000001,45744854.650000006,-3364089.130000001,46109033.45,16582300.450000001,266576.49,7865095.49,54703583.68000001,100000000.0,662471226.18,438249580.59,28489059.42,913520050.26,123874638.14,3555026.25,353377407.75,1427902504.36,5215464.98,16100852.4,149886952.1,240000236.18,5374718.29,5928621.56,271676884.45,65485262.35,1236873661.5,1240627309.66,8236292.77,123874638.14,240000236.18,15056625.83,56944749.3,406760706.1999999,2754177.7799999993,338984433.33000004,27578511.519999996,3375281.509999998,28287964.980000004,34666948.849999994,19903597.33,-293748457.07,527769300.0,269378924.64,269378924.64
CN,603986,603986,2016,Q4,2016-12-31,CNY,440425174.01,413415917.25,329314023.9499999,1762763.2000000002,20667463.679999996,70003013.99000001,-12512179.43,29972497.430000007,3059174.3999999985,1792896.1600000001,2468894.6799999997,31818180.75999999,100000000.0,665511454.69,452637290.03,45919530.74,871559223.81,103144754.51,2543624.11,406762949.06,1435131908.02,5189344.13,15531172.53,234518423.51,244959897.17,35346046.56,5765069.71,316137246.48,74389153.77,1278535689.62,1279123931.28,7497902.71,103144754.51,244959897.17,25424993.68,75527624.25,487263475.44000006,11853976.82,422188706.3399999,26424568.459999993,3113958.280000001,35065058.41,49485427.18,33432995.47,174197538.43,-7870783.610000014,221432053.55,221432053.54999995
CN,603986,603986,2017,Q1,2017-03-31,CNY,452370256.22,376675939.01,317751584.54,1504797.42,14131409.49,37587802.27,1865451.28,75351049.07,4118833.09,10398.3,9815880.03,69488966.78,100000000.0,665522281.55,522126256.8,45919530.74,844173075.62,134206332.54,4077770.24,399634915.31,1431227577.99,5163223.28,15573854.63,243910822.02,207662317.17,7148349.4,12460191.78,248033186.79,80409691.82,1345947225.91,1346695521.4,5486041.23,134206332.54,207662317.17,23828053.35,78608388.23,425747724.52,1933390.18,379162699.02,57652632.23,5063355.06,34065031.44,-12763279.98,22604747.41,-24008557.92,9900000.0,-27386148.19,844173075.62
CN,603986,603986,2017,Q2,2017-06-30,CNY,486326583.26,374597893.24,285931052.28000003,619371.8999999999,13800435.62,55865599.169999994,4715245.649999999,124785320.91,2674633.87,48753.05,16818966.39,109955426.94999999,202693994.0,692328637.53,579081683.76,45919530.74,1067137026.19,98708045.93,9969740.48,412211741.58,1633490909.07,5256770.6,13800425.46,289243948.6,219629920.25,7487211.51,17866056.3,400092114.3,77241136.83,1444007239.78,1445401606.54,142795879.46,98708045.93,219629920.25,20216314.34,83073660.5,528434739.71000004,12714965.540000001,360433586.32000005,25611265.20000001,9976408.900000002,30734149.6,146683514.12,21726674.080000002,-4503143.599999998,83435060.85,222963950.57,222963950.57000005
CN,603986,603986,2017,Q3,2017-09-30,CNY,578374191.5899999,439315492.94000006,328236269.68999994,274419.18999999994,16999648.07,54235274.25999999,9104925.36,181741143.24000004,3325155.7800000003,239526.15,25545741.46,160012025.50000003,202693994.0,704512312.53,739093709.26,45919530.74,1009403615.01,113989732.48,3446625.7,502233318.76,1690925246.96,5222845.31,17544021.84,443054595.34,262098301.93,7890248.64,31164471.39,442602739.81,87140642.83,1603562008.47,1604236459.66,129192907.59,113989732.48,262098301.93,22579995.58,91928668.5,576014433.6700001,8475531.589999998,456550964.27999985,29705402.299999997,6577717.84,29831358.940000005,105301115.01,38082154.32,-138900689.35,-15057160.879999995,-57733411.18000001,-57733411.18000007
CN,603986,603986,2017,Q4,2017-12-31,CNY,512637800.44000006,463053505.04999995,302933243.5,355022.2000000002,27375519.229999997,112121130.39000002,11648358.95,54656965.30999994,3766655.8900000006,1000737.48,-604432.2100000009,57959603.27999997,202679734.0,715916650.04,767542504.09,75430339.19,586888159.51,93987435.94,9264711.97,627475772.23,1430602683.61,5473254.52,20067530.74,1143770773.64,271810277.78,61525322.33,25086237.59,553625687.45,263509509.66,1756488318.74,1757238260.14,137123501.02,93987435.94,271810277.78,79175894.03,101537011.95,546960627.5,4178248.200000003,518815391.86000013,31685700.429999992,11280436.46,103520322.36999999,-41517125.860000014,150773075.32999998,-614640139.34,234642849.23999998,-422515455.5,-422515455.5
CN,603986,603986,2018,Q1,2018-03-31,CNY,541516604.14,446541163.11,334443486.38,1745102.01,15457412.07,65286981.56,25010044.09,96153182.85,4364337.34,,10922569.05,89326565.92,202679734.0,728035750.04,856869070.01,75430339.19,555060233.12,143135825.93,7954845.24,680681558.1,1501075781.11,10697773.43,22471223.68,1027355522.93,317934548.79,21721476.35,28828384.58,564787121.71,251839916.28,1710764313.12,1711804266.05,132167418.2,143135825.93,317934548.79,75758828.39,115247631.84,510841822.13,1463778.01,416959010.17,75635947.05,12361762.56,24641772.52,36756641.42,60534111.29,-62335554.14,-2029734.7,-31827926.39,555060233.12
CN,603986,603986,2018,Q2,2018-06-30,CNY,565005558.2299999,419701480.38,352997068.07000005,3305180.7800000003,20716403.47,68983986.59,-28135995.65,152057363.70000002,4305915.540000001,,11128684.219999999,145729715.92000002,283751628.0,654038122.12,922945650.47,75430339.19,588972143.91,130002291.53,5510418.2,698249477.68,1516266308.64,13057937.29,21554006.25,1109675239.52,311288373.3,43300337.89,18507974.55,538031331.35,254112117.9,1833270108.45,1833798098.91,101399412.92,130002291.53,311288373.3,61028017.54,235281315.13,590417979.82,23062062.97,433658136.15000004,32090894.230000004,23245525.879999995,31027659.889999997,147233957.96999997,30533585.740000002,-34723227.980000004,-81762605.41,33911910.79,33911910.78999996
CN,603986,603986,2018,Q3,2018-09-30,CNY,614603800.5300002,479491621.19000006,372563436.68999994,3390667.2700000005,19199792.369999997,-47135645.93000001,-26024775.700000003,142408927.36,4386493.479999999,512212.52,14447249.779999997,132283328.48999998,284644488.0,714544137.95,1055228978.96,75430339.19,738674480.62,148584092.94,6889488.93,727677202.48,1708058993.15,13583548.31,25070092.43,1126044371.85,,54041162.88,28016553.62,573378915.62,349846879.14,1910806550.19,1910877570.24,139723329.9,148584092.94,279237997.51,47752050.51,234057205.77,610940318.48,18838446.05,482249311.4499999,44073279.30000001,13662998.010000005,36669618.49000001,117300288.85000002,139740254.69,-121938691.16,145402749.62,149702336.71,149702336.71000004
