country,code,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,688072,2017,Q4,2017-12-31,CNY,175405700.0,,,,,,,,,,,9787500.0,,,,,,,,,,,,,,,,,,919521300.0,,,,,,,,43199509.53,,,,20779220.51,-162725891.68,78583657.06,-78583261.06,555545469.45,314236316.71,447065641.46
CN,688072,2018,Q4,2018-12-31,CNY,70644026.75,220835387.11,48270366.35,2110727.48,40257517.58,22504724.76,-3163711.4,-103228232.85,5347.47,,,-103222885.38,71174787.0,845585030.67,-223909579.3,1303267.08,275452133.79,62719948.71,2782662.47,322327688.24,694256886.02,40846594.41,,232188735.2,60930817.87,6716786.32,1801265.25,175801958.0,56490157.77,694153505.45,694153505.45,178757.43,62719948.71,90106496.67,14994004.7,191018140.79,114505989.78,58821309.89,236470097.26,59785822.15,4148143.14,40950269.79,-128015166.34,5565720.23,-2709679.86,-45287161.52,-176012007.72,262406643.63
CN,688072,2019,Q2,2019-06-30,CNY,16157895.03,,,,,,,,,,,-25302905.56,,,,,,,,,,,,,,,,,,847256757.48,,,,,,,,,,,,,,,,,,
CN,688072,2019,Q4,2019-12-31,CNY,251251546.85,313955758.21,171223934.8,2195898.7,46976512.91,21442074.96,-3314987.71,-19375256.02,39404.58,30596.8,,-19366448.24,78411628.5,977830688.99,-243276027.54,1303267.08,362168782.0,131388588.66,2077991.38,349976861.13,856558704.83,39727298.01,,217558169.36,82393615.66,11081991.19,2198791.25,201112124.91,58735192.25,814269557.03,814269557.03,13206424.83,131788588.66,118622839.44,3069298.49,177830871.35,218761237.12,52444955.35,197726377.65,64185926.06,2142907.11,30745230.35,-21756052.78,14374680.43,-14374680.43,119177791.71,83047058.5,345453702.13
CN,688072,2020,Q4,2020-12-31,CNY,435627676.17,500413574.21,287254727.29,2185328.84,66354085.59,27932438.64,-10358884.67,44549177.38,2072507.32,15628.92,,-11489015.66,94858997.0,1280812453.49,-254765043.2,1303267.08,1003997490.65,71891698.48,3681029.76,512080385.24,1609043018.11,38198406.02,,205026075.29,122425061.53,22424587.97,5058751.1,393546039.62,298024307.97,1122209674.37,1122498745.81,340940.94,71891698.48,214011246.01,3004445.0,164695319.27,640363556.73,266527927.41,449693393.12,72577425.41,16001266.45,62276839.83,419695904.99,6310245.86,-5842262.65,302449910.73,604326534.41,949780236.54
CN,688072,2021,Q1,2021-03-31,CNY,57740966.38,82704706.19,40410609.92,681867.32,12716451.34,6495979.98,-4625458.03,-10598627.25,9450.0,,,-10326627.43,94858997.0,1001482085.12,16176106.02,,921134588.72,74637952.37,5728376.75,648166615.45,1691527466.74,37541385.31,,206632679.94,159701645.59,17398609.4,459856.65,502407476.08,283208960.84,1112517188.14,1112543709.76,101625.96,75231352.37,238092383.18,3340992.64,161768741.81,155959978.59,7021413.8,183669894.55,34426592.01,11275435.94,7319916.35,-73710446.46,5963138.77,-5963138.77,,-78699871.41,871080365.13
CN,688072,2021,Q3,2021-09-30,CNY,261343506.32000002,398444282.96,133310444.94,2709729.1899999995,26343105.97,8729205.8,-5236262.460000001,77910386.62,2000.0,,333999.92,78493433.73,94858997.0,1001575585.12,84466514.33,,805305025.1,122271243.23,45043841.65,978388317.42,2036851077.21,36763420.62,1403005.8,308447840.5,264405225.33,18736136.28,4874519.66,912549277.88,252474518.97,1180901096.45,1180275120.86,47757.74,125771243.23,385271880.08,4247759.12,158399773.79,714629016.33,28643024.950000003,686685832.4,91135201.95,23491670.02,38280446.120000005,-43086350.28,82892512.25,-82891362.25,-3120000.0,-128936967.04,-128936967.03999996
CN,688072,2021,Q4,2021-12-31,CNY,384065227.65,447731334.51000005,221665947.81000003,1870408.8100000005,44036874.12,21048875.339999996,-4127047.01,15812.35000000149,10000000.0,20000.0,117201.93,10522694.149999999,94858997.0,1002759460.12,83820438.97,11168769.51,964792160.03,102604593.92,52845252.06,953158229.28,2174611131.25,42646585.57,,343117077.66,257951604.61,41697799.43,13815157.35,1015828388.33,308562214.3,1192607665.6,1193337606.28,2726639.45,103854593.92,406027094.48,1726767.24,215909665.63,504234692.9999999,124755680.02,279466546.63,36247181.239999995,28637268.930000003,71658034.6,213453327.56,45377603.36999999,-45340989.489999995,877505.98,168231291.66,168231291.65999997
CN,688072,2022,Q1,2022-03-31,CNY,107517692.9,130444910.03,56514663.29,3587840.69,20610118.25,9045727.8,-6062888.66,-12574453.89,,10000.0,,-11878144.75,94858997.0,1002759460.12,71942294.22,11168769.51,994416066.4,43810418.4,73625763.37,1293817565.19,2532128114.38,43616021.67,,355489822.27,323329942.11,14233586.14,3727993.4,1385541480.12,321323304.14,1180729520.85,1180753152.39,35000.0,45060418.4,491326461.94,6942365.62,218757258.99,504140525.01,31430231.93,356172488.84,79751387.46,840222.42,29769410.9,69512007.12,19851924.69,-19835331.69,-63347.95,49407369.99,983956967.48
CN,688072,2022,Q2,2022-06-30,CNY,415699178.0,349128766.65999997,222053436.9,4009655.82,40383401.54,14731461.43,-3768016.7799999993,111173650.08,8000000.0,0.0,,120000836.87,126478797.0,3100090385.05,191943131.09,11168769.51,1680244860.17,115917119.27,104921782.45,1563001396.45,5215079077.79,44104951.82,,385937709.98,461252220.52,24793286.95,3833919.8,1878415171.32,293724089.05,3429681082.65,3428877527.4,24958.14,117762119.27,620543252.65,8528702.3,218680751.45,740119536.8800001,13197798.310000002,480939824.02000004,40263208.03,32555755.95,18423147.75,191829634.38,38829133.75,-1638796091.75,2123262403.3400002,678120006.48,678120006.48
CN,688072,2022,Q3,2022-09-30,CNY,468306876.31000006,412155862.55,233808097.06,2527387.2799999993,50763059.49,20203876.77,838913.5099999998,128153340.22999999,0.0,4407.5,,129370235.32,126478797.0,3102386085.05,321313366.41,11168769.51,1316524318.02,121258514.06,106895219.04,2090125811.21,5415201512.15,43731072.68,,460511570.83,619175807.54,32205178.7,3066615.86,1918939547.44,397451375.41,3561347017.97,3559322160.13,21410.32,125448514.06,840966779.83,3171799.58,223764958.19,338576137.39999986,159925853.41,771190286.67,56863940.32000001,25991093.220000003,25544830.169999994,-378955611.77,27881668.659999996,30259335.940000057,-1150910.5600001812,-348719991.1,-348719991.10000014
CN,688072,2022,Q4,2022-12-31,CNY,714038976.6099999,650500750.25,352871883.52,7177483.400000002,80544781.18,37010911.95,-9236162.350000001,129772997.1,2000.0,360747.28,,131024622.69999999,126478797.0,3121545406.66,404394238.04,59112520.58,3827365225.77,261926525.24,95777482.66,2296586858.14,6820373329.11,43884268.44,,492913183.8,563530723.24,75129466.4,20254880.82,2946879442.11,658511339.24,3711530962.28,3707895731.56,55931.9,282636098.5,871416337.11,6092936.07,381973630.9,1181774985.2800002,35236612.25999999,719130771.8900001,57865398.74000001,29083585.689999998,45974398.24000001,365239838.09,24509075.41000001,1476905525.94,668069682.3899999,2511191700.52,2511191700.5200005
CN,688072,2023,Q1,2023-03-31,CNY,402375404.96,369957200.7,202079019.59,3938048.54,55013357.77,33230751.48,-12284622.73,73052463.63,8951.0,,20808244.44,53718794.24,126478797.0,3164229266.39,458113032.28,59112520.58,3356064949.03,169609451.49,99753253.72,2716921796.47,7300592937.02,42842713.68,,548882100.33,518783973.68,36044817.82,24468983.1,3114004390.28,932637885.59,3807933616.25,3802832761.48,369335.36,195974024.75,806449902.92,10771574.89,387240028.66,810193428.3,23381286.83,773481106.49,134321414.93,37338172.56,28044871.39,-139601409.34,127888384.23,-682397784.23,294371693.51,-526835395.73,3297713287.65
CN,688072,2023,Q2,2023-06-30,CNY,601333859.06,572269960.22,305540966.59000003,8976495.969999999,59744166.910000004,61386149.11,1258291.8100000005,52456679.05000001,15560.0,1546.5,-20783628.14,70847159.09,126478797.0,3209343009.15,496035395.57,59107359.39,3140123180.71,200780753.22,165872760.67,3288107061.63,7259911168.65,90392640.92,292734.55,740982403.62,759211207.76,75597693.08,7709109.59,3204624461.33,907997473.0,3890965331.11,3888271637.94,32924667.87,208780753.22,964816862.81,10666381.98,466263197.42,524656983.5,19083131.770000003,989832143.8399999,66956894.91,57308984.120000005,32869838.560000002,-603227746.16,80007217.15999998,434051388.18,-6972722.209999979,-176836493.76999998,-176836493.76999998
CN,688072,2023,Q3,2023-09-30,CNY,698797743.5999999,590167257.6899999,337733344.86999995,1962530.290000001,67753529.20999998,35412010.39,-2445215.0299999993,143934276.04000002,13307.779999999999,199.74,-68183.56,146452704.36,187188620.0,3189952777.28,642488099.93,59107359.39,2552938935.25,485572304.74,315432513.71,3870326465.6,7732675192.05,92695379.75,294879.41,1060254132.86,902179164.46,90100391.94,2677258.41,3332355890.68,1386841891.52,4078735326.6,4073731542.71,51690049.0,485572304.74,1057190743.58,14089508.99,540403183.69,496122788.20000005,245163750.75000003,1195069158.4300003,73413488.77000001,44099988.41999999,49080699.34,-620376796.01,37327970.600000024,-215411873.39999998,267155908.82,-568979500.24,-568979500.2400002
CN,688072,2023,Q4,2023-12-31,CNY,1002467027.8600001,869774219.2500002,479894048.93000007,2812224.0199999996,98967881.56,58846157.13000001,1483204.8699999992,459619399.06999993,34371.0,220700.35,65081612.449999996,391565178.40000004,188188255.0,3312517978.63,1014275185.86,78885451.86,2675647284.83,529709337.36,191986214.99,4556138102.99,8456853617.43,91681939.78,10794463.3,1512491636.72,985629092.8,146729742.81,65342408.05,2981738598.3,2395963753.35,4593860407.52,4591642902.5,1271735.53,529709337.36,1070376377.7,7923684.07,612639503.0,954356154.5,217414836.38,1338094622.5699997,85281793.64999998,810095.4800000191,41740475.3,-294136701.26,235602494.55,-371956277.46999997,784591797.39,115997397.00999999,115997397.01000023
CN,688072,2024,Q1,2024-03-31,CNY,471789687.75,517162758.7,248587777.76,2294601.27,66487498.35,29075538.99,8379628.37,7761463.72,0.03,38.33,-19758.49,10471659.86,188188255.0,3364369415.68,1024746845.72,78885451.86,2391505058.72,553449026.43,175203614.38,5612830342.65,9342611487.15,90205079.69,10946386.47,1585509999.8,1315629221.93,58311894.0,46493083.1,3427412121.95,2885316680.42,4620300665.55,4615392684.58,2356999.71,553449026.43,1598861374.39,8172465.35,623878282.22,500152169.1,16162071.72,986016674.63,201333015.1,3596377.6,55978581.1,-721350817.72,118786643.13,-118786643.13,516841291.26,-324319154.84,2343575535.81
CN,688072,2024,Q2,2024-06-30,CNY,795100997.9200001,739772131.98,422291513.12,2450854.15,93304236.15,37532156.43000001,18809440.459999997,111527878.25,146500.0,315233.0,-3198367.1799999997,118622300.49,278320842.0,3323960101.69,1077647468.16,78885451.86,2424310664.69,756132736.91,170255300.02,6454979808.1,10581638529.5,161150038.86,14719205.44,1891433878.16,1410220099.06,73378167.19,3913328.76,4647154766.56,3273969889.53,4560920520.6,4551947751.57,1740950.0,772930559.36,1905214256.44,7432380.81,745017451.05,1407834606.02,9310136.33,1400074395.4499998,95722216.58000001,46351442.43,53471039.199999996,-178461704.89999998,218735397.94,-333509159.73,389903893.15,-123458672.29000002,-123458672.28999996
CN,688072,2024,Q3,2024-09-30,CNY,1010924149.1999998,972066388.7,613965084.84,2612198.37,107762138.28999999,56753954.349999994,15467722.120000005,134875118.69,158715.00000000003,163323.5,-2702025.12,142190832.82000002,278320842.0,3379593470.55,1219838300.98,78885451.86,1925116582.89,1002777831.37,131377457.68,7077162333.23,11002748388.66,163398981.96,21954844.75,2162429543.17,1276097173.98,103584392.03,4000180.82,5276267321.21,3142894835.53,4759606841.63,4746015775.09,777981.27,1014770657.69,1976147772.87,21281193.89,746696296.06,1419233267.3400002,10928609.429999996,1353661109.83,110948996.70999998,2841360.769999996,62171353.36999999,-99205391.21000004,208783612.59999996,-273496277.38,-166274121.25,-538369471.19,-538369471.19
CN,688072,2024,Q4,2024-12-31,CNY,1825639018.54,1545197773.8899999,1108055436.2900002,3420741.920000001,21960402.060000032,86766119.14,22583000.54,424596396.94000006,13776.01999999996,2050.0,-2902498.170000001,416869930.09,278320842.0,3482411820.29,1636708231.07,78885451.86,3002799350.8,1473185667.99,107968056.8,7215724005.26,12687297106.45,175704077.72,47618511.57,2626868980.43,1386646514.19,200141605.19,26499256.41,6830525974.69,3184569860.62,5280154359.39,5299070251.57,5263485.15,1485479825.49,2244606338.29,12026228.74,893320978.26,2088591090.6099997,98303835.65,1234141583.7700005,124924919.31,2616178.3300000057,108231672.89000002,716492582.77,139922343.06000006,-166372408.25,620744204.5000001,1169917302.92,1169917302.92
CN,688072,2025,Q1,2025-03-31,CNY,708702693.06,905740812.7,567725746.71,3414275.89,78982274.22,49926424.51,24094556.84,-147996550.74,381371.85,,4094673.85,-146951943.8,279729118.0,3529723564.75,1489756287.27,78885451.86,2497409323.83,1605502066.92,108724008.3,7812095075.02,13466357647.32,173401149.02,39644074.87,2745734054.0,1445922992.17,107168395.12,5531679.51,7905159641.44,3079859999.33,5180914077.31,5227072060.55,3081647.35,1616107570.9,2343801682.9,8507567.29,930547736.07,1522955114.35,92598427.82,1276997364.96,270378890.29,8134528.29,49265719.1,10925081.84,144054408.94,-639000343.19,112376175.92,-516129523.24,2335535172.01
CN,688072,2025,Q2,2025-06-30,CNY,1245443480.5900002,1105202877.99,761912716.01,3236443.73,91351020.69999999,54157317.25000001,23485030.19,228950563.33,311671.5800000001,110000.0,-4907863.390000001,241239908.95000002,279729118.0,3594487924.3,1655811665.74,78885451.86,3899088852.52,1040802272.27,62090522.38,8322530306.59,14594120544.93,172614895.87,43144356.46,2959540005.13,1633614749.84,123419727.92,6218169.79,9397855490.85,2729393258.92,5411946495.37,5426411800.29,575555.91,1042743674.3,2719855881.27,8388918.61,1550420488.01,2848150683.44,46486546.17000002,1138687067.6,138148610.85999995,2661581.9899999993,60283385.73,1555090362.0700002,73055124.38,163051996.68000007,-250398890.07999998,1467745319.95,1467745319.9499998
CN,688072,2025,Q3,2025-09-30,CNY,2265963233.5899997,1947046363.8200002,1486057538.0400002,14502656.66,92516520.29000002,104584640.52,21129577.260000005,452268148.93999994,10430.0,50000.0,-946006.4299999999,462217427.06000006,281163930.0,3816252832.57,2118029092.8,78885451.86,2742796716.86,1175756248.42,60390072.5,8068548808.22,15834747018.81,170928241.28,85022487.67,3072440890.98,1684251813.96,197883540.51,12103163.68,10369273885.19,2435352964.36,6097138597.01,6102561060.24,3849255.75,1184384359.24,2964836161.42,7601989.29,1681412456.79,2795284167.24,19582262.97,1290009917.31,141168328.74,59398250.81,61683191.39999999,1265585661.7499998,86555038.5,-2568744328.8900003,83162969.35,-1220145069.28,-1220145069.2800002
CN,688072,2025,Q4,2025-12-31,CNY,2298985467.3900003,2094830328.29,1424827945.1299996,11116249.52,144082279.22,105167866.20000002,16493542.489999995,342218632.98,160361.5199999999,550000.0,-37552511.160000004,370198574.30999994,281163930.0,3957976668.37,2475676556.73,91436562.24,5299891144.07,1406946866.91,15608528.0,7825778934.48,16279370211.81,185432644.84,167702524.39,3544196705.38,1729677515.8,283119794.71,44479024.73,11366253113.43,1341843463.81,6609957217.37,7115470339.95,9609645.13,1416307625.1,3055677312.66,3657075.65,1691453642.98,2317562756.1400003,64867753.94,1345513314.1900005,152629071.5,69231055.22,13633293.540000021,801606032.54,271768794.08,1715610388.91,-8958869.939999998,2507928667.94,2507928667.94
