country,code,time,open,high,low,close,volume,amount
CN,688072,2022-04-20,95.01,104.96,88.1,92.3,20563290.0,1962506053.0
CN,688072,2022-04-21,94.99,111.0,93.68,101.59,12289617.0,1264254924.0
CN,688072,2022-04-22,103.0,106.0,96.38,98.15,6816946.0,691788835.0
CN,688072,2022-04-25,95.1,98.98,89.51,89.71,6279137.0,591506083.0
CN,688072,2022-04-26,90.5,96.53,90.5,92.16,4310771.0,404029896.0
CN,688072,2022-04-27,92.0,110.59,90.51,110.59,3984596.0,400717835.0
CN,688072,2022-04-28,111.5,118.3,105.05,115.5,4527780.0,503893618.0
CN,688072,2022-04-29,115.98,121.0,111.8,119.28,2750298.0,319478853.0
CN,688072,2022-05-05,117.49,117.49,107.48,110.85,4954077.0,555272219.0
CN,688072,2022-05-06,106.51,117.8,106.22,109.25,2674166.0,299259682.0
CN,688072,2022-05-09,108.16,113.55,106.53,110.1,2795245.0,307787330.0
CN,688072,2022-05-10,107.97,131.9,107.22,126.0,3864609.0,469350859.0
CN,688072,2022-05-11,126.68,130.88,121.5,128.0,3688534.0,467585002.0
CN,688072,2022-05-12,125.91,145.0,123.88,129.5,3934615.0,522658885.0
CN,688072,2022-05-13,132.73,137.7,128.74,131.6,2445433.0,323373517.0
CN,688072,2022-05-16,134.1,139.28,130.5,133.53,2616900.0,353597077.0
CN,688072,2022-05-17,134.28,141.0,134.0,138.17,2593453.0,358040386.0
CN,688072,2022-05-18,139.88,144.88,134.53,141.0,2269889.0,318918891.0
CN,688072,2022-05-19,138.02,144.3,136.1,139.0,2223891.0,310840925.0
CN,688072,2022-05-20,137.49,145.88,136.55,144.02,1698441.0,239059336.0
CN,688072,2022-05-23,144.14,155.0,144.08,149.18,1636473.0,244959890.0
CN,688072,2022-05-24,148.37,150.18,138.0,139.0,2162609.0,312313739.0
CN,688072,2022-05-25,139.99,144.7,137.74,139.99,1741835.0,245568702.0
CN,688072,2022-05-26,140.0,143.58,132.0,142.6,2233734.0,307963655.0
CN,688072,2022-05-27,143.0,145.48,138.01,141.8,1426573.0,201255232.0
CN,688072,2022-05-30,140.0,144.28,139.0,142.0,1080454.0,153044370.0
CN,688072,2022-05-31,141.73,147.89,141.0,146.58,1155085.0,167046370.0
CN,688072,2022-06-01,146.58,158.58,146.0,150.0,1549949.0,234925604.0
CN,688072,2022-06-02,150.21,163.3,146.12,161.9,2072763.0,323037469.0
CN,688072,2022-06-06,163.0,164.6,153.51,158.66,2242666.0,356034867.0
CN,688072,2022-06-07,157.03,162.06,153.81,161.01,1426971.0,225101994.0
CN,688072,2022-06-08,162.28,163.88,149.0,154.35,2189665.0,339951167.0
CN,688072,2022-06-09,154.3,155.02,145.77,147.88,1445799.0,215633065.0
CN,688072,2022-06-10,146.25,154.53,146.0,152.13,1266857.0,192588798.0
CN,688072,2022-06-13,150.0,151.56,142.18,149.1,2356948.0,346379128.0
CN,688072,2022-06-14,146.1,147.75,140.8,144.1,1986774.0,285240345.0
CN,688072,2022-06-15,144.7,155.8,143.99,151.53,1647022.0,248658829.0
CN,688072,2022-06-16,151.53,161.0,150.0,154.8,1275170.0,199663800.0
CN,688072,2022-06-17,152.0,158.02,150.98,153.95,1029975.0,158533729.0
CN,688072,2022-06-20,152.49,154.9,148.58,150.7,1215424.0,184597921.0
CN,688072,2022-06-21,150.98,158.58,148.5,154.0,1081226.0,165851408.0
CN,688072,2022-06-22,155.0,155.7,147.11,148.56,974303.0,146214531.0
CN,688072,2022-06-23,148.52,160.5,148.51,160.0,1295312.0,203291720.0
CN,688072,2022-06-24,157.87,161.59,153.68,154.3,1130908.0,176983406.0
CN,688072,2022-06-27,156.93,157.66,149.2,151.01,1513800.0,231225386.0
CN,688072,2022-06-28,151.68,156.8,149.0,155.11,1339076.0,203420899.0
CN,688072,2022-06-29,154.89,155.47,147.05,148.5,1220534.0,183867849.0
CN,688072,2022-06-30,146.0,155.58,146.0,155.1,903365.0,137812047.0
CN,688072,2022-07-01,154.26,164.99,154.0,156.4,1415108.0,225540499.0
CN,688072,2022-07-04,156.91,157.0,147.0,149.38,1444348.0,216389878.0
CN,688072,2022-07-05,149.8,150.55,141.97,147.5,1703045.0,248080211.0
CN,688072,2022-07-06,146.21,176.0,146.21,170.9,2841500.0,473405104.0
CN,688072,2022-07-07,174.0,176.5,168.0,176.5,1289868.0,222470305.0
CN,688072,2022-07-08,173.5,182.98,173.0,175.59,1400380.0,249428557.0
CN,688072,2022-07-11,175.03,184.98,171.43,183.2,1204902.0,215250361.0
CN,688072,2022-07-12,183.2,193.78,178.04,181.0,1641730.0,303306730.0
CN,688072,2022-07-13,178.21,181.66,171.05,176.0,1437823.0,251024124.0
CN,688072,2022-07-14,172.02,181.5,170.5,177.58,1008292.0,179022574.0
CN,688072,2022-07-15,175.43,202.15,175.43,200.0,2316032.0,447905268.0
CN,688072,2022-07-18,196.26,200.0,192.4,193.6,1010466.0,197054677.0
CN,688072,2022-07-19,192.9,197.48,187.5,189.09,795911.0,152321567.0
CN,688072,2022-07-20,191.0,201.38,190.8,196.88,872996.0,171883107.0
CN,688072,2022-07-21,194.25,211.67,193.0,201.0,1409069.0,289297200.0
CN,688072,2022-07-22,204.8,206.0,197.1,202.0,705500.0,142031894.0
CN,688072,2022-07-25,203.44,208.71,198.0,201.6,499580.0,100422614.0
CN,688072,2022-07-26,200.58,202.49,196.52,201.35,442512.0,88126553.0
CN,688072,2022-07-27,201.35,207.66,197.1,206.56,618195.0,125497902.0
CN,688072,2022-07-28,207.0,218.7,204.5,214.52,837822.0,177041808.0
CN,688072,2022-07-29,214.6,217.4,207.51,212.89,579606.0,122022446.0
CN,688072,2022-08-01,211.0,231.99,209.55,229.82,1213857.0,272780526.0
CN,688072,2022-08-02,225.0,238.97,225.0,236.0,1116231.0,261202382.0
CN,688072,2022-08-03,239.8,253.99,232.7,239.88,1365918.0,332833152.0
CN,688072,2022-08-04,238.5,248.0,237.05,245.25,672860.0,162430245.0
CN,688072,2022-08-05,247.49,268.85,242.0,264.09,1062434.0,273484747.0
CN,688072,2022-08-08,267.31,267.31,230.14,256.5,1372471.0,342540283.0
