country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,fixed_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets_total,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,688525,688525,2018,Q4,2018-12-31,CNY,1274827039.71,1442694371.85,1190442768.89,729999.72,27453334.43,60631232.14,26977909.03,-159680828.05,238295.24,1354676.48,-24354776.95,-136442432.34,100000000.0,188636934.1,-70194253.81,1177093.5,14021403.91,47318421.55,1642191.31,406238235.0,493561101.88,72674767.43,23730366.56,36766263.95,203578797.4,186958952.31,7512845.1,18441968.22,467218679.5,6653688.68,223267531.1,223267531.1,197540568.93,47318421.55,186958952.31,15769535.44,72674767.43,1308548360.28,11296403.06,1222414178.31,80767138.0,2811974.28,29044104.02,24691909.32,45198487.25,-57977134.17,-3793369.46,-28665295.49,12015931.72
CN,688525,688525,2019,Q4,2019-12-31,CNY,1173506283.88,1161748131.69,990202916.35,1998827.9,45627220.43,39043486.16,22050550.36,19291088.49,604169.92,1146602.63,87381.22,18661274.56,136140090.0,590632851.3,-51532979.25,1177093.5,171802772.54,74642403.11,8749168.35,600837089.78,942196106.56,70836095.24,20834807.13,36689928.98,273789230.59,231967708.15,11900854.39,18503729.71,488846208.53,45456405.76,681682722.86,681682722.86,51027885.56,75087771.11,249729797.24,36826631.03,70836095.24,1186029199.76,8840480.21,1203172478.98,84403265.28,2154382.06,59147602.33,-118116533.95,99812321.6,-142112647.36,394019206.94,142024751.73,154040683.45
CN,688525,688525,2020,Q4,2020-12-31,CNY,1641711779.52,1627869563.7,1457723575.06,1080009.38,54926384.44,35046433.04,23995100.4,24850719.93,680881.28,247908.15,-2100445.32,27384138.38,165984064.0,951951258.94,-24148840.87,1177093.5,201565083.08,225046697.8,74402978.58,759091923.03,1335143792.25,66934782.83,20927730.19,38915891.49,431004718.0,327807384.46,11464587.03,19021602.22,589098881.61,79683266.52,1097366362.12,1097366362.12,29037816.56,226101047.8,333980539.69,31331007.61,66934782.83,1534438517.5,22946542.01,1733028097.97,111610952.57,3367725.03,62799181.32,-272062674.12,158604810.48,-102485816.09,450294209.8,41309099.64,195349783.09
CN,688525,688525,2021,Q3,2021-09-30,CNY,2046215312.5,1920778073.26,1677389101.51,1262628.03,67301133.32,45987085.08,10724367.41,64496776.41,44920.88,5458439.01,9761024.41,115279333.87,387296222.0,1336515093.94,91130493.0,1177093.5,419198010.3,144556396.46,62049251.4,1451320056.25,2159734311.88,342131796.12,20163031.8,31518824.55,562930863.63,376477180.8,15653435.27,20632575.35,707322853.99,197085810.62,1818256510.9,1818256510.9,185090409.11,144666396.46,386288724.37,28147728.52,342131796.12,2237540975.99,10155450.52,2506151276.79,135212942.09,4475091.03,64166408.11,-210422448.14999998,203252130.37,-201407530.41,738472252.3,214054005.55,409403788.64
CN,688525,688525,2021,Q4,2021-12-31,CNY,562830362.46,572797972.95,473894750.3399999,2010303.2699999998,31199316.60000001,16567300.780000001,6038058.9,-6718910.659999996,-3519.659999999996,688067.5700000003,-8703758.1,1293260.2099999934,387296222.0,1337328640.17,78087597.13,15513249.58,211978934.84,162170396.57,129882963.01,1595485398.04,2166978575.68,435308242.32,20001938.33,46314708.66,642567129.5,371749259.4,30081619.81,22766796.35,850799053.64,139389620.83,1819357030.71,1819357030.71,86357195.61,163340396.57,378932680.4,8002072.08,435308242.32,570186866.8400002,814600.4900000002,730575101.02,49201694.04999998,2919829.2699999996,14716497.829999998,-179482323.59000003,100230158.25,-96391169.03999999,63511111.81000006,-205297449.37,-205297449.36999997
CN,688525,688525,2022,Q2,2022-06-30,CNY,682033211.5799999,1338667570.79,561105046.9599999,1768378.69,23456296.47,19378121.069999997,7720240.65,37751658.18,3419.209999999999,2202.36,3821025.63,33931849.400000006,387296222.0,1340854033.44,127614052.94,15513249.58,131738092.3,179646754.67,102329504.58,1999114656.07,2443089715.97,523590516.54,23238643.06,49978301.18,764259911.35,365735565.62,12404250.87,20351775.63,1219387759.99,113495006.59,1874466860.74,1874466860.74,205609436.12,180834304.67,369096900.12,9336172.33,523590516.54,1524290646.51,8728363.77,1657968220.22,122684999.24,14345229.81,18435025.91,-69223272.10999998,66571611.86000001,-74078253.0,99843789.17000002,-125788889.52000001,-125788889.51999998
CN,688525,688525,2022,Q3,2022-09-30,CNY,801065707.0600002,770005551.1500001,685293318.4200001,1093192.9999999998,25198347.470000006,15128173.290000007,-3370383.8000000007,25771355.15,650.8199999999997,6174.47,-750676.45,26516507.950000003,387296222.0,1342616730.07,154130560.89,15513249.58,480617907.35,256734628.52,194714112.41,1776432831.55,2748558869.16,526403628.73,22841617.66,54203389.98,822754051.25,273796164.59,12565172.97,19716487.44,1393379671.65,270368047.87,1907565200.89,1907565200.89,57119182.49,257631328.52,274760675.29,12373250.08,526403628.73,868403618.4199998,8325296.919999998,842467869.4999998,64870574.45999999,5993683.65,63613503.21,-47188824.360000014,97611493.50999999,-97693892.36999999,374508356.03000003,298482920.90999997,298482920.90999997
CN,688525,688525,2022,Q4,2022-12-31,CNY,800349260.23,815097070.73,713041461.3599999,1041300.0500000003,27637192.599999994,19230110.909999996,8890691.58,-9509502.389999993,58203.4,71887.37999999999,-4698957.35,-4824229.020000011,430329136.0,1824006711.04,142780124.4,22039457.05,798023937.1,527224604.32,160724875.86,1954087632.57,3523325078.56,549950898.18,48131056.42,52567952.23,887874768.69,295134860.07,18602420.82,24033478.24,1602288374.27,387353944.2,2421557528.78,2421557528.78,31481544.79,527224604.32,306975848.79,54716958.87,549950898.18,493604732.6000004,12216090.309999999,855677749.8700004,40288314.98000002,3715075.3099999987,52174006.97999999,-418085866.99,55216658.30000001,-62538212.859999985,814622516.8100001,314776521.98,314776521.98
CN,688525,688525,2023,Q1,2023-03-31,CNY,425491095.16,567870172.37,444539078.69,254795.29,28174635.85,16744225.28,10175403.3,-138699902.15,1258.25,19469.2,-12702897.86,-126015215.24,430329136.0,1824006711.04,16764909.16,22039457.05,859178672.43,362040483.33,207209903.14,2761106044.65,4239436195.49,558135382.19,50989072.15,72464933.48,923358998.26,442774206.2,13620096.11,3794563.88,2255626869.87,612141619.0,2295026704.88,2295026704.88,4357279.36,363009483.33,455655698.72,18640739.53,558135382.19,613587356.24,5545955.41,1192306174.21,56136036.54,9826165.2,56670876.25,-646446720.36,53887182.07,-60339931.85,774065530.17,60347201.08,857292356.6
CN,688525,688525,2023,Q2,2023-06-30,CNY,722796399.78,926647174.7600001,759428715.1399999,2216884.96,38892102.24,23545379.689999998,15888030.66,-201805561.68999997,528382.76,16030.079999999998,-30833057.450000003,-170460151.56,430329136.0,1827532104.34,-153695242.4,22039457.05,934340516.27,444895130.86,104787751.78,3307460575.93,4857488586.97,562790751.31,57940770.24,105593879.04,1115130133.44,628514528.62,15935133.71,22890869.66,3158773992.17,689945100.81,2123899627.43,2123899627.43,4420781.03,445413830.86,643231975.62,24663072.1,562835065.69,632528876.51,12440890.309999999,1115537740.81,67449291.28,3093313.4300000016,49129917.519999996,-539479246.5099999,128455552.55000001,-128091060.12,541079985.8100001,-127202348.34,-234070009.35000002
CN,688525,688525,2023,Q3,2023-09-30,CNY,974166941.8499999,1195103933.0499997,992242281.2600002,756057.1299999999,40016103.09,43513374.36,29990460.089999996,-222105354.95999998,253747.17999999993,542542.34,-34857429.22,-187536720.89999998,430329136.0,1876869167.68,-341231963.3,22039457.05,545394083.73,500783350.65,243686359.39,3518875710.07,4992306138.87,,60460299.75,145278129.56,1332934567.24,582944189.66,20024138.99,22592216.28,3645555722.12,692315415.71,1987369568.28,1987369568.28,23676646.87,503185350.65,620493623.36,43425224.23,615645054.57,1010260811.6300001,6856690.990000002,1557876744.88,72678309.16,8578612.109999998,48148513.97000001,-642622366.8200002,136484159.79000002,-144972578.29,604919316.8699999,-185774617.21,-77828263.51999998
CN,688525,688525,2023,Q4,2023-12-31,CNY,1468297781.5,1665570727.1600003,1331208589.9899998,3676023.5600000005,57170566.32999998,60747629.55999999,65917163.93000001,-180422548.7700001,783709.94,-15945.020000000019,-32767456.519999996,-140346774.24000007,430329136.0,1955541474.67,-481578737.54,22039457.05,339271584.47,613677121.3,183410956.35,3552219332.83,4880449014.14,846296736.79,61623179.02,164272494.08,1451951720.01,691741659.4,34884264.83,18132367.9,3898444451.83,512833730.1,1928295862.72,1921122552.22,54065661.7,613677121.3,700797079.91,48142253.22,846296736.79,998360259.5999999,147541694.31,1190836384.6600003,101876938.58000001,3595932.450000003,47672031.599999994,-137887085.46000004,97516763.94,-120479524.84000003,-61531007.79999995,-305305953.63,-413252307.32000005
CN,688525,688525,2024,Q1,2024-03-31,CNY,1726642291.89,1543505261.6,1299457389.46,1760549.94,60771028.15,60351816.78,25171771.22,189229798.75,14465.5,19659.12,32151988.04,167562304.96,430329136.0,2040882061.38,-314016432.6,22039457.05,674291737.04,650253303.99,158139775.66,3460649249.71,5033907307.17,,69035871.14,132234408.37,1430843691.98,650523301.79,37388138.65,11369867.72,3749067392.68,572519032.82,2160827572.02,2143164573.65,11318680.02,650253303.99,657424129.36,29713778.87,847763979.94,1737189993.51,262327870.01,1242569336.07,101650246.19,14930720.64,264967326.06,506162485.73,72554558.63,-95935983.7,-91076033.71,325606508.75,457748285.16
CN,688525,688525,2024,Q2,2024-06-30,CNY,1714138030.03,1555810671.7000003,1262101039.1999998,514109.79000000004,58340941.43,84317156.19,30517165.009999998,154795421.92000002,194181.99,532768.07,38649412.86000001,115798601.72999999,429625672.0,2133647041.74,-198217830.85,22039457.05,718622474.91,654896719.0,280706390.98,3573779054.16,5355470820.72,1084500806.14,153538216.48,109409956.76,1533908700.94,617688958.53,25528732.92,26464262.71,3973389399.11,510182042.35,2423462257.32,2405808080.2,55165480.56,654896719.0,663648297.99,32083038.22,1084500806.14,1952295175.24,-226249283.20999998,1626787963.9400003,116226382.22,25597877.29,-175728398.21,143747833.68999994,172218561.17000002,-171465540.99,61629676.81999999,36820174.620000005,36820174.619999945
CN,688525,688525,2024,Q3,2024-09-30,CNY,1584412319.7200003,1686344927.6599998,1332274842.8600001,4496567.67,60118310.250000015,88052950.03999999,51871889.13,-83526571.45000002,47422.79000000001,20226.330000000075,-20327377.070000008,-55244455.80000001,431240342.0,2251291200.63,-253462286.65,22039457.05,721259790.93,449292026.98,258402396.27,3741450594.98,5394009079.78,,160061441.27,129354336.75,2020510529.44,540871925.94,27642911.17,26809485.1,4121774071.14,829271697.56,2451545059.76,2463473840.52,48720176.37,449292026.98,578360031.75,25375460.0,1113545947.69,1755343502.4300003,34649042.18000001,1739712666.17,115584494.53,19743493.310000002,82268885.46000001,-154646376.14,484046656.69,-483417171.08,621700207.74,-20896186.399999976,-20896186.399999976
