country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,total_equity,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,00148,00148,2016,Q2,2016-06-30,HKD,15658273177.47,1287110798.58,1926936417.99,2114311704.78,3072195072.66,716257048.17,178615773.96,181217389.44,455970718.35,810826283.67,1.25,4522552114.59,-1846322234.25,-2914971688.8,3909648600.18,61938030623.04,30644153535.18,30198974734.92,26145544145.97,15713809634.07,12502353776.94,87654955.2
HK,00148,00148,2016,Q4,2016-12-31,HKD,16392306365.730001,3209439799.2300005,4546834611.27,4711826492.7,3383143683.54,829246021.9800001,375147637.23,179336334.3,505814484.24,2400512919.87,3.12,5418206392.68,-1834034503.08,-1755159469.0199995,5789817949.14,68358948864.03,33621950948.04,31191061879.89,29042844233.31,20299409723.79,12116229190.02,92885918.4
HK,00148,00148,2017,Q2,2017-06-30,HKD,16200214571.04,1892240919.84,2990847980.4,3091085797.04,3886414704.08,729807022.48,174451052.08,136864908.56,530824211.6,3715351143.76,1.82,980556053.84,-218213314.32,-708902301.36,5671151581.04,69059218368.4,35442442742.32,31818579045.76,27349618173.52,16531911897.04,11829962240.4,90124812.8
HK,00148,00148,2017,Q4,2017-12-31,HKD,20054263734.659996,2783366495.0999994,4001840933.11,4076017409.79,4579738617.8,697016115.6199999,-63800809.47000001,123871302.72999999,749101954.4699999,4768433191.84,2.66,-734394769.3100001,-101942723.41000003,1958204068.67,6782369777.96,73806157693.53,38484894327.29,37761223634.81,28897962908.33,16709546659.68,12145381930.03,89145621.95
HK,00148,00148,2018,Q2,2018-06-30,HKD,18747407668.0,3514889801.7,4617301225.6,4662319393.2,4163720170.4,797022055.7,43218992.2,170855058.1,623781867.7,3145197196.5,3.3,371644381.7,-5342311581.0,4072941907.2,5942982391.5,80429110371.1,40580800776.4,39084774627.9,33624221644.3,16114319528.7,12672462421.4,89912399.5
HK,00148,00148,2018,Q4,2018-12-31,HKD,21552902259.800003,1808691110.3000002,3375316316.3999996,3602391544.4000006,4863291776.800001,920172228.3,105547500.99999999,345421258.29999995,1173926434.3,427613447.5,1.6900000000000004,2649860346.1000004,-1961921183.3999996,-163871989.1999998,6548126488.8,82739863031.8,41473161457.0,38823579971.8,34870190981.6,16478650466.2,13037652721.6,94905603.0
HK,00148,00148,2019,Q2,2019-06-30,HKD,16050586000.32,1268140727.16,1928741636.34,2175630530.58,3361559993.46,848008953.54,54911016.18,317965422.24,359642833.38,1976869594.26,1.17,3969043513.2,-3768981559.74,-588615692.4,6185430450.9,86274909068.58,42785274296.52,38702028044.16,36942715081.44,19407075633.54,13280046689.7,95280372.9
HK,00148,00148,2019,Q4,2019-12-31,HKD,20820481108.46,1503779716.22,2660261370.8,2956624528.0200005,4713275035.22,1118205751.96,-138683466.0,355662033.53999996,853183269.36,1611015059.5600002,1.38,2561919164.38,584997837.4599996,-3778309120.2599998,5604863211.92,86922125168.28,44957912755.7,39922921489.5,34994072091.28,19537226950.88,13258402157.24,99051769.28
HK,00148,00148,2020,Q2,2020-06-30,HKD,18200883909.12,967508340.48,2161144233.6,2393082178.08,4568173727.04,947311268.64,62720444.16,263064325.92,753935107.2,865481659.68,0.88,3016768048.8,2985237926.88,-5319565817.28,6397801354.56,81328338664.32,45092913750.72,39225885890.4,29601691141.44,16877644581.6,13100475183.84,100820940.0
HK,00148,00148,2020,Q4,2020-12-31,HKD,18419103100.24,2990626949.28,4518460928.639999,4608015997.92,5722410424.320001,729480528.6,18892545.0,121715807.64000002,1020295036.1199999,6871465734.88,2.7,4978552726.08,-658468598.6400003,-5013064985.2,5528612805.48,78482204506.32,47018136960.92,38342989050.8,27311581588.48,19468203766.08,12267807763.0,93067709.56
