country,code,time,open,high,low,close,volume,amount
HK,01109,2016-06-15,17.72,17.86,17.6,17.76,11598706.0,206415640.56
HK,01109,2016-06-16,17.6,17.64,17.1,17.18,18683561.0,322500530.6
HK,01109,2016-06-17,17.34,17.8,17.26,17.42,13747548.0,240303443.86
HK,01109,2016-06-20,17.68,17.82,17.46,17.64,12326722.0,217427415.4
HK,01109,2016-06-21,17.68,17.82,17.64,17.72,5948556.0,105363425.92
HK,01109,2016-06-22,17.72,17.94,17.58,17.8,12331118.0,219827273.4
HK,01109,2016-06-23,17.82,17.92,17.62,17.9,7029386.0,124897149.58
HK,01109,2016-06-24,17.7,18.14,16.5,17.3,22471934.0,384834544.533
HK,01109,2016-06-27,17.06,17.44,17.0,17.28,6023924.0,104069156.64
HK,01109,2016-06-28,17.1,17.16,16.9,17.12,11144412.0,189596897.28
HK,01109,2016-06-29,17.24,17.34,17.1,17.26,8585688.0,147859815.8
HK,01109,2016-06-30,17.5,18.18,17.44,18.1,24093427.0,433263237.82
HK,01109,2016-07-04,18.9,18.9,18.26,18.4,19309162.0,358868312.08
HK,01109,2016-07-05,18.32,18.58,18.08,18.22,15726147.0,288192828.38
HK,01109,2016-07-06,17.9,18.06,17.8,17.96,8724735.0,156356225.7
HK,01109,2016-07-07,18.1,18.32,18.0,18.04,8468867.0,153388579.9
HK,01109,2016-07-08,17.98,18.08,17.84,18.06,5273816.0,94672661.4
HK,01109,2016-07-11,18.52,18.74,18.34,18.46,9264866.0,171037601.02
HK,01109,2016-07-12,18.62,19.34,18.62,19.2,21371545.0,405102114.52
HK,01109,2016-07-13,19.4,19.62,19.04,19.22,13229110.0,254574696.89
HK,01109,2016-07-14,19.22,19.36,19.06,19.32,8755519.0,168642106.88
HK,01109,2016-07-15,19.44,19.56,19.12,19.28,10340020.0,199580380.16
HK,01109,2016-07-18,19.28,19.32,18.96,19.14,10431113.0,199106541.8
HK,01109,2016-07-19,19.12,19.36,19.0,19.22,8454637.0,162222883.54
HK,01109,2016-07-20,19.2,19.26,19.04,19.12,8942417.0,171271136.641
HK,01109,2016-07-21,19.2,19.68,19.06,19.5,13455734.0,262446087.01
HK,01109,2016-07-22,19.46,19.8,19.32,19.76,13389014.0,264125688.98
HK,01109,2016-07-25,19.9,19.9,19.4,19.6,10187192.0,199295898.96
HK,01109,2016-07-26,19.4,19.88,19.4,19.84,9346895.0,184687639.58
HK,01109,2016-07-27,19.96,19.98,19.28,19.42,13669900.0,267103834.0
HK,01109,2016-07-28,19.34,19.54,19.24,19.48,9069041.0,175511466.816
HK,01109,2016-07-29,19.2,19.5,19.16,19.28,10129571.0,195197997.61
HK,01109,2016-08-01,19.44,19.54,19.32,19.54,8383911.0,163220996.416
HK,01109,2016-08-03,19.2,19.48,19.12,19.14,8605320.0,165547731.8
HK,01109,2016-08-04,19.16,19.26,19.0,19.14,9247831.0,177287944.835
HK,01109,2016-08-05,19.28,19.88,19.2,19.88,19519858.0,384526838.42
HK,01109,2016-08-08,20.0,20.7,19.9,20.7,22046190.0,451283764.5
HK,01109,2016-08-09,20.8,21.75,20.75,21.4,35360914.0,749692896.9
HK,01109,2016-08-10,21.4,21.7,20.75,21.05,24927212.0,528929710.15
HK,01109,2016-08-11,21.05,21.55,21.0,21.25,14515458.0,308649261.2
HK,01109,2016-08-12,21.5,21.5,20.9,21.25,9578597.0,202530866.4
HK,01109,2016-08-15,21.2,21.95,21.15,21.85,17598042.0,381575778.2
HK,01109,2016-08-16,21.95,21.95,21.35,21.4,10372524.0,223192875.6
HK,01109,2016-08-17,21.5,21.75,21.3,21.5,12359634.0,265148746.85
HK,01109,2016-08-18,21.75,21.8,21.45,21.75,10690421.0,230855492.1
HK,01109,2016-08-19,21.95,21.95,21.55,21.95,9360287.0,204220768.15
HK,01109,2016-08-22,21.85,22.0,21.5,21.85,13243214.0,288108437.3
HK,01109,2016-08-23,21.9,21.9,21.15,21.4,10943202.0,234565492.5
HK,01109,2016-08-24,21.5,21.6,20.9,21.15,10936645.0,232015482.0
HK,01109,2016-08-25,20.95,21.1,20.6,20.65,12674820.0,263548263.0
HK,01109,2016-08-26,20.65,21.75,20.35,21.45,20020888.0,427704104.4
HK,01109,2016-08-29,21.45,22.25,21.45,22.0,15879889.0,348101827.75
HK,01109,2016-08-30,22.2,22.6,22.05,22.35,16366079.0,364977293.0
HK,01109,2016-08-31,22.3,22.3,21.5,21.85,21509717.0,469988584.96
HK,01109,2016-09-01,21.65,22.1,21.6,21.9,11249581.0,246744087.7
HK,01109,2016-09-02,21.8,22.6,21.6,22.35,16665699.0,372938613.1
HK,01109,2016-09-05,22.75,23.25,22.65,23.05,17028330.0,389931377.0
HK,01109,2016-09-06,23.0,23.35,22.55,23.35,12746081.0,293757376.4
HK,01109,2016-09-07,23.35,23.4,23.0,23.25,17303821.0,402471078.5
HK,01109,2016-09-08,23.1,23.2,22.85,23.05,14331944.0,330268347.86
HK,01109,2016-09-09,22.9,23.85,22.85,23.55,18173455.0,427998654.758
HK,01109,2016-09-12,22.6,22.85,22.15,22.15,16386838.0,369966893.75
HK,01109,2016-09-13,22.5,22.65,21.7,21.75,16291904.0,359523791.15
HK,01109,2016-09-14,21.75,22.15,21.4,21.9,9001986.0,196637399.6
HK,01109,2016-09-15,21.8,21.95,21.4,21.7,13022035.0,282204418.1
HK,01109,2016-09-19,21.9,22.7,21.5,22.55,24009094.0,535721032.5
HK,01109,2016-09-20,22.65,22.85,22.3,22.8,13460316.0,305211256.0
HK,01109,2016-09-21,22.8,23.25,22.55,23.1,13641044.0,314126137.475
HK,01109,2016-09-22,23.5,23.6,22.8,23.3,15622768.0,363652266.8
HK,01109,2016-09-23,23.75,23.75,22.95,23.35,12156363.0,281995745.45
HK,01109,2016-09-26,23.15,23.15,22.3,22.45,16288081.0,369221683.3
HK,01109,2016-09-27,22.4,23.0,22.25,22.9,17477020.0,399649155.0
HK,01109,2016-09-28,22.55,23.1,22.05,22.85,25692000.0,579769510.65
HK,01109,2016-09-29,23.3,23.3,22.15,22.5,11063500.0,248787945.6
HK,01109,2016-09-30,22.05,22.3,21.25,21.6,25044314.0,540559798.654
HK,01109,2016-10-03,21.8,21.9,21.1,21.4,16197595.0,344809098.85
HK,01109,2016-10-04,21.2,21.35,20.75,20.95,26131362.0,545976577.45
HK,01109,2016-10-05,20.95,21.05,20.35,20.85,19878564.0,413424596.125
HK,01109,2016-10-06,21.0,21.0,20.25,20.5,26814885.0,549129859.75
HK,01109,2016-10-07,20.55,20.55,20.1,20.2,18854900.0,382002045.296
HK,01109,2016-10-11,20.2,20.35,19.2,19.42,41010153.0,799037026.4
HK,01109,2016-10-12,19.28,19.64,19.2,19.56,29289526.0,568300282.598
HK,01109,2016-10-13,19.4,19.58,19.22,19.4,23524074.0,455904701.24
HK,01109,2016-10-14,19.46,19.58,19.1,19.38,19730546.0,380442792.02
HK,01109,2016-10-17,19.38,19.58,19.12,19.4,13877672.0,269583906.0
HK,01109,2016-10-18,19.52,20.25,19.52,20.05,25825791.0,515969456.9
HK,01109,2016-10-19,20.1,20.25,19.78,20.0,19992395.0,399171558.05
HK,01109,2016-10-20,20.05,20.25,19.76,19.86,7954818.0,158505596.42
HK,01109,2016-10-24,19.64,20.05,19.44,19.92,11045679.0,218873824.78
HK,01109,2016-10-25,19.88,20.15,19.88,20.1,8676884.0,173716765.77
HK,01109,2016-10-26,19.9,19.9,19.6,19.8,10434909.0,205733325.48
