country,code,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,net_assets,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,01772,2016,Q2,2016-06-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,01772,2016,Q3,2016-09-30,HKD,1819002000.0,983163000.0,1033880000.0,1053458000.0,742973000.0,70551000.0,897057000.0,17489000.0,50754000.0,998658000.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,01772,2016,Q4,2016-12-31,HKD,814454000.0,133844000.0,155274000.0,157368000.0,262284000.0,38798000.0,-3355000.0,3511000.0,20339000.0,153711000.0,-0.32000000000000006,658473000.0,-884262000.0,230917000.0,169183000.0,4282003000.0,2961549000.0,2105259000.0,1318236000.0,1190878000.0,1166000000.0,752696000.0
HK,01772,2017,Q1,2017-03-31,HKD,623632000.0,436498000.0,464870000.0,475458000.0,220471000.0,29372000.0,310743000.0,10354000.0,28494000.0,435829000.0,0.39,-56659000.0,-300106000.0,572490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,01772,2017,Q2,2017-06-30,HKD,1029811000.0,484353000.0,530966000.0,545498000.0,380172000.0,37666000.0,268487000.0,11726000.0,46724000.0,473897000.0,0.42999999999999994,-352893000.0,-537815000.0,701049000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,01772,2017,Q3,2017-09-30,HKD,1188553320.5700002,82679247.33000004,140063599.73000002,156811067.24,467635003.66999996,-882217.2899999991,-579022934.44,19787467.509999998,57499409.69,-111728753.73000002,0.08000000000000007,548898598.3,-160818718.73000002,129955479.77999997,713755000.0,6352730000.0,3182316000.0,3257583000.0,3163241000.0,2709044000.0,1468469000.0,728905000.0
HK,01772,2017,Q4,2017-12-31,HKD,1329204679.4299998,1092017752.67,1231340400.27,1220410932.76,606776996.33,126722217.28999999,1122522934.44,15029532.490000002,139472590.31,1244255753.73,0.9899999999999999,364519401.7,158547718.73000002,933167520.22,2165352000.0,7999100000.0,4037204000.0,4567682000.0,3955930000.0,2814329000.0,1620204000.0,741771000.0
HK,01772,2018,Q1,2018-03-31,HKD,1050092864.25,237919926.58,304775487.57,321906688.35,483862921.57,80121995.13,87716.0,17131200.78,67003122.74,205355277.66,0.21,-136397089.48,-675137000.29,-119459457.21,1217403000.0,8284141000.0,4304049000.0,4670286000.0,3977324000.0,2820133000.0,1935393000.0,741139000.0
HK,01772,2018,Q2,2018-06-30,HKD,1189227135.75,492297073.41999996,549163512.4300001,556822311.65,508827078.43,107474004.87,253270284.0,17831799.22,56992877.26,507458722.34000003,0.45000000000000007,103379089.47999999,143544000.28999996,-161467542.79000002,1320650000.0,8781399000.0,4589931000.0,4794255000.0,4180629000.0,2723464000.0,2169256000.0,1114894000.0
HK,01772,2018,Q3,2018-09-30,HKD,1354181018.0500002,242147084.38,284969612.78999996,309945904.79999995,389437766.9100001,-7433027.689999998,-251180846.93,14803292.009999998,42804168.19999999,331854676.38,0.19999999999999996,144769982.93,-177595240.39,-261164911.07000005,1114283993.41,8931002962.05,4916250224.49,4213972976.71,4004846316.26,2519491989.19,1132513203.29,1114895402.0
HK,01772,2018,Q4,2018-12-31,HKD,1296380981.9499998,364231915.62,360926387.21000004,278548095.20000005,371722233.0899999,180317027.69,443701846.93,40576707.99,-4157168.199999988,324476323.62,0.30999999999999994,573480017.0699999,-1650849759.6100001,3262763911.07,3218615000.0,13638771000.0,8041698000.0,7914767000.0,5543544000.0,3832211000.0,2619584000.0,1315082000.0
HK,01772,2019,Q1,2019-03-31,HKD,1329903169.35,252728978.02,298633133.07,343299166.63,284035913.16,33925023.47,0.01,44666033.56,46008201.33,204197266.95,0.22,233727872.76,-689941771.97,156086271.51,3249268351.08,13752725813.09,8145139450.18,7222221580.49,5545604518.85,3826842606.44,1482448262.47,1315082519.0
HK,01772,2019,Q2,2019-06-30,HKD,1472335830.65,44472021.97999999,88903866.93,47523833.370000005,424149086.84,196151976.53,123744999.99,51219966.44,44509798.67,107912733.05000001,0.010000000000000009,-39339872.75999999,-773528228.03,853976728.49,2963128000.0,14379419000.0,7992153000.0,7208930000.0,6330665000.0,4624936000.0,2882107000.0,1315084000.0
HK,01772,2019,Q3,2019-09-30,HKD,1408265096.79,31964317.99000001,36870739.31999999,112185785.32999998,298136320.0,-11547628.370000005,-122787605.92,-17284953.989999995,5649472.239999995,125571525.69,0.01999999999999999,33229242.189999998,-943386009.5100002,-104575257.70000005,2021879895.7,14021512065.5,8117522202.72,5999817917.72,5827554894.62,3564552542.45,1933050441.79,1292600241.0
HK,01772,2019,Q4,2019-12-31,HKD,1035920903.21,31579682.00999999,52734260.68000001,25974214.670000017,231230680.0,150822628.37,288274605.92,126393953.99,24908527.760000005,8596474.310000002,0.030000000000000027,441668757.81,-415812990.4899998,-664711742.3,1328104000.0,14213032000.0,8355257000.0,5717031000.0,5802751000.0,3258857000.0,3007789000.0,1292601000.0
HK,01772,2020,Q1,2020-03-31,HKD,1078841300.29,7746065.51,23274613.98,89646837.79,210054274.84,23299322.84,480193.17,66372223.81,17694902.16,88128421.81,0.01,-138580433.01,-418057997.68,1545840111.83,2584598773.05,15477310550.27,8426980417.8,6733503609.04,6995623896.09,3919694961.39,2015297544.61,1292822060.0
HK,01772,2020,Q2,2020-06-30,HKD,1295764699.71,149949934.49,167927386.02,209233162.20999998,251713725.16,83418677.16,133657806.83,54507776.19,16020097.84,144449578.19,0.11,328359433.01,-259868002.32,-190658111.82999992,2207216000.0,16010919000.0,8245779000.0,6946990000.0,7749370000.0,4529933000.0,2959444000.0,1292825000.0
HK,01772,2020,Q3,2020-09-30,HKD,1518358913.58,172786914.66000003,220043945.23000002,185417494.76,270719773.03,-7375179.709999993,-132787204.67,-47828450.47,43225136.09,4572034.039999992,0.13,11331848.439999998,124597486.88,1752538509.5900002,4630712695.74,21955540797.08,9930425161.42,8973327342.87,9644688075.84,4018270279.32,2160025114.29,1332888459.0
HK,01772,2020,Q4,2020-12-31,HKD,1595659086.42,694826085.3399999,716675054.77,901350505.24,429156226.97,228992179.70999998,786808204.67,192831450.47,-13252136.090000004,338035965.96000004,0.54,545257151.56,-3401865486.88,537046490.4099998,1709590000.0,22020374000.0,10705624000.0,8774832000.0,8601969000.0,4077784000.0,6102190000.0,1339961000.0
HK,01772,2021,Q1,2021-03-31,HKD,1606822673.47,476096554.72,532611634.32,584350566.31,499917113.68,32362547.44,147956.32,51738931.99,38949407.24,580223738.26,0.36,-217010375.97,-163069890.56,657571330.58,2443025301.78,23307694487.73,11854755292.63,8304449463.32,8667510706.9,4436875333.41,2260955511.25,1355928726.0
HK,01772,2021,Q2,2021-06-30,HKD,2418201326.5299997,939079445.28,1105557365.68,1223262433.69,905395886.3199999,178553452.56,676331043.68,91182068.00999999,137995592.76,824273261.74,0.38,847366375.97,-1240867109.44,4935280669.42,6497225000.0,30135847000.0,18196412000.0,13398426000.0,8966698000.0,6348585000.0,6985735000.0,1437479000.0
HK,01772,2021,Q3,2021-09-30,HKD,3028734123.88,1057616255.27,1177773163.65,1156920074.1799998,1102114388.48,72872469.94999999,-675825544.27,5669910.530000001,97411030.97000003,1244371588.8400002,1.03,297580788.0,-1279357134.6399999,1417211164.5600004,7467131948.68,33889599470.42,19327056765.23,14768856881.14,10464967195.05,6479522585.69,2914447635.22,1437478880.0
HK,01772,2021,Q4,2021-12-31,HKD,3989248876.12,2753129744.73,2955118836.35,3009670925.82,1849641611.52,556547530.05,2689810544.27,116266089.47,82640969.02999997,2462124411.16,0.8999999999999999,1692456212.0,-3492547865.36,120861835.43999958,5233611000.0,39056651000.0,21893751000.0,14626739000.0,12889951000.0,8209107000.0,8902841000.0,1437479000.0
HK,01772,2022,Q1,2022-03-31,HKD,5365267017.62,3525082984.72,4033448049.55,4073065279.17,3576034210.92,219160314.9,31960797.78,39617229.62,473421418.92,3389536231.67,1.75,1134889135.18,-2692479618.33,178928609.51,4738380862.0,44921545488.61,25307099911.48,15978089830.82,14724411075.01,10141647716.98,3409317867.7,1437478880.0
HK,01772,2022,Q2,2022-06-30,HKD,8955625982.380001,3729752015.28,4383926950.45,3011380720.83,5081819789.08,693108685.1,267333202.22,155092770.38,592380581.0799999,4803325768.33,1.85,961636864.8199999,-1592594381.67,2646617390.49,6019525000.0,54774355000.0,30170639000.0,23817635000.0,19751429000.0,12148409000.0,11026487000.0,1439841000.0
HK,01772,2022,Q3,2022-09-30,HKD,13290763306.11,7540006018.059999,8816255346.68,10048626746.62,6781534845.120001,-401789956.92,-263676451.92000002,-295267600.06,1180664864.87,8723076795.63,3.7499999999999996,5863046180.33,-1014421936.6999998,1114930867.4699998,12945332695.6,69587349398.47,38794842401.45,32827233497.7,25697576592.22,16071056809.19,4210280999.0,2016846559.0
HK,01772,2022,Q4,2022-12-31,HKD,13758997693.89,5709073981.940001,5545450653.32,2139119253.3799992,4925085154.879999,1489225956.92,1236565451.92,507886600.06,71650135.13000011,4984018204.370001,2.83,4531060819.67,-10012899063.3,2464368132.53,9073017000.0,79159910000.0,44042827000.0,31966036000.0,30293602000.0,18654925000.0,14451751000.0,2017036000.0
HK,01772,2023,,2023-01-01,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,01772,2023,Q1,2023-03-31,HKD,9438229716.32,2396600665.19,2353751005.5,2492907723.51,3523215318.7,150718653.56,881576.02,139156718.01,189778088.44,1836851757.06,1.19,-3169082963.04,-2557591073.83,4579657096.2,8912237162.43,80933407511.25,46217027259.62,30499227163.59,29693841543.98,12953692359.83,4939584942.22,2017103539.0
HK,01772,2023,Q2,2023-06-30,HKD,8673340283.68,3479914334.81,3896966994.5,1861098276.4899998,587234681.3000002,912127346.44,2272114423.98,203426281.99,187856911.56,5166350242.940001,1.73,477925963.03999996,-2197486926.17,3834927903.8,10116861000.0,89471480000.0,48439969000.0,33406963000.0,35897949000.0,18058494000.0,19396680000.0,2017168000.0
HK,01772,2023,Q3,2023-09-30,HKD,7570391591.040001,133332045.28999996,84753899.03999996,2361079590.54,337069427.3800001,-407869260.92999995,-2216790687.24,37030691.5,78339670.64999998,-183739592.52000046,0.06000000000000005,1322056593.86,-2423068647.51,-284398864.97000027,9672492265.05,92862318954.04,48508744307.11,31128733438.39,38777746556.17,19929710473.91,7838584475.2,2017167779.0
HK,01772,2023,Q4,2023-12-31,HKD,7130055408.959999,-1027300045.29,-1041016899.04,-3565448590.54,95562572.61999989,1680325260.9299998,3003361687.24,404698308.5,227495329.35000002,-1671712407.4799995,-0.5099999999999998,1515581406.14,-3004933352.49,2087424864.9700003,9293732000.0,91697901000.0,47034106000.0,28184398000.0,39382039000.0,20271297000.0,23689508000.0,2017168000.0
HK,01772,2024,Q1,2024-03-31,HKD,5057894510.44,-438901866.58,-499783258.17,-290377660.19,302097900.84,304854881.75,922904.4,209405597.98,95867701.27,-546732751.56,-0.22,118855695.01,-2079431243.89,1573640963.14,9085559020.82,95563417766.95,47978285617.95,25667561351.34,41306477399.23,20469310973.48,13334363607.62,2017167779.0
HK,01772,2024,Q2,2024-06-30,HKD,4466927489.56,-320233133.42,-504497741.83,-558756339.81,760587099.1600001,775127118.25,530288095.6,297377402.02,-35352701.269999996,-320146248.44000006,-0.16,3823643304.99,-3933821756.1099997,-541177963.1400001,8260086000.0,97964416000.0,44308507000.0,23916009000.0,45375283000.0,26383263000.0,30774305000.0,2017168000.0
HK,01772,2024,Q3,2024-09-30,HKD,4400370758.32,118745355.94000006,65018219.870000005,436674420.9,377760886.22,-248717931.33000004,-523309856.44,20020201.02999997,32312424.099999994,-514317744.8900001,0.06,163417332.0300002,-1354866731.2399998,-65993901.46000004,7014354348.65,98671685119.8,43974351641.69,21925380631.72,46545327921.73,26699022841.45,13952090077.91,2017167779.0
