country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,net_assets,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,02899,02899,2016,Q2,2016-06-30,HKD,19492218170.0,474588980.0,506104194.0,668328153.0,2093645072.0,621503841.0,70938524.0,162223959.0,11155080.0,752961953.0,0.03,3189582869.0,-1812768176.0,-6511085648.0,7236590168.0,87494331999.0,26622866879.0,23297792957.0,56774416301.0,32329264656.0,28865858698.0,2154074365.0
HK,02899,02899,2016,Q3,2016-09-30,HKD,18401440306.0,886150012.0,1043529282.0,1316054990.0,2319805600.0,718383256.0,49371969.0,272525708.0,168178015.0,929091073.0,0.04000000000000001,1677797236.0,-2503880150.0,-246698263.0,5682475782.0,86987938968.0,26805672914.0,22751392615.0,56580236094.0,31144124104.0,30773149021.0,2154074365.0
HK,02899,02899,2016,Q4,2016-12-31,HKD,21559797796.0,415299095.0,465728767.0,334798234.0,2453237720.0,782434073.0,98414605.0,-130930533.0,230482441.0,508817576.0,0.01999999999999999,3292232275.0,-2447588213.0,-966782994.0,5022502044.0,89217700259.0,27762474794.0,24140208828.0,58101192073.0,33851986645.0,32530610194.0,2154074365.0
HK,02899,02899,2017,Q1,2017-03-31,HKD,18457471590.0,1005633520.0,1241327538.0,1691937164.0,2608438690.0,844590293.0,8018293.0,450609626.0,137720729.0,1472059298.0,0.05,1015456609.0,-2374605287.0,1474902243.0,6268001780.0,91786876738.0,29131861149.0,27858983559.0,59206062396.0,34368595006.0,31776248959.0,2154074365.0
HK,02899,02899,2017,Q2,2017-06-30,HKD,19066160320.0,499765893.0,909839253.0,1676834523.0,2866231041.0,541562406.0,32152806.0,766995270.0,250724594.0,807502098.0,0.020000000000000004,2290352180.0,-1236890265.0,1176795016.0,8597925019.0,94875681222.0,32963834510.0,31190156526.0,58405567060.0,34356262378.0,31895777927.0,2303121889.0
HK,02899,02899,2017,Q3,2017-09-30,HKD,24453629869.0,708783910.0,1334653099.0,2054259598.0,3667472676.0,629226376.0,11382810.0,719606499.0,425748132.0,1013297353.0,0.03,2459072538.0,-1077496626.0,-2530032320.0,7258297686.0,93659255809.0,34260776504.0,29907747396.0,55969782449.0,30938164170.0,31210015582.0,2303121889.0
HK,02899,02899,2017,Q4,2017-12-31,HKD,32571357319.0,1293534304.0,1082140303.0,1157879200.0,4034503007.0,679310678.0,6056945.0,75738897.0,506217541.0,15474413.0,0.06,3999474187.0,-1258610635.0,-2795952282.0,5936066673.0,89315263550.0,34999723155.0,28675010591.0,51672418332.0,28793593015.0,30136199603.0,2303121889.0
HK,02899,02899,2018,Q1,2018-03-31,HKD,22863594836.0,1085362589.0,1689349105.0,2310476809.0,3510992407.0,621406811.0,567762.0,621127704.0,304246087.0,585584427.0,0.05,1326940832.0,-1745327789.0,1279487768.0,7092976852.0,90965293709.0,35488807499.0,29770289838.0,52834632067.0,29684109561.0,29120310628.0,2303121889.0
HK,02899,02899,2018,Q2,2018-06-30,HKD,26950295999.0,1441060510.0,2091487855.0,2130781724.0,3586396473.0,735504441.0,152546951.0,39293869.0,407841016.0,1804320236.0,0.06,3653744458.0,836881029.0,-2632362970.0,8726193451.0,90988937898.0,34975202676.0,29185062924.0,53267786124.0,30118039642.0,28989967928.0,2303121889.0
HK,02899,02899,2018,Q3,2018-09-30,HKD,26358888293.0,825945966.0,1178525980.0,1323483993.0,3139401124.0,725209712.0,93918139.0,144958013.0,339307735.0,878174745.0,0.039999999999999994,1638895623.0,-4042332447.0,-1688999684.0,4897069913.0,91266018431.0,35783051057.0,27519254690.0,53005275097.0,32113804201.0,29059462096.0,2303121889.0
