country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,AAL,2016,Q2,2016-06-30,USD,10363000000.0,7089000000.0,334000000.0,1523000000.0,1742000000.0,-9000000.0,-233000000.0,1493000000.0,950000000.0,563000000.0,566040000.0,446000000.0,6672000000.0,11184000000.0,29611000000.0,39867000000.0,14917000000.0,31822000000.0,5000000.0,719000000.0,4312000000.0,0.0,0.0,889000000.0,2213000000.0,-1657000000.0,-605000000.0,-49000000.0,495000000.0,-1506000000.0
US,AAL,2016,Q3,2016-09-30,USD,10594000000.0,7345000000.0,347000000.0,1818000000.0,1439000000.0,8000000.0,-234000000.0,1189000000.0,737000000.0,525415000.0,528510000.0,381000000.0,6374000000.0,11048000000.0,30304000000.0,40060000000.0,14533000000.0,32184000000.0,5000000.0,1403000000.0,4391000000.0,-5000000.0,-5000000.0,-145000000.0,1064000000.0,-871000000.0,-258000000.0,0.0,0.0,-1208000000.0
US,AAL,2016,Q4,2016-12-31,USD,9789000000.0,7291000000.0,333000000.0,1731000000.0,753000000.0,-14000000.0,-235000000.0,500000000.0,289000000.0,514571000.0,518358000.0,322000000.0,6037000000.0,10324000000.0,31159000000.0,40950000000.0,13872000000.0,33617000000.0,5000000.0,1640000000.0,3785000000.0,314000000.0,314000000.0,-1984000000.0,627000000.0,-1056000000.0,370000000.0,0.0,0.0,-1460000000.0
US,AAL,2017,Q1,2017-03-31,USD,9820000000.0,7466000000.0,318000000.0,1617000000.0,792000000.0,21000000.0,-236000000.0,535000000.0,340000000.0,503902000.0,507797000.0,374000000.0,6302000000.0,10626000000.0,32291000000.0,42001000000.0,15286000000.0,33884000000.0,5000000.0,1823000000.0,3457000000.0,-95000000.0,-95000000.0,1627000000.0,2250000000.0,-1870000000.0,-349000000.0,0.0,1549000000.0,-1714000000.0
US,AAL,2017,Q2,2017-06-30,USD,11227000000.0,7826000000.0,376000000.0,1802000000.0,1652000000.0,19000000.0,-239000000.0,1389000000.0,864000000.0,490818000.0,492965000.0,386000000.0,6500000000.0,11016000000.0,32993000000.0,42320000000.0,16112000000.0,33509000000.0,5000000.0,2577000000.0,3715000000.0,1000000.0,1000000.0,327000000.0,1688000000.0,-1394000000.0,-272000000.0,1288000000.0,0.0,-1480000000.0
US,AAL,2017,Q3,2017-09-30,USD,10965000000.0,7949000000.0,400000000.0,1760000000.0,1329000000.0,38000000.0,-241000000.0,1063000000.0,661000000.0,484772000.0,486625000.0,340000000.0,5428000000.0,10002000000.0,33311000000.0,42399000000.0,15307000000.0,33146000000.0,5000000.0,3152000000.0,3948000000.0,-162000000.0,-162000000.0,-642000000.0,369000000.0,185000000.0,-599000000.0,903000000.0,0.0,-1369000000.0
US,AAL,2017,Q4,2017-12-31,USD,10601000000.0,8017000000.0,383000000.0,1894000000.0,691000000.0,1000000.0,-242000000.0,425000000.0,258000000.0,477165000.0,479382000.0,295000000.0,4771000000.0,9146000000.0,34156000000.0,43639000000.0,15358000000.0,38207000000.0,5000000.0,-1345000000.0,-780000000.0,-486000000.0,-486000000.0,-1110000000.0,437000000.0,-557000000.0,75000000.0,586000000.0,0.0,-1408000000.0
US,AAL,2018,Q1,2018-03-31,USD,10401000000.0,8163000000.0,356000000.0,1842000000.0,500000000.0,107000000.0,-237000000.0,238000000.0,159000000.0,472297000.0,474598000.0,297000000.0,4994000000.0,9673000000.0,34333000000.0,43607000000.0,17008000000.0,37290000000.0,5000000.0,-1130000000.0,-1018000000.0,-24000000.0,-24000000.0,1143000000.0,1800000000.0,-956000000.0,-842000000.0,19000000.0,586000000.0,-779000000.0
US,AAL,2018,Q2,2018-06-30,USD,11643000000.0,8759000000.0,385000000.0,1880000000.0,1019000000.0,7000000.0,-233000000.0,756000000.0,556000000.0,463533000.0,464618000.0,293000000.0,4381000000.0,9176000000.0,34424000000.0,43446000000.0,16669000000.0,36822000000.0,5000000.0,-610000000.0,-869000000.0,-19000000.0,-19000000.0,18000000.0,1094000000.0,-79000000.0,-1110000000.0,-102000000.0,605000000.0,-952000000.0
US,AAL,2018,Q3,2018-09-30,USD,11559000000.0,9012000000.0,395000000.0,1862000000.0,758000000.0,72000000.0,-233000000.0,496000000.0,372000000.0,460526000.0,461507000.0,303000000.0,4552000000.0,9498000000.0,34223000000.0,43137000000.0,16348000000.0,36855000000.0,5000000.0,-316000000.0,-568000000.0,-29000000.0,-29000000.0,-964000000.0,-77000000.0,-548000000.0,634000000.0,22000000.0,503000000.0,-1005000000.0
US,AAL,2018,Q4,2018-12-31,USD,10938000000.0,8577000000.0,384000000.0,1813000000.0,647000000.0,99000000.0,-227000000.0,386000000.0,318000000.0,460589000.0,461915000.0,275000000.0,4485000000.0,8637000000.0,43249000000.0,51943000000.0,18096000000.0,42653000000.0,5000000.0,758000000.0,-169000000.0,-494000000.0,-494000000.0,6000000.0,716000000.0,-390000000.0,-354000000.0,-223000000.0,525000000.0,-1009000000.0
US,AAL,2019,Q1,2019-03-31,USD,10584000000.0,8450000000.0,370000000.0,1759000000.0,516000000.0,559000000.0,-238000000.0,245000000.0,185000000.0,451951000.0,453429000.0,337000000.0,4012000000.0,8654000000.0,43534000000.0,52133000000.0,19849000000.0,41574000000.0,5000000.0,897000000.0,-636000000.0,0.0,0.0,907000000.0,1651000000.0,-480000000.0,-1109000000.0,203000000.0,302000000.0,-1305000000.0
US,AAL,2019,Q2,2019-06-30,USD,11960000000.0,9039000000.0,401000000.0,1768000000.0,1157000000.0,572000000.0,-240000000.0,882000000.0,662000000.0,445008000.0,445587000.0,319000000.0,5088000000.0,9850000000.0,43804000000.0,52117000000.0,20123000000.0,41866000000.0,5000000.0,1514000000.0,-22000000.0,0.0,0.0,-498000000.0,736000000.0,-1933000000.0,1179000000.0,-6000000.0,505000000.0,-1018000000.0
US,AAL,2019,Q3,2019-09-30,USD,11911000000.0,9115000000.0,424000000.0,1988000000.0,841000000.0,583000000.0,-250000000.0,557000000.0,425000000.0,441915000.0,442401000.0,312000000.0,4856000000.0,9572000000.0,43461000000.0,51603000000.0,19560000000.0,41455000000.0,4000000.0,1894000000.0,160000000.0,0.0,0.0,-180000000.0,828000000.0,-469000000.0,-366000000.0,642000000.0,499000000.0,-806000000.0
US,AAL,2019,Q4,2019-12-31,USD,11313000000.0,8800000000.0,408000000.0,1784000000.0,836000000.0,603000000.0,-241000000.0,571000000.0,414000000.0,434578000.0,435659000.0,280000000.0,3546000000.0,8206000000.0,43732000000.0,51789000000.0,18311000000.0,41802000000.0,4000000.0,2264000000.0,-118000000.0,0.0,0.0,-977000000.0,600000000.0,639000000.0,-1272000000.0,-518000000.0,1141000000.0,-1139000000.0
US,AAL,2020,Q1,2020-03-31,USD,8515000000.0,8277000000.0,385000000.0,2787000000.0,-2633000000.0,643000000.0,-236000000.0,-2890000000.0,-2241000000.0,425713000.0,425713000.0,474000000.0,3102000000.0,7175000000.0,42825000000.0,51405000000.0,19213000000.0,42003000000.0,4000000.0,-21000000.0,-2636000000.0,0.0,0.0,1513000000.0,-168000000.0,-162000000.0,526000000.0,247000000.0,623000000.0,-845000000.0
US,AAL,2020,Q2,2020-06-30,USD,1622000000.0,4944000000.0,57000000.0,-836000000.0,-2405000000.0,583000000.0,-244000000.0,-2659000000.0,-2067000000.0,428807000.0,428807000.0,462000000.0,9351000000.0,13789000000.0,41674000000.0,50755000000.0,18000000000.0,49713000000.0,5000000.0,-2088000000.0,-3169000000.0,0.0,0.0,492000000.0,-908000000.0,-6799000000.0,7688000000.0,7984000000.0,870000000.0,-388000000.0
US,AAL,2020,Q3,2020-09-30,USD,3173000000.0,5546000000.0,97000000.0,498000000.0,-2755000000.0,577000000.0,-335000000.0,-3095000000.0,-2399000000.0,509049000.0,509049000.0,253000000.0,8031000000.0,12340000000.0,40235000000.0,50433000000.0,16584000000.0,51717000000.0,5000000.0,-4487000000.0,-5528000000.0,0.0,0.0,-782000000.0,-2604000000.0,923000000.0,1511000000.0,-5265000000.0,8854000000.0,-577000000.0
