country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,AAOI,2016-06-13,0.17091,0.17091,1.700554,1.700554,1.0,0.019927447194429817
US,AAOI,2016-06-14,0.17091,0.17091,1.700554,1.700554,1.0,0.020685975074600668
US,AAOI,2016-06-15,0.17091,0.17091,1.741573,1.741573,1.0,0.01714475454917793
US,AAOI,2016-06-16,0.17091,0.17091,1.734736,1.734736,1.0,0.029230998771283132
US,AAOI,2016-06-17,0.17091,0.17091,1.686882,1.686882,1.0,0.024135217365865075
US,AAOI,2016-06-20,0.17091,0.17091,1.743282,1.743282,1.0,0.01917137674799602
US,AAOI,2016-06-21,0.17091,0.17091,1.726191,1.726191,1.0,0.00891872915569598
US,AAOI,2016-06-22,0.17091,0.17091,1.760373,1.760373,1.0,0.016327599321280205
US,AAOI,2016-06-23,0.17091,0.17091,1.796264,1.796264,1.0,0.013283775086302732
US,AAOI,2016-06-24,0.17091,0.17091,1.678336,1.678336,1.0,0.03449780586273477
US,AAOI,2016-06-27,0.17091,0.17091,1.572372,1.572372,1.0,0.02649751331109941
US,AAOI,2016-06-28,0.17091,0.17091,1.692009,1.692009,1.0,0.011968872505997308
US,AAOI,2016-06-29,0.17091,0.17091,1.777464,1.777464,1.0,0.012323094026095606
US,AAOI,2016-06-30,0.17151,0.17151,1.912337,1.912337,1.0,0.023310652440090958
US,AAOI,2016-07-01,0.17151,0.17151,1.924342,1.924342,1.0,0.011444347268380853
US,AAOI,2016-07-05,0.17151,0.17151,1.818006,1.818006,1.0,0.01654101801644219
US,AAOI,2016-07-06,0.17151,0.17151,1.847163,1.847163,1.0,0.017186519736458516
US,AAOI,2016-07-07,0.17151,0.17151,1.903761,1.903761,1.0,0.010357180339338815
US,AAOI,2016-07-08,0.17151,0.17151,1.938063,1.938063,1.0,0.013297941810973121
US,AAOI,2016-07-11,0.17151,0.17151,1.898616,1.898616,1.0,0.026794589236779198
US,AAOI,2016-07-12,0.17151,0.17151,1.982656,1.982656,1.0,0.020091306629351057
US,AAOI,2016-07-13,0.17151,0.17151,1.986086,1.986086,1.0,0.011798845548364526
US,AAOI,2016-07-14,0.17151,0.17151,1.982656,1.982656,1.0,0.012651682117660778
US,AAOI,2016-07-15,0.17151,0.17151,2.016958,2.016958,1.0,0.012525042271587662
US,AAOI,2016-07-18,0.17151,0.17151,2.016958,2.016958,1.0,0.012049151652964841
US,AAOI,2016-07-19,0.17151,0.17151,1.97408,1.97408,1.0,0.005693487260218063
US,AAOI,2016-07-20,0.17151,0.17151,2.034109,2.034109,1.0,0.014713952539210541
US,AAOI,2016-07-21,0.17151,0.17151,2.068411,2.068411,1.0,0.014245758264824208
US,AAOI,2016-07-22,0.17151,0.17151,2.099282,2.099282,1.0,0.009171301964900005
US,AAOI,2016-07-25,0.17151,0.17151,2.114718,2.114718,1.0,0.011139933531572502
US,AAOI,2016-07-26,0.17151,0.17151,2.173032,2.173032,1.0,0.01476071366101102
US,AAOI,2016-07-27,0.17151,0.17151,2.185037,2.185037,1.0,0.011722465162381202
US,AAOI,2016-07-28,0.17151,0.17151,2.097567,2.097567,1.0,0.010810156842166638
US,AAOI,2016-07-29,0.17151,0.17151,2.030678,2.030678,1.0,0.01770969622762521
US,AAOI,2016-08-01,0.17151,0.17151,2.075271,2.075271,1.0,0.022188910267622878
US,AAOI,2016-08-02,0.17151,0.17151,1.996376,1.996376,1.0,0.011625561191767244
US,AAOI,2016-08-03,0.17151,0.17151,2.104428,2.104428,1.0,0.014081394670864673
US,AAOI,2016-08-04,0.17151,0.17151,2.198758,2.198758,1.0,0.021440557401900765
US,AAOI,2016-08-05,0.17151,0.17151,2.536633,2.536633,1.0,0.08866503410879832
US,AAOI,2016-08-08,0.17151,0.17151,2.450878,2.450878,1.0,0.019783511165529708
US,AAOI,2016-08-09,0.17151,0.17151,2.395995,2.395995,1.0,0.023459040289195966
US,AAOI,2016-08-10,0.17151,0.17151,2.332536,2.332536,1.0,0.01735688881114804
US,AAOI,2016-08-11,0.17151,0.17151,2.323961,2.323961,1.0,0.0216894058655472
US,AAOI,2016-08-12,0.17151,0.17151,2.402855,2.402855,1.0,0.028814413153751967
US,AAOI,2016-08-15,0.17151,0.17151,2.406285,2.406285,1.0,0.014023905311643636
US,AAOI,2016-08-16,0.17151,0.17151,2.40114,2.40114,1.0,0.015459739956853827
US,AAOI,2016-08-17,0.17151,0.17151,2.282798,2.282798,1.0,0.014120517754066818
US,AAOI,2016-08-18,0.17151,0.17151,2.287943,2.287943,1.0,0.026143548481138125
US,AAOI,2016-08-19,0.17151,0.17151,2.356547,2.356547,1.0,0.016695527957553497
US,AAOI,2016-08-22,0.17151,0.17151,2.339396,2.339396,1.0,0.005903096029386041
US,AAOI,2016-08-23,0.17151,0.17151,2.40457,2.40457,1.0,0.010263658095737857
US,AAOI,2016-08-24,0.17151,0.17151,2.380559,2.380559,1.0,0.00838085242842983
US,AAOI,2016-08-25,0.17151,0.17151,2.763026,2.763026,1.0,0.10223345577517345
US,AAOI,2016-08-26,0.17151,0.17151,2.807619,2.807619,1.0,0.03556655588595417
US,AAOI,2016-08-29,0.17151,0.17151,2.889944,2.889944,1.0,0.03751588828639729
US,AAOI,2016-08-30,0.17151,0.17151,2.913955,2.913955,1.0,0.016021164946650342
US,AAOI,2016-08-31,0.17151,0.17151,2.889944,2.889944,1.0,0.02147647367500437
US,AAOI,2016-09-01,0.17151,0.17151,2.939681,2.939681,1.0,0.015153052300157425
US,AAOI,2016-09-02,0.17151,0.17151,3.00314,3.00314,1.0,0.02053186403125182
US,AAOI,2016-09-06,0.17151,0.17151,2.985989,2.985989,1.0,0.016681301381843625
US,AAOI,2016-09-07,0.17151,0.17151,3.404473,3.404473,1.0,0.10036621771325287
US,AAOI,2016-09-08,0.17151,0.17151,3.43363,3.43363,1.0,0.03133455775173459
US,AAOI,2016-09-09,0.17151,0.17151,3.366741,3.366741,1.0,0.03668066001982392
US,AAOI,2016-09-12,0.17151,0.17151,3.502234,3.502234,1.0,0.047283423707072475
US,AAOI,2016-09-13,0.17151,0.17151,3.481653,3.481653,1.0,0.023047694012010962
US,AAOI,2016-09-14,0.17151,0.17151,3.704616,3.704616,1.0,0.052092822575943096
US,AAOI,2016-09-15,0.17151,0.17151,3.713192,3.713192,1.0,0.03440283365401434
US,AAOI,2016-09-16,0.17151,0.17151,3.721767,3.721767,1.0,0.02620826773949041
US,AAOI,2016-09-19,0.17151,0.17151,3.778365,3.778365,1.0,0.02456399043787534
US,AAOI,2016-09-20,0.17151,0.17151,3.646303,3.646303,1.0,0.03681027345344295
US,AAOI,2016-09-21,0.17151,0.17151,3.732058,3.732058,1.0,0.02961745670806367
US,AAOI,2016-09-22,0.17151,0.17151,3.574268,3.574268,1.0,0.044219054282549124
US,AAOI,2016-09-23,0.17151,0.17151,3.625721,3.625721,1.0,0.024941344528015857
US,AAOI,2016-09-26,0.17151,0.17151,3.603425,3.603425,1.0,0.02387475948924261
US,AAOI,2016-09-27,0.17151,0.17151,3.654878,3.654878,1.0,0.014166171068742347
US,AAOI,2016-09-28,0.17151,0.17151,3.639442,3.639442,1.0,0.023247390822692553
US,AAOI,2016-09-29,0.17151,0.17151,3.59485,3.59485,1.0,0.010955629409363886
US,AAOI,2016-09-30,0.17631,0.17631,3.915845,3.915845,1.0,0.03609732856899779
US,AAOI,2016-10-03,0.17631,0.17631,3.780086,3.780086,1.0,0.01601661845612841
US,AAOI,2016-10-04,0.17631,0.17631,3.813585,3.813585,1.0,0.01487391526288923
US,AAOI,2016-10-05,0.17631,0.17631,4.100971,4.100971,1.0,0.043294651466167546
US,AAOI,2016-10-06,0.17631,0.17631,4.063945,4.063945,1.0,0.017998922352674265
US,AAOI,2016-10-07,0.17631,0.17631,4.005763,4.005763,1.0,0.009243378140774772
US,AAOI,2016-10-10,0.17631,0.17631,4.081576,4.081576,1.0,0.011264760932448529
US,AAOI,2016-10-11,0.17631,0.17631,3.885872,3.885872,1.0,0.020344166524870966
US,AAOI,2016-10-12,0.17631,0.17631,3.778323,3.778323,1.0,0.01974556179456639
US,AAOI,2016-10-13,0.17631,0.17631,3.55441,3.55441,1.0,0.02851364074641257
US,AAOI,2016-10-14,0.17631,0.17631,3.57733,3.57733,1.0,0.011743690091316431
US,AAOI,2016-10-17,0.17631,0.17631,3.531489,3.531489,1.0,0.008166354716125007
US,AAOI,2016-10-18,0.17631,0.17631,3.535016,3.535016,1.0,0.025161193352617548
US,AAOI,2016-10-19,0.17631,0.17631,3.578211,3.578211,1.0,0.013689524133628268
US,AAOI,2016-10-20,0.17631,0.17631,3.658432,3.658432,1.0,0.01105603766093812
US,AAOI,2016-10-21,0.17631,0.17631,3.625815,3.625815,1.0,0.010278940502523964
US,AAOI,2016-10-24,0.17631,0.17631,3.806533,3.806533,1.0,0.012260677216266802
US,AAOI,2016-10-25,0.17631,0.17631,3.728956,3.728956,1.0,0.008094379218422097
US,AAOI,2016-10-26,0.17631,0.17631,3.771271,3.771271,1.0,0.007437071068005218
US,AAOI,2016-10-27,0.17631,0.17631,3.524437,3.524437,1.0,0.01967846406896943
US,AAOI,2016-10-28,0.17631,0.17631,3.471544,3.471544,1.0,0.008880664738245137
US,AAOI,2016-10-31,0.17631,0.17631,3.390441,3.390441,1.0,0.018870171856389315
US,AAOI,2016-11-01,0.17631,0.17631,3.376336,3.376336,1.0,0.014133344676989394
US,AAOI,2016-11-02,0.17631,0.17631,3.543831,3.543831,1.0,0.03474187510634678
US,AAOI,2016-11-03,0.17631,0.17631,3.676064,3.676064,1.0,0.028668765243037832
US,AAOI,2016-11-04,0.17631,0.17631,3.817112,3.817112,1.0,0.08698026203845499
US,AAOI,2016-11-07,0.17631,0.17631,4.143285,4.143285,1.0,0.050175202767852076
US,AAOI,2016-11-08,0.17631,0.17631,4.012816,4.012816,1.0,0.0400716351880211
US,AAOI,2016-11-09,0.17631,0.17631,4.152101,4.152101,1.0,0.025153933412738926
US,AAOI,2016-11-10,0.17631,0.17631,4.15739,4.15739,1.0,0.02693778004650899
US,AAOI,2016-11-11,0.17631,0.17631,4.402461,4.402461,1.0,0.039959503147864554
US,AAOI,2016-11-14,0.17631,0.17631,4.337226,4.337226,1.0,0.031064545402983382
US,AAOI,2016-11-15,0.17631,0.17631,4.354857,4.354857,1.0,0.025140264307186206
US,AAOI,2016-11-16,0.17631,0.17631,4.598165,4.598165,1.0,0.03601695876581022
US,AAOI,2016-11-17,0.17631,0.17631,4.610506,4.610506,1.0,0.030189098746526005
US,AAOI,2016-11-18,0.17631,0.17631,4.695135,4.695135,1.0,0.02149798650104929
US,AAOI,2016-11-21,0.17631,0.17631,4.621085,4.621085,1.0,0.01710158244002042
US,AAOI,2016-11-22,0.17631,0.17631,4.58406,4.58406,1.0,0.08561028869604674
US,AAOI,2016-11-23,0.17631,0.17631,4.434196,4.434196,1.0,0.031728603028756165
US,AAOI,2016-11-25,0.17631,0.17631,4.490616,4.490616,1.0,0.008707787419885428
US,AAOI,2016-11-28,0.17631,0.17631,4.432433,4.432433,1.0,0.012417616697861721
US,AAOI,2016-11-29,0.17631,0.17631,4.414802,4.414802,1.0,0.017094606091543306
