country,code,time,open,high,low,close,volume,amount
US,AAOI,2016-06-13,10.17,10.55,9.9,9.95,340580.0,3443263.8
US,AAOI,2016-06-14,9.87,10.33,9.78,9.95,353544.0,3514227.36
US,AAOI,2016-06-15,9.9,10.54,9.86,10.19,293021.0,3000535.04
US,AAOI,2016-06-16,10.14,10.19,9.8,10.15,499587.0,5025845.22
US,AAOI,2016-06-17,10.25,10.26,9.85,9.87,412495.0,4137324.85
US,AAOI,2016-06-20,10.28,10.67,10.17,10.2,327658.0,3401090.04
US,AAOI,2016-06-21,10.25,10.265,9.92,10.1,152430.0,1533445.8
US,AAOI,2016-06-22,10.1,10.35,10.06,10.3,279055.0,2865894.85
US,AAOI,2016-06-23,10.39,10.53,10.29,10.51,227033.0,2367954.19
US,AAOI,2016-06-24,9.86,9.9658,9.7,9.82,589602.0,5783995.62
US,AAOI,2016-06-27,9.77,9.77,9.07,9.2,452869.0,4202624.32
US,AAOI,2016-06-28,9.53,9.92,9.52,9.9,204560.0,2004688.0
US,AAOI,2016-06-29,10.18,10.4886,10.0,10.4,210614.0,2171430.34
US,AAOI,2016-06-30,10.44,11.17,10.44,11.15,399801.0,4381818.96
US,AAOI,2016-07-01,11.1,11.5,10.96,11.22,196282.0,2217986.6
US,AAOI,2016-07-05,11.07,11.07,10.37,10.6,283695.0,3012840.9
US,AAOI,2016-07-06,10.44,11.005,10.34,10.77,294766.0,3165786.84
US,AAOI,2016-07-07,10.82,11.2,10.82,11.1,177636.0,1961101.44
US,AAOI,2016-07-08,11.2,11.48,11.19,11.3,228073.0,2584067.09
US,AAOI,2016-07-11,11.49,11.53,10.86,11.07,459554.0,5119431.56
US,AAOI,2016-07-12,11.24,11.6,10.78,11.56,344586.0,3945509.7
US,AAOI,2016-07-13,11.62,11.79,11.52,11.58,202362.0,2359540.92
US,AAOI,2016-07-14,11.71,11.785,11.451,11.56,216989.0,2514902.51
US,AAOI,2016-07-15,11.65,11.88,11.384,11.76,214817.0,2526247.92
US,AAOI,2016-07-18,11.9,12.05,11.66,11.76,206655.0,2446795.2
US,AAOI,2016-07-19,11.73,11.78,11.5,11.51,97649.0,1131751.91
US,AAOI,2016-07-20,11.94,11.95,11.51,11.86,252359.0,2987930.56
US,AAOI,2016-07-21,11.86,12.21,11.7512,12.06,244329.0,2944164.45
US,AAOI,2016-07-22,12.11,12.27,12.02,12.24,157297.0,1919023.4
US,AAOI,2016-07-25,12.27,12.49,12.165,12.33,191061.0,2361513.96
US,AAOI,2016-07-26,12.36,12.79,12.36,12.67,253161.0,3197423.43
US,AAOI,2016-07-27,13.31,13.52,12.51,12.74,201052.0,2549339.36
US,AAOI,2016-07-28,12.6,12.78,12.22,12.23,185405.0,2300876.05
US,AAOI,2016-07-29,12.23,12.28,11.77,11.84,303739.0,3626643.66
US,AAOI,2016-08-01,11.75,12.21,11.75,12.1,380562.0,4597188.96
US,AAOI,2016-08-02,12.12,12.3,11.6,11.64,199390.0,2362771.5
US,AAOI,2016-08-03,11.79,12.365,11.67,12.27,241510.0,2941591.8
US,AAOI,2016-08-04,12.28,12.889,12.28,12.82,367727.0,4677487.44
US,AAOI,2016-08-05,14.66,15.25,14.02,14.79,1520694.0,22430236.5
US,AAOI,2016-08-08,14.79,14.94,14.2,14.29,339307.0,4879234.66
US,AAOI,2016-08-09,14.25,14.41,13.93,13.97,402346.0,5681125.52
US,AAOI,2016-08-10,14.09,14.09,13.46,13.6,297688.0,4060464.32
US,AAOI,2016-08-11,13.74,13.82,13.47,13.55,371995.0,5047972.15
US,AAOI,2016-08-12,13.58,14.05,13.43,14.01,494196.0,6780369.12
US,AAOI,2016-08-15,14.05,14.18,13.85,14.03,240524.0,3372146.48
US,AAOI,2016-08-16,14.02,14.18,13.92,14.0,265150.0,3728009.0
US,AAOI,2016-08-17,13.97,13.97,13.27,13.31,242181.0,3264599.88
US,AAOI,2016-08-18,13.17,13.437,13.06,13.34,448388.0,5936657.12
US,AAOI,2016-08-19,13.33,13.82,13.08,13.74,286345.0,3879974.75
US,AAOI,2016-08-22,13.66,13.68,13.3422,13.64,101244.0,1374893.52
US,AAOI,2016-08-23,13.82,14.19,13.74,14.02,176032.0,2473249.6
US,AAOI,2016-08-24,13.97,14.2279,13.86,13.88,143740.0,2013797.4
US,AAOI,2016-08-25,15.35,16.43,14.66,16.11,1753406.0,27475872.02
US,AAOI,2016-08-26,16.0,16.42,15.59,16.37,610002.0,9814932.18
US,AAOI,2016-08-29,16.47,17.17,16.09,16.85,643435.0,10764667.55
US,AAOI,2016-08-30,15.93,17.08,15.93,16.99,274779.0,4649260.68
US,AAOI,2016-08-31,17.06,17.25,16.67,16.85,368343.0,6236046.99
US,AAOI,2016-09-01,16.94,17.45,16.64,17.14,259890.0,4438921.2
US,AAOI,2016-09-02,17.36,17.85,17.17,17.51,352142.0,6194177.78
US,AAOI,2016-09-06,17.39,17.64,17.04,17.41,286101.0,4969574.37
US,AAOI,2016-09-07,21.15,21.18,19.58,19.85,1721381.0,34926820.49
US,AAOI,2016-09-08,20.4,20.4,19.64,20.02,537419.0,10796747.71
US,AAOI,2016-09-09,20.1,20.53,19.57,19.63,629110.0,12569617.8
US,AAOI,2016-09-12,19.31,20.63,18.7,20.42,810958.0,16162392.94
US,AAOI,2016-09-13,20.07,20.46,19.67,20.3,395291.0,7945349.1
US,AAOI,2016-09-14,20.23,21.72,20.05,21.6,893444.0,18851668.4
US,AAOI,2016-09-15,21.64,22.32,21.31,21.65,590043.0,12892439.55
US,AAOI,2016-09-16,21.41,21.75,20.91,21.7,449498.0,9610267.24
US,AAOI,2016-09-19,21.81,22.3,21.66,22.03,421297.0,9243256.18
US,AAOI,2016-09-20,22.1,22.18,20.65,21.26,631333.0,13466332.89
US,AAOI,2016-09-21,21.32,21.81,21.2,21.76,507969.0,10926413.19
US,AAOI,2016-09-22,22.0,22.47,20.63,20.84,758401.0,16123605.26
US,AAOI,2016-09-23,20.76,21.54,20.7,21.14,427769.0,9025925.9
US,AAOI,2016-09-26,21.11,21.6,20.85,21.01,409476.0,8721838.8
US,AAOI,2016-09-27,21.04,21.49,21.04,21.31,242964.0,5170273.92
US,AAOI,2016-09-28,21.35,21.62,20.96,21.22,398716.0,8420881.92
US,AAOI,2016-09-29,21.22,21.32,20.9,20.96,187900.0,3964690.0
US,AAOI,2016-09-30,20.77,22.4,20.77,22.21,636432.0,13963318.08
US,AAOI,2016-10-03,22.0,22.08,21.13,21.44,282389.0,6060067.94
US,AAOI,2016-10-04,21.58,22.03,21.265,21.63,262242.0,5648692.68
US,AAOI,2016-10-05,22.06,24.18,21.786,23.26,763328.0,17884775.04
US,AAOI,2016-10-06,23.02,23.4,22.9101,23.05,317339.0,7352744.63
US,AAOI,2016-10-07,23.05,23.1,22.62,22.72,162970.0,3720605.1
US,AAOI,2016-10-10,23.04,23.35,22.93,23.15,198609.0,4593826.17
US,AAOI,2016-10-11,23.08,23.2,21.82,22.04,358688.0,7955699.84
US,AAOI,2016-10-12,22.0,22.0624,20.57,21.43,348134.0,7418735.54
US,AAOI,2016-10-13,21.2,21.2,19.83,20.16,502724.0,10185188.24
US,AAOI,2016-10-14,20.4,21.22,20.17,20.29,207053.0,4250798.09
US,AAOI,2016-10-17,20.25,20.338,20.0,20.03,143981.0,2895457.91
US,AAOI,2016-10-18,20.1,20.36,19.814,20.05,443617.0,8938882.55
US,AAOI,2016-10-19,20.01,20.33,19.98,20.295,241360.0,4885126.4
US,AAOI,2016-10-20,20.13,21.03,20.13,20.75,194929.0,4015537.4
US,AAOI,2016-10-21,20.63,20.71,20.2197,20.565,181228.0,3724235.4
US,AAOI,2016-10-24,20.72,21.61,20.662,21.59,216168.0,4615186.8
US,AAOI,2016-10-25,21.52,21.6134,20.83,21.15,142712.0,3011223.2
US,AAOI,2016-10-26,21.25,21.869,20.975,21.39,131123.0,2817833.27
US,AAOI,2016-10-27,21.63,21.89,19.91,19.99,346951.0,7081269.91
US,AAOI,2016-10-28,19.8,20.37,19.55,19.69,156575.0,3115842.5
US,AAOI,2016-10-31,19.5,20.01,19.15,19.23,332700.0,6477669.0
US,AAOI,2016-11-01,19.25,19.86,18.85,19.15,249185.0,4796811.25
US,AAOI,2016-11-02,19.51,21.1,19.205,20.1,612534.0,12520194.96
US,AAOI,2016-11-03,20.5,21.01,19.7168,20.85,505459.0,10483219.66
US,AAOI,2016-11-04,23.3,23.3,20.63,21.65,1533549.0,33186000.36
US,AAOI,2016-11-07,22.25,23.67,22.0544,23.5,884639.0,20497085.63
US,AAOI,2016-11-08,23.18,23.37,22.01,22.76,706503.0,16185983.73
US,AAOI,2016-11-09,22.0,23.78,21.66,23.55,443489.0,10306684.36
US,AAOI,2016-11-10,23.62,24.0657,22.73,23.58,474940.0,11208584.0
US,AAOI,2016-11-11,23.25,25.2,23.25,24.97,704526.0,17310203.82
US,AAOI,2016-11-14,25.22,25.5,24.47,24.6,547699.0,13670567.04
US,AAOI,2016-11-15,24.14,25.27,24.03,24.7,443248.0,10996982.88
US,AAOI,2016-11-16,25.3,26.09,24.7,26.08,635015.0,16294484.9
US,AAOI,2016-11-17,25.98,26.15,25.36,26.15,532264.0,13748379.12
US,AAOI,2016-11-18,26.13,26.87,25.9,26.63,379031.0,10086014.91
US,AAOI,2016-11-21,26.9,27.28,25.54,26.21,301518.0,7893741.24
US,AAOI,2016-11-22,26.2,26.43,24.85,26.0,1509395.0,37991472.15
US,AAOI,2016-11-23,25.85,25.85,24.85,25.15,559407.0,14136214.89
US,AAOI,2016-11-25,25.14,25.5,25.0601,25.47,153527.0,3891909.45
US,AAOI,2016-11-28,25.3,25.5701,24.92,25.14,218935.0,5510593.95
US,AAOI,2016-11-29,25.07,25.41,24.95,25.04,301395.0,7580084.25
US,AAOI,2016-11-30,25.18,25.6235,24.64,24.77,285882.0,7107026.52
US,AAOI,2016-12-01,24.79,25.11,23.21,23.395,374401.0,8936951.87
US,AAOI,2016-12-02,23.4,23.74,22.9035,23.27,456612.0,10607096.76
US,AAOI,2016-12-05,23.27,24.0,23.14,23.9,424341.0,10069611.93
US,AAOI,2016-12-06,23.93,23.93,22.92,23.4,280357.0,6549139.52
US,AAOI,2016-12-07,23.65,24.55,23.63,24.39,552097.0,13338663.52
US,AAOI,2016-12-08,24.5,25.33,24.3975,24.9,359541.0,8948975.49
US,AAOI,2016-12-09,25.58,26.26,24.23,24.74,581835.0,14545875.0
US,AAOI,2016-12-12,24.7,24.94,23.73,24.13,260992.0,6331665.92
