country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,AAPL,2016,Q3,2016-06-25,USD,42358000000.0,26252000000.0,3441000000.0,6001000000.0,10878000000.0,2526000000.0,627000000.0,10469000000.0,7796000000.0,21772232000.0,21891124000.0,18237000000.0,43519000000.0,93761000000.0,25448000000.0,211841000000.0,71486000000.0,107575000000.0,30106000000.0,96542000000.0,126541000000.0,-2952000000.0,-3575000000.0,111000000.0,10634000000.0,-4470000000.0,-9441000000.0,-3277000000.0,21514000000.0,-2905000000.0
US,AAPL,2016,Q4,2016-09-24,USD,46852000000.0,29039000000.0,3482000000.0,6052000000.0,12638000000.0,2548000000.0,586000000.0,12188000000.0,9014000000.0,21467648000.0,21573332000.0,20484000000.0,46671000000.0,106869000000.0,27010000000.0,214817000000.0,79006000000.0,114431000000.0,31251000000.0,96364000000.0,128249000000.0,3787000000.0,2932000000.0,0.0,16126000000.0,-7397000000.0,-6482000000.0,2247000000.0,18237000000.0,-4038000000.0
US,AAPL,2017,Q1,2016-12-31,USD,78351000000.0,48175000000.0,3946000000.0,6817000000.0,24705000000.0,2987000000.0,699000000.0,24180000000.0,17891000000.0,21194644000.0,21311980000.0,16371000000.0,44081000000.0,103332000000.0,26510000000.0,227809000000.0,84130000000.0,114621000000.0,32144000000.0,100001000000.0,132390000000.0,3922000000.0,720000000.0,-274000000.0,27234000000.0,-19122000000.0,-12225000000.0,-4113000000.0,20484000000.0,-3420000000.0
US,AAPL,2017,Q2,2017-04-01,USD,52896000000.0,32305000000.0,3718000000.0,6494000000.0,15214000000.0,2332000000.0,752000000.0,14684000000.0,11029000000.0,20903164000.0,21046752000.0,15157000000.0,51944000000.0,101990000000.0,27163000000.0,232542000000.0,73342000000.0,127108000000.0,33579000000.0,100925000000.0,134082000000.0,-3443000000.0,-1296000000.0,65000000.0,12570000000.0,-14202000000.0,418000000.0,-1214000000.0,16371000000.0,-3015000000.0
US,AAPL,2017,Q3,2017-07-01,USD,45408000000.0,27920000000.0,3783000000.0,6720000000.0,11910000000.0,2354000000.0,725000000.0,11308000000.0,8717000000.0,20780352000.0,20933996000.0,18571000000.0,58188000000.0,112875000000.0,29286000000.0,232298000000.0,81302000000.0,131446000000.0,34445000000.0,98525000000.0,132425000000.0,-5601000000.0,-5013000000.0,67000000.0,8672000000.0,-3180000000.0,-2078000000.0,3414000000.0,15157000000.0,-2360000000.0
US,AAPL,2017,Q4,2017-09-30,USD,52579000000.0,32648000000.0,3814000000.0,6811000000.0,14583000000.0,2484000000.0,702000000.0,13917000000.0,10714000000.0,20597712000.0,20734340000.0,20289000000.0,53892000000.0,128645000000.0,33783000000.0,246674000000.0,100814000000.0,140458000000.0,35867000000.0,98330000000.0,134047000000.0,106000000.0,25000000.0,-24000000.0,15656000000.0,-9942000000.0,-3996000000.0,1718000000.0,18571000000.0,-4000000000.0
US,AAPL,2018,Q1,2017-12-30,USD,88293000000.0,54381000000.0,4231000000.0,7638000000.0,27764000000.0,2745000000.0,718000000.0,27030000000.0,20065000000.0,20451508000.0,20631148000.0,27491000000.0,49662000000.0,143810000000.0,33679000000.0,262984000000.0,115788000000.0,150807000000.0,36447000000.0,104593000000.0,140199000000.0,37935000000.0,40129000000.0,-11000000.0,28293000000.0,-13590000000.0,-7501000000.0,7202000000.0,20289000000.0,-2810000000.0
US,AAPL,2018,Q2,2018-03-31,USD,61137000000.0,37715000000.0,4150000000.0,7528000000.0,16960000000.0,2739000000.0,713000000.0,16168000000.0,13822000000.0,20099508000.0,20273972000.0,45059000000.0,42881000000.0,130053000000.0,35077000000.0,237449000000.0,89320000000.0,151304000000.0,38044000000.0,91898000000.0,126878000000.0,-2141000000.0,-2762000000.0,-140000000.0,15130000000.0,28710000000.0,-26272000000.0,17568000000.0,27491000000.0,-4195000000.0
US,AAPL,2018,Q3,2018-06-30,USD,53265000000.0,32844000000.0,4108000000.0,7809000000.0,14130000000.0,2665000000.0,572000000.0,13284000000.0,11519000000.0,19528668000.0,19706436000.0,31971000000.0,38999000000.0,115761000000.0,38117000000.0,233436000000.0,88548000000.0,145700000000.0,38624000000.0,79436000000.0,114949000000.0,-1914000000.0,-1255000000.0,-259000000.0,14488000000.0,3947000000.0,-31523000000.0,-13088000000.0,45059000000.0,-3267000000.0
US,AAPL,2018,Q4,2018-09-29,USD,62900000000.0,38816000000.0,4216000000.0,7966000000.0,17289000000.0,2754000000.0,443000000.0,16421000000.0,14125000000.0,19206356000.0,19390188000.0,25913000000.0,40388000000.0,131339000000.0,41304000000.0,234386000000.0,115929000000.0,142649000000.0,40201000000.0,70400000000.0,107147000000.0,814000000.0,1182000000.0,-34000000.0,19523000000.0,-3001000000.0,-22580000000.0,-6058000000.0,31971000000.0,-3041000000.0
