country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,AAPL,2016-06-13,54.43058,54.43058,5299.361269,5299.361269,0.2276503595,0.006985135929104559
US,AAPL,2016-06-14,54.43058,54.43058,5305.892938,5305.892938,0.2276503595,0.005866544872386074
US,AAPL,2016-06-15,54.43058,54.43058,5288.475153,5288.475153,0.2276503595,0.005409684592741801
US,AAPL,2016-06-16,54.43058,54.43058,5310.247385,5310.247385,0.2276503595,0.005755370418613948
US,AAPL,2016-06-17,54.43058,54.43058,5188.322886,5188.322886,0.2276503595,0.011208445509858613
US,AAPL,2016-06-20,54.43058,54.43058,5177.43677,5177.43677,0.2276503595,0.006322163203111192
US,AAPL,2016-06-21,54.43058,54.43058,5220.981234,5220.981234,0.2276503595,0.006530593647908951
US,AAPL,2016-06-22,54.43058,54.43058,5201.386225,5201.386225,0.2276503595,0.005368144524640377
US,AAPL,2016-06-23,54.43058,54.43058,5231.86735,5231.86735,0.2276503595,0.005923177743099559
US,AAPL,2016-06-24,54.43058,54.43058,5083.816172,5083.816172,0.2276503595,0.013836229560662407
US,AAPL,2016-06-27,53.66912,53.66912,4939.705805,4939.705805,0.2276503595,0.00868696710510625
US,AAPL,2016-06-28,53.66912,53.66912,5023.429632,5023.429632,0.2276503595,0.007535974877173317
US,AAPL,2016-06-29,53.66912,53.66912,5066.364928,5066.364928,0.2276503595,0.006806708587731642
US,AAPL,2016-06-30,53.66912,53.66912,5130.767872,5130.767872,0.2276503595,0.006677284814805982
US,AAPL,2016-07-01,53.66912,53.66912,5145.795226,5145.795226,0.2276503595,0.004849444149633905
US,AAPL,2016-07-05,53.66912,53.66912,5098.5664,5098.5664,0.2276503595,0.005162225503231654
US,AAPL,2016-07-06,53.66912,53.66912,5126.474342,5126.474342,0.2276503595,0.005766649425218822
US,AAPL,2016-07-07,53.66912,53.66912,5150.088755,5150.088755,0.2276503595,0.004684183381430514
US,AAPL,2016-07-08,53.66912,53.66912,5188.730522,5188.730522,0.2276503595,0.0053871021175677936
US,AAPL,2016-07-11,53.66912,53.66912,5205.90464,5205.90464,0.2276503595,0.004433638002635408
US,AAPL,2016-07-12,53.66912,53.66912,5229.519053,5229.519053,0.2276503595,0.004503055015621646
US,AAPL,2016-07-13,53.66912,53.66912,5199.464346,5199.464346,0.2276503595,0.004824412995778578
US,AAPL,2016-07-14,53.66912,53.66912,5302.509056,5302.509056,0.2276503595,0.007251656073362112
US,AAPL,2016-07-15,53.66912,53.66912,5302.509056,5302.509056,0.2276503595,0.005615333361158149
US,AAPL,2016-07-18,53.66912,53.66912,5358.324941,5358.324941,0.2276503595,0.006799794742302464
US,AAPL,2016-07-19,53.66912,53.66912,5360.471706,5360.471706,0.2276503595,0.0044308391864819096
US,AAPL,2016-07-20,53.66912,53.66912,5364.765235,5364.765235,0.2276503595,0.004895925254597057
US,AAPL,2016-07-21,53.66912,53.66912,5336.857293,5336.857293,0.2276503595,0.006093267040711679
US,AAPL,2016-07-22,53.66912,53.66912,5296.068762,5296.068762,0.2276503595,0.005275603550048892
US,AAPL,2016-07-25,53.66912,53.66912,5225.225523,5225.225523,0.2276503595,0.007524423914534093
US,AAPL,2016-07-26,53.66912,53.66912,5188.730522,5188.730522,0.2276503595,0.010478990898304277
US,AAPL,2016-07-27,53.66912,53.66912,5525.772595,5525.772595,0.2276503595,0.017206322742016264
US,AAPL,2016-07-28,53.66912,53.66912,5600.909363,5600.909363,0.2276503595,0.007428822943249302
US,AAPL,2016-07-29,53.66912,53.66912,5592.322304,5592.322304,0.2276503595,0.005167533956211692
US,AAPL,2016-08-01,53.66912,53.66912,5691.073485,5691.073485,0.2276503595,0.007111705949342937
US,AAPL,2016-08-02,53.66912,53.66912,5607.349658,5607.349658,0.2276503595,0.006300941770612225
US,AAPL,2016-08-03,53.66912,53.66912,5678.192896,5678.192896,0.2276503595,0.00562756404427723
US,AAPL,2016-08-04,53.66912,53.66912,5682.486426,5682.486426,0.2288834746,0.0051069777182856735
US,AAPL,2016-08-05,53.66912,53.66912,5768.357018,5768.357018,0.2288834746,0.0075561891083736794
US,AAPL,2016-08-08,53.66912,53.66912,5815.585843,5815.585843,0.2288834746,0.005224087892628014
US,AAPL,2016-08-09,53.66912,53.66912,5839.200256,5839.200256,0.2288834746,0.004903230013832908
US,AAPL,2016-08-10,53.66912,53.66912,5796.26496,5796.26496,0.2288834746,0.004473429972393809
US,AAPL,2016-08-11,53.66912,53.66912,5791.97143,5791.97143,0.2288834746,0.005121102414200196
US,AAPL,2016-08-12,53.66912,53.66912,5806.998784,5806.998784,0.2288834746,0.0034769405572515444
US,AAPL,2016-08-15,53.66912,53.66912,5875.695258,5875.695258,0.2288834746,0.004819942827458322
US,AAPL,2016-08-16,53.66912,53.66912,5871.401728,5871.401728,0.2288834746,0.006296814257435188
US,AAPL,2016-08-17,53.66912,53.66912,5862.814669,5862.814669,0.2288834746,0.004724504519544945
US,AAPL,2016-08-18,53.66912,53.66912,5854.22761,5854.22761,0.2288834746,0.004096341248002576
US,AAPL,2016-08-19,53.66912,53.66912,5869.254963,5869.254963,0.2288834746,0.004726759074864652
US,AAPL,2016-08-22,53.66912,53.66912,5824.172902,5824.172902,0.2288834746,0.004811003049798469
US,AAPL,2016-08-23,53.66912,53.66912,5841.347021,5841.347021,0.2288834746,0.003960881042953565
US,AAPL,2016-08-24,53.66912,53.66912,5798.411725,5798.411725,0.2288834746,0.004411307656991581
US,AAPL,2016-08-25,53.66912,53.66912,5772.650547,5772.650547,0.2288834746,0.004674242469412579
US,AAPL,2016-08-26,53.66912,53.66912,5740.449075,5740.449075,0.2288834746,0.0051736082126928856
US,AAPL,2016-08-29,53.66912,53.66912,5734.008781,5734.008781,0.2288834746,0.004652638239643206
US,AAPL,2016-08-30,53.66912,53.66912,5688.92672,5688.92672,0.2288834746,0.004632821443690524
US,AAPL,2016-08-31,53.66912,53.66912,5695.367014,5695.367014,0.2288834746,0.005526903739058885
US,AAPL,2016-09-01,53.66912,53.66912,5727.568486,5727.568486,0.2288834746,0.004975211630077035
US,AAPL,2016-09-02,53.66912,53.66912,5781.237606,5781.237606,0.2288834746,0.004994026360037206
US,AAPL,2016-09-06,53.66912,53.66912,5781.237606,5781.237606,0.2288834746,0.005008541224450857
US,AAPL,2016-09-07,53.66912,53.66912,5815.585843,5815.585843,0.2288834746,0.007893613310596485
US,AAPL,2016-09-08,53.66912,53.66912,5663.165542,5663.165542,0.2288834746,0.009875702452359941
US,AAPL,2016-09-09,53.66912,53.66912,5534.359654,5534.359654,0.2288834746,0.008674820828066494
US,AAPL,2016-09-12,53.66912,53.66912,5658.872013,5658.872013,0.2288834746,0.00843926637887858
US,AAPL,2016-09-13,53.66912,53.66912,5794.118195,5794.118195,0.2288834746,0.011585097724725131
US,AAPL,2016-09-14,53.66912,53.66912,5998.060851,5998.060851,0.2288834746,0.0209320216169
US,AAPL,2016-09-15,53.66912,53.66912,6202.003507,6202.003507,0.2288834746,0.01688367109429035
US,AAPL,2016-09-16,53.66912,53.66912,6167.65527,6167.65527,0.2288834746,0.014885079352894178
US,AAPL,2016-09-19,53.66912,53.66912,6096.812032,6096.812032,0.2288834746,0.00876165772794486
US,AAPL,2016-09-20,53.66912,53.66912,6094.665267,6094.665267,0.2288834746,0.0064309420389229415
US,AAPL,2016-09-21,53.66912,53.66912,6094.665267,6094.665267,0.2288834746,0.006708364139378473
US,AAPL,2016-09-22,53.66912,53.66912,6152.627917,6152.627917,0.2288834746,0.005789921653271006
US,AAPL,2016-09-23,53.66912,53.66912,6049.583206,6049.583206,0.2288834746,0.009778658565670539
US,AAPL,2016-09-26,52.98661,52.98661,5981.128537,5981.128537,0.2288834746,0.005637167956206294
US,AAPL,2016-09-27,52.98661,52.98661,5991.725859,5991.725859,0.2288834746,0.00464408121221569
US,AAPL,2016-09-28,52.98661,52.98661,6038.354076,6038.354076,0.2288834746,0.0055940736725750145
US,AAPL,2016-09-29,52.98661,52.98661,5945.097642,5945.097642,0.2288834746,0.006772843176795043
US,AAPL,2016-09-30,52.98661,52.98661,5989.606394,5989.606394,0.2288834746,0.006865716829214022
US,AAPL,2016-10-03,52.98661,52.98661,5962.053357,5962.053357,0.2288834746,0.0040957139926483315
US,AAPL,2016-10-04,52.98661,52.98661,5987.48693,5987.48693,0.2288834746,0.0056121414447914296
US,AAPL,2016-10-05,52.98661,52.98661,5989.606394,5989.606394,0.2288834746,0.004048777606266942
US,AAPL,2016-10-06,52.98661,52.98661,6034.115147,6034.115147,0.2288834746,0.00543143126159609
US,AAPL,2016-10-07,52.98661,52.98661,6044.712469,6044.712469,0.2288834746,0.0045970940582913304
US,AAPL,2016-10-10,52.98661,52.98661,6148.566224,6148.566224,0.2288834746,0.00683870887380793
US,AAPL,2016-10-11,52.98661,52.98661,6163.402475,6163.402475,0.2288834746,0.012086269153659764
US,AAPL,2016-10-12,52.98661,52.98661,6218.50855,6218.50855,0.2288834746,0.007093641204825143
US,AAPL,2016-10-13,52.98661,52.98661,6199.43337,6199.43337,0.2288834746,0.006641754586677653
US,AAPL,2016-10-14,52.98661,52.98661,6233.3448,6233.3448,0.2288834746,0.006728530094678636
US,AAPL,2016-10-17,52.98661,52.98661,6229.105872,6229.105872,0.2288834746,0.004458654743151147
US,AAPL,2016-10-18,52.98661,52.98661,6224.866943,6224.866943,0.2288834746,0.004633906566206066
US,AAPL,2016-10-19,52.98661,52.98661,6205.791763,6205.791763,0.2288834746,0.0037810684623907813
US,AAPL,2016-10-20,52.98661,52.98661,6203.672299,6203.672299,0.2288834746,0.0045531882488802355
US,AAPL,2016-10-21,52.98661,52.98661,6178.238726,6178.238726,0.2288834746,0.004377086965933469
US,AAPL,2016-10-24,52.98661,52.98661,6233.3448,6233.3448,0.2288834746,0.00444238648216974
US,AAPL,2016-10-25,52.98661,52.98661,6265.136766,6265.136766,0.2288834746,0.009083238199235618
US,AAPL,2016-10-26,52.98661,52.98661,6125.252116,6125.252116,0.2288834746,0.012481307824750442
US,AAPL,2016-10-27,52.98661,52.98661,6065.907113,6065.907113,0.2288834746,0.006522788493168368
US,AAPL,2016-10-28,52.98661,52.98661,6025.637289,6025.637289,0.2288834746,0.007145522236655638
US,AAPL,2016-10-31,52.98661,52.98661,6017.159432,6017.159432,0.2288834746,0.004986052136568088
US,AAPL,2016-11-01,52.98661,52.98661,5906.947283,5906.947283,0.2288834746,0.008271110757982064
US,AAPL,2016-11-02,52.98661,52.98661,5913.305676,5913.305676,0.2288834746,0.005346956334817419
US,AAPL,2016-11-03,52.98661,52.98661,5820.049242,5820.049242,0.2300585046,0.005082907172208224
US,AAPL,2016-11-04,52.98661,52.98661,5767.062632,5767.062632,0.2300585046,0.005819772202826336
US,AAPL,2016-11-07,52.98661,52.98661,5849.721744,5849.721744,0.2300585046,0.006144948695528927
US,AAPL,2016-11-08,52.98661,52.98661,5885.752639,5885.752639,0.2300585046,0.0045774205973924354
US,AAPL,2016-11-09,52.98661,52.98661,5875.155317,5875.155317,0.2300585046,0.01116818003642807
US,AAPL,2016-11-10,52.98661,52.98661,5711.956558,5711.956558,0.2300585046,0.010782826264975245
US,AAPL,2016-11-11,52.98661,52.98661,5745.867988,5745.867988,0.2300585046,0.0064438732728891316
US,AAPL,2016-11-14,52.98661,52.98661,5601.744409,5601.744409,0.2300585046,0.009658195532795927
US,AAPL,2016-11-15,52.98661,52.98661,5675.925663,5675.925663,0.2300585046,0.006089181776301598
US,AAPL,2016-11-16,52.98661,52.98661,5828.5271,5828.5271,0.2300585046,0.011104790814132098
US,AAPL,2016-11-17,52.98661,52.98661,5826.407636,5826.407636,0.2300585046,0.005214902972656677
US,AAPL,2016-11-18,52.98661,52.98661,5832.766029,5832.766029,0.2300585046,0.005365302101795152
US,AAPL,2016-11-21,52.98661,52.98661,5919.664069,5919.664069,0.2300585046,0.005523017985109823
