country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,ADBE,2016,Q3,2016-09-02,USD,1463967000.0,202701000.0,621177000.0,891941000.0,369325000.0,84014000.0,-5432000.0,356301000.0,270788000.0,498584000.0,503669000.0,767672000.0,3678726000.0,5418710000.0,811524000.0,6948731000.0,2505666000.0,2583829000.0,61000.0,7714904000.0,7277946000.0,80051000.0,80051000.0,5218000.0,517885000.0,-306588000.0,-324957000.0,-118707000.0,886379000.0,-55213000.0
US,ADBE,2016,Q4,2016-12-02,USD,1608419000.0,216556000.0,643519000.0,919868000.0,472280000.0,81860000.0,-4188000.0,456700000.0,399613000.0,495641000.0,501176000.0,1011315000.0,3749985000.0,5839774000.0,816264000.0,6857472000.0,2811635000.0,2460776000.0,61000.0,8114517000.0,7424835000.0,127369000.0,127369000.0,19171000.0,695601000.0,-143098000.0,-300469000.0,243643000.0,767672000.0,-48633000.0
US,ADBE,2017,Q1,2017-03-03,USD,1681646000.0,237337000.0,671105000.0,975310000.0,468999000.0,80809000.0,-3973000.0,460632000.0,398446000.0,494612000.0,500861000.0,1068896000.0,3578721000.0,5755562000.0,821730000.0,7289221000.0,2954069000.0,2502024000.0,61000.0,8299362000.0,7588690000.0,153826000.0,153826000.0,-61336000.0,730370000.0,-338882000.0,-331495000.0,57581000.0,1011315000.0,-30903000.0
US,ADBE,2017,Q2,2017-06-02,USD,1772190000.0,239360000.0,710027000.0,1028748000.0,504082000.0,81635000.0,-3131000.0,492618000.0,374390000.0,494371000.0,500351000.0,1316950000.0,3614563000.0,6052197000.0,924108000.0,7312703000.0,3047896000.0,2513006000.0,61000.0,8652752000.0,7803998000.0,74332000.0,74332000.0,6461000.0,644827000.0,-87547000.0,-314432000.0,248054000.0,1068896000.0,-55297000.0
US,ADBE,2017,Q3,2017-09-01,USD,1841074000.0,262922000.0,697495000.0,1032478000.0,560188000.0,82319000.0,-1629000.0,541379000.0,419569000.0,493426000.0,500398000.0,1774550000.0,3593936000.0,6581057000.0,939809000.0,7325758000.0,3216144000.0,2520237000.0,61000.0,9072321000.0,8170434000.0,86149000.0,86149000.0,3773000.0,704436000.0,-36814000.0,-218299000.0,457600000.0,1316950000.0,-54238000.0
US,ADBE,2017,Q4,2017-12-01,USD,2006595000.0,270872000.0,743671000.0,1086383000.0,649340000.0,81234000.0,400000.0,643012000.0,501549000.0,492108000.0,500060000.0,2306072000.0,3513702000.0,7247813000.0,936976000.0,7287743000.0,3527457000.0,2548230000.0,61000.0,9573870000.0,8459869000.0,132638000.0,132638000.0,-5997000.0,833220000.0,20366000.0,-319509000.0,531522000.0,1774550000.0,-37684000.0
US,ADBE,2018,Q1,2018-03-02,USD,2078947000.0,258902000.0,751397000.0,1117312000.0,722401000.0,76522000.0,2731000.0,702502000.0,583076000.0,492061000.0,499433000.0,2666981000.0,3480989000.0,7480814000.0,991674000.0,7492671000.0,3536469000.0,2802988000.0,61000.0,9830399000.0,8634028000.0,200444000.0,200444000.0,430565000.0,989601000.0,-93762000.0,-541273000.0,360909000.0,2306072000.0,-95142000.0
US,ADBE,2018,Q2,2018-06-01,USD,2195360000.0,281344000.0,824255000.0,1215532000.0,698484000.0,76360000.0,5408000.0,690799000.0,663167000.0,491914000.0,498252000.0,2987986000.0,3346078000.0,7741444000.0,993486000.0,7421960000.0,3728956000.0,2728865000.0,61000.0,10471066000.0,8705583000.0,93130000.0,93130000.0,-31998000.0,976406000.0,67679000.0,-717365000.0,321005000.0,2666981000.0,-45316000.0
US,ADBE,2018,Q3,2018-08-31,USD,2291076000.0,295492000.0,854147000.0,1276978000.0,718606000.0,86890000.0,454000.0,701358000.0,666291000.0,490025000.0,496866000.0,1747144000.0,3197326000.0,6300913000.0,1019260000.0,9094707000.0,3792027000.0,2741668000.0,61000.0,11137357000.0,8861925000.0,44697000.0,44697000.0,16432000.0,955304000.0,-1520334000.0,-671661000.0,-1240842000.0,2987986000.0,-63558000.0
US,ADBE,2018,Q4,2018-11-30,USD,2464625000.0,359261000.0,935928000.0,1384818000.0,720546000.0,106720000.0,-5295000.0,699217000.0,678240000.0,488246000.0,495118000.0,1642775000.0,1586187000.0,4857039000.0,1075072000.0,13911643000.0,4301126000.0,5105442000.0,61000.0,11815597000.0,9362114000.0,149504000.0,149504000.0,54730000.0,1107993000.0,-3138878000.0,1924731000.0,-104369000.0,1747144000.0,-62563000.0
US,ADBE,2019,Q1,2019-03-01,USD,2600946000.0,397286000.0,997627000.0,1509000000.0,742927000.0,144898000.0,-25000000.0,702334000.0,674241000.0,488056000.0,494188000.0,1738846000.0,1487411000.0,5133715000.0,1104065000.0,14371821000.0,5313736000.0,4320315000.0,61000.0,12579311000.0,9871485000.0,51299000.0,51299000.0,-22868000.0,1013448000.0,-132000000.0,-783912000.0,96071000.0,1642775000.0,-65268000.0
US,ADBE,2019,Q2,2019-05-31,USD,2744280000.0,407488000.0,1068261000.0,1587000000.0,751349000.0,187000000.0,-24000000.0,710772000.0,632593000.0,487535000.0,492212000.0,2082910000.0,1396069000.0,5342645000.0,1205020000.0,14323264000.0,7687097000.0,2047119000.0,61000.0,13183938000.0,9931693000.0,125124000.0,125124000.0,-6428000.0,1109326000.0,10073000.0,-772101000.0,344064000.0,1738846000.0,-85492000.0
US,ADBE,2019,Q3,2019-08-30,USD,2834126000.0,415963000.0,1031570000.0,1564000000.0,874017000.0,150549000.0,-22000000.0,834488000.0,792763000.0,485848000.0,491042000.0,2209047000.0,1441741000.0,5750096000.0,1244011000.0,14304784000.0,7802966000.0,2009141000.0,61000.0,13976701000.0,10242773000.0,-213207000.0,-213207000.0,-12413000.0,922140000.0,-164831000.0,-624371000.0,126137000.0,2082910000.0,-89125000.0
US,ADBE,2019,Q4,2019-11-29,USD,2991944000.0,451983000.0,1027526000.0,1570030000.0,993358000.0,183692000.0,-18303000.0,957147000.0,851861000.0,483731000.0,488851000.0,2650000000.0,1527000000.0,6495000000.0,1293000000.0,14267000000.0,8191000000.0,2041000000.0,0.0,14829000000.0,10530000000.0,141812000.0,141812000.0,-8624000.0,1376400000.0,-168409000.0,-765660000.0,441174000.0,2209047000.0,-94096000.0
US,ADBE,2020,Q1,2020-02-28,USD,3091000000.0,452000000.0,1128000000.0,1702000000.0,952000000.0,188000000.0,-14000000.0,919000000.0,955000000.0,482000000.0,488000000.0,2688000000.0,1483000000.0,6455000000.0,1844000000.0,14759000000.0,5228000000.0,5521000000.0,0.0,15390000000.0,10465000000.0,29000000.0,29000000.0,29000000.0,1325000000.0,-48000000.0,-1233000000.0,38000000.0,2650000000.0,-94000000.0
US,ADBE,2020,Q2,2020-05-29,USD,3128000000.0,415000000.0,1125000000.0,1697000000.0,1028000000.0,188000000.0,-16000000.0,1000000000.0,1100000000.0,481000000.0,485000000.0,3044000000.0,1307000000.0,6649000000.0,1876000000.0,14954000000.0,5164000000.0,5558000000.0,0.0,16428000000.0,10881000000.0,-193000000.0,-193000000.0,34000000.0,1184000000.0,80000000.0,-901000000.0,356000000.0,2688000000.0,-96000000.0
US,ADBE,2020,Q3,2020-08-28,USD,3225000000.0,427000000.0,1122000000.0,1729000000.0,1088000000.0,191000000.0,-20000000.0,1060000000.0,955000000.0,480000000.0,485000000.0,3767000000.0,1497000000.0,7387000000.0,1974000000.0,15027000000.0,5130000000.0,5571000000.0,0.0,17383000000.0,11713000000.0,42000000.0,42000000.0,35000000.0,1436000000.0,-315000000.0,-414000000.0,723000000.0,3044000000.0,-126000000.0
US,ADBE,2020,Q4,2020-11-27,USD,3424000000.0,428000000.0,1184000000.0,1781000000.0,1224000000.0,190000000.0,-21000000.0,1197000000.0,2250000000.0,479000000.0,484000000.0,4478000000.0,1514000000.0,8146000000.0,2004000000.0,16138000000.0,5512000000.0,5508000000.0,0.0,19611000000.0,13264000000.0,308000000.0,308000000.0,18000000.0,1782000000.0,-131000000.0,-940000000.0,711000000.0,3767000000.0,-103000000.0
