country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,ADBE,2016-06-13,4.98584,4.98584,483.427046,483.427046,1.0,0.004596005888676733
US,ADBE,2016-06-14,4.98584,4.98584,483.526763,483.526763,1.0,0.003790284084527382
US,ADBE,2016-06-15,4.98584,4.98584,483.726197,483.726197,1.0,0.004553633891179821
US,ADBE,2016-06-16,4.98584,4.98584,484.57379,484.57379,1.0,0.0039161886462461696
US,ADBE,2016-06-17,4.98584,4.98584,476.546587,476.546587,1.0,0.009108834218506813
US,ADBE,2016-06-20,4.98584,4.98584,488.562462,488.562462,1.0,0.00864570262984773
US,ADBE,2016-06-21,4.98584,4.98584,497.187965,497.187965,1.0,0.013047137493381258
US,ADBE,2016-06-22,4.98584,4.98584,468.718818,468.718818,1.0,0.02061941016960031
US,ADBE,2016-06-23,4.98584,4.98584,479.687666,479.687666,1.0,0.00762799648604849
US,ADBE,2016-06-24,4.98584,4.98584,459.694448,459.694448,1.0,0.00868276559215699
US,ADBE,2016-06-27,4.98584,4.98584,452.963564,452.963564,1.0,0.007883291481475539
US,ADBE,2016-06-28,4.98584,4.98584,460.990766,460.990766,1.0,0.006657287438024486
US,ADBE,2016-06-29,4.98584,4.98584,470.613438,470.613438,1.0,0.005947748022399436
US,ADBE,2016-06-30,4.98584,4.98584,477.593614,477.593614,1.0,0.007109476036134333
US,ADBE,2016-07-01,4.98584,4.98584,475.250269,475.250269,1.0,0.0060208209649728036
US,ADBE,2016-07-05,4.98584,4.98584,472.308623,472.308623,1.0,0.004642264894180319
US,ADBE,2016-07-06,4.98584,4.98584,474.552251,474.552251,1.0,0.0029894942477095136
US,ADBE,2016-07-07,4.98584,4.98584,474.352818,474.352818,1.0,0.0031622274280763123
US,ADBE,2016-07-08,4.98584,4.98584,482.579454,482.579454,1.0,0.004059273863581664
US,ADBE,2016-07-11,4.98584,4.98584,484.324498,484.324498,1.0,0.003473894068000578
US,ADBE,2016-07-12,4.98584,4.98584,486.318834,486.318834,1.0,0.004120457134605202
US,ADBE,2016-07-13,4.98584,4.98584,485.321666,485.321666,1.0,0.004263668709786114
US,ADBE,2016-07-14,4.98584,4.98584,487.116568,487.116568,1.0,0.0028130485535035224
US,ADBE,2016-07-15,4.98584,4.98584,487.764727,487.764727,1.0,0.003069627184185614
US,ADBE,2016-07-18,4.98584,4.98584,487.565294,487.565294,1.0,0.003097173194486787
US,ADBE,2016-07-19,4.98584,4.98584,487.565294,487.565294,1.0,0.0036041449384657353
US,ADBE,2016-07-20,4.98584,4.98584,490.606656,490.606656,1.0,0.003116401649471303
US,ADBE,2016-07-21,4.98584,4.98584,480.335826,480.335826,1.0,0.005173625708005071
US,ADBE,2016-07-22,4.98584,4.98584,488.91147,488.91147,1.0,0.004215512330921169
US,ADBE,2016-07-25,4.98584,4.98584,485.221949,485.221949,1.0,0.003640435713941884
US,ADBE,2016-07-26,4.98584,4.98584,488.163594,488.163594,1.0,0.004405384047622868
US,ADBE,2016-07-27,4.98584,4.98584,488.263311,488.263311,1.0,0.004638837186913339
US,ADBE,2016-07-28,4.98584,4.98584,490.80609,490.80609,1.0,0.0033414048585594406
US,ADBE,2016-07-29,4.98584,4.98584,487.914302,487.914302,1.0,0.0035832898769314705
US,ADBE,2016-08-01,4.98584,4.98584,487.216285,487.216285,1.0,0.0029578225534714316
US,ADBE,2016-08-02,4.98584,4.98584,478.889932,478.889932,1.0,0.004718713396338431
US,ADBE,2016-08-03,4.98584,4.98584,481.981153,481.981153,1.0,0.004154142531649632
US,ADBE,2016-08-04,4.98584,4.98584,484.075206,484.075206,1.0,0.002572507340789115
US,ADBE,2016-08-05,4.98584,4.98584,493.797594,493.797594,1.0,0.003875467323460039
US,ADBE,2016-08-08,4.98584,4.98584,491.055382,491.055382,1.0,0.0022207411389053803
US,ADBE,2016-08-09,4.98584,4.98584,492.950001,492.950001,1.0,0.002009478844086453
US,ADBE,2016-08-10,4.98584,4.98584,501.675221,501.675221,1.0,0.00535555292588611
US,ADBE,2016-08-11,4.98584,4.98584,506.910353,506.910353,1.0,0.004531952489450123
US,ADBE,2016-08-12,4.98584,4.98584,503.769274,503.769274,1.0,0.003436301606148613
US,ADBE,2016-08-15,4.98584,4.98584,503.220831,503.220831,1.0,0.0034049267525632595
US,ADBE,2016-08-16,4.98584,4.98584,501.575504,501.575504,1.0,0.003307867881841375
US,ADBE,2016-08-17,4.98584,4.98584,497.088248,497.088248,1.0,0.004259833849461676
US,ADBE,2016-08-18,4.98584,4.98584,501.924513,501.924513,1.0,0.004065573704731801
US,ADBE,2016-08-19,4.98584,4.98584,500.179469,500.179469,1.0,0.0031848234199252285
US,ADBE,2016-08-22,4.98584,4.98584,499.780602,499.780602,1.0,0.002007519294642428
US,ADBE,2016-08-23,4.98584,4.98584,504.267858,504.267858,1.0,0.002022872775700785
US,ADBE,2016-08-24,4.98584,4.98584,504.267858,504.267858,1.0,0.002859036792195498
US,ADBE,2016-08-25,4.98584,4.98584,507.01007,507.01007,1.0,0.0023548870400975567
US,ADBE,2016-08-26,4.98584,4.98584,508.85483,508.85483,1.0,0.0036795805721804155
US,ADBE,2016-08-29,4.98584,4.98584,510.051432,510.051432,1.0,0.002329717760698298
US,ADBE,2016-08-30,4.98584,4.98584,508.55568,508.55568,1.0,0.0026577667955650407
US,ADBE,2016-08-31,4.98584,4.98584,510.10129,510.10129,1.0,0.00355607881520466
US,ADBE,2016-09-01,4.98584,4.98584,513.042936,513.042936,1.0,0.004024555541292942
US,ADBE,2016-09-02,4.95641,4.95641,513.335384,513.335384,1.0,0.0034688393413781346
US,ADBE,2016-09-06,4.95641,4.95641,512.988435,512.988435,1.0,0.003198044552407892
US,ADBE,2016-09-07,4.95641,4.95641,510.51023,510.51023,1.0,0.002798095799177227
US,ADBE,2016-09-08,4.95641,4.95641,504.959051,504.959051,1.0,0.004258382579326569
US,ADBE,2016-09-09,4.95641,4.95641,492.568026,492.568026,1.0,0.006818116338236748
US,ADBE,2016-09-12,4.95641,4.95641,497.227051,497.227051,1.0,0.005815979711121558
US,ADBE,2016-09-13,4.95641,4.95641,489.544616,489.544616,1.0,0.00766192465917872
US,ADBE,2016-09-14,4.95641,4.95641,489.643744,489.643744,1.0,0.004093638339039749
US,ADBE,2016-09-15,4.95641,4.95641,493.757564,493.757564,1.0,0.006244396649994654
US,ADBE,2016-09-16,4.95641,4.95641,490.337641,490.337641,1.0,0.007466321389876947
US,ADBE,2016-09-19,4.95641,4.95641,494.054949,494.054949,1.0,0.006673156579056212
US,ADBE,2016-09-20,4.95641,4.95641,498.713974,498.713974,1.0,0.008281943987684635
US,ADBE,2016-09-21,4.95641,4.95641,534.20187,534.20187,1.0,0.017683220314703586
US,ADBE,2016-09-22,4.95641,4.95641,534.895767,534.895767,1.0,0.00799035188775747
US,ADBE,2016-09-23,4.95641,4.95641,532.665383,532.665383,1.0,0.006228780508472867
US,ADBE,2016-09-26,4.95641,4.95641,531.624537,531.624537,1.0,0.004726527869970402
US,ADBE,2016-09-27,4.95641,4.95641,543.718177,543.718177,1.0,0.007124898868334137
US,ADBE,2016-09-28,4.95641,4.95641,542.677331,542.677331,1.0,0.0055288444660550684
US,ADBE,2016-09-29,4.95641,4.95641,534.300998,534.300998,1.0,0.004916635225899391
US,ADBE,2016-09-30,4.95641,4.95641,537.968741,537.968741,1.0,0.0075005074237199905
US,ADBE,2016-10-03,4.95641,4.95641,537.522665,537.522665,1.0,0.003134877865229067
US,ADBE,2016-10-04,4.95641,4.95641,537.22528,537.22528,1.0,0.0028125619147729907
US,ADBE,2016-10-05,4.95641,4.95641,539.257408,539.257408,1.0,0.0037425414765929373
US,ADBE,2016-10-06,4.95641,4.95641,538.06787,538.06787,1.0,0.003209637620777942
US,ADBE,2016-10-07,4.95641,4.95641,538.464382,538.464382,1.0,0.0028383487241773783
US,ADBE,2016-10-10,4.95641,4.95641,541.438228,541.438228,1.0,0.003191584231328724
US,ADBE,2016-10-11,4.95641,4.95641,532.169742,532.169742,1.0,0.003976561664591912
US,ADBE,2016-10-12,4.95641,4.95641,535.5401,535.5401,1.0,0.0029546546794958447
US,ADBE,2016-10-13,4.95641,4.95641,535.341844,535.341844,1.0,0.0032049608486787815
US,ADBE,2016-10-14,4.95641,4.95641,534.499254,534.499254,1.0,0.003971348213727274
US,ADBE,2016-10-17,4.95641,4.95641,532.764511,532.764511,1.0,0.0022929963421105194
US,ADBE,2016-10-18,4.95641,4.95641,537.373972,537.373972,1.0,0.0026611297289772236
US,ADBE,2016-10-19,4.95641,4.95641,537.22528,537.22528,1.0,0.002586904634604482
US,ADBE,2016-10-20,4.95641,4.95641,540.397382,540.397382,1.0,0.0036736932578216894
US,ADBE,2016-10-21,4.95641,4.95641,540.397382,540.397382,1.0,0.0037089445788383124
US,ADBE,2016-10-24,4.95641,4.95641,549.219792,549.219792,1.0,0.004065327525366142
US,ADBE,2016-10-25,4.95641,4.95641,540.397382,540.397382,1.0,0.0034564372196811805
US,ADBE,2016-10-26,4.95641,4.95641,535.143588,535.143588,1.0,0.0032758992900103097
US,ADBE,2016-10-27,4.95641,4.95641,530.682819,530.682819,1.0,0.004829923271077252
US,ADBE,2016-10-28,4.95641,4.95641,533.309716,533.309716,1.0,0.0038962535383473117
US,ADBE,2016-10-31,4.95641,4.95641,532.863639,532.863639,1.0,0.003386225110513456
US,ADBE,2016-11-01,4.95641,4.95641,529.691537,529.691537,1.0,0.003937349815693213
