country,code,time,open,high,low,close,volume,amount
US,ADBE,2016-06-13,96.87,98.085,96.75,96.96,2291495.0,223077038.25
US,ADBE,2016-06-14,96.53,97.26,96.32,96.98,1889775.0,182968015.5
US,ADBE,2016-06-15,97.01,97.83,96.9,97.02,2270369.0,220861496.32
US,ADBE,2016-06-16,96.5,97.3,95.5436,97.19,1952549.0,188538131.44
US,ADBE,2016-06-17,97.25,97.39,95.36,95.58,4541519.0,435440841.72
US,ADBE,2016-06-20,97.1,98.75,96.77,97.99,4310609.0,423043167.26
US,ADBE,2016-06-21,98.64,99.92,98.13,99.72,6505094.0,642378032.5
US,ADBE,2016-06-22,95.53,96.5,93.86,94.01,10280508.0,973872522.84
US,ADBE,2016-06-23,94.73,96.28,94.31,96.21,3803197.0,363889888.96
US,ADBE,2016-06-24,92.39,94.35,92.04,92.2,4329088.0,402432020.48
US,ADBE,2016-06-27,91.36,92.027,90.35,90.85,3930483.0,357831172.32
US,ADBE,2016-06-28,91.37,92.65,91.36,92.46,3319217.0,305633501.36
US,ADBE,2016-06-29,92.91,94.62,92.68,94.39,2965452.0,278989724.16
US,ADBE,2016-06-30,94.48,95.88,94.13,95.79,3544671.0,338161613.4
US,ADBE,2016-07-01,95.04,97.14,95.0,95.32,3001885.0,287610601.85
US,ADBE,2016-07-05,94.55,95.61,94.15,94.73,2314559.0,219512775.56
US,ADBE,2016-07-06,94.53,95.48,94.0618,95.18,1490514.0,141643545.42
US,ADBE,2016-07-07,95.01,95.51,94.54,95.14,1576636.0,149796186.36
US,ADBE,2016-07-08,95.93,96.86,95.34,96.79,2023889.0,195527916.29
US,ADBE,2016-07-11,96.98,97.55,96.81,97.14,1732028.0,168422402.72
US,ADBE,2016-07-12,97.25,97.79,96.7,97.54,2054394.0,200077431.66
US,ADBE,2016-07-13,97.97,98.38,97.34,97.34,2125797.0,207775398.78
US,ADBE,2016-07-14,98.0,98.14,97.46,97.7,1402541.0,137196560.62
US,ADBE,2016-07-15,98.39,98.4,97.5,97.83,1530467.0,149817414.63
US,ADBE,2016-07-18,97.74,98.53,97.58,97.79,1544201.0,151470676.09
US,ADBE,2016-07-19,97.11,98.17,97.001,97.79,1796969.0,175653719.75
US,ADBE,2016-07-20,98.16,98.89,97.85,98.4,1553788.0,153079193.76
US,ADBE,2016-07-21,98.12,98.425,96.08,96.34,2579487.0,249668546.73
US,ADBE,2016-07-22,96.71,98.24,96.09,98.06,2101787.0,205302554.16
US,ADBE,2016-07-25,97.75,97.75,96.8842,97.32,1815063.0,176351521.08
US,ADBE,2016-07-26,97.81,98.42,97.0,97.91,2196454.0,214835165.74
US,ADBE,2016-07-27,97.59,98.41,97.39,97.93,2312850.0,226497400.5
US,ADBE,2016-07-28,97.92,98.61,97.57,98.44,1665971.0,163648331.33
US,ADBE,2016-07-29,98.4,98.55,97.23,97.86,1786571.0,174958898.03
US,ADBE,2016-08-01,97.75,98.16,97.22,97.72,1474723.0,144050942.64
US,ADBE,2016-08-02,97.38,97.63,95.42,96.05,2352675.0,226186174.5
US,ADBE,2016-08-03,96.06,96.68,95.65,96.67,2071189.0,199496924.48
US,ADBE,2016-08-04,96.5,97.275,96.19,97.09,1282611.0,124336310.34
US,ADBE,2016-08-05,97.36,99.0799,97.15,99.04,1932246.0,190674035.28
US,ADBE,2016-08-08,98.86,98.95,98.3,98.49,1107226.0,109150339.08
US,ADBE,2016-08-09,98.71,99.22,98.47,98.87,1001894.0,99057259.78
US,ADBE,2016-08-10,99.13,100.99,99.09,100.62,2670193.0,267793655.97
US,ADBE,2016-08-11,100.85,101.93,100.59,101.67,2259559.0,229096687.01
US,ADBE,2016-08-12,100.98,101.2,100.06,101.04,1713285.0,172699128.0
US,ADBE,2016-08-15,101.38,101.63,100.88,100.93,1697642.0,171733464.72
US,ADBE,2016-08-16,100.52,100.97,99.91,100.6,1649250.0,165931042.5
