country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,AMAT,2016,Q3,2016-07-31,USD,2821000000.0,1629000000.0,210000000.0,596000000.0,602000000.0,97000000.0,-32000000.0,564000000.0,505000000.0,1083000000.0,1093000000.0,2828000000.0,438000000.0,7399000000.0,905000000.0,6300000000.0,2964000000.0,3916000000.0,11000000.0,14750000000.0,6819000000.0,310000000.0,176000000.0,0.0,981000000.0,-322000000.0,-301000000.0,358000000.0,2470000000.0,-50000000.0
US,AMAT,2016,Q4,2016-10-30,USD,3297000000.0,1898000000.0,228000000.0,622000000.0,778000000.0,100000000.0,-37000000.0,740000000.0,610000000.0,1081000000.0,1093000000.0,3406000000.0,343000000.0,8353000000.0,937000000.0,6236000000.0,3632000000.0,3739000000.0,11000000.0,15252000000.0,7217000000.0,16000000.0,279000000.0,13000000.0,797000000.0,11000000.0,-230000000.0,578000000.0,2828000000.0,-88000000.0
US,AMAT,2017,Q1,2017-01-29,USD,3278000000.0,1833000000.0,221000000.0,638000000.0,809000000.0,97000000.0,-36000000.0,771000000.0,703000000.0,1078000000.0,1089000000.0,3491000000.0,656000000.0,9094000000.0,949000000.0,6150000000.0,3808000000.0,3749000000.0,11000000.0,15847000000.0,7687000000.0,-198000000.0,280000000.0,111000000.0,792000000.0,-367000000.0,-194000000.0,85000000.0,3406000000.0,-64000000.0
US,AMAT,2017,Q2,2017-04-30,USD,3546000000.0,1946000000.0,223000000.0,660000000.0,952000000.0,103000000.0,-32000000.0,908000000.0,824000000.0,1078000000.0,1087000000.0,4944000000.0,1800000000.0,12018000000.0,969000000.0,6222000000.0,4097000000.0,5931000000.0,11000000.0,16564000000.0,8212000000.0,-62000000.0,161000000.0,-4000000.0,898000000.0,-1281000000.0,1836000000.0,1453000000.0,3491000000.0,-77000000.0
US,AMAT,2017,Q3,2017-07-30,USD,3744000000.0,2044000000.0,223000000.0,677000000.0,1037000000.0,102000000.0,-45000000.0,978000000.0,925000000.0,1071000000.0,1083000000.0,5278000000.0,1953000000.0,12731000000.0,996000000.0,6347000000.0,4371000000.0,5991000000.0,11000000.0,17383000000.0,8716000000.0,284000000.0,229000000.0,3000000.0,1366000000.0,-349000000.0,-683000000.0,334000000.0,4944000000.0,-80000000.0
US,AMAT,2017,Q4,2017-10-29,USD,3969000000.0,2182000000.0,223000000.0,689000000.0,1131000000.0,105000000.0,-24000000.0,1074000000.0,982000000.0,1064000000.0,1076000000.0,5010000000.0,2266000000.0,12918000000.0,1066000000.0,6506000000.0,4115000000.0,5955000000.0,11000000.0,18258000000.0,9349000000.0,-401000000.0,-376000000.0,-28000000.0,699000000.0,-529000000.0,-438000000.0,-268000000.0,5278000000.0,-124000000.0
US,AMAT,2018,Q1,2018-01-28,USD,4204000000.0,2284000000.0,236000000.0,724000000.0,1242000000.0,119000000.0,-32000000.0,1183000000.0,135000000.0,1056000000.0,1071000000.0,6799000000.0,655000000.0,13029000000.0,1195000000.0,6634000000.0,4399000000.0,6758000000.0,11000000.0,18288000000.0,8506000000.0,1085000000.0,1270000000.0,0.0,1466000000.0,1352000000.0,-1029000000.0,1789000000.0,5010000000.0,-203000000.0
US,AMAT,2018,Q2,2018-04-29,USD,4567000000.0,2477000000.0,254000000.0,763000000.0,1317000000.0,108000000.0,-31000000.0,1295000000.0,1129000000.0,1029000000.0,1040000000.0,4870000000.0,482000000.0,11891000000.0,1257000000.0,6607000000.0,4580000000.0,6876000000.0,10000000.0,19216000000.0,7042000000.0,-746000000.0,-120000000.0,45000000.0,611000000.0,22000000.0,-2562000000.0,-1929000000.0,6799000000.0,-121000000.0
US,AMAT,2018,Q3,2018-07-29,USD,4468000000.0,2441000000.0,266000000.0,770000000.0,1136000000.0,110000000.0,-16000000.0,1077000000.0,1173000000.0,994000000.0,1005000000.0,3374000000.0,610000000.0,10889000000.0,1321000000.0,6994000000.0,4322000000.0,6736000000.0,10000000.0,20191000000.0,6825000000.0,-733000000.0,-443000000.0,-7000000.0,633000000.0,-674000000.0,-1455000000.0,-1496000000.0,4870000000.0,-133000000.0
US,AMAT,2018,Q4,2018-10-28,USD,4014000000.0,2234000000.0,246000000.0,764000000.0,1058000000.0,120000000.0,-18000000.0,998000000.0,876000000.0,974000000.0,984000000.0,3440000000.0,590000000.0,10604000000.0,1407000000.0,7041000000.0,3922000000.0,6866000000.0,10000000.0,20874000000.0,6839000000.0,34000000.0,-205000000.0,119000000.0,1077000000.0,-129000000.0,-882000000.0,66000000.0,3374000000.0,-165000000.0
US,AMAT,2019,Q1,2019-01-27,USD,3753000000.0,2088000000.0,241000000.0,757000000.0,948000000.0,88000000.0,-20000000.0,888000000.0,771000000.0,957000000.0,965000000.0,3192000000.0,520000000.0,10285000000.0,1456000000.0,8637000000.0,3776000000.0,6937000000.0,9000000.0,23032000000.0,8209000000.0,-132000000.0,284000000.0,1000000.0,834000000.0,-66000000.0,-1016000000.0,-248000000.0,3440000000.0,-133000000.0
US,AMAT,2019,Q2,2019-04-28,USD,3539000000.0,2009000000.0,246000000.0,754000000.0,819000000.0,94000000.0,-17000000.0,759000000.0,666000000.0,942000000.0,948000000.0,3116000000.0,507000000.0,10062000000.0,1494000000.0,8713000000.0,3605000000.0,6969000000.0,9000000.0,23502000000.0,8201000000.0,-23000000.0,-134000000.0,-10000000.0,800000000.0,-129000000.0,-747000000.0,-76000000.0,3192000000.0,-118000000.0
US,AMAT,2019,Q3,2019-07-28,USD,3562000000.0,2005000000.0,240000000.0,755000000.0,840000000.0,89000000.0,-20000000.0,782000000.0,571000000.0,929000000.0,937000000.0,3014000000.0,547000000.0,10042000000.0,1513000000.0,8763000000.0,3785000000.0,6904000000.0,9000000.0,23880000000.0,8116000000.0,62000000.0,-41000000.0,-10000000.0,787000000.0,-162000000.0,-727000000.0,-102000000.0,3116000000.0,-93000000.0
US,AMAT,2019,Q4,2019-10-27,USD,3754000000.0,2120000000.0,255000000.0,770000000.0,899000000.0,92000000.0,-24000000.0,840000000.0,698000000.0,920000000.0,931000000.0,3129000000.0,489000000.0,10206000000.0,1529000000.0,8829000000.0,4447000000.0,6363000000.0,9000000.0,24386000000.0,8214000000.0,-22000000.0,-18000000.0,0.0,826000000.0,-86000000.0,-625000000.0,115000000.0,3014000000.0,-97000000.0
US,AMAT,2020,Q1,2020-01-26,USD,4162000000.0,2304000000.0,264000000.0,816000000.0,1064000000.0,94000000.0,-37000000.0,1005000000.0,892000000.0,916000000.0,927000000.0,3424000000.0,536000000.0,10769000000.0,1711000000.0,8998000000.0,4569000000.0,6538000000.0,9000000.0,25085000000.0,8660000000.0,-137000000.0,13000000.0,15000000.0,987000000.0,-162000000.0,-530000000.0,295000000.0,3129000000.0,-102000000.0
