country,code,time,open,high,low,close,volume,amount
US,AMD,2016-06-13,4.32,4.48,4.32,4.4,13540907.0,59579990.8
US,AMD,2016-06-14,4.4,4.51,4.33,4.39,16757413.0,73732617.2
US,AMD,2016-06-15,4.44,4.48,4.3,4.42,11575250.0,51162605.0
US,AMD,2016-06-16,4.5,4.75,4.455,4.75,34182650.0,158265669.5
US,AMD,2016-06-17,4.75,5.27,4.68,5.26,64894090.0,330310918.1
US,AMD,2016-06-20,5.39,5.45,5.09,5.1,43541305.0,227721025.15
US,AMD,2016-06-21,5.1,5.5,5.09,5.45,35864591.0,192234207.76
US,AMD,2016-06-22,5.46,5.52,4.96,5.02,47943335.0,248346475.3
US,AMD,2016-06-23,5.17,5.26,5.05,5.21,29159174.0,151044521.32
US,AMD,2016-06-24,4.82,5.0675,4.76,4.88,36735157.0,180736972.44
US,AMD,2016-06-27,4.88,5.05,4.65,4.72,31187599.0,149700475.2
US,AMD,2016-06-28,4.95,5.185,4.91,5.12,29221367.0,148736758.03
US,AMD,2016-06-29,5.31,5.4,5.1,5.13,33118283.0,172215071.6
US,AMD,2016-06-30,5.13,5.19,4.95,5.14,26124847.0,132975471.23
US,AMD,2016-07-01,5.09,5.14,5.0,5.07,18255878.0,92557301.46
US,AMD,2016-07-05,5.03,5.05,4.875,4.96,16332466.0,80519057.38
US,AMD,2016-07-06,4.91,5.11,4.9,5.04,19392887.0,97740150.48
US,AMD,2016-07-07,5.07,5.1,4.9399999999999995,5.02,15813768.0,79385115.36
US,AMD,2016-07-08,4.84,5.15,4.82,5.1,28140749.0,142110782.45
US,AMD,2016-07-11,5.13,5.19,5.0,5.01,21027948.0,106821975.84
US,AMD,2016-07-12,5.01,5.17,5.01,5.14,20832476.0,106453952.36
US,AMD,2016-07-13,5.14,5.19,5.04,5.09,14032518.0,71706166.98
US,AMD,2016-07-14,5.15,5.235,5.06,5.17,20050141.0,103659228.97
US,AMD,2016-07-15,5.2,5.2,5.1,5.14,14219263.0,73087011.82
US,AMD,2016-07-18,5.19,5.57,5.13,5.51,38619404.0,209703363.72
US,AMD,2016-07-19,5.5,5.55,5.34,5.41,23439607.0,127745858.15
US,AMD,2016-07-20,5.48,5.5,5.4,5.41,20102373.0,109356909.12
US,AMD,2016-07-21,5.43,5.45,5.1,5.22,40241973.0,211270358.25
US,AMD,2016-07-22,5.73,5.97,5.45,5.84,101838278.0,587606864.06
US,AMD,2016-07-25,5.93,6.95,5.92,6.7,118328614.0,776235707.84
US,AMD,2016-07-26,6.76,7.1599,6.71,6.98,81230638.0,562928321.34
US,AMD,2016-07-27,6.93,6.98,6.68,6.85,38567259.0,262643033.79
US,AMD,2016-07-28,6.79,6.98,6.735,6.82,27515622.0,189307479.36
US,AMD,2016-07-29,6.88,6.96,6.75,6.86,22580538.0,154450879.92
US,AMD,2016-08-01,6.89,6.92,6.57,6.64,26729026.0,179619054.72
US,AMD,2016-08-02,6.5600000000000005,6.6,6.15,6.26,40816397.0,256735137.13
US,AMD,2016-08-03,6.18,6.45,6.15,6.3,23807809.0,150465352.88
US,AMD,2016-08-04,6.39,6.61,6.37,6.47,22411032.0,145447597.68
US,AMD,2016-08-05,6.5600000000000005,6.76,6.47,6.61,20163999.0,133888953.36
US,AMD,2016-08-08,6.7,6.85,6.65,6.68,21462238.0,144655484.12
US,AMD,2016-08-09,6.75,6.78,6.54,6.6,16772428.0,111536646.2
US,AMD,2016-08-10,6.35,6.58,6.25,6.49,29070733.0,187796935.18
US,AMD,2016-08-11,6.5,6.59,6.46,6.58,13240292.0,86723912.6
US,AMD,2016-08-12,6.6,6.79,6.55,6.73,25466386.0,170115458.48
US,AMD,2016-08-15,6.79,6.97,6.78,6.95,28339380.0,196108509.6
US,AMD,2016-08-16,6.9399999999999995,6.9399999999999995,6.65,6.78,26768769.0,180421503.06
US,AMD,2016-08-17,6.7,6.75,6.61,6.68,13791311.0,91988044.37
US,AMD,2016-08-18,6.74,7.07,6.725,7.04,30783305.0,214251802.8
US,AMD,2016-08-19,7.24,8.0,7.22,7.62,75129305.0,576241769.35
US,AMD,2016-08-22,7.83,7.95,7.37,7.58,41519225.0,314715725.5
US,AMD,2016-08-23,7.66,7.74,7.53,7.67,27531065.0,210887957.9
US,AMD,2016-08-24,7.67,7.67,7.37,7.43,22943869.0,172308456.19
US,AMD,2016-08-25,7.49,7.49,7.2,7.465,16451281.0,122068505.02
US,AMD,2016-08-26,7.49,7.8,7.46,7.67,31387878.0,241372781.82
US,AMD,2016-08-29,7.72,7.79,7.57,7.59,16916273.0,129578651.18
US,AMD,2016-08-30,7.61,7.64,7.41,7.49,16088129.0,120339204.92
US,AMD,2016-08-31,7.52,7.52,7.28,7.4,18808801.0,138432775.36
US,AMD,2016-09-01,7.18,7.44,7.09,7.35,22284592.0,163123213.44
US,AMD,2016-09-02,7.49,7.64,7.38,7.51,18538362.0,139408482.24
US,AMD,2016-09-06,7.5600000000000005,7.6,7.25,7.34,24994613.0,183460459.42
US,AMD,2016-09-07,7.05,7.07,6.78,6.84,57721907.0,397703939.23
US,AMD,2016-09-08,6.64,6.65,6.15,6.225,90814651.0,574856740.83
US,AMD,2016-09-09,6.23,6.24,5.85,5.9,170828036.0,1031801337.44
US,AMD,2016-09-12,5.83,6.065,5.77,5.9399999999999995,78014372.0,462625225.96
US,AMD,2016-09-13,5.92,5.95,5.66,5.74,50719506.0,292651549.62
US,AMD,2016-09-14,5.75,6.0766,5.75,6.04,64344764.0,382207898.16
US,AMD,2016-09-15,6.09,6.2,5.95,6.02,52718477.0,320001155.39
US,AMD,2016-09-16,6.22,6.22,5.97,6.05,47829445.0,290324731.15
US,AMD,2016-09-19,6.12,6.275,6.08,6.16,37837160.0,233455277.2
US,AMD,2016-09-20,6.23,6.28,6.12,6.17,28990858.0,179453411.02
US,AMD,2016-09-21,6.2,6.32,6.14,6.29,33450003.0,208728018.72
