country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,AMZN,2016,Q2,2016-06-30,USD,30404000000.0,19180000000.0,2126000000.0,9939000000.0,1295000000.0,1909000000.0,-92000000.0,1164000000.0,857000000.0,9460000000.0,9660000000.0,12521000000.0,4019000000.0,32220000000.0,25190000000.0,32856000000.0,29587000000.0,18951000000.0,5000000.0,3915000000.0,16538000000.0,2061000000.0,2325000000.0,-2236000000.0,3578000000.0,-2439000000.0,-1152000000.0,51000000.0,12470000000.0,-1711000000.0
US,AMZN,2016,Q3,2016-09-30,USD,32714000000.0,21260000000.0,2377000000.0,10879000000.0,609000000.0,2084000000.0,-92000000.0,481000000.0,252000000.0,9480000000.0,9700000000.0,13656000000.0,4691000000.0,35609000000.0,27177000000.0,35288000000.0,33498000000.0,19617000000.0,5000000.0,4167000000.0,17782000000.0,4017000000.0,3243000000.0,-2562000000.0,4659000000.0,-2570000000.0,-1000000000.0,1135000000.0,12521000000.0,-1841000000.0
US,AMZN,2016,Q4,2016-12-31,USD,43741000000.0,28959000000.0,3230000000.0,13527000000.0,1299000000.0,2297000000.0,-104000000.0,1162000000.0,749000000.0,9520000000.0,9720000000.0,19334000000.0,6647000000.0,45781000000.0,29114000000.0,37621000000.0,43816000000.0,20301000000.0,5000000.0,4916000000.0,19285000000.0,10545000000.0,6230000000.0,-3545000000.0,10652000000.0,-4174000000.0,-256000000.0,5678000000.0,13656000000.0,-2006000000.0
US,AMZN,2017,Q1,2017-03-31,USD,35714000000.0,22440000000.0,2715000000.0,12269000000.0,1092000000.0,2435000000.0,-100000000.0,953000000.0,724000000.0,9540000000.0,9800000000.0,15440000000.0,6091000000.0,39460000000.0,32632000000.0,41509000000.0,37399000000.0,21896000000.0,5000000.0,6327000000.0,21674000000.0,-5550000000.0,-597000000.0,-3245000000.0,-1619000000.0,-1350000000.0,-888000000.0,-3633000000.0,19934000000.0,-2148000000.0
US,AMZN,2017,Q2,2017-06-30,USD,37955000000.0,23451000000.0,3103000000.0,13876000000.0,809000000.0,2633000000.0,-99000000.0,664000000.0,197000000.0,9580000000.0,9840000000.0,13203000000.0,8248000000.0,41007000000.0,37083000000.0,46774000000.0,40520000000.0,24047000000.0,5000000.0,6524000000.0,23214000000.0,-454000000.0,-639000000.0,-3494000000.0,3850000000.0,-5274000000.0,-1274000000.0,-2450000000.0,16301000000.0,-3113000000.0
US,AMZN,2017,Q3,2017-09-30,USD,43744000000.0,27549000000.0,3439000000.0,15848000000.0,544000000.0,2912000000.0,-174000000.0,314000000.0,256000000.0,9620000000.0,9880000000.0,12767000000.0,11543000000.0,48578000000.0,45335000000.0,66689000000.0,47072000000.0,43537000000.0,5000000.0,6779000000.0,24658000000.0,-317000000.0,62000000.0,-3663000000.0,3777000000.0,-18478000000.0,14662000000.0,109000000.0,13851000000.0,-3074000000.0
US,AMZN,2017,Q4,2017-12-31,USD,60453000000.0,38495000000.0,4484000000.0,19831000000.0,2209000000.0,3498000000.0,-273000000.0,1871000000.0,1857000000.0,9660000000.0,9920000000.0,20522000000.0,10464000000.0,60197000000.0,48866000000.0,71113000000.0,57883000000.0,45718000000.0,5000000.0,8636000000.0,27709000000.0,-4193000000.0,-8063000000.0,51000000.0,12344000000.0,-2032000000.0,-2647000000.0,7755000000.0,12767000000.0,-4933000000.0
US,AMZN,2018,Q1,2018-03-31,USD,51042000000.0,30735000000.0,3766000000.0,18380000000.0,2246000000.0,3671000000.0,-250000000.0,1916000000.0,1629000000.0,9680000000.0,9960000000.0,16676000000.0,8287000000.0,50829000000.0,52331000000.0,75533000000.0,48045000000.0,46854000000.0,5000000.0,11199000000.0,31463000000.0,-8286000000.0,-1319000000.0,-128000000.0,-1791000000.0,-533000000.0,-2164000000.0,-4240000000.0,21856000000.0,-3098000000.0
US,AMZN,2018,Q2,2018-06-30,USD,52886000000.0,30632000000.0,4012000000.0,19271000000.0,2948000000.0,3630000000.0,-249000000.0,2608000000.0,2534000000.0,9720000000.0,10000000000.0,19823000000.0,7227000000.0,54481000000.0,54768000000.0,79619000000.0,50801000000.0,48304000000.0,5000000.0,13733000000.0,34995000000.0,-239000000.0,-488000000.0,195000000.0,7449000000.0,-2692000000.0,-1394000000.0,2920000000.0,17616000000.0,-3243000000.0
US,AMZN,2018,Q3,2018-09-30,USD,56576000000.0,33003000000.0,4344000000.0,19849000000.0,3748000000.0,3778000000.0,-241000000.0,3391000000.0,2883000000.0,9760000000.0,10020000000.0,20425000000.0,9340000000.0,59885000000.0,58019000000.0,83810000000.0,55324000000.0,49246000000.0,5000000.0,16616000000.0,39125000000.0,153000000.0,237000000.0,158000000.0,8588000000.0,-5572000000.0,-2369000000.0,496000000.0,20536000000.0,-3352000000.0
US,AMZN,2018,Q4,2018-12-31,USD,72383000000.0,44786000000.0,6029000000.0,23811000000.0,3737000000.0,4262000000.0,-237000000.0,3354000000.0,3027000000.0,9800000000.0,10020000000.0,31750000000.0,9500000000.0,75101000000.0,61797000000.0,87547000000.0,68391000000.0,50708000000.0,5000000.0,19625000000.0,43549000000.0,7329000000.0,3193000000.0,269000000.0,16477000000.0,-3572000000.0,-1761000000.0,11141000000.0,21032000000.0,-3734000000.0
US,AMZN,2019,Q1,2019-03-31,USD,59700000000.0,33920000000.0,4837000000.0,21360000000.0,4767000000.0,4854000000.0,-183000000.0,4397000000.0,3561000000.0,9820000000.0,10040000000.0,23115000000.0,13905000000.0,69431000000.0,81180000000.0,108671000000.0,63695000000.0,65997000000.0,5000000.0,23193000000.0,48410000000.0,-8110000000.0,-2044000000.0,-148000000.0,1846000000.0,-8123000000.0,-2377000000.0,-8666000000.0,32173000000.0,-3290000000.0
US,AMZN,2019,Q2,2019-06-30,USD,63404000000.0,36337000000.0,5561000000.0,23983000000.0,3272000000.0,5202000000.0,-168000000.0,2882000000.0,2625000000.0,9860000000.0,10060000000.0,22616000000.0,18847000000.0,76790000000.0,86372000000.0,114561000000.0,69678000000.0,68612000000.0,5000000.0,25818000000.0,53061000000.0,-858000000.0,-233000000.0,73000000.0,9118000000.0,-7549000000.0,-2158000000.0,-542000000.0,23507000000.0,-3562000000.0
US,AMZN,2019,Q3,2019-09-30,USD,69981000000.0,41302000000.0,6100000000.0,25522000000.0,3028000000.0,5563000000.0,-172000000.0,2628000000.0,2134000000.0,9900000000.0,10080000000.0,23255000000.0,20146000000.0,79054000000.0,90776000000.0,120045000000.0,72136000000.0,70455000000.0,5000000.0,27952000000.0,56508000000.0,-2111000000.0,-775000000.0,435000000.0,7892000000.0,-5074000000.0,-1960000000.0,589000000.0,22965000000.0,-4697000000.0
US,AMZN,2019,Q4,2019-12-31,USD,87436000000.0,53977000000.0,7583000000.0,29580000000.0,4508000000.0,6170000000.0,-244000000.0,4054000000.0,3268000000.0,9920000000.0,10100000000.0,36092000000.0,18929000000.0,96334000000.0,97846000000.0,128914000000.0,87812000000.0,75376000000.0,5000000.0,31220000000.0,62060000000.0,8642000000.0,3380000000.0,-444000000.0,19659000000.0,-3536000000.0,-3571000000.0,12856000000.0,23554000000.0,-5312000000.0
US,AMZN,2020,Q1,2020-03-31,USD,75452000000.0,44257000000.0,6280000000.0,27206000000.0,3785000000.0,5362000000.0,-200000000.0,3279000000.0,2535000000.0,9960000000.0,10120000000.0,27201000000.0,22091000000.0,85985000000.0,104058000000.0,135253000000.0,79711000000.0,76255000000.0,5000000.0,33755000000.0,65272000000.0,-7544000000.0,-2154000000.0,632000000.0,3064000000.0,-8894000000.0,-2591000000.0,-8905000000.0,36410000000.0,-6795000000.0
US,AMZN,2020,Q2,2020-06-30,USD,88912000000.0,52660000000.0,5925000000.0,30409000000.0,6624000000.0,5748000000.0,-268000000.0,6227000000.0,5243000000.0,10000000000.0,10180000000.0,37466000000.0,33925000000.0,110908000000.0,115054000000.0,147406000000.0,93896000000.0,90690000000.0,5000000.0,38998000000.0,73728000000.0,7036000000.0,1946000000.0,-487000000.0,20606000000.0,-17804000000.0,7408000000.0,10337000000.0,27505000000.0,-7459000000.0
US,AMZN,2020,Q3,2020-09-30,USD,96145000000.0,57106000000.0,7102000000.0,32845000000.0,7237000000.0,6523000000.0,-310000000.0,6900000000.0,6331000000.0,10020000000.0,10240000000.0,29930000000.0,38472000000.0,112969000000.0,134100000000.0,169210000000.0,101912000000.0,97492000000.0,5000000.0,45329000000.0,82775000000.0,-2489000000.0,-232000000.0,-984000000.0,11964000000.0,-15876000000.0,-4105000000.0,-7640000000.0,37842000000.0,-11063000000.0
US,AMZN,2020,Q4,2020-12-31,USD,125555000000.0,79284000000.0,9371000000.0,39398000000.0,8179000000.0,7618000000.0,-314000000.0,7787000000.0,7222000000.0,10040000000.0,10260000000.0,42122000000.0,42274000000.0,132733000000.0,150667000000.0,188462000000.0,126385000000.0,101406000000.0,5000000.0,52551000000.0,93404000000.0,16479000000.0,7462000000.0,-1814000000.0,30431000000.0,-17037000000.0,-1816000000.0,12175000000.0,30202000000.0,-14823000000.0
US,AMZN,2021,Q1,2021-03-31,USD,108518000000.0,62403000000.0,8194000000.0,37250000000.0,10667000000.0,7508000000.0,-294000000.0,10263000000.0,8107000000.0,10080000000.0,10260000000.0,33834000000.0,39436000000.0,121408000000.0,160789000000.0,201669000000.0,115404000000.0,104353000000.0,5000000.0,60658000000.0,103320000000.0,-13985000000.0,-3160000000.0,-1426000000.0,4213000000.0,-8666000000.0,-3476000000.0,-8222000000.0,42377000000.0,-12082000000.0
US,AMZN,2021,Q2,2021-06-30,USD,113080000000.0,64176000000.0,9682000000.0,41202000000.0,9069000000.0,8038000000.0,-329000000.0,8646000000.0,7778000000.0,10100000000.0,10280000000.0,40380000000.0,49514000000.0,140848000000.0,176848000000.0,219471000000.0,117792000000.0,127724000000.0,5000000.0,68436000000.0,114803000000.0,-6153000000.0,-1529000000.0,-1240000000.0,12715000000.0,-22080000000.0,15643000000.0,6512000000.0,34155000000.0,-14288000000.0
US,AMZN,2021,Q3,2021-09-30,USD,110812000000.0,62930000000.0,10163000000.0,43030000000.0,4808000000.0,8948000000.0,-374000000.0,4311000000.0,3156000000.0,10140000000.0,10300000000.0,29944000000.0,49044000000.0,138531000000.0,199303000000.0,243875000000.0,123994000000.0,137848000000.0,5000000.0,71592000000.0,120564000000.0,-9244000000.0,-1127000000.0,364000000.0,7313000000.0,-14828000000.0,-2776000000.0,-10490000000.0,40667000000.0,-15748000000.0
US,AMZN,2021,Q4,2021-12-31,USD,137412000000.0,82835000000.0,13335000000.0,51117000000.0,15416000000.0,9802000000.0,-364000000.0,14935000000.0,14323000000.0,10160000000.0,10320000000.0,36220000000.0,59829000000.0,161580000000.0,216363000000.0,258969000000.0,142266000000.0,140038000000.0,106000000.0,85915000000.0,138245000000.0,9771000000.0,10253000000.0,-11867000000.0,22086000000.0,-12580000000.0,-3100000000.0,6300000000.0,30177000000.0,-18935000000.0
US,AMZN,2022,Q1,2022-03-31,USD,116444000000.0,66499000000.0,10914000000.0,46276000000.0,-4793000000.0,9193000000.0,-364000000.0,-5266000000.0,-3844000000.0,10180000000.0,10180000000.0,36393000000.0,29992000000.0,133876000000.0,224629000000.0,276891000000.0,139508000000.0,137258000000.0,5000000.0,82071000000.0,134001000000.0,-18077000000.0,-4567000000.0,8904000000.0,-2790000000.0,906000000.0,1990000000.0,122000000.0,36477000000.0,-14951000000.0
US,AMZN,2022,Q2,2022-06-30,USD,121234000000.0,66424000000.0,12989000000.0,51493000000.0,-2069000000.0,9716000000.0,-425000000.0,-2665000000.0,-2028000000.0,10175000000.0,10175000000.0,37478000000.0,23232000000.0,133667000000.0,232136000000.0,286061000000.0,140291000000.0,148035000000.0,107000000.0,80043000000.0,131402000000.0,-8081000000.0,-1091000000.0,6226000000.0,8965000000.0,-12078000000.0,4626000000.0,1101000000.0,36599000000.0,-15724000000.0
US,AMZN,2022,Q3,2022-09-30,USD,127101000000.0,70268000000.0,14075000000.0,54308000000.0,3561000000.0,10327000000.0,-340000000.0,2941000000.0,2872000000.0,10191000000.0,10331000000.0,34947000000.0,23715000000.0,131463000000.0,239228000000.0,296899000000.0,140363000000.0,150510000000.0,107000000.0,82915000000.0,137489000000.0,-5254000000.0,34000000.0,-1149000000.0,11404000000.0,-15608000000.0,3016000000.0,-2522000000.0,37700000000.0,-16378000000.0
US,AMZN,2022,Q4,2022-12-31,USD,149204000000.0,85640000000.0,16151000000.0,60827000000.0,-268000000.0,13145000000.0,-249000000.0,-949000000.0,278000000.0,10220000000.0,10308000000.0,53888000000.0,16138000000.0,146791000000.0,252838000000.0,315884000000.0,155393000000.0,161239000000.0,108000000.0,83193000000.0,146043000000.0,10526000000.0,6282000000.0,3445000000.0,29173000000.0,-10821000000.0,86000000.0,19075000000.0,35178000000.0,-16592000000.0
US,AMZN,2023,Q1,2023-03-31,USD,127358000000.0,67791000000.0,13215000000.0,54793000000.0,4942000000.0,11123000000.0,-212000000.0,4120000000.0,3172000000.0,10250000000.0,10347000000.0,49343000000.0,15062000000.0,136221000000.0,259016000000.0,328157000000.0,147570000000.0,162282000000.0,108000000.0,86365000000.0,154526000000.0,-14317000000.0,-8148000000.0,534000000.0,4788000000.0,-15806000000.0,6354000000.0,-4519000000.0,54253000000.0,-14207000000.0
US,AMZN,2023,Q2,2023-06-30,USD,134383000000.0,69373000000.0,13947000000.0,57329000000.0,8403000000.0,11589000000.0,-179000000.0,7554000000.0,6750000000.0,10285000000.0,10449000000.0,49529000000.0,14441000000.0,140482000000.0,264116000000.0,337125000000.0,148238000000.0,160767000000.0,108000000.0,93115000000.0,168602000000.0,-6293000000.0,-4908000000.0,47000000.0,16476000000.0,-9673000000.0,-6539000000.0,333000000.0,49734000000.0,-11455000000.0
US,AMZN,2023,Q3,2023-09-30,USD,143083000000.0,75022000000.0,13112000000.0,56873000000.0,12995000000.0,12131000000.0,-30000000.0,12185000000.0,9879000000.0,10322000000.0,10558000000.0,49605000000.0,14564000000.0,142995000000.0,267226000000.0,343888000000.0,145214000000.0,158696000000.0,108000000.0,102994000000.0,182973000000.0,-4436000000.0,-4480000000.0,-990000000.0,21217000000.0,-11753000000.0,-8948000000.0,14000000.0,50067000000.0,-12479000000.0
US,AMZN,2023,Q4,2023-12-31,USD,169961000000.0,92553000000.0,15912000000.0,64199000000.0,14399000000.0,13820000000.0,188000000.0,13686000000.0,10624000000.0,10356000000.0,10610000000.0,73387000000.0,13393000000.0,172351000000.0,276690000000.0,355503000000.0,164917000000.0,161062000000.0,109000000.0,113618000000.0,201875000000.0,13505000000.0,-2042000000.0,-339000000.0,42465000000.0,-12601000000.0,-6746000000.0,23809000000.0,50081000000.0,-14588000000.0
US,AMZN,2024,Q1,2024-03-31,USD,143313000000.0,72633000000.0,12404000000.0,55373000000.0,13627000000.0,11684000000.0,349000000.0,12898000000.0,10431000000.0,10393000000.0,10670000000.0,72852000000.0,12222000000.0,163989000000.0,283263000000.0,366980000000.0,152965000000.0,161343000000.0,109000000.0,124049000000.0,216661000000.0,-9883000000.0,-4061000000.0,2734000000.0,18989000000.0,-17862000000.0,-1256000000.0,-558000000.0,73890000000.0,-14925000000.0
US,AMZN,2024,Q2,2024-06-30,USD,147977000000.0,73785000000.0,13553000000.0,59520000000.0,15834000000.0,12038000000.0,591000000.0,15252000000.0,13485000000.0,10447000000.0,10708000000.0,71178000000.0,17914000000.0,173307000000.0,295292000000.0,381511000000.0,158172000000.0,160199000000.0,110000000.0,137534000000.0,236447000000.0,-6084000000.0,-6795000000.0,-95000000.0,25281000000.0,-22138000000.0,-4490000000.0,-1659000000.0,73332000000.0,-17620000000.0
US,AMZN,2024,Q3,2024-09-30,USD,158877000000.0,80977000000.0,13322000000.0,60489000000.0,18640000000.0,13442000000.0,653000000.0,18034000000.0,15328000000.0,10501000000.0,10735000000.0,75091000000.0,12960000000.0,175792000000.0,314444000000.0,408834000000.0,161477000000.0,163998000000.0,110000000.0,152862000000.0,259151000000.0,-6674000000.0,-3987000000.0,-141000000.0,25971000000.0,-16899000000.0,-2758000000.0,7004000000.0,71673000000.0,-22620000000.0
US,AMZN,2024,Q4,2024-12-31,USD,187792000000.0,98893000000.0,15987000000.0,67696000000.0,22919000000.0,15631000000.0,678000000.0,22329000000.0,20004000000.0,10552000000.0,10771000000.0,78779000000.0,22423000000.0,190867000000.0,328806000000.0,434027000000.0,179431000000.0,159493000000.0,111000000.0,172866000000.0,285970000000.0,7100000000.0,1463000000.0,-486000000.0,45636000000.0,-37443000000.0,-3308000000.0,3635000000.0,78677000000.0,-27834000000.0
US,AMZN,2025,Q1,2025-03-31,USD,155667000000.0,76976000000.0,12391000000.0,60286000000.0,22220000000.0,14262000000.0,525000000.0,21680000000.0,17127000000.0,10603000000.0,10793000000.0,66207000000.0,28358000000.0,184645000000.0,351276000000.0,458611000000.0,176171000000.0,161218000000.0,111000000.0,189993000000.0,305867000000.0,-15753000000.0,-6735000000.0,-2817000000.0,17015000000.0,-29803000000.0,-47000000.0,-12419000000.0,82312000000.0,-25019000000.0
US,AMZN,2025,Q2,2025-06-30,USD,167702000000.0,80809000000.0,14381000000.0,67722000000.0,21373000000.0,15227000000.0,569000000.0,20842000000.0,18164000000.0,10637000000.0,10806000000.0,57741000000.0,35439000000.0,191420000000.0,379741000000.0,490750000000.0,186921000000.0,161474000000.0,112000000.0,208157000000.0,333775000000.0,-6163000000.0,-8042000000.0,-1258000000.0,32515000000.0,-39424000000.0,-2539000000.0,-8440000000.0,69893000000.0,-32183000000.0
US,AMZN,2025,Q3,2025-09-30,USD,180169000000.0,88670000000.0,14561000000.0,74077000000.0,28708000000.0,16796000000.0,562000000.0,28097000000.0,21187000000.0,10674000000.0,10845000000.0,66922000000.0,27275000000.0,196866000000.0,407891000000.0,531055000000.0,195196000000.0,163094000000.0,112000000.0,229344000000.0,369631000000.0,-7323000000.0,-6670000000.0,-10112000000.0,35525000000.0,-26073000000.0,-44000000.0,9011000000.0,61453000000.0,-35095000000.0
US,AMZN,2025,Q4,2025-12-31,USD,213386000000.0,109959000000.0,16968000000.0,78450000000.0,27284000000.0,19471000000.0,451000000.0,26138000000.0,21192000000.0,10709000000.0,10863000000.0,86810000000.0,36219000000.0,229083000000.0,443079000000.0,588959000000.0,218005000000.0,188972000000.0,112000000.0,250536000000.0,411065000000.0,9270000000.0,582000000.0,-693000000.0,54459000000.0,-47245000000.0,12291000000.0,19642000000.0,70464000000.0,-39522000000.0
US,AMZN,2026,Q1,2026-03-31,USD,181519000000.0,87463000000.0,12901000000.0,70204000000.0,23852000000.0,18945000000.0,335000000.0,39834000000.0,30255000000.0,10743000000.0,10874000000.0,101816000000.0,41273000000.0,255155000000.0,486199000000.0,661475000000.0,216756000000.0,257960000000.0,113000000.0,280791000000.0,441914000000.0,-12865000000.0,0.0,-27133000000.0,26032000000.0,-64212000000.0,52767000000.0,14586000000.0,90106000000.0,-44203000000.0
