country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,APP,2021-04-15,3.35619207,3.35619207,218.823723,218.823723,1.0,0.03409936845479764
US,APP,2021-04-16,3.35619207,3.35619207,204.727716,204.727716,1.0,0.012512120618889372
US,APP,2021-04-19,3.35619207,3.35619207,197.545465,197.545465,1.0,0.013832733357241977
US,APP,2021-04-20,3.35619207,3.35619207,201.874953,201.874953,1.0,0.009103996244172045
US,APP,2021-04-21,3.35619207,3.35619207,207.446232,207.446232,1.0,0.010747605991453284
US,APP,2021-04-22,3.35619207,3.35619207,208.419528,208.419528,1.0,0.002517987595388127
US,APP,2021-04-23,3.35619207,3.35619207,196.337236,196.337236,1.0,0.0036659165337936095
US,APP,2021-04-26,3.35619207,3.35619207,200.700286,200.700286,1.0,0.002372569815409879
US,APP,2021-04-27,3.35619207,3.35619207,197.511903,197.511903,1.0,0.001877878222863449
US,APP,2021-04-28,3.35619207,3.35619207,197.176284,197.176284,1.0,0.0009223697379155061
US,APP,2021-04-29,3.35619207,3.35619207,198.585885,198.585885,1.0,0.0008726973721739352
US,APP,2021-04-30,3.35619207,3.35619207,194.692702,194.692702,1.0,0.0008463252223821624
US,APP,2021-05-03,3.35619207,3.35619207,201.572896,201.572896,1.0,0.0015379244966751858
US,APP,2021-05-04,3.35619207,3.35619207,196.505046,196.505046,1.0,0.0026193018208281508
US,APP,2021-05-05,3.35619207,3.35619207,195.263255,195.263255,1.0,0.001921975818267159
US,APP,2021-05-06,3.35619207,3.35619207,191.068015,191.068015,1.0,0.003960947324447971
US,APP,2021-05-07,3.35619207,3.35619207,192.175558,192.175558,1.0,0.0016465178049240787
US,APP,2021-05-10,3.35619207,3.35619207,186.26866,186.26866,1.0,0.004017541224927571
US,APP,2021-05-11,3.35619207,3.35619207,179.422028,179.422028,1.0,0.004419854314237743
US,APP,2021-05-12,3.35619207,3.35619207,175.361036,175.361036,1.0,0.004026053848580841
US,APP,2021-05-13,3.35619207,3.35619207,167.373299,167.373299,1.0,0.004902982206259727
US,APP,2021-05-14,3.35619207,3.35619207,192.175558,192.175558,1.0,0.003572221061829754
US,APP,2021-05-17,3.35619207,3.35619207,209.560633,209.560633,1.0,0.0030794602288658646
US,APP,2021-05-18,3.35619207,3.35619207,215.769588,215.769588,1.0,0.0033432770729358166
US,APP,2021-05-19,3.35619207,3.35619207,216.84357,216.84357,1.0,0.0017987677326226446
US,APP,2021-05-20,3.35619207,3.35619207,227.885442,227.885442,1.0,0.0028728391578614274
US,APP,2021-05-21,3.35619207,3.35619207,229.395728,229.395728,1.0,0.0026229428520162137
US,APP,2021-05-24,3.35619207,3.35619207,235.973864,235.973864,1.0,0.0024849829288822556
US,APP,2021-05-25,3.35619207,3.35619207,234.765635,234.765635,1.0,0.003064708391376421
US,APP,2021-05-26,3.35619207,3.35619207,230.3019,230.3019,1.0,0.0015772935188420251
US,APP,2021-05-27,3.35619207,3.35619207,233.859463,233.859463,1.0,0.003315352568603143
US,APP,2021-05-28,3.35619207,3.35619207,249.398633,249.398633,1.0,0.002576115973005085
US,APP,2021-06-01,3.35619207,3.35619207,231.107386,231.107386,1.0,0.0030208640591895563
US,APP,2021-06-02,3.35619207,3.35619207,235.235502,235.235502,1.0,0.0014880614386291663
US,APP,2021-06-03,3.35619207,3.35619207,236.510855,236.510855,1.0,0.0010514833258634091
US,APP,2021-06-04,3.35619207,3.35619207,249.566442,249.566442,1.0,0.0015626995984172026
US,APP,2021-06-07,3.35619207,3.35619207,259.265837,259.265837,1.0,0.001972476503706178
US,APP,2021-06-08,3.35619207,3.35619207,266.716584,266.716584,1.0,0.0028060223621230356
US,APP,2021-06-09,3.35619207,3.35619207,269.334414,269.334414,1.0,0.0025740153780888946
US,APP,2021-06-10,3.35619207,3.35619207,274.737883,274.737883,1.0,0.0034598854171060595
US,APP,2021-06-11,3.35619207,3.35619207,276.61735,276.61735,1.0,0.0034105080285229327
US,APP,2021-06-14,3.35619207,3.35619207,274.838569,274.838569,1.0,0.0025919076794672243
US,APP,2021-06-15,3.35619207,3.35619207,274.033083,274.033083,1.0,0.0017539758980480518
US,APP,2021-06-16,3.35619207,3.35619207,287.994842,287.994842,1.0,0.004335577254373287
US,APP,2021-06-17,3.35619207,3.35619207,296.083264,296.083264,1.0,0.004097697543275585
US,APP,2021-06-18,3.35619207,3.35619207,296.049702,296.049702,1.0,0.007491350159825627
US,APP,2021-06-21,3.35619207,3.35619207,281.618077,281.618077,1.0,0.001849429314693542
US,APP,2021-06-22,3.35619207,3.35619207,269.502223,269.502223,1.0,0.0036193578158356114
US,APP,2021-06-23,3.35619207,3.35619207,273.496092,273.496092,1.0,0.0011569510680597014
US,APP,2021-06-24,3.35619207,3.35619207,283.59823,283.59823,1.0,0.002249069732174178
US,APP,2021-06-25,3.35619207,3.35619207,284.806459,284.806459,1.0,0.0016022503741867193
US,APP,2021-06-28,3.35619207,3.35619207,275.610493,275.610493,1.0,0.0024150912197346323
US,APP,2021-06-29,3.35619207,3.35619207,279.637923,279.637923,1.0,0.0018934851961556539
US,APP,2021-06-30,3.68427532,3.68427532,276.946976,276.946976,1.0,0.005988187115180089
US,APP,2021-07-01,3.68427532,3.68427532,261.509862,261.509862,1.0,0.0041371772400549045
US,APP,2021-07-02,3.68427532,3.68427532,265.525722,265.525722,1.0,0.001817953170774436
US,APP,2021-07-06,3.68427532,3.68427532,250.751778,250.751778,1.0,0.0037859439885724933
US,APP,2021-07-07,3.68427532,3.68427532,244.193768,244.193768,1.0,0.0025565353242927567
US,APP,2021-07-08,3.68427532,3.68427532,242.720058,242.720058,1.0,0.001694129634155571
US,APP,2021-07-09,3.68427532,3.68427532,243.825341,243.825341,1.0,0.000872969504352894
US,APP,2021-07-12,3.68427532,3.68427532,247.583302,247.583302,1.0,0.0010733426947039343
US,APP,2021-07-13,3.68427532,3.68427532,254.141312,254.141312,1.0,0.0021167120594016843
US,APP,2021-07-14,3.68427532,3.68427532,240.06738,240.06738,1.0,0.0014709107027321726
US,APP,2021-07-15,3.68427532,3.68427532,233.693584,233.693584,1.0,0.0025182672830216172
US,APP,2021-07-16,3.68427532,3.68427532,223.819726,223.819726,1.0,0.0018886129280913783
US,APP,2021-07-19,3.68427532,3.68427532,222.9355,222.9355,1.0,0.0019529919387240582
US,APP,2021-07-20,3.68427532,3.68427532,224.188153,224.188153,1.0,0.001495298130976813
US,APP,2021-07-21,3.68427532,3.68427532,220.430192,220.430192,1.0,0.0018101008803001182
US,APP,2021-07-22,3.68427532,3.68427532,230.96722,230.96722,1.0,0.0023670163716212173
US,APP,2021-07-23,3.68427532,3.68427532,233.398842,233.398842,1.0,0.0013024162374488343
US,APP,2021-07-26,3.68427532,3.68427532,230.525107,230.525107,1.0,0.0013222030323184425
US,APP,2021-07-27,3.68427532,3.68427532,230.819849,230.819849,1.0,0.0013181425323013048
US,APP,2021-07-28,3.68427532,3.68427532,240.251594,240.251594,1.0,0.001577753966552098
US,APP,2021-07-29,3.68427532,3.68427532,240.288436,240.288436,1.0,0.0011115021664558989
US,APP,2021-07-30,3.68427532,3.68427532,226.472404,226.472404,1.0,0.0010999585123296378
US,APP,2021-08-02,3.68427532,3.68427532,232.956728,232.956728,1.0,0.0008370954209795592
US,APP,2021-08-03,3.68427532,3.68427532,231.704075,231.704075,1.0,0.0009570267403360073
US,APP,2021-08-04,3.68427532,3.68427532,232.772515,232.772515,1.0,0.0009611415251127324
US,APP,2021-08-05,3.68427532,3.68427532,233.030414,233.030414,1.0,0.0009377909357762112
US,APP,2021-08-06,3.68427532,3.68427532,216.082748,216.082748,1.0,0.003976719633428481
US,APP,2021-08-09,3.68427532,3.68427532,212.10373,212.10373,1.0,0.0012207529593635255
US,APP,2021-08-10,3.68427532,3.68427532,210.703706,210.703706,1.0,0.0015793227961041739
US,APP,2021-08-11,3.68427532,3.68427532,215.530106,215.530106,1.0,0.0037909354722165554
US,APP,2021-08-12,3.68427532,3.68427532,209.856322,209.856322,1.0,0.006736361385717504
US,APP,2021-08-13,3.68427532,3.68427532,208.014185,208.014185,1.0,0.0028693756795569775
US,APP,2021-08-16,3.68427532,3.68427532,205.877305,205.877305,1.0,0.002151191024453623
US,APP,2021-08-17,3.68427532,3.68427532,230.525107,230.525107,1.0,0.006703459392931579
US,APP,2021-08-18,3.68427532,3.68427532,234.946237,234.946237,1.0,0.003646863720271589
US,APP,2021-08-19,3.68427532,3.68427532,247.214874,247.214874,1.0,0.00479214186414277
US,APP,2021-08-20,3.68427532,3.68427532,257.788744,257.788744,1.0,0.004003332736816205
US,APP,2021-08-23,3.68427532,3.68427532,263.646742,263.646742,1.0,0.0030337417888736938
US,APP,2021-08-24,3.68427532,3.68427532,274.478511,274.478511,1.0,0.0032073064507024953
US,APP,2021-08-25,3.68427532,3.68427532,282.21549,282.21549,1.0,0.002675383662695436
US,APP,2021-08-26,3.68427532,3.68427532,271.052135,271.052135,1.0,0.0034939788376076087
US,APP,2021-08-27,3.68427532,3.68427532,273.373229,273.373229,1.0,0.002201282286362899
US,APP,2021-08-30,3.68427532,3.68427532,270.057381,270.057381,1.0,0.002640777128458467
US,APP,2021-08-31,3.68427532,3.68427532,259.372983,259.372983,1.0,0.003539257755579461
US,APP,2021-09-01,3.68427532,3.68427532,273.741656,273.741656,1.0,0.007029572371914919
US,APP,2021-09-02,3.68427532,3.68427532,289.031399,289.031399,1.0,0.0051540284996942085
US,APP,2021-09-03,3.68427532,3.68427532,287.299789,287.299789,1.0,0.003031727824293001
US,APP,2021-09-07,3.68427532,3.68427532,272.783745,272.783745,1.0,0.003061657726491515
US,APP,2021-09-08,3.68427532,3.68427532,250.530722,250.530722,1.0,0.005566155680243788
US,APP,2021-09-09,3.68427532,3.68427532,261.915132,261.915132,1.0,0.0038773378098138443
US,APP,2021-09-10,3.68427532,3.68427532,285.089224,285.089224,1.0,0.008966124171197933
US,APP,2021-09-13,3.68427532,3.68427532,276.173278,276.173278,1.0,0.004091713753900455
US,APP,2021-09-14,3.68427532,3.68427532,278.641742,278.641742,1.0,0.005161660936892198
US,APP,2021-09-15,3.68427532,3.68427532,271.052135,271.052135,1.0,0.002981199570069047
US,APP,2021-09-16,3.68427532,3.68427532,263.867798,263.867798,1.0,0.0023373253223648877
US,APP,2021-09-17,3.68427532,3.68427532,268.03103,268.03103,1.0,0.004443074574567897
US,APP,2021-09-20,3.68427532,3.68427532,259.151926,259.151926,1.0,0.0022897311593966328
US,APP,2021-09-21,3.68427532,3.68427532,272.967958,272.967958,1.0,0.0017153034046326376
US,APP,2021-09-22,3.68427532,3.68427532,269.24684,269.24684,1.0,0.0027240119503338313
US,APP,2021-09-23,3.68427532,3.68427532,286.820834,286.820834,1.0,0.0035286722274599173
US,APP,2021-09-24,3.68427532,3.68427532,292.78936,292.78936,1.0,0.004199401145731965
US,APP,2021-09-27,3.68427532,3.68427532,282.583917,282.583917,1.0,0.0022381416381227447
US,APP,2021-09-28,3.68427532,3.68427532,267.883659,267.883659,1.0,0.00218511628495777
US,APP,2021-09-29,3.68427532,3.68427532,273.225858,273.225858,1.0,0.003182555314568619
US,APP,2021-09-30,3.24836076,3.24836076,235.083868,235.083868,1.0,0.0025152101640336278
US,APP,2021-10-01,3.24836076,3.24836076,242.912418,242.912418,1.0,0.003087603484041594
US,APP,2021-10-04,3.24836076,3.24836076,233.492171,233.492171,1.0,0.0016591568480835853
US,APP,2021-10-05,3.24836076,3.24836076,239.566606,239.566606,1.0,0.0028706848435147334
US,APP,2021-10-06,3.24836076,3.24836076,250.123779,250.123779,1.0,0.002580529263627726
US,APP,2021-10-07,3.24836076,3.24836076,275.915763,275.915763,1.0,0.016252594431660355
US,APP,2021-10-08,3.24836076,3.24836076,280.463468,280.463468,1.0,0.005912151210692497
US,APP,2021-10-11,3.24836076,3.24836076,283.939214,283.939214,1.0,0.004195057447991091
US,APP,2021-10-12,3.24836076,3.24836076,283.192091,283.192091,1.0,0.0045117494893024135
US,APP,2021-10-13,3.24836076,3.24836076,285.88823,285.88823,1.0,0.0036884449989477153
US,APP,2021-10-14,3.24836076,3.24836076,294.918673,294.918673,1.0,0.004939820785176583
US,APP,2021-10-15,3.24836076,3.24836076,298.329452,298.329452,1.0,0.0046403374236056215
US,APP,2021-10-18,3.24836076,3.24836076,299.531346,299.531346,1.0,0.002978329906928195
US,APP,2021-10-19,3.24836076,3.24836076,310.73819,310.73819,1.0,0.005579189424760814
US,APP,2021-10-20,3.24836076,3.24836076,303.16951,303.16951,1.0,0.007027827783512568
US,APP,2021-10-21,3.24836076,3.24836076,312.817141,312.817141,1.0,0.009942984288481555
US,APP,2021-10-22,3.24836076,3.24836076,306.158002,306.158002,1.0,0.007030515292888836
US,APP,2021-10-25,3.24836076,3.24836076,303.916633,303.916633,1.0,0.007301101002094361
US,APP,2021-10-26,3.24836076,3.24836076,305.378395,305.378395,1.0,0.00533008531971061
US,APP,2021-10-27,3.24836076,3.24836076,308.334403,308.334403,1.0,0.004818377993212798
US,APP,2021-10-28,3.24836076,3.24836076,318.014518,318.014518,1.0,0.004767081350902663
US,APP,2021-10-29,3.24836076,3.24836076,319.151445,319.151445,1.0,0.003230180012394929
US,APP,2021-11-01,3.24836076,3.24836076,323.179412,323.179412,1.0,0.003589878360678141
US,APP,2021-11-02,3.24836076,3.24836076,320.775625,320.775625,1.0,0.003252391215315629
US,APP,2021-11-03,3.24836076,3.24836076,319.508764,319.508764,1.0,0.004318448915138354
US,APP,2021-11-04,3.24836076,3.24836076,320.125953,320.125953,1.0,0.00421328510322234
US,APP,2021-11-05,3.24836076,3.24836076,319.866084,319.866084,1.0,0.0035349860586297685
US,APP,2021-11-08,3.24836076,3.24836076,323.666666,323.666666,1.0,0.004634910070764431
US,APP,2021-11-09,3.24836076,3.24836076,336.432724,336.432724,1.0,0.006569174909008567
US,APP,2021-11-10,3.24836076,3.24836076,310.965576,310.965576,1.0,0.009948894962023861
US,APP,2021-11-11,3.24836076,3.24836076,373.074233,373.074233,1.0,0.023198109929144693
US,APP,2021-11-12,3.24836076,3.24836076,364.985815,364.985815,1.0,0.009380257382495902
US,APP,2021-11-15,3.24836076,3.24836076,333.834035,333.834035,1.0,0.00803285470053517
US,APP,2021-11-16,3.24836076,3.24836076,354.168774,354.168774,1.0,0.009550176932934014
US,APP,2021-11-17,3.24836076,3.24836076,342.442191,342.442191,1.0,0.004633980371071838
US,APP,2021-11-18,3.24836076,3.24836076,323.666666,323.666666,1.0,0.007026347036651188
US,APP,2021-11-19,3.24836076,3.24836076,324.088953,324.088953,1.0,0.0036072655920150938
US,APP,2021-11-22,3.24836076,3.24836076,310.218453,310.218453,1.0,0.007480089742248949
US,APP,2021-11-23,3.24836076,3.24836076,301.870165,301.870165,1.0,0.004537587136719383
US,APP,2021-11-24,3.24836076,3.24836076,306.385387,306.385387,1.0,0.0026595075603609987
US,APP,2021-11-26,3.24836076,3.24836076,294.658805,294.658805,1.0,0.0028665442935593153
US,APP,2021-11-29,3.24836076,3.24836076,293.197042,293.197042,1.0,0.0042136606772703415
