country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,ASTS,2019,Q2,2019-06-30,USD,0.0,0.0,1093.0,1093.0,-1093.0,0.0,0.0,-1093.0,-1093.0,28750000.0,28750000.0,,,,,,,,,,,,,,,,,,,
US,ASTS,2019,Q3,2019-09-30,USD,0.0,94621.0,0.0,94621.0,110799.0,44646.0,0.0,110799.0,87761.0,28750000.0,28750000.0,0.0,230205420.0,230205420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87761.0,87761.0,0.0,0.0,87761.0,0.0,0.0
US,ASTS,2019,Q4,2019-12-31,USD,661000.0,44000.0,1784000.0,3508000.0,-2921000.0,44000.0,1032030.0,-2961000.0,-3167000.0,28750000.0,28750000.0,26498000.0,0.0,27739000.0,3782000.0,8209000.0,6199000.0,0.0,5171000.0,-15847000.0,27136000.0,525000.0,162000.0,-874000.0,-3450000.0,-1982000.0,30879000.0,25792620.0,705380.0,-1982000.0
US,ASTS,2020,Q1,2020-03-31,USD,773000.0,1028999.0,2178000.0,4370000.0,-4746000.0,120000.0,886099.0,-4735000.0,-4407000.0,28750000.0,28750000.0,519626.0,0.0,659869.0,0.0,232255412.0,420235.0,8128042.0,219367702.0,1502931.0,224367004.0,145397.0,145397.0,-8182727.0,-190647.0,217146.0,0.0,26498.0,493128.0,-3.0
US,ASTS,2020,Q2,2020-06-30,USD,402000.0,772000.0,2635000.0,5595000.0,-5951000.0,185000.0,17000.0,-5938000.0,-5589000.0,28750000.0,28750000.0,399260.0,0.0,496623.0,0.0,232074711.0,204608.0,8051699.0,219315723.0,1450954.0,224315027.0,-1313397.0,-1313397.0,-4244525.0,-9198353.0,-9494146.0,70338000.0,-120366.0,519626.0,-9276997.0
US,ASTS,2020,Q3,2020-09-30,USD,2090000.0,833000.0,2825000.0,6456000.0,-5199000.0,112000.0,14000.0,-5181000.0,-5531000.0,28750000.0,28750000.0,63074000.0,0.0,67691000.0,31586000.0,36136000.0,9738000.0,5660000.0,5581000.0,-31374000.0,86033000.0,1076000.0,44000.0,80000.0,-3672000.0,-11440000.0,0.0,-15054000.0,78128000.0,-11440000.0
US,ASTS,2020,Q4,2020-12-31,USD,2702000.0,391000.0,4682000.0,10288000.0,-8447000.0,636000.0,0.0,-8420000.0,-8534000.0,28750000.0,28750000.0,42777000.0,0.0,50932000.0,44115000.0,48713000.0,13117000.0,6541000.0,0.0,-39908000.0,77497000.0,-1537000.0,82000.0,-143000.0,-9746000.0,-9687000.0,-675000.0,42419987.0,357013.0,-9664000.0
US,ASTS,2021,Q1,2021-03-31,USD,951000.0,896000.0,5537000.0,12114000.0,-12059000.0,614000.0,21197.0,-12087000.0,-11580000.0,51730000.0,51730000.0,22213000.0,0.0,34048000.0,55740000.0,60122000.0,19725000.0,6439000.0,5832000.0,-51488000.0,66090000.0,2491000.0,1992000.0,100000.0,-8527000.0,-11423000.0,-595000.0,-20564000.0,42777000.0,-11423000.0
US,ASTS,2021,Q2,2021-06-30,USD,2773000.0,1112000.0,9157000.0,25097000.0,-23436000.0,568000.0,6000.0,-65113000.0,-19978000.0,51730000.0,51730000.0,402612000.0,0.0,414592000.0,60977000.0,68058000.0,15604000.0,121849000.0,18000.0,-71466000.0,96476000.0,-7372588.0,-7372588.0,-12563855.0,-37509763.0,-18901228.0,366397406.0,352559264.0,50052736.0,-18597997.0
US,ASTS,2021,Q3,2021-09-30,USD,2450000.0,2103000.0,9331000.0,23112000.0,-22765000.0,867000.0,4000.0,16820000.0,4115000.0,51730000.0,51840000.0,360390000.0,0.0,370589000.0,83369000.0,90418000.0,15378000.0,82541000.0,18000.0,-67351000.0,101658000.0,62000.0,-285000.0,134000.0,-20240000.0,-21896000.0,0.0,-42222000.0,402612000.0,-21896000.0
US,ASTS,2021,Q4,2021-12-31,USD,6220000.0,3441000.0,11605000.0,30396000.0,-28481000.0,864000.0,0.0,-12545000.0,-3110000.0,51730000.0,51731000.0,321787000.0,0.0,335803000.0,103933000.0,108133000.0,21377000.0,70587000.0,18000.0,-70461000.0,100279000.0,6592000.0,3041000.0,-25898000.0,-21483000.0,-14298000.0,63000.0,-35853000.0,360390000.0,-14298000.0
US,ASTS,2022,Q1,2022-03-31,USD,2394000.0,1986000.0,11619000.0,32740000.0,-32332000.0,1100000.0,0.0,-37799000.0,-10721000.0,51761000.0,51761000.0,253731000.0,0.0,272929000.0,122840000.0,141657000.0,22912000.0,75796001.0,18000.0,-81182000.0,91038999.0,-18611000.0,-20368000.0,-19446000.0,-47508000.0,-21567000.0,130000.0,-69427000.0,324537000.0,-21567000.0
