country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,ASTS,2019-11-01,0.391575,0.391575,3.825688,3.825688,1.0,0.007661367554108408
US,ASTS,2019-11-04,0.391575,0.391575,3.825688,3.825688,1.0,2.809168103173083e-07
US,ASTS,2019-11-05,0.391575,0.391575,3.825688,3.825688,1.0,2.809168103173083e-07
US,ASTS,2019-11-06,0.391575,0.391575,3.825688,3.825688,1.0,0.004116478324714295
US,ASTS,2019-11-07,0.391575,0.391575,3.825688,3.825688,1.0,
US,ASTS,2019-11-08,0.391575,0.391575,3.825688,3.825688,1.0,
US,ASTS,2019-11-11,0.391575,0.391575,3.825688,3.825688,1.0,
US,ASTS,2019-11-12,0.391575,0.391575,3.829604,3.829604,1.0,2.5537891847028028e-05
US,ASTS,2019-11-13,0.391575,0.391575,3.829604,3.829604,1.0,0.010036417033773863
US,ASTS,2019-11-14,0.391575,0.391575,3.964697,3.964697,1.0,
US,ASTS,2019-11-15,0.391575,0.391575,3.970571,3.970571,1.0,1.2768945923514014e-05
US,ASTS,2019-11-18,0.391575,0.391575,3.978402,3.978402,1.0,0.007983144991380961
US,ASTS,2019-11-19,0.391575,0.391575,3.837435,3.837435,1.0,0.013604060524803677
US,ASTS,2019-11-20,0.391575,0.391575,3.845267,3.845267,1.0,2.553789184702803e-06
US,ASTS,2019-11-21,0.391575,0.391575,3.849182,3.849182,1.0,0.013369086381919172
US,ASTS,2019-11-22,0.391575,0.391575,3.849182,3.849182,1.0,0.006353750877865032
US,ASTS,2019-11-25,0.391575,0.391575,3.849065,3.849065,1.0,2.252442060907872e-05
US,ASTS,2019-11-26,0.391575,0.391575,3.849182,3.849182,1.0,9.214071378407713e-05
US,ASTS,2019-11-27,0.391575,0.391575,3.849182,3.849182,1.0,1.0215156738811212e-07
US,ASTS,2019-11-29,0.391575,0.391575,3.84464,3.84464,1.0,0.0015547979314307603
US,ASTS,2019-12-02,0.391575,0.391575,3.849182,3.849182,1.0,0.0001659962970056822
US,ASTS,2019-12-03,0.391575,0.391575,3.849182,3.849182,1.0,
US,ASTS,2019-12-04,0.391575,0.391575,3.857014,3.857014,1.0,0.008069973823660858
US,ASTS,2019-12-05,0.391575,0.391575,3.857014,3.857014,1.0,1.1492051331162612e-06
US,ASTS,2019-12-06,0.391575,0.391575,3.856975,3.856975,1.0,1.1492051331162612e-05
US,ASTS,2019-12-09,0.391575,0.391575,3.849182,3.849182,1.0,0.0008120028091681032
US,ASTS,2019-12-10,0.391575,0.391575,3.849182,3.849182,1.0,0.002788737789695461
US,ASTS,2019-12-11,0.391575,0.391575,3.849182,3.849182,1.0,4.596820532465045e-07
US,ASTS,2019-12-12,0.391575,0.391575,3.853098,3.853098,1.0,0.0039630211326055036
US,ASTS,2019-12-13,0.391575,0.391575,3.853098,3.853098,1.0,2.5537891847028026e-07
US,ASTS,2019-12-16,0.391575,0.391575,3.857014,3.857014,1.0,0.00011359254293558067
US,ASTS,2019-12-17,0.391575,0.391575,3.86093,3.86093,1.0,0.002563800038306838
US,ASTS,2019-12-18,0.391575,0.391575,3.857014,3.857014,1.0,0.00110625039902956
US,ASTS,2019-12-19,0.391575,0.391575,3.864845,3.864845,1.0,7.150609717167848e-05
US,ASTS,2019-12-20,0.391575,0.391575,3.864845,3.864845,1.0,
US,ASTS,2019-12-23,0.391575,0.391575,3.864845,3.864845,1.0,
US,ASTS,2019-12-24,0.391575,0.391575,3.864845,3.864845,1.0,
US,ASTS,2019-12-26,0.391575,0.391575,3.864845,3.864845,1.0,
US,ASTS,2019-12-27,0.391575,0.391575,3.864845,3.864845,1.0,
US,ASTS,2019-12-30,0.391575,0.391575,3.864845,3.864845,1.0,2.553789184702803e-08
