country,code,time,open,high,low,close,volume,amount
US,ASTS,2019-11-01,9.77,9.77,9.77,9.77,300000.0,2931000.0
US,ASTS,2019-11-04,9.77,9.77,9.77,9.77,11.0,107.47
US,ASTS,2019-11-05,9.77,9.77,9.77,9.77,11.0,107.47
US,ASTS,2019-11-06,9.78,9.78,9.77,9.77,161191.0,1574836.07
US,ASTS,2019-11-07,9.77,9.77,9.77,9.77,0.0,0.0
US,ASTS,2019-11-08,9.77,9.77,9.77,9.77,0.0,0.0
US,ASTS,2019-11-11,9.77,9.77,9.77,9.77,0.0,0.0
US,ASTS,2019-11-12,9.78,9.78,9.78,9.78,1000.0,9780.0
US,ASTS,2019-11-13,9.78,9.79,9.78,9.78,393001.0,3843549.78
US,ASTS,2019-11-14,10.125,10.125,10.125,10.125,0.0,0.0
US,ASTS,2019-11-15,10.14,10.14,10.14,10.14,500.0,5070.0
US,ASTS,2019-11-18,10.15,10.16,10.14,10.16,312600.0,3172890.0
US,ASTS,2019-11-19,9.79,9.82,9.79,9.8,532701.0,5220469.8
US,ASTS,2019-11-20,9.82,9.82,9.82,9.82,100.0,982.0
US,ASTS,2019-11-21,9.82,9.83,9.82,9.83,523500.0,5146005.0
US,ASTS,2019-11-22,9.85,9.85,9.83,9.83,248797.0,2448162.48
US,ASTS,2019-11-25,9.84,9.84,9.8297,9.8297,882.0,8670.06
US,ASTS,2019-11-26,9.83,9.83,9.83,9.83,3608.0,35466.64
US,ASTS,2019-11-27,9.83,9.83,9.83,9.83,4.0,39.32
US,ASTS,2019-11-29,9.81,9.8184,9.81,9.8184,60882.0,597252.42
US,ASTS,2019-12-02,9.82,9.84,9.82,9.83,6500.0,63895.0
US,ASTS,2019-12-03,9.83,9.83,9.83,9.83,0.0,0.0
US,ASTS,2019-12-04,9.83,9.9,9.83,9.85,316000.0,3115760.0
US,ASTS,2019-12-05,9.85,9.85,9.85,9.85,45.0,443.25
US,ASTS,2019-12-06,9.8499,9.8499,9.8499,9.8499,450.0,4432.5
US,ASTS,2019-12-09,9.83,9.83,9.83,9.83,31796.0,312554.68
US,ASTS,2019-12-10,9.83,9.83,9.83,9.83,109200.0,1073436.0
US,ASTS,2019-12-11,9.83,9.83,9.83,9.83,18.0,176.94
US,ASTS,2019-12-12,9.83,9.84,9.83,9.84,155182.0,1526990.88
US,ASTS,2019-12-13,9.84,9.84,9.84,9.84,10.0,98.4
US,ASTS,2019-12-16,9.85,9.85,9.85,9.85,4448.0,43812.8
US,ASTS,2019-12-17,9.85,9.87,9.85,9.86,100392.0,989865.12
US,ASTS,2019-12-18,9.85,9.85,9.85,9.85,43318.0,426682.3
US,ASTS,2019-12-19,9.87,9.87,9.87,9.87,2800.0,27636.0
US,ASTS,2019-12-20,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2019-12-23,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2019-12-24,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2019-12-26,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2019-12-27,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2019-12-30,9.87,9.87,9.87,9.87,1.0,9.87
US,ASTS,2019-12-31,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2020-01-02,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2020-01-03,9.87,9.89,9.87,9.89,105006.0,1037459.28
US,ASTS,2020-01-06,9.9,9.9,9.89,9.89,127300.0,1258997.0
US,ASTS,2020-01-07,9.92,9.92,9.92,9.92,200.0,1984.0
US,ASTS,2020-01-08,9.92,9.92,9.92,9.92,0.0,0.0
US,ASTS,2020-01-09,9.92,9.92,9.92,9.92,50000.0,496000.0
US,ASTS,2020-01-10,9.92,9.92,9.9,9.9,253200.0,2509212.0
US,ASTS,2020-01-13,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-01-14,9.92,9.94,9.92,9.94,49273.0,489280.89
US,ASTS,2020-01-15,9.95,9.96,9.94,9.94,35282.0,351055.9
US,ASTS,2020-01-16,9.95,9.95,9.95,9.95,154249.0,1534777.55
US,ASTS,2020-01-17,9.95,9.95,9.95,9.95,50100.0,498495.0
US,ASTS,2020-01-21,9.97,9.98,9.97,9.98,101704.0,1015005.92
US,ASTS,2020-01-22,10.0,10.0,10.0,10.0,26103.0,261030.0
US,ASTS,2020-01-23,10.0,10.01,9.99,9.99,226300.0,2263000.0
US,ASTS,2020-01-24,10.0,10.0,9.99,9.99,246447.0,2462005.53
US,ASTS,2020-01-27,9.99,9.99,9.98,9.99,105400.0,1052946.0
US,ASTS,2020-01-28,10.04,10.04,10.04,10.04,400.0,4016.0
US,ASTS,2020-01-29,10.02,10.02,10.01,10.01,1600.0,16016.0
US,ASTS,2020-01-30,10.01,10.01,10.01,10.01,11.0,110.11
US,ASTS,2020-01-31,10.0,10.0,10.0,10.0,200.0,2000.0
US,ASTS,2020-02-03,10.0,10.01,10.0,10.01,18221.0,182392.21
US,ASTS,2020-02-04,10.0,10.0,10.0,10.0,3400.0,34000.0
US,ASTS,2020-02-05,10.0,10.0,10.0,10.0,300.0,3000.0
US,ASTS,2020-02-06,10.0,10.0,10.0,10.0,1.0,10.0
US,ASTS,2020-02-07,10.01,10.01,10.0,10.0,1421.0,14210.0
US,ASTS,2020-02-10,10.0,10.01,9.99,10.01,121303.0,1213030.0
US,ASTS,2020-02-11,10.0,10.0,10.0,10.0,100000.0,1000000.0
US,ASTS,2020-02-12,10.0,10.0,10.0,10.0,0.0,0.0
US,ASTS,2020-02-13,10.01,10.01,10.01,10.01,196213.0,1964092.13
US,ASTS,2020-02-14,10.01,10.01,10.0,10.0,150226.0,1502260.0
US,ASTS,2020-02-18,10.01,10.0184,10.01,10.01,176701.0,1768777.01
US,ASTS,2020-02-19,10.01,10.01,10.01,10.01,0.0,0.0
US,ASTS,2020-02-20,10.01,10.01,10.01,10.01,0.0,0.0
US,ASTS,2020-02-21,10.01,10.01,10.01,10.01,0.0,0.0
US,ASTS,2020-02-24,10.01,10.01,10.01,10.01,57000.0,570570.0
US,ASTS,2020-02-25,10.0,10.0,10.0,10.0,120200.0,1202000.0
US,ASTS,2020-02-26,10.0,10.01,10.0,10.01,88550.0,886385.5
US,ASTS,2020-02-27,10.0,10.0,9.98,9.98,207800.0,2075922.0
US,ASTS,2020-02-28,9.98,9.98,9.98,9.98,0.0,0.0
US,ASTS,2020-03-02,9.98,9.98,9.98,9.98,0.0,0.0
US,ASTS,2020-03-03,9.98,9.98,9.98,9.98,0.0,0.0
US,ASTS,2020-03-04,9.98,9.98,9.98,9.98,0.0,0.0
US,ASTS,2020-03-05,9.98,10.0973,9.97,9.97,100501.0,1006015.01
US,ASTS,2020-03-06,9.97,9.9727,9.97,9.9727,300238.0,2993372.86
US,ASTS,2020-03-09,9.95,9.95,9.95,9.95,100044.0,995437.8
US,ASTS,2020-03-10,9.95,9.9502,9.91,9.91,748655.0,7426657.6
US,ASTS,2020-03-11,9.91,9.91,9.91,9.91,26.0,257.66
US,ASTS,2020-03-12,9.88,9.88,9.76,9.7952,1618305.0,15875572.05
US,ASTS,2020-03-13,9.82,9.95,9.8,9.8,1549.0,15257.65
US,ASTS,2020-03-16,9.6,9.62,9.6,9.6,666397.0,6404075.17
US,ASTS,2020-03-17,9.55,9.805,9.55,9.6,115818.0,1117643.7
US,ASTS,2020-03-18,9.5001,9.52,9.5,9.52,272201.0,2588631.51
US,ASTS,2020-03-19,9.51,9.51,9.51,9.51,177314.0,1686256.14
US,ASTS,2020-03-20,9.51,9.51,9.51,9.51,150000.0,1426500.0
US,ASTS,2020-03-23,9.51,9.51,9.51,9.51,0.0,0.0
US,ASTS,2020-03-24,9.6288,9.6288,9.6,9.6288,9210.0,88600.2
US,ASTS,2020-03-25,9.675,9.69,9.675,9.69,120123.0,1163991.87
US,ASTS,2020-03-26,9.69,9.96,9.69,9.73,36424.0,356590.96
US,ASTS,2020-03-27,9.8,9.8,9.8,9.8,1001.0,9809.8
US,ASTS,2020-03-30,9.8,9.8,9.8,9.8,0.0,0.0
US,ASTS,2020-03-31,9.77,9.77,9.77,9.77,290.0,2833.3
US,ASTS,2020-04-01,10.08,10.1,10.08,10.1,4814.0,48573.26
US,ASTS,2020-04-02,9.95,9.95,9.95,9.95,327678.0,3260396.1
US,ASTS,2020-04-03,9.8,9.85,9.75,9.85,102647.0,1007993.54
US,ASTS,2020-04-06,9.82,9.82,9.82,9.82,177.0,1738.14
US,ASTS,2020-04-07,9.82,9.82,9.82,9.82,0.0,0.0
US,ASTS,2020-04-08,9.8697,9.8697,9.8697,9.8697,537.0,5300.19
US,ASTS,2020-04-09,9.8139,9.8139,9.8139,9.8139,229.0,2247.406
US,ASTS,2020-04-13,9.85,9.85,9.85,9.85,245.0,2413.25
US,ASTS,2020-04-14,9.85,9.875,9.85,9.87,9211.0,90912.57
US,ASTS,2020-04-15,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2020-04-16,9.87,9.87,9.87,9.87,0.0,0.0
US,ASTS,2020-04-17,9.84,9.84,9.84,9.84,203.0,1997.52
US,ASTS,2020-04-20,9.84,9.84,9.84,9.84,0.0,0.0
US,ASTS,2020-04-21,9.84,9.84,9.84,9.84,0.0,0.0
US,ASTS,2020-04-22,9.84,9.84,9.84,9.84,0.0,0.0
US,ASTS,2020-04-23,9.9,9.9,9.885,9.9,1028.0,10177.2
US,ASTS,2020-04-24,9.93,9.93,9.93,9.93,25022.0,248468.46
US,ASTS,2020-04-27,9.93,9.93,9.93,9.93,1.0,9.93
US,ASTS,2020-04-28,9.93,9.93,9.93,9.93,0.0,0.0
US,ASTS,2020-04-29,9.89,9.89,9.88,9.88,100416.0,992110.08
US,ASTS,2020-04-30,9.88,9.88,9.88,9.88,4169.0,41189.72
US,ASTS,2020-05-01,9.88,9.92,9.88,9.92,58766.0,582371.06
US,ASTS,2020-05-04,9.92,9.92,9.92,9.92,1.0,9.92
US,ASTS,2020-05-05,9.92,9.92,9.92,9.92,10.0,99.2
US,ASTS,2020-05-06,9.88,9.9136,9.87,9.9136,99321.0,983277.9
US,ASTS,2020-05-07,9.9136,9.9136,9.9136,9.9136,13.0,128.882
US,ASTS,2020-05-08,9.9,9.9001,9.9,9.9,8400.0,83160.0
US,ASTS,2020-05-11,9.9,9.9,9.9,9.9,1.0,9.9
US,ASTS,2020-05-12,9.9,9.9,9.9,9.9,3000.0,29700.0
US,ASTS,2020-05-13,9.9,9.9,9.9,9.9,200.0,1980.0
US,ASTS,2020-05-14,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-15,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-18,9.9,9.9,9.9,9.9,1.0,9.9
US,ASTS,2020-05-19,9.9,9.9,9.9,9.9,20.0,198.0
US,ASTS,2020-05-20,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-21,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-22,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-26,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-27,9.9,9.9,9.9,9.9,10.0,99.0
US,ASTS,2020-05-28,9.9,9.9,9.9,9.9,0.0,0.0
US,ASTS,2020-05-29,9.9,9.9,9.87,9.87,109025.0,1077167.0
US,ASTS,2020-06-01,9.92,9.93,9.92,9.93,200600.0,1991958.0
US,ASTS,2020-06-02,9.93,9.93,9.93,9.93,2264.0,22481.52
US,ASTS,2020-06-03,9.93,9.93,9.93,9.93,0.0,0.0
US,ASTS,2020-06-04,9.93,9.93,9.93,9.93,0.0,0.0
US,ASTS,2020-06-05,9.92,9.92,9.92,9.92,300000.0,2976000.0
US,ASTS,2020-06-08,9.955,9.955,9.955,9.955,101.0,1005.455
US,ASTS,2020-06-09,9.93,9.95,9.92,9.92,45367.0,450494.31
US,ASTS,2020-06-10,9.93,9.93,9.92,9.92,25021.0,248208.32
US,ASTS,2020-06-11,9.92,9.93,9.92,9.92,95000.0,942400.0
US,ASTS,2020-06-12,10.01,10.01,9.92,9.92,202461.0,2014486.95
US,ASTS,2020-06-15,9.92,9.92,9.92,9.92,200023.0,1984228.16
US,ASTS,2020-06-16,10.0,10.0,9.97,9.97,542924.0,5418381.52
US,ASTS,2020-06-17,9.97,9.97,9.97,9.97,79.0,787.63
US,ASTS,2020-06-18,9.97,9.97,9.97,9.97,30151.0,300605.47
US,ASTS,2020-06-19,9.98,10.02,9.98,10.02,100507.0,1006075.07
US,ASTS,2020-06-22,10.02,10.05,10.02,10.05,63437.0,636907.48
US,ASTS,2020-06-23,10.05,10.0782,10.05,10.0782,88903.0,895253.21
US,ASTS,2020-06-24,10.04,10.04,10.04,10.04,52064.0,522722.56
US,ASTS,2020-06-25,10.04,10.04,10.04,10.04,53570.0,537842.8
US,ASTS,2020-06-26,10.04,10.04,10.04,10.04,253.0,2540.12
US,ASTS,2020-06-29,10.045,10.15,10.03,10.15,29600.0,299256.0
US,ASTS,2020-06-30,10.1,10.12,10.07,10.08,105100.0,1060459.0
US,ASTS,2020-07-01,10.081,10.15,10.08,10.15,3100.0,31403.0
US,ASTS,2020-07-02,10.09,10.22,10.09,10.22,34000.0,346120.0
US,ASTS,2020-07-06,10.22,10.22,10.2,10.2,55000.0,561550.0
US,ASTS,2020-07-07,10.18,10.18,10.18,10.18,3000.0,30540.0
US,ASTS,2020-07-08,10.15,10.151,10.1,10.1,3300.0,33396.0
US,ASTS,2020-07-09,10.13,10.13,10.12,10.12,4800.0,48576.0
US,ASTS,2020-07-10,10.18,10.18,10.08,10.1,23800.0,240856.0
US,ASTS,2020-07-13,10.139,10.147,10.12,10.12,12100.0,122573.0
US,ASTS,2020-07-14,10.15,10.15,10.12,10.12,84900.0,860037.0
US,ASTS,2020-07-15,10.134,10.175,10.134,10.17,68400.0,694944.0
US,ASTS,2020-07-16,10.12,10.18,10.11,10.18,10600.0,107696.0
US,ASTS,2020-07-17,10.13,10.13,10.13,10.13,930.0,9420.9
US,ASTS,2020-07-20,10.2,10.2,10.2,10.2,128224.0,1307884.8
US,ASTS,2020-07-21,10.25,10.285,10.249,10.26,72763.0,746548.38
US,ASTS,2020-07-22,10.27,10.3,10.27,10.3,175552.0,1806430.08
US,ASTS,2020-07-23,10.25,10.3,10.25,10.3,182434.0,1875421.52
US,ASTS,2020-07-24,10.15,10.2,10.15,10.2,3135.0,31914.3
US,ASTS,2020-07-27,10.25,10.25,10.21,10.21,447.0,4568.34
US,ASTS,2020-07-28,10.3,10.3,10.3,10.3,240.0,2472.0
US,ASTS,2020-07-29,10.21,10.23,10.2,10.2,2568.0,26219.28
US,ASTS,2020-07-30,10.1999,10.2,10.15,10.175,404650.0,4119337.0
US,ASTS,2020-07-31,10.1,10.18,10.1,10.18,158091.0,1604623.65
US,ASTS,2020-08-03,10.19,10.19,10.185,10.185,3100.0,31589.0
US,ASTS,2020-08-04,10.22,10.22,10.2,10.2,161528.0,1649200.88
US,ASTS,2020-08-05,10.2,10.2,10.2,10.2,21.0,214.2
US,ASTS,2020-08-06,10.2,10.2,10.2,10.2,25194.0,256978.8
US,ASTS,2020-08-07,10.15,10.19,10.15,10.15,6169.0,62677.04
US,ASTS,2020-08-10,10.11,10.1173,10.08,10.08,4036.0,40723.24
US,ASTS,2020-08-11,10.08,10.08,10.06,10.06,6005.0,60470.35
US,ASTS,2020-08-12,10.06,10.06,10.06,10.06,8001.0,80490.06
US,ASTS,2020-08-13,10.0999,10.0999,10.0999,10.0999,400.0,4040.0
US,ASTS,2020-08-14,10.1,10.1,10.06,10.06,1855.0,18679.85
US,ASTS,2020-08-17,10.06,10.08,10.04,10.04,811727.0,8157856.35
US,ASTS,2020-08-18,10.04,10.05,10.03,10.03,272069.0,2731572.76
US,ASTS,2020-08-19,10.09,10.1,10.05,10.06,116759.0,1175763.13
US,ASTS,2020-08-20,10.05,10.06,10.04,10.04,6100.0,61305.0
US,ASTS,2020-08-21,10.1,10.1,9.99,10.015,12123.0,121714.92
US,ASTS,2020-08-24,10.04,10.055,10.0373,10.055,2606.0,26190.3
US,ASTS,2020-08-25,10.04,10.05,10.04,10.04,101834.0,1022413.36
US,ASTS,2020-08-26,10.06,10.06,10.05,10.05,321000.0,3226050.0
US,ASTS,2020-08-27,10.06,10.08,10.05,10.06,63016.0,633940.96
US,ASTS,2020-08-28,10.05,10.14,10.03,10.09,380029.0,3834492.61
US,ASTS,2020-08-31,10.1,10.14,10.05,10.1,122987.0,1242168.7
US,ASTS,2020-09-01,10.1,10.11,10.08,10.1,60441.0,610454.1
US,ASTS,2020-09-02,10.125,10.15,10.09,10.15,89103.0,902613.39
US,ASTS,2020-09-03,10.15,10.15,10.05,10.05,11701.0,117946.08
US,ASTS,2020-09-04,10.05,10.05,10.05,10.05,1.0,10.05
US,ASTS,2020-09-08,10.08,10.1,10.08,10.1,29110.0,293719.9
US,ASTS,2020-09-09,10.1,10.15,10.1,10.15,5520.0,55917.6
US,ASTS,2020-09-10,10.2,10.2,10.1,10.18,342381.0,3478590.96
US,ASTS,2020-09-11,10.15,10.15,10.1,10.1,5670.0,57380.4
US,ASTS,2020-09-14,10.0999,10.1,10.06,10.08,18606.0,187548.48
US,ASTS,2020-09-15,10.03,10.09,10.03,10.09,1069.0,10764.83
US,ASTS,2020-09-16,10.1,10.2,10.08,10.2,64128.0,651540.48
US,ASTS,2020-09-17,10.19,10.19,10.1,10.16,17945.0,182141.75
US,ASTS,2020-09-18,10.16,10.2,10.16,10.16,112319.0,1142284.23
US,ASTS,2020-09-21,10.12,10.21,10.05,10.12,30856.0,312571.28
US,ASTS,2020-09-22,10.18,10.2,10.11,10.16,7406.0,75244.96
US,ASTS,2020-09-23,10.16,10.18,10.16,10.18,5386.0,54775.62
US,ASTS,2020-09-24,10.13,10.15,10.09,10.1,30120.0,304513.2
US,ASTS,2020-09-25,10.15,10.15,10.104,10.11,6519.0,65972.28
