country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,BE,2018-07-25,0.81321,0.81321,20.33025,20.33025,1.0,0.16858645368355038
US,BE,2018-07-26,0.81321,0.81321,17.085542,17.085542,1.0,0.044624057746461554
US,BE,2018-07-27,0.81321,0.81321,18.378546,18.378546,1.0,0.016247217815816332
US,BE,2018-07-30,0.81321,0.81321,19.395059,19.395059,1.0,0.015206281280358088
US,BE,2018-07-31,0.81321,0.81321,18.744491,18.744491,1.0,0.03201727721006874
US,BE,2018-08-01,0.81321,0.81321,19.110435,19.110435,1.0,0.011754257817783845
US,BE,2018-08-02,0.81321,0.81321,19.923645,19.923645,1.0,0.008408283223275661
US,BE,2018-08-03,0.81321,0.81321,21.794028,21.794028,1.0,0.01112041170177445
US,BE,2018-08-06,0.81321,0.81321,22.721087,22.721087,1.0,0.01873535741075491
US,BE,2018-08-07,0.81321,0.81321,22.322615,22.322615,1.0,0.01116932895562032
US,BE,2018-08-08,0.81321,0.81321,22.891862,22.891862,1.0,0.014272807761832738
US,BE,2018-08-09,0.81321,0.81321,21.728971,21.728971,1.0,0.004958706853088378
US,BE,2018-08-10,0.81321,0.81321,22.485256,22.485256,1.0,0.005306993273570173
US,BE,2018-08-13,0.81321,0.81321,20.13508,20.13508,1.0,0.00874938822690326
US,BE,2018-08-14,0.81321,0.81321,20.744987,20.744987,1.0,0.0037015654013108543
US,BE,2018-08-15,0.81321,0.81321,18.630641,18.630641,1.0,0.010115283875013835
US,BE,2018-08-16,0.81321,0.81321,18.809547,18.809547,1.0,0.006979168972344167
US,BE,2018-08-17,0.81321,0.81321,18.053262,18.053262,1.0,0.00740517209576862
US,BE,2018-08-20,0.81321,0.81321,18.232168,18.232168,1.0,0.014607260117312872
US,BE,2018-08-21,0.81321,0.81321,20.549817,20.549817,1.0,0.015588126068297242
US,BE,2018-08-22,0.81321,0.81321,21.95667,21.95667,1.0,0.010872529850838038
US,BE,2018-08-23,0.81321,0.81321,23.810789,23.810789,1.0,0.01615264199899165
US,BE,2018-08-24,0.81321,0.81321,25.136321,25.136321,1.0,0.019648491779491153
US,BE,2018-08-27,0.81321,0.81321,23.330995,23.330995,1.0,0.01685072736439542
US,BE,2018-08-28,0.81321,0.81321,24.030355,24.030355,1.0,0.008228292814894062
US,BE,2018-08-29,0.81321,0.81321,23.705071,23.705071,1.0,0.006401237072834815
US,BE,2018-08-30,0.81321,0.81321,23.379787,23.379787,1.0,0.006489061865938687
US,BE,2018-08-31,0.81321,0.81321,24.355639,24.355639,1.0,0.006085119464836881
US,BE,2018-09-04,0.81321,0.81321,23.176485,23.176485,1.0,0.008018679061988908
US,BE,2018-09-05,0.81321,0.81321,22.940654,22.940654,1.0,0.006679037395014818
US,BE,2018-09-06,0.81321,0.81321,23.339127,23.339127,1.0,0.0029706717821964806
US,BE,2018-09-07,0.81321,0.81321,24.867962,24.867962,1.0,0.007950996667527454
US,BE,2018-09-10,0.81321,0.81321,23.62375,23.62375,1.0,0.012531154314383739
US,BE,2018-09-11,0.81321,0.81321,23.794525,23.794525,1.0,0.004461922504642097
US,BE,2018-09-12,0.81321,0.81321,25.949531,25.949531,1.0,0.006192643966503117
US,BE,2018-09-13,0.81321,0.81321,25.762493,25.762493,1.0,0.011432237675385202
US,BE,2018-09-14,0.81321,0.81321,24.054752,24.054752,1.0,0.007887741173866529
US,BE,2018-09-17,0.81321,0.81321,23.58309,23.58309,1.0,0.0035697175391350327
US,BE,2018-09-18,0.81321,0.81321,24.331243,24.331243,1.0,0.003632272106835873
US,BE,2018-09-19,0.81321,0.81321,23.786393,23.786393,1.0,0.005643400843570541
US,BE,2018-09-20,0.81321,0.81321,24.404432,24.404432,1.0,0.0027559302025307116
US,BE,2018-09-21,0.81321,0.81321,25.16885,25.16885,1.0,0.020919676344363695
