country,code,time,open,high,low,close,volume,amount
US,BE,2018-07-25,18.7,25.0,18.5,25.0,13709619.0,279950419.98
US,BE,2018-07-26,24.745,24.85,20.3,21.01,3628873.0,80198093.3
US,BE,2018-07-27,21.2,23.0,21.2,22.6,1321240.0,28948368.4
US,BE,2018-07-30,22.75,24.0,22.65,23.85,1236590.0,29369012.5
US,BE,2018-07-31,24.03,26.43,22.75,23.05,2603677.0,63191240.79
US,BE,2018-08-01,23.67,24.8,22.6,23.5,955868.0,22558484.8
US,BE,2018-08-02,23.5,25.12,23.5,24.5,683770.0,16854930.5
US,BE,2018-08-03,24.63,27.1,24.5,26.8,904323.0,23584743.84
US,BE,2018-08-06,27.07,29.875,26.9,27.94,1523578.0,43543859.24
US,BE,2018-08-07,28.66,28.749,27.13,27.45,908301.0,25114522.65
US,BE,2018-08-08,27.89,28.25,26.5,28.15,1160679.0,31941886.08
US,BE,2018-08-09,28.0,28.03,26.6,26.72,403247.0,10927993.7
US,BE,2018-08-10,26.84,28.0,26.3,27.65,431570.0,11751651.1
US,BE,2018-08-13,27.65,27.65,24.71,24.76,711509.0,18485003.82
US,BE,2018-08-14,25.1,25.8632,25.0,25.51,301015.0,7645781.0
US,BE,2018-08-15,25.8,25.8,22.78,22.91,822585.0,19363650.9
US,BE,2018-08-16,23.5,23.92,22.9001,23.13,567553.0,13229660.43
US,BE,2018-08-17,23.63,23.63,22.19,22.2,602196.0,13736090.76
US,BE,2018-08-20,22.0,23.1059,21.75,22.42,1187877.0,26679717.42
US,BE,2018-08-21,22.85,25.8,22.61,25.27,1267642.0,31082581.84
US,BE,2018-08-22,25.02,27.5,24.8,27.0,884165.0,23315431.05
US,BE,2018-08-23,27.21,29.5,27.1921,29.28,1313549.0,37278520.62
US,BE,2018-08-24,29.25,33.25,29.2412,30.91,1597835.0,50283867.45
US,BE,2018-08-27,29.0,30.44,28.1601,28.69,1370318.0,39944769.7
US,BE,2018-08-28,28.62,30.59,28.5,29.55,669133.0,19833102.12
US,BE,2018-08-29,29.69,29.75,28.61,29.15,520555.0,15273083.7
US,BE,2018-08-30,28.87,29.02,28.11,28.75,527697.0,15002425.71
US,BE,2018-08-31,28.4,30.18,28.07,29.95,494848.0,14761315.84
US,BE,2018-09-04,30.0,30.05,28.1325,28.5,652087.0,18812709.95
