country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,CAT,2016,Q2,2016-06-30,USD,10342000000.0,7567000000.0,1123000000.0,1990000000.0,869000000.0,754000000.0,-130000000.0,737000000.0,550000000.0,584100000.0,588600000.0,0.0,0.0,33606000000.0,15916000000.0,44694000000.0,27183000000.0,35814000000.0,5277000000.0,29167000000.0,15232000000.0,908000000.0,-27000000.0,54000000.0,2314000000.0,-885000000.0,-541000000.0,878000000.0,5886000000.0,-865000000.0
US,CAT,2016,Q3,2016-09-30,USD,9160000000.0,6674000000.0,992000000.0,2005000000.0,509000000.0,761000000.0,-124000000.0,379000000.0,283000000.0,584700000.0,589600000.0,0.0,0.0,31999000000.0,15680000000.0,44403000000.0,25290000000.0,35397000000.0,5266000000.0,29450000000.0,15645000000.0,-145000000.0,-355000000.0,231000000.0,1171000000.0,-161000000.0,-1649000000.0,-651000000.0,6764000000.0,-595000000.0
US,CAT,2016,Q4,2016-12-31,USD,9574000000.0,7690000000.0,1483000000.0,3146000000.0,-1228000000.0,779000000.0,-119000000.0,-1347000000.0,-1171000000.0,585785570.0,585800000.0,0.0,0.0,31967000000.0,15322000000.0,42737000000.0,26132000000.0,35359000000.0,5277000000.0,27377000000.0,13137000000.0,668000000.0,226000000.0,1334000000.0,1645000000.0,-142000000.0,-431000000.0,1055000000.0,6113000000.0,-728000000.0
US,CAT,2017,Q1,2017-03-31,USD,9822000000.0,6960000000.0,1061000000.0,2482000000.0,412000000.0,710000000.0,-121000000.0,284000000.0,192000000.0,587500000.0,593200000.0,0.0,0.0,35548000000.0,14727000000.0,42001000000.0,27635000000.0,36254000000.0,5222000000.0,27584000000.0,13588000000.0,336000000.0,401000000.0,253000000.0,1542000000.0,-93000000.0,878000000.0,2336000000.0,7199000000.0,-509000000.0
US,CAT,2017,Q2,2017-06-30,USD,11331000000.0,7978000000.0,1304000000.0,2169000000.0,1280000000.0,720000000.0,-88000000.0,1164000000.0,802000000.0,590200000.0,595400000.0,0.0,0.0,36991000000.0,14420000000.0,41519000000.0,28133000000.0,36298000000.0,5316000000.0,27471000000.0,14009000000.0,671000000.0,623000000.0,120000000.0,2382000000.0,-66000000.0,-1572000000.0,748000000.0,9535000000.0,-615000000.0
US,CAT,2017,Q3,2017-09-30,USD,11413000000.0,7841000000.0,1254000000.0,2063000000.0,1641000000.0,723000000.0,-84000000.0,1531000000.0,1059000000.0,592900000.0,600100000.0,0.0,0.0,37185000000.0,14187000000.0,41375000000.0,25903000000.0,36960000000.0,5460000000.0,28530000000.0,15627000000.0,-649000000.0,-93000000.0,58000000.0,1241000000.0,-274000000.0,-1620000000.0,-626000000.0,10283000000.0,-513000000.0
US,CAT,2017,Q4,2017-12-31,USD,12896000000.0,9051000000.0,1606000000.0,2684000000.0,1280000000.0,724000000.0,-129000000.0,1119000000.0,-1299000000.0,596400000.0,596400000.0,0.0,0.0,36244000000.0,14155000000.0,40718000000.0,26931000000.0,36265000000.0,5593000000.0,26301000000.0,13697000000.0,-552000000.0,-157000000.0,1627000000.0,541000000.0,-526000000.0,-1343000000.0,-1330000000.0,9591000000.0,-699000000.0
US,CAT,2018,Q1,2018-03-31,USD,12859000000.0,8732000000.0,1276000000.0,2019000000.0,2235000000.0,681000000.0,-65000000.0,2139000000.0,1665000000.0,598000000.0,608000000.0,0.0,0.0,37357000000.0,13912000000.0,40657000000.0,27402000000.0,35340000000.0,5640000000.0,27929000000.0,15206000000.0,-1561000000.0,-918000000.0,98000000.0,935000000.0,-800000000.0,-538000000.0,-393000000.0,8320000000.0,-757000000.0
US,CAT,2018,Q2,2018-06-30,USD,14011000000.0,9604000000.0,1440000000.0,2240000000.0,2288000000.0,686000000.0,-55000000.0,2195000000.0,1707000000.0,596200000.0,604200000.0,0.0,0.0,38641000000.0,13752000000.0,40346000000.0,28300000000.0,35745000000.0,5746000000.0,28657000000.0,14879000000.0,-541000000.0,182000000.0,236000000.0,2148000000.0,-1268000000.0,-35000000.0,767000000.0,7927000000.0,-771000000.0
US,CAT,2018,Q3,2018-09-30,USD,13510000000.0,9207000000.0,1299000000.0,2168000000.0,2237000000.0,698000000.0,-43000000.0,2142000000.0,1727000000.0,592100000.0,599400000.0,8046000000.0,0.0,38454000000.0,13607000000.0,39755000000.0,26033000000.0,36286000000.0,5715000000.0,30384000000.0,15850000000.0,-1217000000.0,-532000000.0,132000000.0,1392000000.0,-346000000.0,-1645000000.0,-648000000.0,8694000000.0,-601000000.0
