country,code,time,open,high,low,close,volume,amount
US,CAT,2016-06-13,75.7,76.34,75.23,75.23,4086711.0,309057519.375
US,CAT,2016-06-14,75.06,75.55,73.95,74.86,4058441.0,303794601.055
US,CAT,2016-06-15,75.19,75.95,74.34,75.07,3802022.0,285674428.025
US,CAT,2016-06-16,74.41,75.14,73.35,74.99,4064800.0,302715818.0
US,CAT,2016-06-17,75.35,76.66,75.24,75.93,5442037.0,412479194.415
US,CAT,2016-06-20,76.91,77.35,76.39,76.43,4090835.0,314053402.95
US,CAT,2016-06-21,76.45,76.9,76.01,76.49,3292100.0,251722196.25
US,CAT,2016-06-22,76.89,77.09,76.18,76.43,3056831.0,234298454.0725
US,CAT,2016-06-23,77.66,78.25,77.22,78.22,3600824.0,280279138.1
US,CAT,2016-06-24,75.2,75.61,72.99,73.03,12179523.0,903811953.0225
US,CAT,2016-06-27,72.5,72.71,70.53,71.38,7361643.0,528418734.54
US,CAT,2016-06-28,72.24,72.9,71.51,72.52,4743725.0,342935739.5625
US,CAT,2016-06-29,73.25,74.4,72.79,74.23,4015420.0,295805952.85
US,CAT,2016-06-30,74.17,75.85,73.97,75.81,4695512.0,351928624.4
US,CAT,2016-07-01,75.38,76.99,75.32,76.45,4630100.0,352049653.5
US,CAT,2016-07-05,75.66,75.95,73.7,74.38,4776310.0,357853085.975
US,CAT,2016-07-06,74.59,74.87,73.46,74.83,3740500.0,278433468.75
US,CAT,2016-07-07,75.07,75.73,74.38,75.05,3080900.0,231244651.75
US,CAT,2016-07-08,75.92,77.43,75.78,77.37,5491500.0,420786187.5
US,CAT,2016-07-11,78.0,78.54,77.32,77.8,4511317.0,351499264.055
US,CAT,2016-07-12,78.72,79.94,78.3,79.8,5545800.0,439171902.0
US,CAT,2016-07-13,79.98,80.33,79.07,79.69,5162537.0,411802670.1475
US,CAT,2016-07-14,80.5,81.0,79.97,80.06,5441707.0,437418012.9275
US,CAT,2016-07-15,80.49,80.8,80.16,80.7,4642100.0,373863128.75
US,CAT,2016-07-18,79.88,79.89,78.87,79.82,4136743.0,329346793.945
US,CAT,2016-07-19,79.34,79.77,79.15,79.74,3308400.0,263017800.0
US,CAT,2016-07-20,79.45,79.86,78.93,79.69,4185500.0,332674003.75
US,CAT,2016-07-21,80.45,81.38,79.74,80.01,6492232.0,521942991.64
US,CAT,2016-07-22,79.78,79.79,78.86,79.38,4133834.0,328443445.885
US,CAT,2016-07-25,79.15,79.19,78.34,78.69,5798100.0,457136699.25
US,CAT,2016-07-26,79.04,83.0,78.74,82.75,11007600.0,890322207.0
US,CAT,2016-07-27,82.72,84.29,82.72,84.1,8460932.0,706128232.39
US,CAT,2016-07-28,83.7,83.71,82.45,82.92,5065610.0,421433423.95
US,CAT,2016-07-29,82.8,83.14,82.13,82.76,4274241.0,353511787.5075
US,CAT,2016-08-01,82.76,82.88,81.53,81.95,3377149.0,277871819.72
US,CAT,2016-08-02,82.0,82.19,80.92,81.24,3909500.0,318966331.25
US,CAT,2016-08-03,81.15,82.3,80.93,82.03,3101710.0,253107290.275
US,CAT,2016-08-04,81.82,82.54,81.4,81.77,2407526.0,197134247.695
US,CAT,2016-08-05,82.22,82.96,82.0,82.56,3286100.0,270889653.5
US,CAT,2016-08-08,83.0,83.79,82.8,83.44,3544827.0,295133433.9525
US,CAT,2016-08-09,83.52,83.75,82.7,82.83,2314900.0,192599680.0
US,CAT,2016-08-10,83.31,83.31,82.48,82.65,2290307.0,189952336.8125
US,CAT,2016-08-11,83.0,83.65,82.99,83.24,2229300.0,185522346.0
US,CAT,2016-08-12,83.26,83.78,82.58,83.0,4342839.0,361128777.045
US,CAT,2016-08-15,83.0,84.28,82.96,84.15,4056023.0,339073382.7425
US,CAT,2016-08-16,84.21,84.36,83.64,84.29,3161800.0,265986425.0
US,CAT,2016-08-17,84.41,84.73,83.84,84.41,2983400.0,251642331.5
US,CAT,2016-08-18,83.41,83.61,82.51,83.38,5003100.0,416395505.25
US,CAT,2016-08-19,83.06,84.38,82.76,83.84,3823918.0,319335392.18
US,CAT,2016-08-22,83.62,83.78,83.0,83.59,2885000.0,240890287.5
US,CAT,2016-08-23,83.98,84.68,83.95,84.01,3178400.0,267478252.0
US,CAT,2016-08-24,83.41,84.1,82.97,83.15,2200600.0,183546544.5
US,CAT,2016-08-25,83.07,83.17,82.59,82.84,3082906.0,255626858.255
US,CAT,2016-08-26,83.21,83.9,82.28,82.66,3596800.0,298579360.0
US,CAT,2016-08-29,82.51,83.35,82.41,83.1,2253600.0,186693858.0
US,CAT,2016-08-30,82.86,83.15,82.31,82.48,3469384.0,286918056.8
US,CAT,2016-08-31,82.06,82.34,81.61,81.95,4041706.0,331379474.94
