country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,COHR,2016,Q4,2016-06-30,USD,241470000.0,148859000.0,43595000.0,92611000.0,29343000.0,14878000.0,-1066000.0,28277000.0,14343000.0,62427911.0,63297000.0,218445000.0,0.0,582963000.0,242857000.0,629018000.0,171242000.0,258401000.0,243812000.0,652788000.0,782338000.0,9690000.0,19560000.0,-506000.0,41734000.0,16142000.0,-24521000.0,31072000.0,187373000.0,-25427000.0
US,COHR,2017,Q1,2016-09-30,USD,221520000.0,133918000.0,42079000.0,87602000.0,25093000.0,14882000.0,-1246000.0,23847000.0,16294000.0,62669230.0,63590000.0,220096000.0,0.0,584564000.0,260912000.0,643923000.0,154226000.0,273704000.0,249447000.0,669082000.0,800557000.0,-16508000.0,-25578000.0,251000.0,19513000.0,-29849000.0,12270000.0,1651000.0,218445000.0,-29994000.0
US,COHR,2017,Q2,2016-12-31,USD,231822000.0,137559000.0,43495000.0,94263000.0,33181000.0,14916000.0,-1365000.0,31816000.0,23903000.0,62390000.0,64407000.0,246195000.0,0.0,610147000.0,305174000.0,682854000.0,160698000.0,313257000.0,258215000.0,692985000.0,819046000.0,462000.0,9153000.0,-5405000.0,39179000.0,-28367000.0,21318000.0,26099000.0,220096000.0,-27828000.0
US,COHR,2017,Q3,2017-03-31,USD,244987000.0,147277000.0,43291000.0,97710000.0,31203000.0,14924000.0,-1936000.0,29267000.0,22430000.0,62807000.0,65010000.0,247581000.0,0.0,638821000.0,335752000.0,708827000.0,166042000.0,328710000.0,262247000.0,715415000.0,852896000.0,-17587000.0,3675000.0,867000.0,19680000.0,-39792000.0,20246000.0,1386000.0,246195000.0,-41313000.0
US,COHR,2017,Q4,2017-06-30,USD,273717000.0,164939000.0,47137000.0,108778000.0,36120000.0,18915000.0,-2262000.0,33858000.0,32647000.0,63099000.0,65032000.0,271888000.0,0.0,702296000.0,367728000.0,775001000.0,184952000.0,391782000.0,269638000.0,748062000.0,900563000.0,-15215000.0,8437000.0,2268000.0,40244000.0,-79233000.0,57738000.0,24307000.0,247581000.0,-39382000.0
US,COHR,2018,Q1,2017-09-30,USD,261503000.0,155528000.0,50624000.0,105975000.0,30544000.0,18816000.0,-3645000.0,26899000.0,21141000.0,62744000.0,65283000.0,241285000.0,0.0,693688000.0,460859000.0,890117000.0,178475000.0,461568000.0,334126000.0,769203000.0,943762000.0,-28063000.0,-19430000.0,-766000.0,12383000.0,-116755000.0,68162000.0,-30603000.0,271888000.0,-37426000.0
US,COHR,2018,Q2,2017-12-31,USD,281470000.0,172075000.0,49130000.0,109395000.0,34512000.0,19409000.0,-4644000.0,29868000.0,9596000.0,63973333.0,65038000.0,254456000.0,0.0,723415000.0,481014000.0,964459000.0,180183000.0,543790000.0,340548000.0,778799000.0,963901000.0,2014000.0,12314000.0,-460000.0,47286000.0,-93179000.0,58078000.0,13171000.0,241285000.0,-40197000.0
US,COHR,2018,Q3,2018-03-31,USD,294746000.0,176361000.0,53346000.0,118385000.0,36234000.0,19924000.0,-5014000.0,31220000.0,30098000.0,62427000.0,72382000.0,263244000.0,0.0,746145000.0,507690000.0,991089000.0,202586000.0,519476000.0,346500000.0,808897000.0,1015172000.0,12878000.0,9542000.0,-592000.0,54276000.0,-38272000.0,-13380000.0,8788000.0,254456000.0,-38854000.0
US,COHR,2018,Q4,2018-06-30,USD,321075000.0,193580000.0,55924000.0,127495000.0,39256000.0,22621000.0,-5049000.0,34207000.0,27167000.0,62500000.0,65099999.0,247038000.0,0.0,761837000.0,524890000.0,999824000.0,236467000.0,500883000.0,351761000.0,836064000.0,1024311000.0,-8100000.0,18643000.0,-1557000.0,47069000.0,-36744000.0,-15891000.0,-16206000.0,263244000.0,-36961000.0
US,COHR,2019,Q1,2018-09-30,USD,314433000.0,190526000.0,53523000.0,123907000.0,37926000.0,22170000.0,-5584000.0,32342000.0,26149000.0,63420000.0,66158000.0,271343000.0,0.0,817359000.0,541519000.0,1063284000.0,225300000.0,611755000.0,360276000.0,862213000.0,1043588000.0,-33899000.0,-14918000.0,2928000.0,19005000.0,-85575000.0,92972000.0,24305000.0,247038000.0,-35902000.0
US,COHR,2019,Q2,2018-12-31,USD,342839000.0,211333000.0,58136000.0,131506000.0,40307000.0,22329000.0,-5580000.0,34727000.0,28702000.0,65231818.0,65673000.0,230256000.0,0.0,792225000.0,559519000.0,1084909000.0,250025000.0,553936000.0,367195000.0,890915000.0,1073173000.0,11770000.0,18210000.0,2286000.0,69201000.0,-47386000.0,-61640000.0,-41087000.0,271343000.0,-38466000.0
US,COHR,2019,Q3,2019-03-31,USD,342496000.0,215212000.0,60128000.0,127284000.0,32662000.0,23128000.0,-5647000.0,27015000.0,24638000.0,64836842.0,65700999.0,221210000.0,0.0,816871000.0,569529000.0,1125106000.0,239775000.0,588644000.0,375195000.0,915553000.0,1113558000.0,-28163000.0,12746000.0,2469000.0,26186000.0,-63438000.0,25535000.0,-9046000.0,230256000.0,-33802000.0
US,COHR,2019,Q4,2019-06-30,USD,362728000.0,224076000.0,61731000.0,138652000.0,40335000.0,24738000.0,-5606000.0,34729000.0,28028000.0,63719000.0,65686000.0,204872000.0,0.0,812911000.0,582790000.0,1140862000.0,270563000.0,550001000.0,382423000.0,943581000.0,1133209000.0,-4731000.0,96000.0,14449000.0,64083000.0,-27577000.0,-51990000.0,-16338000.0,221210000.0,-28952000.0
US,COHR,2020,Q1,2019-09-30,USD,340409000.0,210169000.0,65295000.0,101415000.0,28825000.0,26900000.0,-6968000.0,-30522000.0,-25998000.0,65970000.0,65970000.0,439551000.0,0.0,1756199000.0,1335622000.0,3614487000.0,545777000.0,2693715000.0,1429173000.0,917583000.0,2131194000.0,-33795000.0,-34543000.0,8061000.0,-25615000.0,-1064185000.0,1326607000.0,234679000.0,204872000.0,-25636000.0
US,COHR,2020,Q2,2019-12-31,USD,666331000.0,437391000.0,0.0,226918000.0,2021999.0,82152001.0,-28390000.0,-88971000.0,-98213000.0,90886000.0,90886000.0,376840000.0,0.0,1589189000.0,1347147000.0,3619020000.0,571599000.0,2570913000.0,1441180000.0,819370000.0,2065697000.0,95606000.0,-17029000.0,9195000.0,81875000.0,-53814000.0,-94557000.0,-62711000.0,439551000.0,-54652000.0
US,COHR,2020,Q3,2020-03-31,USD,627041000.0,381108000.0,0.0,170997000.0,74936000.0,38024000.0,-28530000.0,33338000.0,5921000.0,91081000.0,93435000.0,388107000.0,0.0,1591088000.0,1247167000.0,3515735000.0,569171000.0,2519745000.0,1459354000.0,825291000.0,2017907000.0,-17603000.0,-14132000.0,14132000.0,64232000.0,-29627000.0,-20153000.0,11267000.0,376840000.0,-27687000.0
US,COHR,2020,Q4,2020-06-30,USD,746290000.0,444153000.0,0.0,301341000.0,796000.0,73758000.0,-25521000.0,40711000.0,51261000.0,91517000.0,102142000.0,493046000.0,0.0,1788969000.0,1214772000.0,3445745000.0,672893000.0,2485018000.0,1486947000.0,876552000.0,2076803000.0,31909000.0,70160000.0,5601000.0,176800000.0,-31664000.0,-38272000.0,104939000.0,388107000.0,-32652000.0
US,COHR,2021,Q1,2020-09-30,USD,728084000.0,441520000.0,0.0,183434000.0,103130000.0,64685000.0,-17214000.0,59577000.0,46266000.0,102809000.0,105247000.0,683985000.0,0.0,1991742000.0,1218575000.0,3478877000.0,644893000.0,1779049000.0,1942300000.0,916283000.0,3046677000.0,-48151000.0,-50798000.0,33203000.0,134327000.0,-69856000.0,122975000.0,190939000.0,493046000.0,-33792000.0
US,COHR,2021,Q2,2020-12-31,USD,786569000.0,473863000.0,0.0,193991000.0,118715000.0,67201000.0,-15585000.0,106283000.0,87900000.0,104092000.0,115053000.0,834540000.0,0.0,2137723000.0,1250480000.0,3508840000.0,664474000.0,1745276000.0,1985833000.0,997283000.0,3236813000.0,45778000.0,41030000.0,12281000.0,221372000.0,-43904000.0,-50163000.0,150555000.0,683985000.0,-45537000.0
US,COHR,2021,Q3,2021-03-31,USD,783232000.0,493242000.0,0.0,204909000.0,85081000.0,67984000.0,-13034000.0,93479000.0,81092000.0,104767000.0,116302000.0,1535310000.0,0.0,2888766000.0,1232146000.0,3472954000.0,678837000.0,2357735000.0,2011210000.0,1071362000.0,3325148000.0,-59869000.0,-14545000.0,-3314000.0,91153000.0,-27059000.0,636377000.0,700770000.0,834540000.0,-26002000.0
US,COHR,2021,Q4,2021-06-30,USD,808006000.0,510213000.0,0.0,200600000.0,97193000.0,70199000.0,-14066000.0,93251000.0,82294000.0,111021538.0,116225000.0,1591892000.0,0.0,3027394000.0,1242906000.0,3485256000.0,729589000.0,1650713000.0,2028273000.0,1136777000.0,4132348000.0,-40923000.0,15224000.0,-3193000.0,127501000.0,-32138000.0,-33462000.0,56582000.0,1535310000.0,-41006000.0
US,COHR,2022,Q1,2021-09-30,USD,795111000.0,488487000.0,0.0,211574000.0,95050000.0,69692000.0,-12191000.0,90441000.0,74464000.0,105761000.0,115849000.0,1560175000.0,0.0,3050951000.0,1242093000.0,3464911000.0,1028657000.0,1292833000.0,2002452000.0,1239075000.0,4194372000.0,-122662000.0,-60333000.0,-3626000.0,52336000.0,-47565000.0,-35966000.0,-31717000.0,1591892000.0,-47565000.0
US,COHR,2022,Q2,2021-12-31,USD,806819000.0,495652000.0,0.0,212945000.0,98222000.0,71027000.0,-17062000.0,79354000.0,67657000.0,106158000.0,116440000.0,2649716000.0,0.0,4165795000.0,1272377000.0,3483488000.0,2083240000.0,1282467000.0,2019306000.0,1289925000.0,4283576000.0,34980000.0,28099000.0,3797000.0,187749000.0,-54124000.0,946838000.0,1089541000.0,1560175000.0,-54124000.0
US,COHR,2022,Q3,2022-03-31,USD,827724000.0,506051000.0,0.0,214904000.0,106769000.0,72815000.0,-43499000.0,63029000.0,49002000.0,106323000.0,116949000.0,2600315000.0,0.0,4233799000.0,1320191000.0,3533397000.0,2123881000.0,1259139000.0,2045850000.0,1321779000.0,4384176000.0,-98797000.0,-992000.0,7471000.0,35922000.0,-100052000.0,-19589000.0,-49401000.0,2649716000.0,-94302000.0
US,COHR,2022,Q4,2022-06-30,USD,886962000.0,560930000.0,0.0,211779000.0,114253000.0,73245000.0,-48502000.0,48983000.0,43636000.0,116949000.0,116949000.0,2582371000.0,0.0,4305192000.0,1363195000.0,3539654000.0,1266959000.0,2194609000.0,2064552000.0,1348125000.0,4383278000.0,-4904000.0,30865000.0,8795000.0,137325000.0,-118341000.0,-28330000.0,-17944000.0,2600315000.0,-118341000.0
US,COHR,2023,Q1,2022-09-30,USD,1344570000.0,900996000.0,0.0,401098000.0,42476000.0,147286000.0,-61889000.0,-51018000.0,-38698000.0,132633928.0,133280000.0,898501000.0,0.0,3394630000.0,1803646000.0,10435929000.0,1183084000.0,5484957000.0,3671514000.0,1273850000.0,7162518000.0,-57131000.0,-20454000.0,-11586000.0,79577000.0,-5628257000.0,3912742000.0,-1678211000.0,2582371000.0,-138990000.0
US,COHR,2023,Q2,2022-12-31,USD,1370285000.0,959097000.0,0.0,402942000.0,8246000.0,169909000.0,-70904000.0,-66354000.0,-45072000.0,138623000.0,138623000.0,913286000.0,0.0,3416400000.0,1875558000.0,10692494000.0,1132916000.0,5614717000.0,3704259000.0,1192847000.0,7361261000.0,102695000.0,39329000.0,29795000.0,220491000.0,-108414000.0,-157185000.0,13934000.0,904160000.0,-106864000.0
US,COHR,2023,Q3,2023-03-31,USD,1240194000.0,820038000.0,0.0,352768000.0,67388000.0,160941000.0,-75183000.0,-4747000.0,2546000.0,139113000.0,139113000.0,901028000.0,0.0,3406644000.0,1910561000.0,10710988000.0,1107456000.0,5559098000.0,3755410000.0,1159322000.0,7451078000.0,-11525000.0,-31834000.0,786000.0,152425000.0,-97145000.0,-73552000.0,-12509000.0,918094000.0,-97145000.0
US,COHR,2023,Q4,2023-06-30,USD,1205051000.0,853686000.0,0.0,310494000.0,40871000.0,203551000.0,-78896000.0,-233439000.0,-178234000.0,139342000.0,139342000.0,821310000.0,0.0,3251998000.0,1782035000.0,10459135000.0,1078748000.0,5403419000.0,3781211000.0,944416000.0,7228966000.0,90589000.0,-21534000.0,125973000.0,181532000.0,-94810000.0,-127986000.0,-68019000.0,905585000.0,-93061000.0
US,COHR,2024,Q1,2023-09-30,USD,1053083000.0,746188000.0,0.0,325185000.0,-18290000.0,138359000.0,-73258000.0,-88297000.0,-67534000.0,150328000.0,150328000.0,941081000.0,0.0,3243731000.0,1775384000.0,10277567000.0,1083136000.0,5334588000.0,4287278000.0,846709000.0,7103574000.0,132082000.0,-9489000.0,-10434000.0,198803000.0,-64175000.0,-17880000.0,107290000.0,837566000.0,-62197000.0
US,COHR,2024,Q2,2023-12-31,USD,1131434000.0,780793000.0,0.0,320326000.0,30315000.0,138019000.0,-74678000.0,-37407000.0,-26991000.0,151564000.0,151564000.0,856255000.0,0.0,3421603000.0,1849119000.0,11241277000.0,1187773000.0,5328883000.0,4786076000.0,789138000.0,7773070000.0,-32408000.0,-4099000.0,20580000.0,67168000.0,-91470000.0,876629000.0,875834000.0,944856000.0,-91470000.0
US,COHR,2024,Q3,2024-03-31,USD,1208809000.0,842322000.0,0.0,332652000.0,33835000.0,139735000.0,-72753000.0,390999.0,-13187000.0,152138000.0,152138000.0,898578000.0,0.0,3550234000.0,1851383000.0,10970178000.0,1310628000.0,5170654000.0,4835261000.0,744792000.0,7668813000.0,7284000.0,32824000.0,4901000.0,117433000.0,-93378000.0,-38840000.0,-28231000.0,1820690000.0,-93242000.0
US,COHR,2024,Q4,2024-06-30,USD,1314362000.0,882421000.0,0.0,354626000.0,77315000.0,143648000.0,-67786000.0,9908000.0,-48442000.0,152600000.0,152600000.0,926033000.0,0.0,3660099000.0,1817259000.0,10828535000.0,1343767000.0,5198588000.0,4857657000.0,664940000.0,7574887000.0,-2617000.0,-157324000.0,10984000.0,162327000.0,-101690000.0,-61637000.0,-2773000.0,1792459000.0,-99907000.0
