country,code,time,open,high,low,close,volume,amount
US,COHR,2016-06-13,19.88,20.14,19.76,19.89,194900.0,3884357.0
US,COHR,2016-06-14,19.83,20.15,19.83,20.1,175700.0,3519271.0
US,COHR,2016-06-15,20.04,20.27,20.04,20.1,115900.0,2334226.0
US,COHR,2016-06-16,20.0,20.25,19.79,20.23,107100.0,2151639.0
US,COHR,2016-06-17,20.3,20.3,19.65,19.79,404200.0,8047622.0
US,COHR,2016-06-20,19.94,20.09,19.83,20.02,306900.0,6131862.0
US,COHR,2016-06-21,20.08,20.08,19.69,19.74,138500.0,2747840.0
US,COHR,2016-06-22,19.74,19.81,19.41,19.46,225500.0,4410780.0
US,COHR,2016-06-23,19.68,19.91,19.64,19.8,182500.0,3609850.0
US,COHR,2016-06-24,19.0,19.12,18.7,18.78,1364000.0,25738680.0
US,COHR,2016-06-27,18.6,18.6,17.91,18.02,300900.0,5470362.0
US,COHR,2016-06-28,18.19,18.38,18.04,18.13,256000.0,4654080.0
US,COHR,2016-06-29,18.28,18.44,18.17,18.31,200100.0,3663831.0
US,COHR,2016-06-30,18.42,18.76,18.32,18.76,242900.0,4520369.0
US,COHR,2016-07-01,18.67,18.77,18.4,18.55,153700.0,2854209.0
US,COHR,2016-07-05,18.52,18.66,18.0,18.12,235900.0,4307534.0
US,COHR,2016-07-06,18.01,18.38,17.76,18.31,185900.0,3374085.0
US,COHR,2016-07-07,18.44,18.56,18.22,18.47,209800.0,3864516.0
US,COHR,2016-07-08,18.57,19.01,18.52,18.99,250900.0,4726956.0
US,COHR,2016-07-11,19.01,19.3,18.86,19.25,226600.0,4337124.0
US,COHR,2016-07-12,19.37,19.69,19.36,19.59,198100.0,3872855.0
US,COHR,2016-07-13,19.72,19.81,19.59,19.68,182300.0,3589487.0
US,COHR,2016-07-14,19.99,19.99,19.46,19.69,156000.0,3074760.0
US,COHR,2016-07-15,19.72,20.14,19.72,19.97,224800.0,4482512.0
US,COHR,2016-07-18,20.04,20.26,19.73,19.74,166100.0,3307051.0
US,COHR,2016-07-19,19.74,19.89,19.56,19.67,148000.0,2917080.0
US,COHR,2016-07-20,19.78,19.88,19.62,19.81,107900.0,2133183.0
US,COHR,2016-07-21,19.73,20.02,19.56,19.62,125700.0,2480061.0
US,COHR,2016-07-22,19.59,19.93,19.37,19.75,137000.0,2696160.0
US,COHR,2016-07-25,19.66,19.98,19.6,19.85,99500.0,1971095.0
US,COHR,2016-07-26,19.89,20.34,19.81,20.22,197900.0,3981748.0
US,COHR,2016-07-27,20.18,20.44,19.94,20.42,119300.0,2418211.0
US,COHR,2016-07-28,20.43,20.46,20.18,20.28,102000.0,2071620.0
US,COHR,2016-07-29,20.23,20.27,20.02,20.1,209700.0,4221261.0
US,COHR,2016-08-01,20.05,20.51,19.9,20.37,233500.0,4730710.0
US,COHR,2016-08-02,21.0,22.63,20.76,21.33,861600.0,18584712.0
US,COHR,2016-08-03,21.26,21.31,20.34,20.39,288900.0,5974452.0
US,COHR,2016-08-04,20.32,20.43,20.07,20.23,205000.0,4149200.0
US,COHR,2016-08-05,20.41,20.7,20.29,20.56,278300.0,5710716.0
US,COHR,2016-08-08,20.62,20.74,20.5,20.73,172700.0,3567982.0
US,COHR,2016-08-09,20.62,20.9,20.62,20.78,185400.0,3850758.0
