country,code,time,open,high,low,close,volume,amount
US,CRDO,2022-01-27,12.1,12.5,10.8,11.65,5371700.0,62580305.0
US,CRDO,2022-01-28,11.64,12.33,11.05,11.19,1317000.0,15171840.0
US,CRDO,2022-01-31,11.44,12.49,11.2,12.12,838400.0,10010496.0
US,CRDO,2022-02-01,12.12,13.7,11.82,12.8,833000.0,10637410.0
US,CRDO,2022-02-02,13.09,13.42,12.8,13.4,2621600.0,34631336.0
US,CRDO,2022-02-03,13.22,13.29,12.4,12.82,710800.0,9126672.0
US,CRDO,2022-02-04,12.87,13.75,12.87,13.07,345800.0,4574934.0
US,CRDO,2022-02-07,13.39,13.75,13.13,13.52,504600.0,6796962.0
US,CRDO,2022-02-08,13.57,14.12,13.52,13.94,463200.0,6419952.0
US,CRDO,2022-02-09,14.12,15.37,14.12,14.64,591900.0,8706849.0
US,CRDO,2022-02-10,14.74,15.63,14.7,15.19,584600.0,8868382.0
US,CRDO,2022-02-11,15.3,16.39,15.01,15.3,656100.0,10215477.0
US,CRDO,2022-02-14,14.18,15.67,14.18,14.86,382400.0,5697760.0
US,CRDO,2022-02-15,14.79,15.39,14.79,14.99,327200.0,4927632.0
US,CRDO,2022-02-16,15.0,15.39,14.31,15.07,503200.0,7507744.0
US,CRDO,2022-02-17,14.99,15.4,14.88,15.12,236800.0,3582784.0
US,CRDO,2022-02-18,15.0,15.45,14.52,15.2,266600.0,4014996.0
US,CRDO,2022-02-22,15.73,16.0,15.25,15.62,464100.0,7249242.0
US,CRDO,2022-02-23,15.85,16.27,15.08,15.12,469800.0,7277202.0
US,CRDO,2022-02-24,14.58,15.01,13.96,14.93,431600.0,6314308.0
US,CRDO,2022-02-25,15.03,15.53,15.0,15.33,278600.0,4259794.0
US,CRDO,2022-02-28,15.23,16.96,15.01,16.9,650000.0,10588500.0
US,CRDO,2022-03-01,16.8,16.8,15.06,15.22,641800.0,10069842.0
US,CRDO,2022-03-02,16.0,16.6,16.0,16.36,315100.0,5142432.0
US,CRDO,2022-03-03,17.1,18.0,16.04,16.1,665000.0,11112150.0
US,CRDO,2022-03-04,15.96,16.54,15.09,15.66,398800.0,6285088.0
US,CRDO,2022-03-07,15.6,16.28,15.44,15.86,467000.0,7406620.0
US,CRDO,2022-03-08,15.84,16.26,14.81,15.73,607500.0,9477000.0
US,CRDO,2022-03-09,16.04,16.58,15.38,16.44,747400.0,12055562.0
US,CRDO,2022-03-10,16.91,16.95,15.82,16.16,996800.0,16257808.0
US,CRDO,2022-03-11,16.2,16.2,14.9,15.51,747700.0,11619258.0
US,CRDO,2022-03-14,15.55,15.72,12.83,13.67,1049200.0,14762244.0
US,CRDO,2022-03-15,13.74,14.46,13.33,14.3,338200.0,4744946.0
US,CRDO,2022-03-16,14.42,15.11,14.22,14.63,681200.0,9979580.0
US,CRDO,2022-03-17,14.54,15.06,13.53,14.12,1239700.0,17653328.0
US,CRDO,2022-03-18,13.56,14.56,13.51,13.69,4773700.0,66449904.0
US,CRDO,2022-03-21,13.67,14.17,12.53,12.76,1292500.0,16996375.0
