country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,CRM,2016-06-13,6.81126,6.81126,555.049577,555.049577,0.9829937861,0.006780096487287227
US,CRM,2016-06-14,6.81126,6.81126,552.325073,552.325073,0.9829937861,0.0051977167220161906
US,CRM,2016-06-15,6.81126,6.81126,558.455207,558.455207,0.9829937861,0.0052477808804832
US,CRM,2016-06-16,6.81126,6.81126,556.071266,556.071266,0.9829937861,0.004470538490675734
US,CRM,2016-06-17,6.81126,6.81126,548.30643,548.30643,0.9829937861,0.008355722729715206
US,CRM,2016-06-20,6.81126,6.81126,553.210537,553.210537,0.9829937861,0.005062646265155052
US,CRM,2016-06-21,6.81126,6.81126,556.003154,556.003154,0.9829937861,0.0046749059645351965
US,CRM,2016-06-22,6.81126,6.81126,549.123781,549.123781,0.9829937861,0.00619944033849831
US,CRM,2016-06-23,6.81126,6.81126,560.430473,560.430473,0.9829937861,0.004077219192924657
US,CRM,2016-06-24,6.81126,6.81126,534.41146,534.41146,0.9829937861,0.01000651861770069
US,CRM,2016-06-27,6.81126,6.81126,518.132548,518.132548,0.9829937861,0.008839333691563676
US,CRM,2016-06-28,6.81126,6.81126,528.213213,528.213213,0.9829937861,0.0070194061010738105
US,CRM,2016-06-29,6.81126,6.81126,538.08954,538.08954,0.9829937861,0.008065468063177738
US,CRM,2016-06-30,6.81126,6.81126,540.882157,540.882157,0.9829937861,0.006818562204349856
US,CRM,2016-07-01,6.81126,6.81126,543.742886,543.742886,0.9829937861,0.004356462680913663
US,CRM,2016-07-05,6.81126,6.81126,535.841824,535.841824,0.9829937861,0.006112525435822447
US,CRM,2016-07-06,6.81126,6.81126,534.68391,534.68391,0.9829937861,0.0060505692045230985
US,CRM,2016-07-07,6.81126,6.81126,536.454838,536.454838,0.9829937861,0.004530586117693349
US,CRM,2016-07-08,6.81126,6.81126,550.962821,550.962821,0.9829937861,0.005225024444816377
US,CRM,2016-07-11,6.81126,6.81126,556.207492,556.207492,0.9829937861,0.004299644999603598
US,CRM,2016-07-12,6.81126,6.81126,558.046532,558.046532,0.9829937861,0.005137669094998576
US,CRM,2016-07-13,6.81126,6.81126,553.959776,553.959776,0.9829937861,0.0036331016581366738
US,CRM,2016-07-14,6.81126,6.81126,555.526366,555.526366,0.9829937861,0.002630497147370677
US,CRM,2016-07-15,6.81126,6.81126,554.436564,554.436564,0.9829937861,0.0033089325616699407
US,CRM,2016-07-18,6.81126,6.81126,556.003154,556.003154,0.9829937861,0.0031966185404756244
US,CRM,2016-07-19,6.81126,6.81126,554.232226,554.232226,0.9829937861,0.0031775324976582894
US,CRM,2016-07-20,6.81126,6.81126,559.476896,559.476896,0.9829937861,0.006265801041217043
US,CRM,2016-07-21,6.81126,6.81126,556.479942,556.479942,0.9829937861,0.0046919365873568175
US,CRM,2016-07-22,6.81126,6.81126,562.269513,562.269513,0.9829937861,0.0037859368163893317
US,CRM,2016-07-25,6.81126,6.81126,559.817459,559.817459,0.9829937861,0.003865804564794179
US,CRM,2016-07-26,6.81126,6.81126,556.888618,556.888618,0.9829937861,0.00441915299078291
US,CRM,2016-07-27,6.81126,6.81126,555.11769,555.11769,0.9829937861,0.005241467804782082
US,CRM,2016-07-28,6.81126,6.81126,560.771036,560.771036,0.9829937861,0.003594342309646086
US,CRM,2016-07-29,6.81126,6.81126,557.161068,557.161068,0.9829937861,0.004399039237967718
US,CRM,2016-08-01,6.90468,6.90468,559.417174,559.417174,0.9829937861,0.0060421337411726535
US,CRM,2016-08-02,6.90468,6.90468,555.82674,555.82674,0.9829937861,0.006180880214579097
US,CRM,2016-08-03,6.90468,6.90468,555.205319,555.205319,0.9829937861,0.003848838758639068
US,CRM,2016-08-04,6.90468,6.90468,556.241021,556.241021,0.9829937861,0.003573518251388913
US,CRM,2016-08-05,6.90468,6.90468,561.557624,561.557624,0.9829937861,0.00439339694236373
US,CRM,2016-08-08,6.90468,6.90468,560.452876,560.452876,0.9829937861,0.003885190913988773
US,CRM,2016-08-09,6.90468,6.90468,560.521922,560.521922,0.9829937861,0.00403393060938378
US,CRM,2016-08-10,6.90468,6.90468,554.031523,554.031523,0.9829937861,0.004889726967795756
US,CRM,2016-08-11,6.90468,6.90468,562.593326,562.593326,0.9829937861,0.00499458338402359
US,CRM,2016-08-12,6.90468,6.90468,563.629028,563.629028,0.9829937861,0.004743304541267662
US,CRM,2016-08-15,6.90468,6.90468,544.917346,544.917346,0.9829937861,0.015766262882566606
US,CRM,2016-08-16,6.90468,6.90468,538.288853,538.288853,0.9829937861,0.0069484755267441795
US,CRM,2016-08-17,6.90468,6.90468,526.965178,526.965178,0.9829937861,0.01179142262928912
US,CRM,2016-08-18,6.90468,6.90468,531.038939,531.038939,0.9829937861,0.008979706517898006
US,CRM,2016-08-19,6.90468,6.90468,534.974606,534.974606,0.9829937861,0.004763870302461519
US,CRM,2016-08-22,6.90468,6.90468,533.38653,533.38653,0.9829937861,0.005878621456751073
US,CRM,2016-08-23,6.90468,6.90468,538.703134,538.703134,0.9829937861,0.00626908126082599
US,CRM,2016-08-24,6.90468,6.90468,537.322198,537.322198,0.9829937861,0.005303214631235626
US,CRM,2016-08-25,6.90468,6.90468,553.479149,553.479149,0.9829937861,0.010856259812185359
US,CRM,2016-08-26,6.90468,6.90468,552.58154,552.58154,0.9829937861,0.006186383728138016
US,CRM,2016-08-29,6.90468,6.90468,551.822026,551.822026,0.9829937861,0.006637237352056866
US,CRM,2016-08-30,6.90468,6.90468,551.200604,551.200604,0.9829937861,0.004855692081312964
US,CRM,2016-08-31,6.90468,6.90468,548.369686,548.369686,0.9829937861,0.0149277012113523
US,CRM,2016-09-01,6.90468,6.90468,524.134259,524.134259,0.9829937861,0.03971002276716662
US,CRM,2016-09-02,6.90468,6.90468,518.541468,518.541468,0.9829937861,0.011807933169965878
US,CRM,2016-09-06,6.90468,6.90468,520.750966,520.750966,0.9829937861,0.007452915993210402
US,CRM,2016-09-07,6.90468,6.90468,517.920047,517.920047,0.9829937861,0.00806235770520864
US,CRM,2016-09-08,6.90468,6.90468,517.022438,517.022438,0.9829937861,0.007418446618815065
US,CRM,2016-09-09,6.90468,6.90468,512.327256,512.327256,0.9829937861,0.010015091213495773
US,CRM,2016-09-12,6.90468,6.90468,513.432005,513.432005,0.9829937861,0.0075279375727767255
US,CRM,2016-09-13,6.90468,6.90468,504.455921,504.455921,0.9829937861,0.009819861311458315
US,CRM,2016-09-14,6.90468,6.90468,509.703478,509.703478,0.9829937861,0.008441665652861537
US,CRM,2016-09-15,6.90468,6.90468,510.877273,510.877273,0.9829937861,0.006211439197761518
US,CRM,2016-09-16,6.90468,6.90468,506.043997,506.043997,0.9829937861,0.010597739504220325
US,CRM,2016-09-19,6.90468,6.90468,504.04164,504.04164,0.9829937861,0.005621983929740408
US,CRM,2016-09-20,6.90468,6.90468,503.420219,503.420219,0.9829937861,0.007000324417641368
US,CRM,2016-09-21,6.90468,6.90468,512.189162,512.189162,0.9829937861,0.009147129193532503
US,CRM,2016-09-22,6.90468,6.90468,515.020081,515.020081,0.9829937861,0.007466964435716065
US,CRM,2016-09-23,6.90468,6.90468,486.020425,486.020425,0.9829937861,0.03357027407497523
US,CRM,2016-09-26,6.90468,6.90468,484.639489,484.639489,0.9829937861,0.016983698013521262
US,CRM,2016-09-27,6.90468,6.90468,483.672834,483.672834,0.9829937861,0.011846312935574132
US,CRM,2016-09-28,6.90468,6.90468,494.513182,494.513182,0.9829937861,0.01081483863118928
US,CRM,2016-09-29,6.90468,6.90468,491.613216,491.613216,0.9829937861,0.007709843178829431
US,CRM,2016-09-30,6.90468,6.90468,492.510824,492.510824,0.9829937861,0.008424720624272233
US,CRM,2016-10-03,6.90468,6.90468,486.918034,486.918034,0.9829937861,0.006777866606417676
US,CRM,2016-10-04,6.90468,6.90468,501.486908,501.486908,0.9829937861,0.01627620686259175
US,CRM,2016-10-05,6.90468,6.90468,472.418206,472.418206,0.9829937861,0.0699148983008626
US,CRM,2016-10-06,6.90468,6.90468,492.027497,492.027497,0.9829937861,0.02683267001512018
US,CRM,2016-10-07,6.90468,6.90468,489.610859,489.610859,0.9829937861,0.00971428074870957
US,CRM,2016-10-10,6.90468,6.90468,518.541468,518.541468,0.9829937861,0.032619469693019806
US,CRM,2016-10-11,6.90468,6.90468,500.036926,500.036926,0.9829937861,0.023788792529125174
US,CRM,2016-10-12,6.90468,6.90468,498.725036,498.725036,0.9829937861,0.00912685309094701
US,CRM,2016-10-13,6.90468,6.90468,487.677548,487.677548,0.9829937861,0.00968444591204806
US,CRM,2016-10-14,6.90468,6.90468,512.810584,512.810584,0.9829937861,0.036215436486556944
US,CRM,2016-10-17,6.90468,6.90468,502.867844,502.867844,0.9829937861,0.01271195768667049
US,CRM,2016-10-18,6.90468,6.90468,502.453564,502.453564,0.9829937861,0.007601221200692863
US,CRM,2016-10-19,6.90468,6.90468,502.798798,502.798798,0.9829937861,0.005313497511832554
US,CRM,2016-10-20,6.90468,6.90468,501.210721,501.210721,0.9829937861,0.007320397179883789
US,CRM,2016-10-21,6.90468,6.90468,510.94632,510.94632,0.9829937861,0.009833475266051432
US,CRM,2016-10-24,6.90468,6.90468,518.265281,518.265281,0.9829937861,0.009166681149597084
US,CRM,2016-10-25,6.90468,6.90468,518.265281,518.265281,0.9829937861,0.00644084881558595
US,CRM,2016-10-26,6.90468,6.90468,517.505766,517.505766,0.9829937861,0.008325078062994954
US,CRM,2016-10-27,6.90468,6.90468,516.055783,516.055783,0.9829937861,0.005821269052294965
US,CRM,2016-10-28,6.90468,6.90468,518.748608,518.748608,0.9829937861,0.0069920691473029884
US,CRM,2016-10-31,7.00994,7.00994,526.86709,526.86709,0.9829937861,0.005868095875285665
US,CRM,2016-11-01,7.00994,7.00994,528.899973,528.899973,0.9829937861,0.010187961665863046
US,CRM,2016-11-02,7.00994,7.00994,525.7455,525.7455,0.9829937861,0.005827154012730494
US,CRM,2016-11-03,7.00994,7.00994,519.716952,519.716952,0.9829937861,0.005539562392830752
US,CRM,2016-11-04,7.00994,7.00994,521.329238,521.329238,0.9829937861,0.006106756976521911
US,CRM,2016-11-07,7.00994,7.00994,534.858422,534.858422,0.9829937861,0.008527177122771379
US,CRM,2016-11-08,7.00994,7.00994,536.610907,536.610907,0.9829937861,0.005750548506834581
US,CRM,2016-11-09,7.00994,7.00994,532.054446,532.054446,0.9829937861,0.009815918538532427
US,CRM,2016-11-10,7.00994,7.00994,516.141882,516.141882,0.9829937861,0.014551051792169405
US,CRM,2016-11-11,7.00994,7.00994,522.871425,522.871425,0.9829937861,0.012670293896952043
US,CRM,2016-11-14,7.00994,7.00994,510.043234,510.043234,0.9829937861,0.010330616239226013
US,CRM,2016-11-15,7.00994,7.00994,518.875759,518.875759,0.9829937861,0.008867978898535508
US,CRM,2016-11-16,7.00994,7.00994,513.898701,513.898701,0.9829937861,0.015176592096366017
US,CRM,2016-11-17,7.00994,7.00994,527.077389,527.077389,0.9829937861,0.017887599608555852
US,CRM,2016-11-18,7.00994,7.00994,545.163034,545.163034,0.9829937861,0.02839253973643141
US,CRM,2016-11-21,7.00994,7.00994,533.806931,533.806931,0.9829937861,0.01219668071338699
US,CRM,2016-11-22,7.00994,7.00994,529.741166,529.741166,0.9829937861,0.01123233579745333
US,CRM,2016-11-23,7.00994,7.00994,518.385063,518.385063,0.9829937861,0.011745892261560014
US,CRM,2016-11-25,7.00994,7.00994,516.842876,516.842876,0.9829937861,0.003346818945668579
US,CRM,2016-11-28,7.00994,7.00994,511.234924,511.234924,0.9829937861,0.009182532232800852
US,CRM,2016-11-29,7.00994,7.00994,511.234924,511.234924,0.9829937861,0.01060636752953663
US,CRM,2016-11-30,7.00994,7.00994,504.71568,504.71568,0.9829937861,0.008932886729415659
US,CRM,2016-12-01,7.00994,7.00994,479.900492,479.900492,0.9829937861,0.015559762280418948
US,CRM,2016-12-02,7.00994,7.00994,479.549995,479.549995,0.9829937861,0.02277851165630519
US,CRM,2016-12-05,7.00994,7.00994,496.303752,496.303752,0.9829937861,0.014564461322065524
US,CRM,2016-12-06,7.00994,7.00994,495.041963,495.041963,0.9829937861,0.006040137290761405
US,CRM,2016-12-07,7.00994,7.00994,503.173493,503.173493,0.9829937861,0.0070181770457379096
US,CRM,2016-12-08,7.00994,7.00994,503.734288,503.734288,0.9829937861,0.007741293078114791
US,CRM,2016-12-09,7.00994,7.00994,498.89743,498.89743,0.9829937861,0.007313614667172615
US,CRM,2016-12-12,7.00994,7.00994,493.359577,493.359577,0.9829937861,0.00870321286630128
US,CRM,2016-12-13,7.00994,7.00994,501.981803,501.981803,0.9829937861,0.008410057718040383
US,CRM,2016-12-14,7.00994,7.00994,500.01902,500.01902,0.9829937861,0.007234869342676257
US,CRM,2016-12-15,7.00994,7.00994,492.308086,492.308086,0.9829937861,0.006762112086551383
US,CRM,2016-12-16,7.00994,7.00994,489.714408,489.714408,0.9829937861,0.010306507616327672
US,CRM,2016-12-19,7.00994,7.00994,487.260929,487.260929,0.9829937861,0.006456545990407907
US,CRM,2016-12-20,7.00994,7.00994,489.714408,489.714408,0.9829937861,0.00750662630493271
US,CRM,2016-12-21,7.00994,7.00994,491.466893,491.466893,0.9829937861,0.00501544949029521
US,CRM,2016-12-22,7.00994,7.00994,489.994806,489.994806,0.9829937861,0.004948116531667888
US,CRM,2016-12-23,7.00994,7.00994,489.784508,489.784508,0.9829937861,0.0032439649982738796
US,CRM,2016-12-27,7.00994,7.00994,489.644309,489.644309,0.9829937861,0.004193616493151154
US,CRM,2016-12-28,7.00994,7.00994,484.316755,484.316755,0.9829937861,0.006153690331158326
US,CRM,2016-12-29,7.00994,7.00994,484.737351,484.737351,0.9829937861,0.0046064588284635815
US,CRM,2016-12-30,7.00994,7.00994,479.900492,479.900492,0.9829937861,0.006452694316927106
US,CRM,2017-01-03,7.00994,7.00994,494.481168,494.481168,0.9829937861,0.011572424300350645
US,CRM,2017-01-04,7.00994,7.00994,510.323632,510.323632,0.9829937861,0.01325189659255286
US,CRM,2017-01-05,7.00994,7.00994,510.253533,510.253533,0.9829937861,0.006698488146831499
US,CRM,2017-01-06,7.00994,7.00994,517.333572,517.333572,0.9829937861,0.006371095900963489
US,CRM,2017-01-09,7.00994,7.00994,518.455162,518.455162,0.9829937861,0.005610747024938872
US,CRM,2017-01-10,7.00994,7.00994,518.595361,518.595361,0.9829937861,0.005698764896703823
US,CRM,2017-01-11,7.00994,7.00994,531.143154,531.143154,0.9829937861,0.010829336627702947
US,CRM,2017-01-12,7.00994,7.00994,527.217587,527.217587,0.9829937861,0.006678659161134047
US,CRM,2017-01-13,7.00994,7.00994,530.231862,530.231862,0.9829937861,0.005263953757093499
US,CRM,2017-01-17,7.00994,7.00994,525.885699,525.885699,0.9829937861,0.0044971854252675485
US,CRM,2017-01-18,7.00994,7.00994,531.213253,531.213253,0.9829937861,0.005662673289642993
US,CRM,2017-01-19,7.00994,7.00994,529.741166,529.741166,0.9829937861,0.004670938695623643
US,CRM,2017-01-20,7.00994,7.00994,532.965738,532.965738,0.9829937861,0.006552980482001272
US,CRM,2017-01-23,7.00994,7.00994,533.87703,533.87703,0.9829937861,0.005379361306944139
US,CRM,2017-01-24,7.00994,7.00994,540.536473,540.536473,0.9829937861,0.005321443550158775
US,CRM,2017-01-25,7.00994,7.00994,550.069992,550.069992,0.9829937861,0.0081176158426463
US,CRM,2017-01-26,7.00994,7.00994,546.424823,546.424823,0.9829937861,0.005878794968287888
US,CRM,2017-01-27,7.00994,7.00994,548.247407,548.247407,0.9829937861,0.0031659329466443365
US,CRM,2017-01-30,7.00994,7.00994,551.752377,551.752377,0.9829937861,0.007081373021737704
US,CRM,2017-01-31,7.06,7.06,558.446,558.446,0.9829937861,0.01109801699716714
US,CRM,2017-02-01,7.06,7.06,554.7748,554.7748,0.9829937861,0.0087814447592068
US,CRM,2017-02-02,7.06,7.06,565.7178,565.7178,0.9829937861,0.010872662889518414
US,CRM,2017-02-03,7.06,7.06,566.2826,566.2826,0.9829937861,0.007047308781869688
US,CRM,2017-02-06,7.06,7.06,563.035,563.035,0.9829937861,0.0037736543909348444
US,CRM,2017-02-07,7.06,7.06,566.2826,566.2826,0.9829937861,0.005139093484419263
US,CRM,2017-02-08,7.06,7.06,569.742,569.742,0.9829937861,0.0036373937677053824
US,CRM,2017-02-09,7.06,7.06,572.0718,572.0718,0.9829937861,0.0072910764872521246
US,CRM,2017-02-10,7.06,7.06,569.3184,569.3184,0.9829937861,0.004336968838526912
US,CRM,2017-02-13,7.06,7.06,571.2246,571.2246,0.9829937861,0.006129603399433428
US,CRM,2017-02-14,7.06,7.06,571.2952,571.2952,0.9829937861,0.006812322946175637
US,CRM,2017-02-15,7.06,7.06,576.5902,576.5902,0.9829937861,0.00746728045325779
US,CRM,2017-02-16,7.06,7.06,570.5892,570.5892,0.9829937861,0.007414589235127478
US,CRM,2017-02-17,7.06,7.06,575.1782,575.1782,0.9829937861,0.005204107648725213
US,CRM,2017-02-21,7.06,7.06,580.1908,580.1908,0.9829937861,0.006126062322946176
US,CRM,2017-02-22,7.06,7.06,579.4848,579.4848,0.9829937861,0.0038830028328611897
US,CRM,2017-02-23,7.06,7.06,579.4142,579.4142,0.9829937861,0.007925212464589234
US,CRM,2017-02-24,7.06,7.06,577.3668,577.3668,0.9829937861,0.006280736543909348
US,CRM,2017-02-27,7.06,7.06,575.6724,575.6724,0.9829937861,0.004659065155807366
US,CRM,2017-02-28,7.06,7.06,574.331,574.331,0.9829937861,0.014919263456090652
US,CRM,2017-03-01,7.06,7.06,591.6986,591.6986,0.9829937861,0.02028215297450425
US,CRM,2017-03-02,7.06,7.06,583.6502,583.6502,0.9829937861,0.008335410764872521
US,CRM,2017-03-03,7.06,7.06,580.4732,580.4732,0.9829937861,0.008806232294617564
US,CRM,2017-03-06,7.06,7.06,582.45,582.45,0.9829937861,0.0075474504249291785
US,CRM,2017-03-07,7.06,7.06,585.7682,585.7682,0.9829937861,0.007693767705382436
US,CRM,2017-03-08,7.06,7.06,589.3688,589.3688,0.9829937861,0.005286685552407932
US,CRM,2017-03-09,7.06,7.06,587.9568,587.9568,0.9829937861,0.0051655807365439095
US,CRM,2017-03-10,7.06,7.06,589.5806,589.5806,0.9829937861,0.00556657223796034
US,CRM,2017-03-13,7.06,7.06,590.2866,590.2866,0.9829937861,0.004906090651558073
