country,code,time,open,high,low,close,volume,amount
US,CRM,2016-06-13,81.25,82.99,80.8,81.49,4618100.0,376975503.0
US,CRM,2016-06-14,81.12,81.72,80.77,81.09,3540300.0,287366151.0
US,CRM,2016-06-15,81.83,82.61,81.75,81.99,3574400.0,293279520.0
US,CRM,2016-06-16,81.19,81.84,80.21,81.64,3045000.0,247314900.0
US,CRM,2016-06-17,81.53,81.53,80.17,80.5,5691300.0,460596909.0
US,CRM,2016-06-20,81.48,82.29,81.13,81.22,3448300.0,281139899.0
US,CRM,2016-06-21,81.57,81.87,81.23,81.63,3184200.0,259767036.0
US,CRM,2016-06-22,81.56,81.81,80.47,80.62,4222600.0,342495086.0
US,CRM,2016-06-23,81.16,82.32,80.79,82.28,2777100.0,226722444.0
US,CRM,2016-06-24,79.41,80.51,78.33,78.46,6815700.0,539667126.0
US,CRM,2016-06-27,77.46,77.69,75.51,76.07,6020700.0,461667276.0
US,CRM,2016-06-28,77.55,77.91,76.6,77.55,4781100.0,370057140.0
US,CRM,2016-06-29,78.25,79.65,77.9,79.0,5493600.0,432346320.0
US,CRM,2016-06-30,79.35,79.96,79.09,79.41,4644300.0,368989635.0
US,CRM,2016-07-01,79.59,80.85,79.33,79.83,2967300.0,237087270.0
US,CRM,2016-07-05,79.1,79.24,78.26,78.67,4163400.0,328159188.0
US,CRM,2016-07-06,78.48,78.73,77.73,78.5,4121200.0,322937232.0
US,CRM,2016-07-07,78.5,79.1,78.39,78.76,3085900.0,242829471.0
US,CRM,2016-07-08,79.43,81.1,79.3,80.89,3558900.0,285352602.0
US,CRM,2016-07-11,81.06,81.83,81.05,81.66,2928600.0,238388040.0
US,CRM,2016-07-12,81.95,82.45,81.22,81.93,3499400.0,286565866.0
US,CRM,2016-07-13,82.37,82.48,81.28,81.33,2474600.0,202595502.0
US,CRM,2016-07-14,82.0,82.02,81.44,81.56,1791700.0,146471475.0
US,CRM,2016-07-15,81.86,81.91,81.04,81.4,2253800.0,183797390.0
US,CRM,2016-07-18,81.51,82.07,81.15,81.63,2177300.0,177645907.0
US,CRM,2016-07-19,81.7,81.79,81.15,81.37,2164300.0,176390450.0
US,CRM,2016-07-20,82.05,82.73,81.42,82.14,4267800.0,350343702.0
US,CRM,2016-07-21,82.45,83.09,81.43,81.7,3195800.0,262598886.0
