country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,CRWD,2018,Q4,2018-01-31,USD,38717000.0,19170000.0,40386000.0,56367000.0,-36767000.0,2529000.0,-190000.0,-37010000.0,-41717000.0,171202000.0,171202000.0,63179000.0,2593000.0,137995000.0,40754000.0,79708000.0,165890000.0,70271000.0,22000.0,-378948000.0,-18458000.0,-23235000.0,-3714000.0,53336000.0,-6725000.0,53000.0,3532000.0,-2937000.0,66116000.0,-3445000.0
US,CRWD,2019,Q1,2018-04-30,USD,47289000.0,19394000.0,43394000.0,61009000.0,-33304000.0,3149000.0,-192000.0,-33496000.0,-33617000.0,171202000.0,171202000.0,,,,,,,,,,,16635000.0,-4049000.0,5643000.0,-6393000.0,-7756000.0,449000.0,-13774000.0,63179000.0,-10356000.0
US,CRWD,2019,Q2,2018-07-31,USD,55701000.0,18575000.0,48590000.0,67553000.0,-32279000.0,3648000.0,-236000.0,-32515000.0,-32877000.0,171202000.0,171202000.0,,,,,,,,,,,-10285000.0,8283000.0,6535000.0,-28744000.0,-87117000.0,182171000.0,66129000.0,49405000.0,-6913000.0
US,CRWD,2019,Q3,2018-10-31,USD,66379000.0,22274000.0,60228000.0,86196000.0,-41788000.0,3837000.0,0.0,-41788000.0,-42323000.0,171202000.0,171202000.0,83462000.0,107967000.0,282947000.0,59805000.0,106606999.0,223684000.0,69311000.0,23000.0,-487866000.0,96559000.0,13137000.0,33189000.0,7321000.0,-3639000.0,-36486000.0,8094000.0,-32072000.0,115534000.0,-9437000.0
US,CRWD,2019,Q4,2019-01-31,USD,80455000.0,26995000.0,62687000.0,84692000.0,-30911000.0,4764000.0,0.0,-30911000.0,-31260000.0,171202000.0,171202000.0,88408000.0,103247000.0,302541000.0,73735000.0,130678000.0,281420000.0,81680000.0,24000.0,-519126000.0,70119000.0,29813000.0,45290000.0,9241000.0,15808000.0,-10671000.0,-325000.0,4946000.0,83462000.0,-15939000.0
US,CRWD,2020,Q1,2019-04-30,USD,96077000.0,29273000.0,68704000.0,92579000.0,-25381000.0,5019000.0,-1000.0,-25382000.0,-25977000.0,196688971.0,196688971.0,92993000.0,82066000.0,285058000.0,86349000.0,172303000.0,302721000.0,81904999.0,24000.0,-521684999.0,72735000.0,11300000.0,16164000.0,6921000.0,1415000.0,4138000.0,-882000.0,4585000.0,88408000.0,-17525000.0
US,CRWD,2020,Q2,2019-07-31,USD,108108000.0,31582000.0,95535000.0,127165000.0,-51090000.0,5459000.0,-164000.0,-51254000.0,-51889000.0,200392486.0,200392486.0,732808000.0,94003000.0,971415000.0,107989000.0,200171000.0,341781000.0,101707999.0,103000.0,-573574000.0,728097000.0,-2645000.0,25532000.0,8318000.0,-6214000.0,-34392000.0,680684000.0,639815000.0,92993000.0,-22944000.0
US,CRWD,2020,Q3,2019-10-31,USD,125119000.0,37355000.0,90290000.0,126282000.0,-34939000.0,5930000.0,-132000.0,-35071000.0,-35505000.0,204096000.0,204096000.0,743605000.0,90083000.0,1017296000.0,129503999.0,238758000.0,415604000.0,123407999.0,103000.0,-609079000.0,717042000.0,37027000.0,67856000.0,9179000.0,38635000.0,-27262000.0,-968000.0,10797000.0,732808000.0,-31587000.0
US,CRWD,2020,Q4,2020-01-31,USD,152109000.0,43417000.0,101134000.0,139825000.0,-27930000.0,7105000.0,-145000.0,-28075000.0,-28408000.0,207565000.0,207565000.0,264798000.0,647266000.0,1128665000.0,136078000.0,276241000.0,493096000.0,169202999.0,106000.0,-637487000.0,742107000.0,51789000.0,74022000.0,11049000.0,66107000.0,-572115000.0,27310000.0,-478807000.0,743605000.0,-15431000.0
US,CRWD,2021,Q1,2020-04-30,USD,178078000.0,46895000.0,113181000.0,153759000.0,-18043000.0,8305000.0,-143000.0,-18186000.0,-19222000.0,213129000.0,213129000.0,1004991000.0,0.0,1195052000.0,174834000.0,324344000.0,555644000.0,210599000.0,108000.0,-656709000.0,752153000.0,70591000.0,42242000.0,15885000.0,98577000.0,634711000.0,6893000.0,740193000.0,264798000.0,-11576000.0
