country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,CRWD,2019-06-12,2.00392486,2.00392486,116.227642,116.227642,1.0,0.09705534567798116
US,CRWD,2019-06-13,2.00392486,2.00392486,135.385164,135.385164,1.0,0.05451274255862069
US,CRWD,2019-06-14,2.00392486,2.00392486,128.571819,128.571819,1.0,0.03125971499749746
US,CRWD,2019-06-17,2.00392486,2.00392486,140.294779,140.294779,1.0,0.01620555273714205
US,CRWD,2019-06-18,2.00392486,2.00392486,153.300252,153.300252,1.0,0.03299837300286798
US,CRWD,2019-06-19,2.00392486,2.00392486,154.743078,154.743078,1.0,0.016562846572999747
US,CRWD,2019-06-20,2.00392486,2.00392486,149.993776,149.993776,1.0,0.01711446406229024
US,CRWD,2019-06-21,2.00392486,2.00392486,144.743493,144.743493,1.0,0.01326131559643409
US,CRWD,2019-06-24,2.00392486,2.00392486,136.206773,136.206773,1.0,0.012216211539987582
US,CRWD,2019-06-25,2.00392486,2.00392486,123.281457,123.281457,1.0,0.012386756856741624
US,CRWD,2019-06-26,2.00392486,2.00392486,125.545892,125.545892,1.0,0.008111591569356548
US,CRWD,2019-06-27,2.00392486,2.00392486,126.808365,126.808365,1.0,0.004564103266826083
US,CRWD,2019-06-28,2.00392486,2.00392486,136.848029,136.848029,1.0,0.007357077250890535
US,CRWD,2019-07-01,2.00392486,2.00392486,126.648051,126.648051,1.0,0.013350635312743213
US,CRWD,2019-07-02,2.00392486,2.00392486,129.293232,129.293232,1.0,0.008677196609058486
US,CRWD,2019-07-03,2.00392486,2.00392486,134.743908,134.743908,1.0,0.007805222796627215
US,CRWD,2019-07-05,2.00392486,2.00392486,134.68379,134.68379,1.0,0.004018224515663726
US,CRWD,2019-07-08,2.00392486,2.00392486,134.082612,134.082612,1.0,0.022791044171187137
US,CRWD,2019-07-09,2.00392486,2.00392486,137.168657,137.168657,1.0,0.008896012198780747
US,CRWD,2019-07-10,2.00392486,2.00392486,148.971774,148.971774,1.0,0.013570104619591376
US,CRWD,2019-07-11,2.00392486,2.00392486,142.038194,142.038194,1.0,0.011736138649430199
US,CRWD,2019-07-12,2.00392486,2.00392486,147.288477,147.288477,1.0,0.00917352759424323
US,CRWD,2019-07-15,2.00392486,2.00392486,143.48102,143.48102,1.0,0.006612433562004915
US,CRWD,2019-07-16,2.00392486,2.00392486,139.352935,139.352935,1.0,0.007896099457541536
US,CRWD,2019-07-17,2.00392486,2.00392486,142.278665,142.278665,1.0,0.005174879660907046
US,CRWD,2019-07-18,2.00392486,2.00392486,145.785534,145.785534,1.0,0.016916622312874545
US,CRWD,2019-07-19,2.00392486,2.00392486,167.367804,167.367804,1.0,0.06821132005917627
US,CRWD,2019-07-22,2.00392486,2.00392486,175.704132,175.704132,1.0,0.02673625197703271
US,CRWD,2019-07-23,2.00392486,2.00392486,173.820442,173.820442,1.0,0.012624121046135433
US,CRWD,2019-07-24,2.00392486,2.00392486,175.263268,175.263268,1.0,0.006241311862361945
US,CRWD,2019-07-25,2.00392486,2.00392486,184.922186,184.922186,1.0,0.0163198534300333
US,CRWD,2019-07-26,2.00392486,2.00392486,186.124541,186.124541,1.0,0.010245004895043819
US,CRWD,2019-07-29,2.00392486,2.00392486,174.802366,174.802366,1.0,0.01655650401981639
US,CRWD,2019-07-30,2.00392486,2.00392486,188.368937,188.368937,1.0,0.015605220846454293
US,CRWD,2019-07-31,2.04096,2.04096,181.788307,181.788307,1.0,0.012131433247099404
US,CRWD,2019-08-01,2.04096,2.04096,186.809069,186.809069,1.0,0.010966638248667294
US,CRWD,2019-08-02,2.04096,2.04096,179.62489,179.62489,1.0,0.008824313068359988
US,CRWD,2019-08-05,2.04096,2.04096,174.461261,174.461261,1.0,0.010761470092505488
US,CRWD,2019-08-06,2.04096,2.04096,173.97143,173.97143,1.0,0.006650928974600188
US,CRWD,2019-08-07,2.04096,2.04096,171.889651,171.889651,1.0,0.004852647773596739
US,CRWD,2019-08-08,2.04096,2.04096,187.053984,187.053984,1.0,0.008291534375979931
US,CRWD,2019-08-09,2.04096,2.04096,193.687104,193.687104,1.0,0.015011950258701787
US,CRWD,2019-08-12,2.04096,2.04096,189.82969,189.82969,1.0,0.009288026222953905
US,CRWD,2019-08-13,2.04096,2.04096,203.381664,203.381664,1.0,0.014870002351834432
US,CRWD,2019-08-14,2.04096,2.04096,191.891059,191.891059,1.0,0.0138311431875196
US,CRWD,2019-08-15,2.04096,2.04096,191.156314,191.156314,1.0,0.007449151379742866
US,CRWD,2019-08-16,2.04096,2.04096,196.034208,196.034208,1.0,0.007499167058639072
US,CRWD,2019-08-19,2.04096,2.04096,202.851014,202.851014,1.0,0.013726202375352775
US,CRWD,2019-08-20,2.04096,2.04096,202.381594,202.381594,1.0,0.007052294018501097
US,CRWD,2019-08-21,2.04096,2.04096,197.115917,197.115917,1.0,0.008846836782690498
US,CRWD,2019-08-22,2.04096,2.04096,189.748051,189.748051,1.0,0.008660302014738162
US,CRWD,2019-08-23,2.04096,2.04096,180.482093,180.482093,1.0,0.014948093054248981
US,CRWD,2019-08-26,2.04096,2.04096,181.400525,181.400525,1.0,0.007171527124490436
US,CRWD,2019-08-27,2.04096,2.04096,171.603917,171.603917,1.0,0.008960690067419255
US,CRWD,2019-08-28,2.04096,2.04096,177.54311,177.54311,1.0,0.00941346719190969
US,CRWD,2019-08-29,2.04096,2.04096,171.073267,171.073267,1.0,0.008770240475070554
US,CRWD,2019-08-30,2.04096,2.04096,165.889229,165.889229,1.0,0.009359085920351208
US,CRWD,2019-09-03,2.04096,2.04096,170.95081,170.95081,1.0,0.008980151497334587
US,CRWD,2019-09-04,2.04096,2.04096,174.114298,174.114298,1.0,0.011822686382878646
US,CRWD,2019-09-05,2.04096,2.04096,177.257376,177.257376,1.0,0.01945718191439323
US,CRWD,2019-09-06,2.04096,2.04096,155.072141,155.072141,1.0,0.04249148439949828
US,CRWD,2019-09-09,2.04096,2.04096,136.948416,136.948416,1.0,0.04212839546095955
US,CRWD,2019-09-10,2.04096,2.04096,146.234784,146.234784,1.0,0.022893486398557542
US,CRWD,2019-09-11,2.04096,2.04096,141.050746,141.050746,1.0,0.015257427877077455
US,CRWD,2019-09-12,2.04096,2.04096,142.173274,142.173274,1.0,0.014323896597679523
US,CRWD,2019-09-13,2.04096,2.04096,132.376666,132.376666,1.0,0.02041333980087802
US,CRWD,2019-09-16,2.04096,2.04096,138.499546,138.499546,1.0,0.01374124921605519
US,CRWD,2019-09-17,2.04096,2.04096,144.989798,144.989798,1.0,0.01381991317811226
US,CRWD,2019-09-18,2.04096,2.04096,144.602016,144.602016,1.0,0.009814058090310442
US,CRWD,2019-09-19,2.04096,2.04096,140.683373,140.683373,1.0,0.008283494042019442
US,CRWD,2019-09-20,2.04096,2.04096,136.683091,136.683091,1.0,0.016533312754782065
US,CRWD,2019-09-23,2.04096,2.04096,136.560634,136.560634,1.0,0.004050196966133584
