country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,CRWV,2023,Q4,2023-12-31,USD,115997000.0,34848000.0,17033000.0,82966000.0,-138300000.0,53330000.0,-16090000.0,-154390000.0,-170574000.0,403727000.0,403727000.0,217147000.0,2368000.0,501992000.0,3945956000.0,4474983000.0,998461000.0,4575105000.0,1000.0,-612787000.0,-596591000.0,-22504000.0,85620000.0,159146000.0,43621000.0,-1254449000.0,1214518000.0,3690000.0,476385000.0,-1180054000.0
US,CRWV,2024,Q1,2024-03-31,USD,188684000.0,59220000.0,19736000.0,112617000.0,-73193000.0,79510000.0,-40656000.0,-113849000.0,-129248000.0,403727000.0,403727000.0,,,,,,,,,,,1946139000.0,1891811000.0,119762000.0,2039038000.0,-1771243000.0,919495000.0,1187290000.0,480075000.0,-1741935000.0
US,CRWV,2024,Q2,2024-06-30,USD,395371000.0,108838000.0,25926000.0,208812000.0,-216104000.0,164460000.0,-66766000.0,-282870000.0,-323021000.0,403727000.0,403727000.0,,,,,,,,,,,-337185000.0,-102109000.0,341741000.0,-117824000.0,-2249932000.0,1940289000.0,-427467000.0,1667365000.0,-2247161000.0
US,CRWV,2024,Q3,2024-09-30,USD,583941000.0,143134000.0,38182000.0,323691000.0,-213773000.0,254024000.0,-104375000.0,-318148000.0,-359807000.0,435533000.0,435533000.0,1355216000.0,1211000.0,2052845000.0,10909475000.0,12083528000.0,3968224000.0,10512176000.0,1000.0,-1424863000.0,-344027000.0,299727000.0,812827000.0,402616000.0,641222000.0,-1172654000.0,1213584000.0,682152000.0,1239898000.0,-1215155000.0
US,CRWV,2024,Q4,2024-12-31,USD,747430000.0,182158000.0,53189000.0,452598000.0,119693000.0,365419000.0,-149027000.0,-29334000.0,-51372000.0,404407000.0,404407000.0,1361083000.0,0.0,1916249000.0,14504321000.0,15916350000.0,4962581000.0,13283616000.0,1000.0,-1476235000.0,-413598000.0,-230797000.0,-457645000.0,62928000.0,186732000.0,-3464229000.0,3391280000.0,-26315000.0,1424792000.0,-3497827000.0
US,CRWV,2025,Q1,2025-03-31,USD,981632000.0,262394000.0,185306000.0,746708000.0,-4770000.0,443497000.0,-263835000.0,-268605000.0,-314641000.0,404407000.0,404407000.0,1276456000.0,0.0,3102647000.0,17274212000.0,18757736000.0,7130797000.0,11660304000.0,1163161000.0,-1790876000.0,3069282000.0,-396724000.0,179699000.0,100446000.0,61168000.0,-1433051000.0,1853866000.0,481983000.0,2035833000.0,-1407359000.0
US,CRWV,2025,Q2,2025-06-30,USD,1212788000.0,312667000.0,210999000.0,880912000.0,24232000.0,559481000.0,-266966000.0,-242734000.0,-290509000.0,486591000.0,486591000.0,1152883000.0,0.0,3945983000.0,20011711000.0,22295380000.0,7556355000.0,14864202000.0,1163161000.0,-2081385000.0,3820806000.0,-835184000.0,382262000.0,123689000.0,-251251000.0,-2442162000.0,2229180000.0,-464233000.0,2517816000.0,-2452992000.0
US,CRWV,2025,Q3,2025-09-30,USD,1364676000.0,368824000.0,196523000.0,944002000.0,73751000.0,630479000.0,-310555000.0,-236804000.0,-110124000.0,497886000.0,497886000.0,1894399000.0,47449000.0,4731283000.0,25336238000.0,28179215000.0,9714872000.0,19317612000.0,2000.0,-2191509000.0,3878014000.0,1017859000.0,143286000.0,134514000.0,1689134000.0,-2470086000.0,1696060000.0,778120000.0,1713056000.0,-2388888000.0
US,CRWV,2025,Q4,2025-12-31,USD,1571904000.0,509115000.0,202172000.0,1152378000.0,-79213000.0,821000000.0,-387644000.0,-466857000.0,-451726000.0,435000000.0,436000000.0,3946000000.0,34000000.0,7488000000.0,38788000000.0,41814000000.0,16440000000.0,29527000000.0,0.0,0.0,3335000000.0,846049000.0,2422753000.0,202951000.0,1559000000.0,-3926000000.0,3528894000.0,1454824000.0,2491176000.0,-4060000000.0
US,CRWV,2026,Q1,2026-03-31,USD,2078000000.0,716000000.0,233000000.0,1506000000.0,-144000000.0,0.0,536000000.0,-656000000.0,-740000000.0,527000000.0,527000000.0,3021000000.0,22000000.0,5609000000.0,46606000000.0,49964000000.0,17818000000.0,32996000000.0,0.0,-3383000000.0,4759000000.0,2016000000.0,14000000.0,482000000.0,2984000000.0,-7708000000.0,3914000000.0,-925000000.0,3946000000.0,-7695000000.0
