country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,CRWV,2025-03-28,4.04407,4.04407,161.7628,161.7628,1.0,0.10160828076665342
US,CRWV,2025-03-31,4.86591,4.86591,180.427943,180.427943,1.0,0.031227046944970208
US,CRWV,2025-04-01,4.86591,4.86591,255.800889,255.800889,1.0,0.07876800023017276
US,CRWV,2025-04-02,4.86591,4.86591,298.572238,298.572238,1.0,0.10823628057239035
US,CRWV,2025-04-03,4.86591,4.86591,261.785958,261.785958,1.0,0.05573592606521698
US,CRWV,2025-04-04,4.86591,4.86591,232.687816,232.687816,1.0,0.029736678236958757
US,CRWV,2025-04-07,4.86591,4.86591,242.565614,242.565614,1.0,0.02345851033003076
US,CRWV,2025-04-08,4.86591,4.86591,212.202335,212.202335,1.0,0.028067103583913386
US,CRWV,2025-04-09,4.86591,4.86591,237.310431,237.310431,1.0,0.035408998522372996
US,CRWV,2025-04-10,4.86591,4.86591,205.341402,205.341402,1.0,0.01932690904681755
US,CRWV,2025-04-11,4.86591,4.86591,212.883563,212.883563,1.0,0.011466508833907737
US,CRWV,2025-04-14,4.86591,4.86591,212.202335,212.202335,1.0,0.009920035512370758
US,CRWV,2025-04-15,4.86591,4.86591,198.43181,198.43181,1.0,0.01405965174037333
US,CRWV,2025-04-16,4.86591,4.86591,198.188514,198.188514,1.0,0.014810795925119863
US,CRWV,2025-04-17,4.86591,4.86591,190.208422,190.208422,1.0,0.00995620551962531
US,CRWV,2025-04-21,4.86591,4.86591,172.350532,172.350532,1.0,0.016679716640874982
US,CRWV,2025-04-22,4.86591,4.86591,187.386194,187.386194,1.0,0.019707105145800062
US,CRWV,2025-04-23,4.86591,4.86591,202.519174,202.519174,1.0,0.015724705142511883
US,CRWV,2025-04-24,4.86591,4.86591,203.249061,203.249061,1.0,0.019270187899077456
US,CRWV,2025-04-25,4.86591,4.86591,202.129901,202.129901,1.0,0.018014330310260566
US,CRWV,2025-04-28,4.86591,4.86591,204.465538,204.465538,1.0,0.010675495436619253
US,CRWV,2025-04-29,4.86591,4.86591,208.358266,208.358266,1.0,0.021565544779907558
US,CRWV,2025-04-30,4.86591,4.86591,200.962083,200.962083,1.0,0.012536606718989868
US,CRWV,2025-05-01,4.86591,4.86591,215.657131,215.657131,1.0,0.026719797530163934
US,CRWV,2025-05-02,4.86591,4.86591,250.934979,250.934979,1.0,0.018906262138017348
US,CRWV,2025-05-05,4.86591,4.86591,248.210069,248.210069,1.0,0.013219112149628742
US,CRWV,2025-05-06,4.86591,4.86591,264.218913,264.218913,1.0,0.019820341929875397
US,CRWV,2025-05-07,4.86591,4.86591,260.812776,260.812776,1.0,0.01228793791911482
US,CRWV,2025-05-08,4.86591,4.86591,267.62505,267.62505,1.0,0.012873234400143034
US,CRWV,2025-05-09,4.86591,4.86591,249.961797,249.961797,1.0,0.01633589606055188
US,CRWV,2025-05-12,4.86591,4.86591,284.607076,284.607076,1.0,0.021823266357166488
US,CRWV,2025-05-13,4.86591,4.86591,307.817467,307.817467,1.0,0.020809893730052546
US,CRWV,2025-05-14,4.86591,4.86591,328.254289,328.254289,1.0,0.05163391842430295
US,CRWV,2025-05-15,4.86591,4.86591,320.030901,320.030901,1.0,0.0743994504625034
US,CRWV,2025-05-16,4.86591,4.86591,390.732573,390.732573,1.0,0.08833702226305047
US,CRWV,2025-05-19,4.86591,4.86591,421.339147,421.339147,1.0,0.06855964043724605
US,CRWV,2025-05-20,4.86591,4.86591,439.099718,439.099718,1.0,0.07186569418669889
US,CRWV,2025-05-21,4.86591,4.86591,522.550075,522.550075,1.0,0.12676272269729608
US,CRWV,2025-05-22,4.86591,4.86591,487.369546,487.369546,1.0,0.12545840551921428
US,CRWV,2025-05-23,4.86591,4.86591,499.923593,499.923593,1.0,0.06390911463631674
US,CRWV,2025-05-27,4.86591,4.86591,603.226863,603.226863,1.0,0.07816009749461045
US,CRWV,2025-05-28,4.86591,4.86591,565.175447,565.175447,1.0,0.057201857412077076
US,CRWV,2025-05-29,4.86591,4.86591,513.5968,513.5968,1.0,0.0794152337383963
US,CRWV,2025-05-30,4.86591,4.86591,541.624442,541.624442,1.0,0.04836264336989381
US,CRWV,2025-06-02,4.86591,4.86591,584.882382,584.882382,1.0,0.05398606838186484
US,CRWV,2025-06-03,4.86591,4.86591,732.222137,732.222137,1.0,0.110813214794355
US,CRWV,2025-06-04,4.86591,4.86591,793.629921,793.629921,1.0,0.11395348249351096
US,CRWV,2025-06-05,4.86591,4.86591,657.141145,657.141145,1.0,0.10471383975453717
US,CRWV,2025-06-06,4.86591,4.86591,682.005946,682.005946,1.0,0.047740157545042954
US,CRWV,2025-06-09,4.86591,4.86591,788.764011,788.764011,1.0,0.0605266024238015
US,CRWV,2025-06-10,4.86591,4.86591,753.729459,753.729459,1.0,0.04986600450892022
US,CRWV,2025-06-11,4.86591,4.86591,728.426727,728.426727,1.0,0.05296607006705836
US,CRWV,2025-06-12,4.86591,4.86591,724.874613,724.874613,1.0,0.031338528661648074
US,CRWV,2025-06-13,4.86591,4.86591,716.213293,716.213293,1.0,0.03394070584947111
US,CRWV,2025-06-16,4.86591,4.86591,771.246735,771.246735,1.0,0.04060309376868869
US,CRWV,2025-06-17,4.86591,4.86591,836.595906,836.595906,1.0,0.06654829209746994
US,CRWV,2025-06-18,4.86591,4.86591,827.2047,827.2047,1.0,0.040827717734195655
US,CRWV,2025-06-20,4.86591,4.86591,893.283758,893.283758,1.0,0.06424021611579334
US,CRWV,2025-06-23,4.86591,4.86591,845.111249,845.111249,1.0,0.05511967545638945
US,CRWV,2025-06-24,4.86591,4.86591,839.953384,839.953384,1.0,0.037698190061057436
US,CRWV,2025-06-25,4.86591,4.86591,776.112645,776.112645,1.0,0.036643100673871894
US,CRWV,2025-06-26,4.86591,4.86591,769.203053,769.203053,1.0,0.03495667408562838
US,CRWV,2025-06-27,4.86591,4.86591,778.496941,778.496941,1.0,0.035836301945576465
US,CRWV,2025-06-30,4.97886,4.97886,811.852912,811.852912,1.0,0.027580301514804593
US,CRWV,2025-07-01,4.97886,4.97886,776.403428,776.403428,1.0,0.021919680408768273
US,CRWV,2025-07-02,4.97886,4.97886,755.641582,755.641582,1.0,0.016988226220460104
US,CRWV,2025-07-03,4.97886,4.97886,822.507672,822.507672,1.0,0.020973475855918824
US,CRWV,2025-07-07,4.97886,4.97886,795.123942,795.123942,1.0,0.025438955905568744
US,CRWV,2025-07-08,4.97886,4.97886,754.048347,754.048347,1.0,0.024151400119706116
US,CRWV,2025-07-09,4.97886,4.97886,762.014523,762.014523,1.0,0.019225694235226538
US,CRWV,2025-07-10,4.97886,4.97886,688.526549,688.526549,1.0,0.03317928200431424
US,CRWV,2025-07-11,4.97886,4.97886,626.539742,626.539742,1.0,0.03157738116757652
US,CRWV,2025-07-14,4.97886,4.97886,659.101487,659.101487,1.0,0.022962887086602154
US,CRWV,2025-07-15,4.97886,4.97886,699.977927,699.977927,1.0,0.03477945955499853
US,CRWV,2025-07-16,4.97886,4.97886,712.176134,712.176134,1.0,0.021843554548631613
US,CRWV,2025-07-17,4.97886,4.97886,658.255081,658.255081,1.0,0.024513041137931173
US,CRWV,2025-07-18,4.97886,4.97886,612.499357,612.499357,1.0,0.025836450512767985
US,CRWV,2025-07-21,4.97886,4.97886,621.909403,621.909403,1.0,0.022557834524369033
US,CRWV,2025-07-22,4.97886,4.97886,646.106662,646.106662,1.0,0.018894485886327392
US,CRWV,2025-07-23,4.97886,4.97886,627.585303,627.585303,1.0,0.013439221026500043
US,CRWV,2025-07-24,4.97886,4.97886,597.4632,597.4632,1.0,0.015324648614341435
US,CRWV,2025-07-25,4.97886,4.97886,575.655793,575.655793,1.0,0.020682465463981715
US,CRWV,2025-07-28,4.97886,4.97886,549.068681,549.068681,1.0,0.019337960898679618
US,CRWV,2025-07-29,4.97886,4.97886,541.401236,541.401236,1.0,0.021115877931896055
US,CRWV,2025-07-30,4.97886,4.97886,512.274905,512.274905,1.0,0.02219791679219741
US,CRWV,2025-07-31,4.97886,4.97886,568.237292,568.237292,1.0,0.05018784822228382
US,CRWV,2025-08-01,4.97886,4.97886,518.49848,518.49848,1.0,0.026220928083938895
US,CRWV,2025-08-04,4.97886,4.97886,527.808949,527.808949,1.0,0.018146523501363768
US,CRWV,2025-08-05,4.97886,4.97886,556.835702,556.835702,1.0,0.02390672362749706
US,CRWV,2025-08-06,4.97886,4.97886,548.869526,548.869526,1.0,0.01565480652197491
US,CRWV,2025-08-07,4.97886,4.97886,602.840369,602.840369,1.0,0.03558224171798363
US,CRWV,2025-08-08,4.97886,4.97886,645.011313,645.011313,1.0,0.03446512856356676
US,CRWV,2025-08-11,4.97886,4.97886,695.945051,695.945051,1.0,0.03902560023780544
US,CRWV,2025-08-12,4.97886,4.97886,740.605425,740.605425,1.0,0.05810526506067654
US,CRWV,2025-08-13,4.97886,4.97886,586.310554,586.310554,1.0,0.07463073876349205
US,CRWV,2025-08-14,4.97886,4.97886,495.446359,495.446359,1.0,0.10282514471184166
US,CRWV,2025-08-15,4.97886,4.97886,497.736634,497.736634,1.0,0.10576939299357685
US,CRWV,2025-08-18,4.97886,4.97886,481.953648,481.953648,1.0,0.06780890002932398
US,CRWV,2025-08-19,4.97886,4.97886,462.486305,462.486305,1.0,0.06459089028412127
US,CRWV,2025-08-20,4.97886,4.97886,455.665267,455.665267,1.0,0.0661191517736992
US,CRWV,2025-08-21,4.97886,4.97886,452.030699,452.030699,1.0,0.054755104582173426
US,CRWV,2025-08-22,4.97886,4.97886,467.963051,467.963051,1.0,0.06828954017586356
US,CRWV,2025-08-25,4.97886,4.97886,459.947087,459.947087,1.0,0.02973259541340789
US,CRWV,2025-08-26,4.97886,4.97886,455.018015,455.018015,1.0,0.03222167524292709
US,CRWV,2025-08-27,4.97886,4.97886,482.6009,482.6009,1.0,0.06577289781194892
US,CRWV,2025-08-28,4.97886,4.97886,511.777019,511.777019,1.0,0.09101119533387161
US,CRWV,2025-08-29,4.97886,4.97886,513.021734,513.021734,1.0,0.04862221472385245
US,CRWV,2025-09-02,4.97886,4.97886,464.726792,464.726792,1.0,0.06708865081564856
US,CRWV,2025-09-03,4.97886,4.97886,447.499937,447.499937,1.0,0.038048920837300104
US,CRWV,2025-09-04,4.97886,4.97886,435.550673,435.550673,1.0,0.03576144137412982
US,CRWV,2025-09-05,4.97886,4.97886,443.566637,443.566637,1.0,0.037053697031047265
US,CRWV,2025-09-08,4.97886,4.97886,465.772353,465.772353,1.0,0.04962019418099726
US,CRWV,2025-09-09,4.97886,4.97886,498.981349,498.981349,1.0,0.08091551077957605
US,CRWV,2025-09-10,4.97886,4.97886,583.22366,583.22366,1.0,0.1408495117356182
US,CRWV,2025-09-11,4.97886,4.97886,561.067733,561.067733,1.0,0.05057247643034751
US,CRWV,2025-09-12,4.97886,4.97886,557.433166,557.433166,1.0,0.06537721486444688
US,CRWV,2025-09-15,4.97886,4.97886,599.803264,599.803264,1.0,0.07538413010207155
US,CRWV,2025-09-16,4.97886,4.97886,591.239625,591.239625,1.0,0.059264251254303194
US,CRWV,2025-09-17,4.97886,4.97886,601.74502,601.74502,1.0,0.049048850540083476
US,CRWV,2025-09-18,4.97886,4.97886,604.383815,604.383815,1.0,0.043932546807903816
US,CRWV,2025-09-19,4.97886,4.97886,621.66046,621.66046,1.0,0.09553936844980578
US,CRWV,2025-09-22,4.97886,4.97886,663.333518,663.333518,1.0,0.08098925657680674
US,CRWV,2025-09-23,4.97886,4.97886,651.682985,651.682985,1.0,0.058500214908633705
US,CRWV,2025-09-24,4.97886,4.97886,664.179924,664.179924,1.0,0.05304275075017172
US,CRWV,2025-09-25,4.97886,4.97886,630.622408,630.622408,1.0,0.09820650510357792
US,CRWV,2025-09-26,4.97886,4.97886,599.156012,599.156012,1.0,0.06013284165451529
US,CRWV,2025-09-29,4.97886,4.97886,610.009927,610.009927,1.0,0.04525583768171831
US,CRWV,2025-09-30,4.97886,4.97886,681.356991,681.356991,1.0,0.14295802653619502
US,CRWV,2025-10-01,4.97886,4.97886,682.352763,682.352763,1.0,0.045542648317084634
US,CRWV,2025-10-02,4.97886,4.97886,687.08268,687.08268,1.0,0.04331835199222312
US,CRWV,2025-10-03,4.97886,4.97886,671.100539,671.100539,1.0,0.04701004245951885
US,CRWV,2025-10-06,4.97886,4.97886,666.420411,666.420411,1.0,0.05375449400063469
US,CRWV,2025-10-07,4.97886,4.97886,641.426534,641.426534,1.0,0.053872858445507606
US,CRWV,2025-10-08,4.97886,4.97886,696.940823,696.940823,1.0,0.06908971129937375
US,CRWV,2025-10-09,4.97886,4.97886,712.375289,712.375289,1.0,0.049475783613116255
US,CRWV,2025-10-10,4.97886,4.97886,689.22359,689.22359,1.0,0.08932566892822855
US,CRWV,2025-10-13,4.97886,4.97886,705.106153,705.106153,1.0,0.0416975371872276
US,CRWV,2025-10-14,4.97886,4.97886,667.465972,667.465972,1.0,0.051610408808442094
