country,code,time,open,high,low,close,volume,amount
US,CRWV,2025-03-28,39.0,41.94,37.46,40.0,41091100.0,1627207560.0
US,CRWV,2025-03-31,38.49,38.49,36.0,37.08,15194800.0,570108896.0
US,CRWV,2025-04-01,38.5,53.27,37.2,52.57,38327800.0,1739698842.0
US,CRWV,2025-04-02,55.91,64.62,51.4,61.36,52666800.0,3071527776.0
US,CRWV,2025-04-03,55.39,57.65,48.26,53.8,27120600.0,1458274662.0
US,CRWV,2025-04-04,49.6,51.0,43.51,47.82,14469600.0,694251408.0
US,CRWV,2025-04-07,43.88,52.0,42.16,49.85,11414700.0,536148459.0
US,CRWV,2025-04-08,54.15,54.8,42.36,43.61,13657200.0,665515356.0
US,CRWV,2025-04-09,43.72,49.88,39.12,48.77,17229700.0,781711489.0
US,CRWV,2025-04-10,46.9,47.0,41.84,42.2,9404300.0,418397307.0
US,CRWV,2025-04-11,42.5,44.88,41.02,43.75,5579500.0,240141680.0
US,CRWV,2025-04-14,46.79,46.85,42.4,43.61,4827000.0,216780570.0
US,CRWV,2025-04-15,43.56,44.74,40.0,40.78,6841300.0,289181751.0
US,CRWV,2025-04-16,40.17,40.84,38.26,40.73,7206800.0,288272000.0
US,CRWV,2025-04-17,41.05,41.63,38.35,39.09,4844600.0,193929338.0
US,CRWV,2025-04-21,38.62,38.64,33.51,35.42,8116200.0,296647110.0
US,CRWV,2025-04-22,36.98,39.61,36.0,38.51,9589300.0,362187861.0
US,CRWV,2025-04-23,42.08,43.95,40.16,41.62,7651500.0,320999553.75
US,CRWV,2025-04-24,42.55,43.5,38.8,41.77,9376700.0,390586438.5
US,CRWV,2025-04-25,41.95,44.36,40.9,41.54,8765611.0,369799214.0625
US,CRWV,2025-04-28,42.01,43.33,39.78,42.02,5194600.0,217056361.0
US,CRWV,2025-04-29,42.21,46.45,41.01,42.82,10493600.0,452510266.0
US,CRWV,2025-04-30,41.0,41.51,39.5,41.3,6100200.0,249055915.5
US,CRWV,2025-05-01,47.03,48.35,44.03,44.32,13001613.0,597196589.1225
US,CRWV,2025-05-02,46.94,51.82,45.8,51.57,9199617.0,451080220.5525
US,CRWV,2025-05-05,50.43,52.78,49.7,51.01,6432301.0,327918704.98
US,CRWV,2025-05-06,49.36,54.83,49.06,54.3,9644400.0,500423805.0
US,CRWV,2025-05-07,54.91,54.91,51.4,53.6,5979200.0,321112936.0
US,CRWV,2025-05-08,54.71,55.7,52.77,55.0,6264000.0,341669880.0
US,CRWV,2025-05-09,55.96,56.82,50.18,51.37,7948900.0,425921934.25
US,CRWV,2025-05-12,54.3,59.44,52.9,58.49,10619005.0,597664148.9125
US,CRWV,2025-05-13,57.6,64.87,57.32,63.26,10125907.0,615275424.0875
US,CRWV,2025-05-14,66.0,68.5,64.0,67.46,25124600.0,1670534654.0
US,CRWV,2025-05-15,68.87,72.97,61.33,65.77,36202103.0,2434048395.205
US,CRWV,2025-05-16,68.08,84.0,67.55,80.3,42984000.0,3223047780.0
US,CRWV,2025-05-19,76.9,88.9,76.08,86.59,33360504.0,2739481187.22
US,CRWV,2025-05-20,89.67,96.35,83.31,90.24,34969200.0,3143468811.0
US,CRWV,2025-05-21,89.46,109.49,89.3,107.39,61681600.0,6100927056.0
US,CRWV,2025-05-22,112.14,116.54,99.51,100.16,61046931.0,6537363223.4625
US,CRWV,2025-05-23,98.0,106.79,97.1,102.74,31097600.0,3145755472.0
US,CRWV,2025-05-27,109.27,125.02,107.98,123.97,38032000.0,4433009920.0
US,CRWV,2025-05-28,123.75,123.75,113.0,116.15,27833909.0,3316758181.2125
US,CRWV,2025-05-29,123.5,130.76,105.53,105.55,38642738.0,4495502925.23
US,CRWV,2025-05-30,109.0,111.95,104.9,111.31,23532827.0,2571902662.83
US,CRWV,2025-06-02,116.3,123.66,114.0,120.2,26269135.0,3113943262.9
US,CRWV,2025-06-03,125.3,150.88,124.7,150.48,53920713.0,7432431079.92
US,CRWV,2025-06-04,155.88,166.63,144.3,163.1,55448739.0,8731928795.8725
US,CRWV,2025-06-05,156.0,157.46,132.8,135.05,50952812.0,7404844785.93
US,CRWV,2025-06-06,144.93,148.79,138.59,140.16,23229931.0,3324609649.8925
US,CRWV,2025-06-09,147.8,163.29,144.14,162.1,29451700.0,4545354490.25
US,CRWV,2025-06-10,156.5,158.3,149.0,154.9,24264349.0,3753088181.575
US,CRWV,2025-06-11,160.01,166.03,145.5,149.7,25772813.0,4002775587.03
