country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,CSCO,2016,Q4,2016-07-31,USD,12638000000.0,4663000000.0,2976000000.0,4659000000.0,3574000000.0,604000000.0,93000000.0,3394000000.0,2813000000.0,5032000000.0,5067000000.0,7631000000.0,58125000000.0,78719000000.0,3506000000.0,42933000000.0,24911000000.0,33156000000.0,44516000000.0,19396000000.0,63586000000.0,513000000.0,2154000000.0,-46000000.0,3818000000.0,-3366000000.0,-1716000000.0,-1264000000.0,8895000000.0,-266000000.0
US,CSCO,2017,Q1,2016-10-29,USD,12352000000.0,4468000000.0,2973000000.0,5007000000.0,3151000000.0,599000000.0,97000000.0,2953000000.0,2322000000.0,5027000000.0,5066000000.0,8583000000.0,62385000000.0,83141000000.0,3499000000.0,43146000000.0,23217000000.0,39657000000.0,44236000000.0,19694000000.0,63406000000.0,-677000000.0,-1707000000.0,-44000000.0,2730000000.0,-5396000000.0,3618000000.0,952000000.0,7631000000.0,-275000000.0
US,CSCO,2017,Q2,2017-01-28,USD,11580000000.0,4304000000.0,2678000000.0,4383000000.0,3185000000.0,549000000.0,107000000.0,2963000000.0,2348000000.0,5015000000.0,5040000000.0,10898000000.0,60947000000.0,83392000000.0,3422000000.0,42856000000.0,22708000000.0,39722000000.0,44585000000.0,20027000000.0,63811000000.0,681000000.0,464000000.0,26000000.0,3772000000.0,418000000.0,-1875000000.0,2315000000.0,8583000000.0,-251000000.0
US,CSCO,2017,Q3,2017-04-29,USD,11940000000.0,4422000000.0,2713000000.0,4349000000.0,3410000000.0,560000000.0,135000000.0,3191000000.0,2515000000.0,5005000000.0,5045000000.0,8116000000.0,59858000000.0,79962000000.0,3395000000.0,45988000000.0,22718000000.0,37850000000.0,45003000000.0,20721000000.0,65382000000.0,-72000000.0,-78000000.0,69000000.0,3373000000.0,-1710000000.0,-4445000000.0,-2782000000.0,10898000000.0,-230000000.0
US,CSCO,2017,Q4,2017-07-31,USD,12133000000.0,4587000000.0,2813000000.0,4370000000.0,3402000000.0,578000000.0,138000000.0,3180000000.0,2424000000.0,4995000000.0,5028000000.0,11708000000.0,58784000000.0,83703000000.0,3322000000.0,46115000000.0,27583000000.0,36098000000.0,45253000000.0,20838000000.0,66137000000.0,654000000.0,1234000000.0,-58000000.0,4001000000.0,695000000.0,-1104000000.0,3592000000.0,8116000000.0,-208000000.0
US,CSCO,2018,Q1,2017-10-28,USD,12136000000.0,4709000000.0,2891000000.0,4671000000.0,3039000000.0,566000000.0,144000000.0,2962000000.0,2394000000.0,4959000000.0,4994000000.0,11043000000.0,60545000000.0,84080000000.0,3202000000.0,46442000000.0,29284000000.0,35688000000.0,44872000000.0,20647000000.0,65550000000.0,-377000000.0,-1019000000.0,-73000000.0,3080000000.0,-2495000000.0,-1250000000.0,-665000000.0,11708000000.0,-168000000.0
US,CSCO,2018,Q2,2018-01-27,USD,11887000000.0,4389000000.0,2718000000.0,4425000000.0,3171000000.0,546000000.0,149000000.0,3232000000.0,-8778000000.0,4924000000.0,4924000000.0,17624000000.0,56059000000.0,86050000000.0,3113000000.0,45460000000.0,35364000000.0,44164000000.0,44535000000.0,7364000000.0,51982000000.0,11210000000.0,11230000000.0,-144000000.0,4070000000.0,3990000000.0,-1479000000.0,6581000000.0,11043000000.0,-211000000.0
US,CSCO,2018,Q3,2018-04-28,USD,12463000000.0,4704000000.0,2886000000.0,4625000000.0,3490000000.0,564000000.0,143000000.0,3253000000.0,2691000000.0,4791000000.0,4844000000.0,6719000000.0,47712000000.0,67141000000.0,3082000000.0,46867000000.0,28642000000.0,38705000000.0,43556000000.0,3709000000.0,46661000000.0,-1184000000.0,-1485000000.0,-46000000.0,2416000000.0,5760000000.0,-19081000000.0,-10905000000.0,17624000000.0,-241000000.0
US,CSCO,2018,Q4,2018-07-31,USD,12844000000.0,4922000000.0,2891000000.0,4576000000.0,3816000000.0,516000000.0,129000000.0,3592000000.0,3803000000.0,4672000000.0,4848000000.0,8934000000.0,37614000000.0,61837000000.0,3006000000.0,46947000000.0,27035000000.0,38545000000.0,42820000000.0,1233000000.0,43204000000.0,-305000000.0,627000000.0,-193000000.0,4100000000.0,8069000000.0,-9954000000.0,2215000000.0,6719000000.0,-214000000.0
US,CSCO,2019,Q1,2018-10-27,USD,13072000000.0,4926000000.0,2621000000.0,4341000000.0,3493000000.0,465000000.0,123000000.0,3909000000.0,3549000000.0,4565000000.0,4614000000.0,8410000000.0,34183000000.0,55686000000.0,2956000000.0,49743000000.0,26414000000.0,35167000000.0,41897000000.0,3169000000.0,43848000000.0,-597000000.0,-1302000000.0,15000000.0,3763000000.0,2675000000.0,-6945000000.0,-507000000.0,8993000000.0,-212000000.0
