country,code,time,open,high,low,close,volume,amount
US,CSCO,2016-06-13,28.97,29.19,28.82,28.84,17181950.0,497503362.25
US,CSCO,2016-06-14,28.66,29.0,28.63,28.96,19279705.0,555496500.3125
US,CSCO,2016-06-15,28.49,28.86,28.41,28.65,30738600.0,879200806.5
US,CSCO,2016-06-16,28.38,28.92,28.37,28.87,17504145.0,501231192.075
US,CSCO,2016-06-17,28.88,29.0,28.69,28.95,32333507.0,933791682.16
US,CSCO,2016-06-20,29.04,29.22,28.78,28.8,22100840.0,640040326.4
US,CSCO,2016-06-21,28.97,29.0,28.73,28.77,19098634.0,551329816.995
US,CSCO,2016-06-22,28.87,29.08,28.68,28.72,18273300.0,526956288.75
US,CSCO,2016-06-23,29.03,29.23,28.96,29.22,19415601.0,565188145.11
US,CSCO,2016-06-24,28.16,28.57,27.7,27.75,44408900.0,1245447600.5
US,CSCO,2016-06-27,27.48,27.55,27.13,27.31,30293961.0,829069977.6675
US,CSCO,2016-06-28,27.55,27.85,27.5,27.79,24646939.0,682042419.4775
US,CSCO,2016-06-29,28.13,28.33,27.9,28.26,25593000.0,720570915.0
US,CSCO,2016-06-30,28.38,28.69,28.07,28.69,25184400.0,716685063.0
US,CSCO,2016-07-01,28.78,28.93,28.59,28.8,20901306.0,601435080.15
US,CSCO,2016-07-05,28.23,28.62,28.22,28.33,22116900.0,627014115.0
US,CSCO,2016-07-06,28.45,28.77,28.17,28.72,24844038.0,708738294.045
US,CSCO,2016-07-07,28.72,28.9,28.61,28.74,17395408.0,499987514.44
US,CSCO,2016-07-08,28.91,29.28,28.88,29.26,24647400.0,716808010.5
US,CSCO,2016-07-11,29.34,29.7,29.26,29.43,22045219.0,648845908.2175
US,CSCO,2016-07-12,29.72,29.74,29.52,29.61,22157542.0,656915726.445
US,CSCO,2016-07-13,29.72,29.83,29.58,29.75,18038100.0,536092332.0
US,CSCO,2016-07-14,29.84,29.99,29.64,29.76,19332200.0,576244551.5
US,CSCO,2016-07-15,29.93,29.95,29.66,29.82,17800449.0,531165398.16
US,CSCO,2016-07-18,29.75,30.0,29.74,29.91,17484900.0,521924265.0
US,CSCO,2016-07-19,29.91,30.01,29.77,29.92,18516000.0,553674690.0
US,CSCO,2016-07-20,30.04,30.69,29.98,30.63,50168804.0,1521870669.34
US,CSCO,2016-07-21,30.64,30.72,30.37,30.58,21582727.0,659945834.8425
US,CSCO,2016-07-22,30.7,30.87,30.54,30.71,19399600.0,595664718.0
US,CSCO,2016-07-25,30.67,30.83,30.63,30.79,15174200.0,466303166.0
US,CSCO,2016-07-26,30.8,31.15,30.71,30.88,21328211.0,658721796.735
US,CSCO,2016-07-27,30.95,30.97,30.66,30.76,22723000.0,700663705.0
US,CSCO,2016-07-28,30.65,30.74,30.37,30.52,22470500.0,686923185.0
US,CSCO,2016-07-29,30.6,30.69,30.47,30.53,23807200.0,727845622.0
US,CSCO,2016-08-01,30.7,30.75,30.36,30.73,22438722.0,687410248.47
US,CSCO,2016-08-02,30.82,30.82,30.4,30.62,24485208.0,750838903.32
US,CSCO,2016-08-03,30.51,30.74,30.51,30.72,15962500.0,488771750.0
US,CSCO,2016-08-04,30.78,30.91,30.71,30.8,18586500.0,572464200.0
US,CSCO,2016-08-05,30.9,31.07,30.69,31.04,18873300.0,583656802.5
US,CSCO,2016-08-08,31.0,31.19,30.86,31.01,19019941.0,589903470.115
US,CSCO,2016-08-09,31.11,31.25,30.84,30.94,19159500.0,594615082.5
US,CSCO,2016-08-10,31.01,31.13,30.74,30.85,16684321.0,516087759.3325
US,CSCO,2016-08-11,30.95,31.02,30.86,30.95,24020927.0,743327586.015
US,CSCO,2016-08-12,30.92,30.99,30.8,30.87,13430600.0,414938387.0
US,CSCO,2016-08-15,30.98,31.24,30.89,31.19,21944700.0,681931552.5
US,CSCO,2016-08-16,31.22,31.23,30.98,31.12,23399700.0,728608158.75
US,CSCO,2016-08-17,30.97,30.97,30.33,30.72,55071218.0,1693302275.455
US,CSCO,2016-08-18,30.41,30.67,30.06,30.48,48710500.0,1481042752.5
US,CSCO,2016-08-19,30.37,30.65,30.24,30.52,25131345.0,765123798.525
US,CSCO,2016-08-22,30.44,30.78,30.37,30.63,28680009.0,876317674.995
US,CSCO,2016-08-23,30.83,31.06,30.79,30.98,23493605.0,726304798.575
US,CSCO,2016-08-24,30.98,31.2,30.95,31.06,24474730.0,759879179.675
US,CSCO,2016-08-25,31.06,31.39,31.02,31.29,22917124.0,714785097.56
US,CSCO,2016-08-26,31.34,31.66,31.19,31.35,21106200.0,662418087.0
US,CSCO,2016-08-29,31.43,31.7,31.41,31.58,21101729.0,665337515.37
US,CSCO,2016-08-30,31.61,31.66,31.41,31.54,17794800.0,561514914.0
US,CSCO,2016-08-31,31.45,31.58,31.25,31.44,20418800.0,641762884.0
US,CSCO,2016-09-01,31.42,31.64,31.26,31.58,15980500.0,502986237.5
US,CSCO,2016-09-02,31.65,31.95,31.65,31.83,18156539.0,576833244.03
US,CSCO,2016-09-06,31.93,31.94,31.7,31.87,17656515.0,562536567.9
US,CSCO,2016-09-07,31.79,31.93,31.75,31.79,14050500.0,447016657.5
