country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,DELL,2017,Q2,2016-07-29,USD,13071000000.0,10744000000.0,2023000000.0,2269000000.0,71000000.0,629000000.0,-338000000.0,-286000000.0,573000000.0,787000000.0,787000000.0,7226000000.0,0.0,24247000000.0,1562000000.0,44669000000.0,25823000000.0,40723000000.0,5682000000.0,-3309000000.0,2244000000.0,1647000000.0,419000000.0,43000000.0,1878000000.0,-163000000.0,-460000000.0,1234000000.0,6139000000.0,-143000000.0
US,DELL,2017,Q3,2016-10-28,USD,16247000000.0,12348000000.0,4556000000.0,5411000000.0,-1476000000.0,1576000000.0,-792000000.0,-2306000000.0,-2064000000.0,719000000.0,719000000.0,8822000000.0,1857000000.0,36407000000.0,5805000000.0,89225000000.0,41369000000.0,64257000000.0,19925000000.0,-5366000000.0,14067000000.0,361000000.0,1599000000.0,160000000.0,-246000000.0,-37838000000.0,39659000000.0,1531000000.0,7373000000.0,-182000000.0
US,DELL,2017,Q4,2017-01-31,USD,20074000000.0,15543000000.0,4928000000.0,6199000000.0,-1759000000.0,2041000000.0,-611000000.0,-2410000000.0,-2123000000.0,781000000.0,781000000.0,9474000000.0,1975000000.0,30773000000.0,5653000000.0,87433000000.0,38135000000.0,60831000000.0,20199000000.0,-5609000000.0,13474000000.0,954000000.0,1365000000.0,-2099000000.0,676000000.0,6803000000.0,-6802000000.0,570000000.0,8904000000.0,-404000000.0
US,DELL,2018,Q1,2017-05-05,USD,18000000000.0,13543000000.0,4596000000.0,5729000000.0,-1247000000.0,2212000000.0,-544000000.0,-1844000000.0,-1171000000.0,718435000.0,718435000.0,9554000000.0,1620000000.0,30384000000.0,5438000000.0,85656000000.0,36636000000.0,61713000000.0,20057000000.0,-6859000000.0,11833000000.0,-345000000.0,-1411000000.0,210000000.0,240000000.0,51000000.0,-187000000.0,143000000.0,9832000000.0,-334000000.0
US,DELL,2018,Q2,2017-08-04,USD,19521000000.0,14553000000.0,4540000000.0,5633000000.0,-607000000.0,2142000000.0,-556000000.0,-1210000000.0,-732000000.0,718435000.0,718435000.0,9213000000.0,2015000000.0,32205000000.0,5400000000.0,85289000000.0,42126000000.0,58099000000.0,20095000000.0,-7805000000.0,11280000000.0,673000000.0,436000000.0,178000000.0,1816000000.0,-1341000000.0,-870000000.0,-357000000.0,9975000000.0,-500000000.0
US,DELL,2018,Q3,2017-11-03,USD,19556000000.0,14336000000.0,4559000000.0,5630000000.0,-391000000.0,2137000000.0,-644000000.0,-1092000000.0,-846000000.0,718435000.0,718435000.0,11706000000.0,2008000000.0,34525000000.0,5378000000.0,83869000000.0,40742000000.0,62064000000.0,19927000000.0,-8742000000.0,9881000000.0,259000000.0,317000000.0,241000000.0,1623000000.0,-700000000.0,1602000000.0,2540000000.0,9618000000.0,-444000000.0
US,DELL,2018,Q4,2018-01-31,USD,21935000000.0,16155000000.0,5014000000.0,6101000000.0,-272000000.0,2143000000.0,-539000000.0,-876000000.0,-511000000.0,767000000.0,767000000.0,13942000000.0,2187000000.0,40328000000.0,5390000000.0,83865000000.0,45839000000.0,60485000000.0,19889000000.0,-6860000000.0,12103000000.0,1849000000.0,2862000000.0,125000000.0,3131000000.0,-891000000.0,-132000000.0,2236000000.0,11706000000.0,-398000000.0
US,DELL,2019,Q1,2018-05-04,USD,21356000000.0,15478000000.0,4944000000.0,6031000000.0,-27000000.0,1914000000.0,-500000000.0,-623000000.0,-636000000.0,767000000.0,767000000.0,15324000000.0,2402000000.0,41231000000.0,5303000000.0,81986000000.0,44114000000.0,61279000000.0,19521000000.0,-7438000000.0,11329000000.0,-125000000.0,-706000000.0,72000000.0,1159000000.0,-149000000.0,543000000.0,1467000000.0,14378000000.0,-362000000.0
US,DELL,2019,Q2,2018-08-03,USD,22942000000.0,16819000000.0,4961000000.0,6136000000.0,177000000.0,1931000000.0,-560000000.0,-468000000.0,-499000000.0,766000000.0,766000000.0,15312000000.0,2504000000.0,43125000000.0,5240000000.0,80256000000.0,49178000000.0,56936000000.0,18321000000.0,-7937000000.0,10619000000.0,1156000000.0,915000000.0,107000000.0,2633000000.0,-13000000.0,-2530000000.0,-40000000.0,15845000000.0,-359000000.0
US,DELL,2019,Q3,2018-11-02,USD,22482000000.0,16539000000.0,5159000000.0,6299000000.0,-352000000.0,1961000000.0,-559000000.0,-995000000.0,-876000000.0,766000000.0,766000000.0,15152000000.0,2322000000.0,42959000000.0,5228000000.0,78282000000.0,47583000000.0,57138000000.0,18348000000.0,-8813000000.0,9687000000.0,-729000000.0,618000000.0,425000000.0,833000000.0,-59000000.0,-857000000.0,-129000000.0,15805000000.0,-386000000.0
US,DELL,2019,Q4,2019-01-31,USD,23841000000.0,16732000000.0,5576000000.0,6778000000.0,383000000.0,1940000000.0,-592000000.0,-275000000.0,-299000000.0,719000000.0,719000000.0,9676000000.0,0.0,36138000000.0,5259000000.0,75682000000.0,44972000000.0,66594000000.0,16114000000.0,-21349000000.0,-4569000000.0,781000000.0,3155000000.0,152000000.0,2366000000.0,3610000000.0,-11485000000.0,-5436000000.0,15676000000.0,-390000000.0
US,DELL,2020,Q1,2019-05-03,USD,21908000000.0,15111000000.0,5071000000.0,6247000000.0,611000000.0,1616000000.0,-710000000.0,-143000000.0,293000000.0,717000000.0,751000000.0,9040000000.0,0.0,33655000000.0,5505000000.0,76237000000.0,43479000000.0,66300000000.0,15179000000.0,-21053000000.0,-4690000000.0,-748000000.0,-1850000000.0,35000000.0,682000000.0,-458000000.0,-719000000.0,-531000000.0,10240000000.0,-716000000.0
US,DELL,2020,Q2,2019-08-02,USD,23370000000.0,16044000000.0,5578000000.0,6807000000.0,606000000.0,1498000000.0,-675000000.0,-111000000.0,3416000000.0,719000000.0,751000000.0,9193000000.0,0.0,35316000000.0,5568000000.0,80204000000.0,47020000000.0,64381000000.0,15956000000.0,-17775000000.0,-1425000000.0,1312000000.0,1401000000.0,665000000.0,3280000000.0,-825000000.0,-2203000000.0,226000000.0,9709000000.0,-551000000.0
US,DELL,2020,Q3,2019-11-01,USD,22844000000.0,15718000000.0,5028000000.0,6290000000.0,852000000.0,1494000000.0,-652000000.0,159000000.0,499000000.0,725000000.0,750000000.0,8555000000.0,0.0,34772000000.0,5787000000.0,82042000000.0,49055000000.0,62948000000.0,16192000000.0,-17299000000.0,-870000000.0,-327000000.0,-185000000.0,166000000.0,1821000000.0,-2699000000.0,322000000.0,-594000000.0,9935000000.0,-609000000.0
US,DELL,2020,Q4,2020-01-31,USD,24032000000.0,16348000000.0,5642000000.0,6967000000.0,721000000.0,1535000000.0,-597000000.0,91000000.0,408000000.0,734000000.0,754000000.0,9302000000.0,0.0,36868000000.0,7835000000.0,81993000000.0,52456000000.0,62621000000.0,16091000000.0,-16891000000.0,-945000000.0,1521000000.0,2802000000.0,72000000.0,3508000000.0,-704000000.0,-2004000000.0,810000000.0,9341000000.0,-700000000.0
