country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,GEV,2023,Q1,2023-03-31,USD,6822000000.0,5903000000.0,1186000000.0,1388000000.0,-394000000.0,231000000.0,-21000000.0,-415000000.0,-315000000.0,274000000.0,274000000.0,,,,,,,,,,,-279000000.0,223000000.0,-328000000.0,-690000000.0,-41000000.0,704000000.0,0.0,0.0,-124000000.0
US,GEV,2023,Q2,2023-06-30,USD,8120000000.0,6973000000.0,1272000000.0,1488000000.0,-6000000.0,239000000.0,-4000000.0,-27000000.0,-150000000.0,272083576.0,272083576.0,,,,,,,,,,,42000000.0,515000000.0,-575000000.0,-288000000.0,-400000000.0,238000000.0,-453000000.0,2073000000.0,-159000000.0
US,GEV,2023,Q3,2023-09-30,USD,8252000000.0,7201000000.0,1135000000.0,1358000000.0,5000000.0,242000000.0,2000000.0,-16000000.0,-170000000.0,272083576.0,272083576.0,,,,,,,,,,,255000000.0,442000000.0,-291000000.0,233000000.0,-36000000.0,-286000000.0,0.0,0.0,-181000000.0
US,GEV,2023,Q4,2023-12-31,USD,10045000000.0,8359000000.0,1335000000.0,1589000000.0,417000000.0,252000000.0,-56000000.0,409000000.0,95000000.0,272083576.0,272083576.0,1551000000.0,0.0,27428000000.0,5228000000.0,18693000000.0,29306000000.0,8435000000.0,0.0,0.0,7416000000.0,1351000000.0,1823000000.0,381000000.0,1931000000.0,-257000000.0,-1064000000.0,1551000000.0,0.0,-280000000.0
US,GEV,2024,Q1,2024-03-31,USD,7259000000.0,6110000000.0,1202000000.0,1438000000.0,-82000000.0,251000000.0,-8000000.0,-96000000.0,-130000000.0,272083576.0,272083576.0,3255000000.0,0.0,28114000000.0,5224000000.0,19758000000.0,29516000000.0,8376000000.0,9659000000.0,0.0,8974000000.0,-399000000.0,591000000.0,-166000000.0,-444000000.0,-285000000.0,1934000000.0,1704000000.0,1551000000.0,-217000000.0
US,GEV,2024,Q2,2024-06-30,USD,8204000000.0,6502000000.0,938000000.0,1175000000.0,527000000.0,254000000.0,81000000.0,1602000000.0,1294000000.0,274000000.0,278000000.0,5779000000.0,0.0,29485000000.0,5168000000.0,18567000000.0,29065000000.0,8938000000.0,3000000.0,1294000000.0,9067000000.0,256000000.0,191000000.0,-825000000.0,979000000.0,537000000.0,970000000.0,2524000000.0,3255000000.0,-157000000.0
US,GEV,2024,Q3,2024-09-30,USD,8913000000.0,7804000000.0,1226000000.0,1468000000.0,-360000000.0,398000000.0,57000000.0,-122000000.0,-96000000.0,275000000.0,275000000.0,7395000000.0,0.0,32030000000.0,5148000000.0,18823000000.0,31233000000.0,9102000000.0,3000000.0,1198000000.0,9504000000.0,615000000.0,82000000.0,410000000.0,1124000000.0,-114000000.0,585000000.0,1616000000.0,5779000000.0,-159000000.0
US,GEV,2024,Q4,2024-12-31,USD,10558000000.0,8435000000.0,1266000000.0,1530000000.0,592000000.0,269000000.0,104000000.0,1113000000.0,484000000.0,275000000.0,278000000.0,8205000000.0,0.0,34153000000.0,5150000000.0,17331000000.0,31685000000.0,9207000000.0,3000000.0,1611000000.0,9546000000.0,218000000.0,-599000000.0,-355000000.0,921000000.0,-175000000.0,163000000.0,810000000.0,7395000000.0,-350000000.0
US,GEV,2025,Q1,2025-03-31,USD,8041000000.0,6519000000.0,1207000000.0,1446000000.0,333000000.0,205000000.0,72000000.0,333000000.0,254000000.0,275000000.0,279000000.0,8107000000.0,0.0,33285000000.0,5225000000.0,18274000000.0,32677000000.0,9210000000.0,3000000.0,1865000000.0,8607000000.0,922000000.0,1050000000.0,-75000000.0,1161000000.0,-93000000.0,-1257000000.0,-98000000.0,8205000000.0,-186000000.0
US,GEV,2025,Q2,2025-06-30,USD,9111000000.0,7265000000.0,1185000000.0,1468000000.0,645000000.0,205000000.0,59000000.0,645000000.0,514000000.0,272000000.0,276000000.0,7892000000.0,0.0,34709000000.0,5418000000.0,18366000000.0,33761000000.0,9370000000.0,3000000.0,2241000000.0,8877000000.0,-108000000.0,56000000.0,-520000000.0,367000000.0,-121000000.0,-604000000.0,-214000000.0,8107000000.0,-173000000.0
US,GEV,2025,Q3,2025-09-30,USD,9969000000.0,8071000000.0,1221000000.0,1532000000.0,746000000.0,213000000.0,135000000.0,746000000.0,452000000.0,272000000.0,275000000.0,7945000000.0,0.0,36278000000.0,5554000000.0,18120000000.0,35272000000.0,9397000000.0,3000000.0,2626000000.0,8646000000.0,338000000.0,620000000.0,103000000.0,980000000.0,-167000000.0,-774000000.0,53000000.0,7892000000.0,-247000000.0
US,GEV,2025,Q4,2025-12-31,USD,10956000000.0,8635000000.0,1355000000.0,1719000000.0,1105000000.0,230000000.0,80000000.0,1105000000.0,3664000000.0,272000000.0,276000000.0,8848000000.0,0.0,40216000000.0,6006000000.0,22800000000.0,40972000000.0,9749000000.0,3000000.0,6154000000.0,11178000000.0,1758000000.0,5106000000.0,-1610000000.0,2480000000.0,-374000000.0,-1178000000.0,903000000.0,7945000000.0,-671000000.0
US,GEV,2026,Q1,2026-03-31,USD,9339000000.0,7557000000.0,1298000000.0,1602000000.0,179000000.0,0.0,0.0,5103000000.0,4745000000.0,269000000.0,272000000.0,10172000000.0,0.0,41268000000.0,7139000000.0,21537000000.0,48094000000.0,12453000000.0,3000000.0,10762000000.0,13922000000.0,4853000000.0,5117000000.0,-5111000000.0,5188000000.0,-4291000000.0,442000000.0,1323000000.0,8848000000.0,-397000000.0
