country,code,time,open,high,low,close,volume,amount
US,GOOG,2016-06-13,716.6,725.4,716.6,718.4,1258930.0,905485402.5
US,GOOG,2016-06-14,716.4,722.4,713.2,718.2,1306100.0,937192055.0
US,GOOG,2016-06-15,719.0,723.0,717.4,719.0,1214517.0,873966433.2
US,GOOG,2016-06-16,715.0,716.6,703.2,710.4,1982500.0,1410152250.0
US,GOOG,2016-06-17,708.6,708.8,688.4,691.8,3402400.0,2379638560.0
US,GOOG,2016-06-20,698.8,702.4,693.4,693.8,2082538.0,1451737239.8
US,GOOG,2016-06-21,698.4,702.8,692.0,696.0,1465634.0,1021986588.2
US,GOOG,2016-06-22,699.0,700.8,693.0,697.4,1184318.0,826121020.9
US,GOOG,2016-06-23,697.4,702.0,687.0,701.8,2171415.0,1513584825.75
US,GOOG,2016-06-24,675.2,689.4,673.4,675.2,4449022.0,3017771622.6
US,GOOG,2016-06-27,671.0,672.4,663.2,668.2,2641085.0,1766093539.5
US,GOOG,2016-06-28,679.0,680.4,673.0,680.0,2173800.0,1474053780.0
US,GOOG,2016-06-29,683.0,687.4,681.4,684.2,1932600.0,1321898400.0
US,GOOG,2016-06-30,685.4,692.4,683.6,692.0,1597714.0,1099786431.9
US,GOOG,2016-07-01,692.2,700.6,692.2,699.2,1344710.0,935985395.5
US,GOOG,2016-07-05,696.0,697.0,688.8,694.4,1462616.0,1015128634.8
US,GOOG,2016-07-06,690.0,701.6,689.0,697.8,1411925.0,980723105.0
US,GOOG,2016-07-07,698.0,698.2,688.2,695.4,1304200.0,906353790.0
US,GOOG,2016-07-08,699.6,705.8,696.4,705.6,1575200.0,1105554120.0
US,GOOG,2016-07-11,708.0,716.6,707.2,715.0,1111800.0,791268060.0
US,GOOG,2016-07-12,719.2,723.0,716.0,720.6,1336921.0,962182043.7
US,GOOG,2016-07-13,723.6,724.0,716.8,717.0,935900.0,674175565.0
US,GOOG,2016-07-14,721.6,722.2,718.0,721.0,950200.0,684809140.0
US,GOOG,2016-07-15,725.8,725.8,719.0,719.8,1279339.0,924450361.4
US,GOOG,2016-07-18,722.8,736.2,721.2,733.8,1295500.0,943771750.0
US,GOOG,2016-07-19,729.8,737.0,729.0,737.0,1227500.0,900003000.0
US,GOOG,2016-07-20,737.4,742.2,737.0,741.2,1289700.0,953668665.0
US,GOOG,2016-07-21,740.4,741.6,735.8,738.6,1026306.0,758542764.6
US,GOOG,2016-07-22,741.8,743.2,736.6,742.8,1259823.0,933654825.3
US,GOOG,2016-07-25,740.6,742.6,737.6,739.8,1032432.0,764154544.8
