country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,GOOGL,2016,Q2,2016-06-30,USD,21500000000.0,8130000000.0,4039000000.0,7402000000.0,6151000000.0,1490000000.0,275000000.0,6119000000.0,4877000000.0,13718700560.0,13936934425.0,13627000000.0,64833000000.0,94238000000.0,31413000000.0,60054000000.0,17341000000.0,9072000000.0,34293000000.0,94737000000.0,127879000000.0,1259000000.0,1394000000.0,41000000.0,9120000000.0,-7173000000.0,-3440000000.0,-1484000000.0,15111000000.0,-2123000000.0
US,GOOGL,2016,Q3,2016-09-30,USD,22451000000.0,8699000000.0,4389000000.0,7985000000.0,6074000000.0,1596000000.0,289000000.0,6045000000.0,5061000000.0,13752711890.0,13968794412.0,9406000000.0,73650000000.0,98546000000.0,32753000000.0,61402000000.0,14323000000.0,11522000000.0,35337000000.0,99798000000.0,134103000000.0,1637000000.0,512000000.0,-64000000.0,9845000000.0,-13045000000.0,-1089000000.0,-4221000000.0,13627000000.0,-2554000000.0
US,GOOGL,2016,Q4,2016-12-31,USD,26064000000.0,10661000000.0,5142000000.0,8764000000.0,6890000000.0,1687000000.0,292000000.0,6857000000.0,5333000000.0,13798183355.0,14004414398.0,12918000000.0,73415000000.0,105408000000.0,34234000000.0,62089000000.0,16756000000.0,11705000000.0,36307000000.0,105131000000.0,139036000000.0,576000000.0,1153000000.0,128000000.0,9413000000.0,-4702000000.0,-892000000.0,3512000000.0,9406000000.0,-3078000000.0
US,GOOGL,2017,Q1,2017-03-31,USD,24750000000.0,9795000000.0,4445000000.0,8387000000.0,6844000000.0,1503000000.0,287000000.0,6819000000.0,5426000000.0,13824198292.0,14040714383.0,18132000000.0,74307000000.0,108794000000.0,35936000000.0,63962000000.0,15256000000.0,12551000000.0,37698000000.0,109420000000.0,144949000000.0,-79000000.0,621000000.0,76000000.0,9548000000.0,-2851000000.0,-1674000000.0,5214000000.0,12918000000.0,-2508000000.0
US,GOOGL,2017,Q2,2017-06-30,USD,26010000000.0,10373000000.0,4597000000.0,11505000000.0,4398000000.0,1625000000.0,273000000.0,4377000000.0,3524000000.0,13846752811.0,14070054371.0,15711000000.0,79002000000.0,112386000000.0,37676000000.0,66235000000.0,18685000000.0,11650000000.0,38509000000.0,111505000000.0,148286000000.0,284000000.0,-2205000000.0,42000000.0,7403000000.0,-7172000000.0,-2740000000.0,-2421000000.0,18132000000.0,-2831000000.0
US,GOOGL,2017,Q3,2017-09-30,USD,27772000000.0,11148000000.0,4637000000.0,8842000000.0,8006000000.0,1761000000.0,279000000.0,7979000000.0,6732000000.0,13866111858.0,14074314370.0,10581000000.0,89562000000.0,119345000000.0,40120000000.0,70191000000.0,20693000000.0,11743000000.0,39609000000.0,118237000000.0,157100000000.0,-286000000.0,947000000.0,141000000.0,9872000000.0,-14404000000.0,-706000000.0,-5130000000.0,15711000000.0,-3538000000.0
US,GOOGL,2017,Q4,2017-12-31,USD,32323000000.0,14267000000.0,6086000000.0,10392000000.0,8054000000.0,2026000000.0,364000000.0,8018000000.0,-3020000000.0,13885051917.0,13892074443.0,10715000000.0,91156000000.0,124308000000.0,42383000000.0,72987000000.0,24183000000.0,20610000000.0,40247000000.0,113247000000.0,152502000000.0,9327000000.0,9238000000.0,72000000.0,10268000000.0,-6974000000.0,-3178000000.0,134000000.0,10581000000.0,-4307000000.0
US,GOOGL,2018,Q1,2018-03-31,USD,31146000000.0,13467000000.0,5007000000.0,10046000000.0,10573000000.0,1986000000.0,369000000.0,10543000000.0,9401000000.0,13896520679.0,14102674358.0,12658000000.0,90227000000.0,123761000000.0,48845000000.0,83174000000.0,25394000000.0,20716000000.0,41487000000.0,120008000000.0,160825000000.0,1065000000.0,912000000.0,-3249000000.0,11642000000.0,-7846000000.0,-2018000000.0,1943000000.0,10715000000.0,-7299000000.0
US,GOOGL,2018,Q2,2018-06-30,USD,32657000000.0,13883000000.0,5544000000.0,15729000000.0,4242000000.0,2114000000.0,429000000.0,4215000000.0,3195000000.0,13891298791.0,14064934374.0,14148000000.0,88106000000.0,124157000000.0,51672000000.0,87453000000.0,29903000000.0,19707000000.0,42243000000.0,121282000000.0,162000000000.0,3480000000.0,-1273000000.0,-931000000.0,10132000000.0,-3374000000.0,-4937000000.0,1490000000.0,12658000000.0,-5477000000.0
US,GOOGL,2018,Q3,2018-09-30,USD,33740000000.0,14281000000.0,5602000000.0,10834000000.0,10111000000.0,2355000000.0,453000000.0,10083000000.0,9192000000.0,13916724183.0,14077174369.0,13443000000.0,92973000000.0,129702000000.0,55300000000.0,91836000000.0,31301000000.0,20397000000.0,43111000000.0,128405000000.0,169840000000.0,-132000000.0,-1258000000.0,-1315000000.0,13210000000.0,-10408000000.0,-3478000000.0,-705000000.0,14148000000.0,-5282000000.0
US,GOOGL,2018,Q4,2018-12-31,USD,39276000000.0,17918000000.0,7121000000.0,13155000000.0,10101000000.0,2580000000.0,513000000.0,10072000000.0,8948000000.0,13905200343.0,14017974392.0,16701000000.0,92439000000.0,135676000000.0,59719000000.0,97116000000.0,34620000000.0,20544000000.0,45049000000.0,134885000000.0,177628000000.0,495000000.0,-261000000.0,-1344000000.0,12987000000.0,-6876000000.0,-2746000000.0,3258000000.0,13443000000.0,-7081000000.0
US,GOOGL,2019,Q1,2019-03-31,USD,36339000000.0,16012000000.0,5993000000.0,13719000000.0,8181000000.0,2613000000.0,487000000.0,8146000000.0,6657000000.0,13897697990.0,14017574392.0,19148000000.0,94340000000.0,138207000000.0,69365000000.0,107142000000.0,34910000000.0,26967000000.0,46532000000.0,138720000000.0,183472000000.0,1093000000.0,987000000.0,-1059000000.0,12000000000.0,-5388000000.0,-4183000000.0,2447000000.0,16701000000.0,-4638000000.0
US,GOOGL,2019,Q2,2019-06-30,USD,38944000000.0,17296000000.0,6255000000.0,12468000000.0,12172000000.0,2835000000.0,628000000.0,12147000000.0,9947000000.0,13882757880.0,13999074400.0,16587000000.0,104469000000.0,147437000000.0,74604000000.0,109664000000.0,37000000000.0,27909000000.0,47937000000.0,145346000000.0,192192000000.0,-737000000.0,-1052000000.0,-2867000000.0,12627000000.0,-10455000000.0,-4746000000.0,-2561000000.0,19148000000.0,-6126000000.0
US,GOOGL,2019,Q3,2019-09-30,USD,40499000000.0,17568000000.0,7200000000.0,13754000000.0,8651000000.0,2920000000.0,608000000.0,8628000000.0,7068000000.0,13858817986.0,13963974414.0,16032000000.0,105145000000.0,148358000000.0,79593000000.0,114686000000.0,39224000000.0,28851000000.0,49040000000.0,147125000000.0,194969000000.0,1685000000.0,126000000.0,1408000000.0,15466000000.0,-8945000000.0,-6954000000.0,-555000000.0,16587000000.0,-6732000000.0
