country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,GOOGL,2016-06-13,6.85935028,6.85935028,5019.672535,5019.672535,0.0495605347,0.001702400303720894
US,GOOGL,2016-06-14,6.85935028,6.85935028,5029.275625,5029.275625,0.0495605347,0.0019377928604631632
US,GOOGL,2016-06-15,6.85935028,6.85935028,5022.416275,5022.416275,0.0495605347,0.0016936020943371332
US,GOOGL,2016-06-16,6.85935028,6.85935028,4967.541473,4967.541473,0.0495605347,0.003280339840000123
US,GOOGL,2016-06-17,6.85935028,6.85935028,4830.354467,4830.354467,0.0495605347,0.0059963405163790525
US,GOOGL,2016-06-20,6.85935028,6.85935028,4844.073168,4844.073168,0.0495605347,0.0033279026537772903
US,GOOGL,2016-06-21,6.85935028,6.85935028,4861.907478,4861.907478,0.0495605347,0.0022100023152630136
US,GOOGL,2016-06-22,6.85935028,6.85935028,4872.882439,4872.882439,0.0495605347,0.002118130640209848
US,GOOGL,2016-06-23,6.85935028,6.85935028,4903.06358,4903.06358,0.0495605347,0.0030980018708127556
US,GOOGL,2016-06-24,6.85935028,6.85935028,4700.026812,4700.026812,0.0495605347,0.006956635548870089
US,GOOGL,2016-06-27,6.85935028,6.85935028,4672.589411,4672.589411,0.0495605347,0.004256213534556512
US,GOOGL,2016-06-28,6.85935028,6.85935028,4741.182914,4741.182914,0.0495605347,0.002787873372753316
US,GOOGL,2016-06-29,6.85935028,6.85935028,4768.620315,4768.620315,0.0495605347,0.0031434726497157396
US,GOOGL,2016-06-30,6.87635594,6.87635594,4838.204043,4838.204043,0.0495605347,0.003072140270853984
US,GOOGL,2016-07-01,6.87635594,6.87635594,4883.587992,4883.587992,0.0495605347,0.002252937476648424
US,GOOGL,2016-07-05,6.87635594,6.87635594,4846.45567,4846.45567,0.0495605347,0.0020679964975751385
US,GOOGL,2016-07-06,6.87635594,6.87635594,4875.336365,4875.336365,0.0495605347,0.0021015869635160277
US,GOOGL,2016-07-07,6.87635594,6.87635594,4862.958924,4862.958924,0.0495605347,0.0015396236164005204
