country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,IBM,2016,Q2,2016-06-30,USD,20239000000.0,10536000000.0,5187000000.0,6424000000.0,3216000000.0,1103000000.0,-138000000.0,3049000000.0,2505000000.0,957400000.0,960500000.0,10017000000.0,600000000.0,43524000000.0,11092000000.0,74532000000.0,33585000000.0,68582000000.0,53565000000.0,148071000000.0,15733000000.0,-272000000.0,-272000000.0,-5000000.0,3458000000.0,-4522000000.0,-3240000000.0,-4337000000.0,14354000000.0,-1021000000.0
US,IBM,2016,Q3,2016-09-30,USD,19227000000.0,10213000000.0,4628000000.0,5634000000.0,3421000000.0,1127000000.0,-136000000.0,3263000000.0,2853000000.0,954000000.0,957300000.0,9039000000.0,929000000.0,41433000000.0,11104000000.0,74173000000.0,34447000000.0,64000000000.0,53759000000.0,149585000000.0,17010000000.0,63000000.0,63000000.0,-68000000.0,4117000000.0,-1050000000.0,-4185000000.0,-978000000.0,10017000000.0,-914000000.0
US,IBM,2016,Q4,2016-12-31,USD,21771000000.0,10877000000.0,4847000000.0,5890000000.0,5142000000.0,1127000000.0,-125000000.0,4985000000.0,4501000000.0,948600000.0,952700000.0,7826000000.0,701000000.0,43888000000.0,10830000000.0,73581000000.0,36275000000.0,62803000000.0,53935000000.0,152759000000.0,18246000000.0,-943000000.0,-943000000.0,-1169000000.0,3657000000.0,-2936000000.0,-1287000000.0,-1213000000.0,9039000000.0,-1115000000.0
US,IBM,2017,Q1,2017-03-31,USD,18155000000.0,10211000000.0,4881000000.0,6050000000.0,1559000000.0,1099000000.0,-105000000.0,1424000000.0,1750000000.0,942400000.0,947800000.0,10096000000.0,599000000.0,42889000000.0,10865000000.0,74607000000.0,36481000000.0,62566000000.0,54104000000.0,153292000000.0,18327000000.0,964000000.0,964000000.0,13000000.0,3955000000.0,350000000.0,-2134000000.0,2270000000.0,7826000000.0,-877000000.0
US,IBM,2017,Q2,2017-06-30,USD,19289000000.0,10321000000.0,4889000000.0,6087000000.0,2590000000.0,1117000000.0,-113000000.0,2443000000.0,2331000000.0,934900000.0,939600000.0,11696000000.0,599000000.0,45013000000.0,10903000000.0,75481000000.0,35966000000.0,65985000000.0,54235000000.0,154234000000.0,18419000000.0,-179000000.0,-179000000.0,60000000.0,3466000000.0,-1705000000.0,-609000000.0,1600000000.0,10096000000.0,-826000000.0
US,IBM,2017,Q3,2017-09-30,USD,19153000000.0,10172000000.0,4474000000.0,5582000000.0,3233000000.0,1176000000.0,-130000000.0,3065000000.0,2726000000.0,929400000.0,933200000.0,10915000000.0,600000000.0,44742000000.0,11057000000.0,76895000000.0,31697000000.0,70182000000.0,54395000000.0,155565000000.0,19627000000.0,-473000000.0,-473000000.0,19000000.0,3570000000.0,-1923000000.0,-2756000000.0,-781000000.0,11696000000.0,-981000000.0
US,IBM,2017,Q4,2017-12-31,USD,22543000000.0,11681000000.0,5017000000.0,6210000000.0,4633000000.0,1149000000.0,-122000000.0,4469000000.0,-1055000000.0,924500000.0,928900000.0,11972000000.0,608000000.0,49735000000.0,11116000000.0,75621000000.0,37363000000.0,70268000000.0,54566000000.0,153126000000.0,17594000000.0,6501000000.0,6501000000.0,-1009000000.0,5733000000.0,-3818000000.0,-919000000.0,1057000000.0,10915000000.0,-1089000000.0
US,IBM,2018,Q1,2018-03-31,USD,19071000000.0,10825000000.0,5322000000.0,6519000000.0,1301000000.0,1114000000.0,-94000000.0,1136000000.0,1679000000.0,920700000.0,925400000.0,11949000000.0,893000000.0,49122000000.0,11278000000.0,76162000000.0,35733000000.0,71262000000.0,54712000000.0,156371000000.0,18166000000.0,1658000000.0,1658000000.0,35000000.0,4602000000.0,-1764000000.0,-2909000000.0,28000000.0,11972000000.0,-996000000.0
US,IBM,2018,Q2,2018-06-30,USD,20003000000.0,10804000000.0,4708000000.0,5931000000.0,2949000000.0,1116000000.0,-126000000.0,2776000000.0,2403000000.0,915100000.0,919400000.0,10741000000.0,966000000.0,46795000000.0,11024000000.0,74828000000.0,35442000000.0,67532000000.0,54827000000.0,157349000000.0,18520000000.0,-1322000000.0,-1322000000.0,-30000000.0,2294000000.0,-634000000.0,-2519000000.0,-1302000000.0,12262000000.0,-1080000000.0
US,IBM,2018,Q3,2018-09-30,USD,18756000000.0,9953000000.0,4249000000.0,5336000000.0,3187000000.0,1138000000.0,-121000000.0,2996000000.0,2694000000.0,911200000.0,915200000.0,11563000000.0,2932000000.0,48257000000.0,10949000000.0,73732000000.0,36822000000.0,65250000000.0,54987000000.0,158612000000.0,19784000000.0,295000000.0,295000000.0,-24000000.0,4232000000.0,-2969000000.0,-436000000.0,771000000.0,11972000000.0,-955000000.0
