country,code,time,open,high,low,close,volume,amount
US,IBM,2016-06-13,151.63,152.5,150.28,151.28,3610399.62,546672186.9833
US,IBM,2016-06-14,151.28,151.79,150.4,151.06,2865800.19,433117605.9797
US,IBM,2016-06-15,151.46,151.79,150.6,150.68,2260399.62,341637366.6089
US,IBM,2016-06-16,150.2,151.29,149.0,151.06,2449100.38,368295996.6502
US,IBM,2016-06-17,150.96,152.72,150.6,151.99,4663899.62,706865999.312
US,IBM,2016-06-20,152.6,154.67,152.52,153.61,3572100.38,547813570.6864
US,IBM,2016-06-21,154.16,154.57,153.69,154.05,2760300.19,425397475.2218
US,IBM,2016-06-22,153.75,154.71,152.27,152.93,2833699.81,434750859.1705
US,IBM,2016-06-23,153.45,155.48,152.6,155.35,3969399.62,612162135.0241
US,IBM,2016-06-24,149.97,150.61,146.18,146.59,9082800.19,1347314082.2023
US,IBM,2016-06-27,146.18,146.6,142.5,143.5,5017899.62,726052108.8371
US,IBM,2016-06-28,144.78,145.73,144.22,145.7,3997699.81,580123126.924
US,IBM,2016-06-29,146.5,148.48,146.45,148.46,3367699.81,496657429.4203
US,IBM,2016-06-30,148.86,151.91,148.67,151.79,3967100.38,596315058.5897
US,IBM,2016-07-01,151.79,152.97,151.4,152.35,2658300.19,404380305.5052
US,IBM,2016-07-05,151.19,152.0,150.76,151.68,2465199.81,373251073.4737
US,IBM,2016-07-06,151.85,152.41,149.92,152.37,2569399.62,389618115.8221
US,IBM,2016-07-07,152.75,153.69,151.89,152.6,2138399.62,326610559.8012
US,IBM,2016-07-08,154.0,154.6,153.08,154.46,3040600.38,468347166.6226
US,IBM,2016-07-11,154.6,156.04,154.5,155.33,2833699.81,439565785.3035
US,IBM,2016-07-12,156.0,157.12,155.52,157.04,3843800.19,601258158.2628
US,IBM,2016-07-13,157.75,158.34,157.06,158.02,2746399.62,433354063.3522
US,IBM,2016-07-14,158.81,161.4,158.58,160.28,4637600.38,740937612.1488
US,IBM,2016-07-15,159.9,159.98,158.5,159.78,4476800.19,714226082.1755
US,IBM,2016-07-18,159.3,160.75,158.73,159.86,6729699.81,1074472352.5923
US,IBM,2016-07-19,161.78,162.14,157.89,159.58,7120000.0,1141720842.1605
US,IBM,2016-07-20,159.96,161.71,159.6,161.36,4376300.19,703092723.1683
US,IBM,2016-07-21,160.75,161.85,159.89,160.45,3518899.62,565638085.4289
US,IBM,2016-07-22,160.78,162.17,160.48,162.07,2520100.38,406692862.4599
US,IBM,2016-07-25,162.0,162.88,161.75,162.65,2804600.38,455229513.2824
US,IBM,2016-07-26,162.65,163.6,161.37,162.12,2894600.38,470180941.7821
US,IBM,2016-07-27,162.12,162.57,161.18,161.83,2162699.81,350193311.0145
US,IBM,2016-07-28,161.38,161.81,160.71,161.37,2340399.62,377547881.0637
US,IBM,2016-07-29,161.36,161.67,160.03,160.62,3547500.0,570838417.4785
US,IBM,2016-08-01,160.66,161.65,159.84,161.45,2823600.38,454304934.7419
US,IBM,2016-08-02,161.27,161.45,160.36,160.58,3080899.62,495762087.3704
US,IBM,2016-08-03,160.13,160.86,159.8,160.67,2861699.81,458921216.6794
US,IBM,2016-08-04,160.86,161.7,160.12,161.55,2489100.38,400864475.2277
US,IBM,2016-08-05,162.0,163.51,161.57,163.5,3812399.62,620057371.6679
US,IBM,2016-08-08,162.73,163.27,161.58,162.04,3039300.19,493600919.0162
US,IBM,2016-08-09,162.22,162.77,161.65,161.77,2737500.0,443733012.8265
US,IBM,2016-08-10,162.19,162.66,161.96,162.08,2466699.81,400163933.851
US,IBM,2016-08-11,162.25,164.95,162.18,163.53,8768600.38,1431269379.577
US,IBM,2016-08-12,163.19,163.46,161.52,161.95,2543100.38,413318132.4959
US,IBM,2016-08-15,162.4,162.97,161.78,161.88,2970399.62,481966831.3526
US,IBM,2016-08-16,161.1,161.93,160.69,160.7,2210199.81,356080755.3219
US,IBM,2016-08-17,160.97,161.16,159.84,160.44,3225899.62,518103236.8036
US,IBM,2016-08-18,160.89,162.0,160.44,161.36,3652000.0,588599104.224
US,IBM,2016-08-19,160.84,160.91,159.52,160.04,2815199.81,451369103.6168
US,IBM,2016-08-22,160.0,160.57,159.13,160.0,2039300.19,326138709.2564
US,IBM,2016-08-23,160.33,161.34,160.23,160.26,2838100.38,455635514.9117
US,IBM,2016-08-24,159.89,160.18,158.32,159.05,3645800.19,580970404.1526
US,IBM,2016-08-25,159.0,159.54,158.42,158.63,2575000.0,409172565.1006
US,IBM,2016-08-26,158.88,160.44,157.85,158.32,2498899.62,397011105.4095
US,IBM,2016-08-29,158.84,160.21,158.5,159.72,2475899.62,394440695.3742
US,IBM,2016-08-30,159.76,160.15,158.81,159.4,1813300.19,289267655.8115
US,IBM,2016-08-31,159.66,159.66,158.26,158.88,2323600.38,369732650.9205
US,IBM,2016-09-01,158.32,159.62,158.1,159.54,2358399.62,374754236.4292
US,IBM,2016-09-02,159.88,160.57,159.15,159.55,2315399.62,369979060.8504
US,IBM,2016-09-06,159.88,160.86,159.11,160.35,2994100.38,479195775.7189
US,IBM,2016-09-07,160.19,161.76,160.0,161.64,2867300.19,461340952.2106
US,IBM,2016-09-08,160.55,161.21,158.76,159.0,3963199.81,633630941.7959
US,IBM,2016-09-09,158.03,158.4,155.64,155.69,5186000.0,813917947.6861
US,IBM,2016-09-12,155.26,158.53,154.84,158.29,4367500.0,684524702.293
US,IBM,2016-09-13,157.63,157.93,155.5,155.81,3636699.81,569943621.0785
US,IBM,2016-09-14,155.7,155.87,153.39,154.05,3860600.38,597430988.7924
US,IBM,2016-09-15,154.3,156.34,153.21,155.66,3645600.38,564614094.561
US,IBM,2016-09-16,155.04,155.4,153.47,153.84,6463600.38,998281741.3823
US,IBM,2016-09-19,154.87,156.19,154.55,154.87,2450100.38,380062116.0316
US,IBM,2016-09-20,155.87,156.57,154.45,154.45,2159100.38,335370096.662
US,IBM,2016-09-21,154.91,155.68,153.87,155.53,2473899.62,383445879.2011
US,IBM,2016-09-22,156.15,157.22,155.69,156.11,2691100.38,420614376.8003
US,IBM,2016-09-23,155.62,156.04,154.71,154.98,2702199.81,419776231.5234
