country,code,time,open,high,low,close,volume,amount
US,INTC,2016-06-13,32.05,32.5,32.04,32.17,23004832.0,740525542.08
US,INTC,2016-06-14,32.01,32.24,31.79,32.14,18754277.0,600980806.465
US,INTC,2016-06-15,32.25,32.26,31.59,31.61,23783272.0,759340416.78
US,INTC,2016-06-16,31.44,31.77,31.22,31.69,18547853.0,584813805.09
US,INTC,2016-06-17,31.73,31.81,31.47,31.76,27047860.0,857214303.05
US,INTC,2016-06-20,32.07,32.44,32.01,32.17,21961579.0,706558900.3775
US,INTC,2016-06-21,32.26,32.38,32.09,32.32,15476450.0,499308968.125
US,INTC,2016-06-22,32.3,32.63,32.25,32.29,18304758.0,592479254.565
US,INTC,2016-06-23,32.58,33.0,32.5,32.99,22048784.0,722483529.72
US,INTC,2016-06-24,31.8,32.32,31.4,31.55,38094301.0,1210160707.0175
US,INTC,2016-06-27,31.41,31.41,30.44,30.72,35454030.0,1098897659.85
US,INTC,2016-06-28,30.97,31.2,30.81,31.19,23693871.0,735516990.5175
US,INTC,2016-06-29,31.35,31.98,31.31,31.93,22771058.0,720533202.765
US,INTC,2016-06-30,32.0,32.88,31.97,32.8,34528919.0,1119168587.0875
US,INTC,2016-07-01,32.64,32.89,32.47,32.75,17084570.0,558451881.875
US,INTC,2016-07-05,32.5,32.73,32.46,32.68,20107191.0,655343622.6675
US,INTC,2016-07-06,32.8,33.0,32.38,32.97,21070217.0,690839739.8875
US,INTC,2016-07-07,32.96,33.55,32.96,33.2,26119445.0,866316692.0375
US,INTC,2016-07-08,33.65,34.0,33.5,34.0,23341870.0,788663432.625
US,INTC,2016-07-11,34.04,34.5,34.04,34.38,23820667.0,815619638.08
US,INTC,2016-07-12,34.51,34.97,34.48,34.94,28064113.0,974526323.925
US,INTC,2016-07-13,35.04,35.25,34.88,35.01,29120904.0,1020542080.68
US,INTC,2016-07-14,35.13,35.3,34.96,35.2,25296374.0,889104305.165
US,INTC,2016-07-15,35.26,35.29,34.9,35.07,23661856.0,831241001.28
US,INTC,2016-07-18,35.18,35.2,34.95,35.05,19347177.0,678989176.815
US,INTC,2016-07-19,34.89,35.16,34.85,35.15,20395424.0,714094782.8
US,INTC,2016-07-20,35.3,35.93,35.06,35.69,42994187.0,1526078667.565
US,INTC,2016-07-21,34.33,34.49,33.86,34.27,63708597.0,2181223089.7875
US,INTC,2016-07-22,34.38,34.7,34.26,34.66,33033653.0,1139661028.5
US,INTC,2016-07-25,34.62,34.76,34.57,34.69,20277701.0,702825116.66
US,INTC,2016-07-26,34.75,35.23,34.7,35.09,29644428.0,1035850425.39
US,INTC,2016-07-27,35.0,35.28,34.63,34.83,23601763.0,824527590.405
US,INTC,2016-07-28,34.83,34.83,34.52,34.77,21667377.0,752670508.5375
US,INTC,2016-07-29,34.77,34.92,34.6,34.86,18171236.0,632131872.35
US,INTC,2016-08-01,34.82,34.91,34.56,34.85,18824409.0,654807067.065
US,INTC,2016-08-02,34.81,34.87,34.33,34.56,20057327.0,694835950.5975
US,INTC,2016-08-03,34.1,34.28,33.99,34.25,18388764.0,628068234.42
US,INTC,2016-08-04,34.29,34.62,34.22,34.58,16362642.0,563324857.455
US,INTC,2016-08-05,34.8,35.13,34.7,34.98,20046211.0,699662879.4275
US,INTC,2016-08-08,34.9,35.17,34.86,35.04,19497332.0,682260390.01
