country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,IREN,2020,Q1,2019-09-30,USD,221044.0,137351.0,232180.0,232181.0,-280102.0,105291.0,674.946,-310812.0,-310812.0,16296813.0,16296603.0,,,,,,,,,,,-64457.343400000005,10124.0,89093.0,-180885.0,-1551363.0,2188849.0,428928.0,-0.2138000000268221,-1452483.0
US,IREN,2020,Q2,2019-12-31,USD,229792.0,142786.0,241368.0,241369.0,-291187.0,109459.0,701.6559,-323112.0,-323112.0,16296819.0,16296603.0,,,,,,,,,,,-67008.13919999999,10524.0,92619.0,-188043.0,-1612756.0,2275470.0,445904.0,530801.0,-1509963.0
US,IREN,2020,Q3,2020-03-31,USD,886092.0,335161.0,194986.0,1388931.0,-591414.0,267800.0,-50113.0,-788502.0,-788502.0,15936738.0,15937733.0,,,,,,,,,,,-84415.0,12298.0,171524.0,-329093.0,-701464.0,1373051.0,546646.0,976705.0,-636836.0
US,IREN,2020,Q4,2020-06-30,USD,860888.0,319500.0,186328.0,1379388.0,-559477.0,255795.0,-50190.0,-753063.0,-753063.0,15936492.0,15937733.0,,,,,,,,,,,-77065.0,11144.0,161365.0,-308468.0,-524576.0,1123478.0,497741.0,0.0,-471223.0
US,IREN,2021,Q1,2020-09-30,USD,574802.0,209344.4,175050.0,520546.0,-241079.0,227259.0,-30198.0,-271790.0,-271790.0,52932939.0,56717471.0,,,,,,,,,,,0.0,0.0,121438.0,121438.0,-733629.070856,1580838.0,992220.0,2035159.0,-733629.070856
US,IREN,2021,Q2,2020-12-31,USD,938106.3,214036.0,206371.0,868529.0,-914521.0,255310.0,-84907.0,-1000018.0,-1000018.0,52932939.0,56717471.0,15090208.0,0.0,15728604.0,9727062.0,17673092.0,24453353.0,1242098.0,12407864.0,-4272166.0,7706245.0,0.0,0.0,792598.0,-37779.4911,-10394055.205226,22331419.0,12020712.0,3027380.0,-8715637.822881
US,IREN,2021,Q3,2021-03-31,USD,2120488.0,192876.7,331307.0,1069221.0,1830304.0,220678.0,-1446288.0,381699.0,381699.0,52932939.0,56717471.0,,,,,,,,,,,0.0,0.0,944931.0,1970375.0,-52432598.440616,82664176.0,33046461.0,15048092.0,-51620887.322288
US,IREN,2021,Q4,2021-06-30,USD,2243194.4,1028953.0,609829.0,2020210.0,-34259899.0,227408.0,-9340819.0,-43601233.0,-44533681.0,52932939.0,56717471.0,38990000.0,0.0,40430000.0,16978000.0,94038000.0,127982098.0,10104086.0,7761632.0,-47025522.0,-37129403.0,0.0,0.0,-421670.78032,-421670.78032,-17896710.731641,9995813.0,-9013739.518310003,48094553.0,-20153173.306967
US,IREN,2022,Q1,2021-09-30,USD,7450774.0,840211.0,2244371.0,4188074.0,-340059199.0,511500.0,-10179124.0,-350238323.0,-352454653.0,52932939.0,56717471.0,85076029.0,0.0,88172482.0,159749700.0,162154384.0,553946482.0,12176833.0,8338240.0,-395995571.0,-384975196.0,0.0,0.0,502746520.0,4908312.0,-66199048.0,107537001.0,85638926.0,0.0,-7946442.0
US,IREN,2022,Q2,2021-12-31,USD,14603069.0,949522.0,6189289.0,9623514.8,63412852.0,914005.0,-10156986.0,53255865.0,50971938.0,52964986.0,50014660.0,254913445.0,0.0,266713544.0,219206512.0,227723490.0,21157133.0,13990210.0,665678920.0,-348783761.0,323233471.0,0.0,0.0,-68651650.0,4561426.0,-48113191.0,213846191.0,170026752.0,85638926.0,-10732216.0
US,IREN,2022,Q3,2022-03-31,USD,11387032.0,1090882.0,4794480.9,9400490.0,-3543257.0,1715368.0,-849526.0,-4401785.0,-2009608.0,52997032.0,53028867.0,157992815.0,0.0,201906997.0,347510704.0,355424406.0,40522422.0,33067966.0,712765267.0,-375464353.0,344538206.0,0.0,0.0,4720260.0,4341426.0,-139721359.0,35284890.0,-97451778.0,255665678.0,-214574816.0
US,IREN,2022,Q4,2022-06-30,USD,12423926.0,3439031.0,7793445.0,18430770.0,18921999.0,3426071.0,-1565297.0,17289700.0,17816519.0,52984751.0,53028867.0,109970000.0,0.0,160254000.0,248815000.0,410206000.0,85106000.0,47992000.0,926581000.0,-482405000.0,437362000.0,-181000.0,-109000.0,18477138.0,8420028.0,-76482073.0,32780701.0,-47692949.0,157662949.0,-72379818.0
US,IREN,2023,Q1,2022-09-30,USD,14983500.0,4331000.0,1575000.0,80146000.0,-14339000.0,9498000.0,-3609000.0,-79932000.0,-80947000.0,53028883.0,53028867.0,-109970000.0,219940000.0,109970000.0,0.0,-109970000.0,0.0,0.0,0.0,0.0,437362000.0,0.0,0.0,64932500.0,-3131500.0,-25357500.0,-4977000.0,-4871761.0,109970000.0,-32328000.0
US,IREN,2023,Q2,2022-12-31,USD,13755000.0,4064000.0,6489000.0,137738000.0,-134015000.0,11544000.0,-10093000.0,-144365000.0,-143954000.0,53028867.0,53028867.0,40661000.0,0.0,74645000.0,274600000.0,337310000.0,140234000.0,1598000.0,926581000.0,-644299000.0,270123000.0,0.0,0.0,128172500.0,-3131500.0,-25357500.0,-4977000.0,-117552900.0,158213900.0,-32328000.0
US,IREN,2023,Q3,2023-03-31,USD,11327000.0,2470000.0,4620000.0,14079000.0,-421000.0,5125000.0,-2067000.0,-2732000.0,-3053000.0,53559687.0,53559687.0,68894000.0,0.0,89230000.0,242476000.0,242844000.0,24001000.0,2712000.0,965857000.0,-654276000.0,305361000.0,0.0,0.0,-311000.0,5265000.0,-18590000.0,6714000.0,-7510000.0,40661000.0,-28964000.0
US,IREN,2023,Q4,2023-06-30,USD,34215000.0,6759000.0,13444000.0,37097000.0,-7785000.0,6734000.0,466000.0,-6883000.0,-6924000.0,56519867.0,56522275.0,68894000.0,0.0,89230000.0,242476000.0,242844000.0,24001000.0,2712000.0,965857000.0,-654276000.0,305361000.0,13552000.0,-4089000.0,-89863000.0,-71380000.0,76261000.0,31480000.0,35743000.0,33151000.0,-22444000.0
US,IREN,2024,Q1,2023-09-30,USD,34397000.0,4177000.0,9365000.0,37638000.0,-4447000.0,7620000.0,680000.0,-4480000.0,-5301000.0,70075354.0,70074566.0,-68894000.0,137788000.0,68894000.0,0.0,-68894000.0,0.0,0.0,0.0,0.0,305361000.0,0.0,0.0,2395500.0,10623000.0,-37129000.0,37057000.0,10706500.0,0.0,-32007500.0
US,IREN,2024,Q2,2023-12-31,USD,42047000.0,4334000.0,11933000.0,39934000.0,-6263000.0,7558000.0,635000.0,-6293000.0,-5228000.0,72665044.0,72665044.0,90307000.0,1280000.0,109186000.0,296006000.0,307981000.0,32343000.0,2976000.0,1038846000.0,-664803000.0,381848000.0,0.0,0.0,9076000.0,17371000.0,-56441000.0,65108000.0,26135000.0,64172000.0,-46198000.0
US,IREN,2024,Q3,2024-03-31,USD,53950000.0,4333000.0,7835000.0,43594000.0,12237000.0,8692000.0,1374000.0,12111000.0,8638000.0,104496782.0,112195908.0,259695000.0,3425000.0,310193000.0,400112000.0,413410000.0,41500000.0,4863000.0,1327668000.0,-656165000.0,677240000.0,0.0,0.0,-125899000.0,-102751000.0,15667000.0,256653000.0,169388000.0,90307000.0,-119287000.0
US,IREN,2024,Q4,2024-06-30,USD,56798000.0,9359000.0,19036000.0,70158000.0,-26778000.0,26780000.0,2890000.0,-26841000.0,-27066000.0,154194985.0,154194912.0,404601000.0,6530000.0,452386000.0,442920000.0,700647000.0,51072000.0,4276000.0,1764289000.0,-683110000.0,1097471000.0,-2623000.0,2965000.0,154399999.0,133723999.0,-439875000.0,451859000.0,144906000.0,259695000.0,-296607000.0
US,IREN,2025,Q1,2024-09-30,USD,52764000.0,36921000.0,18812000.0,62929000.0,-50399000.0,33931000.0,2267000.0,-50421000.0,-51703000.0,189262447.0,189262447.0,98589000.0,0.0,158789000.0,968419000.0,1122422000.0,146039000.0,5624000.0,1843183000.0,-734938000.0,1129548000.0,-7767000.0,-41681000.0,21624000.0,-3915000.0,-387137000.0,84669000.0,-306012000.0,404601000.0,-383388999.0
US,IREN,2025,Q2,2024-12-31,USD,116144000.0,37196000.0,22431000.0,60958000.0,-17161000.0,36077000.0,-135000.0,-18883000.0,-21888000.0,210470000.0,221032000.0,427273000.0,28300000.0,525193000.0,1211082000.0,1326889000.0,559045000.0,6766000.0,1985104000.0,-716056000.0,1286271000.0,0.0,0.0,-59803000.0,-59803000.0,-66810000.0,456892000.0,328684000.0,98589000.0,-187562000.0
US,IREN,2025,Q3,2025-03-31,USD,144823000.0,46906000.0,21810000.0,70228000.0,-6987000.0,47311000.0,-2194000.0,-11106000.0,-16144000.0,218660000.0,229106000.0,184333000.0,11700000.0,255911000.0,1674307000.0,1733844000.0,553107000.0,11081000.0,2092508000.0,-691836000.0,1425567000.0,0.0,0.0,-48012000.0,-48012000.0,-301639000.0,107000000.0,-242940000.0,427273000.0,-443804000.0
US,IREN,2025,Q4,2025-06-30,USD,187292000.0,136822000.0,93254000.0,33665000.0,89648000.0,63481000.0,1703000.0,92788000.0,95546000.0,216623384.0,226175826.0,564526000.0,0.0,641173000.0,1935100000.0,2299150000.0,149347000.0,973488000.0,2355056000.0,-596167000.0,1817488000.0,0.0,0.0,104510656.0,258755594.0,-441485231.0,422656714.0,255095006.0,114867108.0,-242652924.0
US,IREN,2026,Q1,2025-09-30,USD,240295000.0,89037000.0,94097000.0,211393000.0,584578000.0,85226000.0,-2152000.0,575298000.0,384611000.0,216623384.0,226175826.0,1032263000.0,0.0,1123940000.0,2116861000.0,3143434000.0,203745000.0,1187462000.0,2965588000.0,-211556000.0,2876167000.0,239537000.0,246557000.0,-639426000.0,142353000.0,-280877000.0,606137000.0,467737000.0,564526000.0,-280611000.0
US,IREN,2026,Q2,2025-12-31,USD,184692000.0,74316000.0,81515000.0,195031000.0,-327259000.0,99176000.0,5107000.0,-337927000.0,-155407000.0,216623384.0,226175826.0,3260589000.0,0.0,3383421000.0,3171779000.0,3644156000.0,682131000.0,3834253000.0,4668372000.0,-366963000.0,2511193000.0,-239537000.0,-246557000.0,853430000.0,71651000.0,-850951000.0,3007598000.0,2228326000.0,1032263000.0,280611000.0
US,IREN,2026,Q3,2026-03-31,USD,144795000.0,51225000.0,60544000.0,186916000.0,-239249000.0,121245000.0,6962000.0,-254086000.0,-247827000.0,216623384.0,226175826.0,1515871362.0,0.0,1660530461.0,2994937569.0,3315197493.0,446113724.0,2704678318.0,3456747146.0,-421069671.0,1824935227.0,3396865.0,40490750.0,145125252.0,60549391.0,-1069915208.0,385564325.0,-658434604.0,2174323774.0,-980200481.0
