country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,IREN,2021-11-17,0.52964986,0.52964986,12.949939,12.949939,1.0,0.10979536556471477
US,IREN,2021-11-18,0.52964986,0.52964986,12.393807,12.393807,1.0,0.021635142129557063
US,IREN,2021-11-19,0.52964986,0.52964986,13.135317,13.135317,1.0,0.018623435490004663
US,IREN,2021-11-22,0.52964986,0.52964986,11.991273,11.991273,1.0,0.021214732313910176
US,IREN,2021-11-23,0.52964986,0.52964986,11.122647,11.122647,1.0,0.008966112065053693
US,IREN,2021-11-24,0.52964986,0.52964986,10.630073,10.630073,1.0,0.008349062907332781
US,IREN,2021-11-26,0.52964986,0.52964986,10.058051,10.058051,1.0,0.004090079434742039
US,IREN,2021-11-29,0.52964986,0.52964986,10.095126,10.095126,1.0,0.005575985614345296
US,IREN,2021-11-30,0.52964986,0.52964986,9.613145,9.613145,1.0,0.012094329638829698
US,IREN,2021-12-01,0.52964986,0.52964986,9.782633,9.782633,1.0,0.006393657878055514
US,IREN,2021-12-02,0.52964986,0.52964986,9.141757,9.141757,1.0,0.003384367929409063
US,IREN,2021-12-03,0.52964986,0.52964986,8.172497,8.172497,1.0,0.008680017398664091
US,IREN,2021-12-06,0.52964986,0.52964986,8.135422,8.135422,1.0,0.007106166326561476
US,IREN,2021-12-07,0.52964986,0.52964986,8.569735,8.569735,1.0,0.007047939180046229
US,IREN,2021-12-08,0.52964986,0.52964986,8.220166,8.220166,1.0,0.005768112541368367
US,IREN,2021-12-09,0.52964986,0.52964986,7.870597,7.870597,1.0,0.007396358039252573
US,IREN,2021-12-10,0.52964986,0.52964986,7.626958,7.626958,1.0,0.0113450421755988
US,IREN,2021-12-13,0.52964986,0.52964986,7.160866,7.160866,1.0,0.011431080147930182
US,IREN,2021-12-14,0.52964986,0.52964986,6.880152,6.880152,1.0,0.006395640319814301
US,IREN,2021-12-15,0.52964986,0.52964986,7.298575,7.298575,1.0,0.0062991426071556025
US,IREN,2021-12-16,0.52964986,0.52964986,7.425691,7.425691,1.0,0.003473936536110856
US,IREN,2021-12-17,0.52964986,0.52964986,9.374803,9.374803,1.0,0.025685742652702674
US,IREN,2021-12-20,0.52964986,0.52964986,9.168239,9.168239,1.0,0.010480263319620249
US,IREN,2021-12-21,0.52964986,0.52964986,9.517808,9.517808,1.0,0.005226490572469896
US,IREN,2021-12-22,0.52964986,0.52964986,8.982862,8.982862,1.0,0.0033148503050675782
US,IREN,2021-12-23,0.52964986,0.52964986,9.088792,9.088792,1.0,0.004603248644302483
US,IREN,2021-12-27,0.52964986,0.52964986,8.389654,8.389654,1.0,0.002822921542922715
US,IREN,2021-12-28,0.52964986,0.52964986,8.892821,8.892821,1.0,0.004283943358353763
US,IREN,2021-12-29,0.52964986,0.52964986,8.829263,8.829263,1.0,0.004277259697566992
US,IREN,2021-12-30,0.52964986,0.52964986,8.935193,8.935193,1.0,0.003745663219848675
US,IREN,2021-12-31,0.52964986,0.52964986,8.564438,8.564438,1.0,0.0031556130308426776
US,IREN,2022-01-03,0.52997032,0.52997032,8.071448,8.071448,1.0,0.0029605997558504785
US,IREN,2022-01-04,0.52997032,0.52997032,7.1334,7.1334,1.0,0.0030403778083270775
US,IREN,2022-01-05,0.52997032,0.52997032,6.884314,6.884314,1.0,0.00282491291210421
US,IREN,2022-01-06,0.52997032,0.52997032,6.629929,6.629929,1.0,0.0031230239459447465
US,IREN,2022-01-07,0.52997032,0.52997032,6.354344,6.354344,1.0,0.004105645010460208
US,IREN,2022-01-10,0.52997032,0.52997032,5.914469,5.914469,1.0,0.006561914637030994
US,IREN,2022-01-11,0.52997032,0.52997032,6.534534,6.534534,1.0,0.004361281967639245
US,IREN,2022-01-12,0.52997032,0.52997032,6.576932,6.576932,1.0,0.002050963910582766
US,IREN,2022-01-13,0.52997032,0.52997032,6.396742,6.396742,1.0,0.001419211551318572
US,IREN,2022-01-14,0.52997032,0.52997032,6.539834,6.539834,1.0,0.001812837367949209
US,IREN,2022-01-18,0.52997032,0.52997032,5.956866,5.956866,1.0,0.003151516107543532
US,IREN,2022-01-19,0.52997032,0.52997032,6.126457,6.126457,1.0,0.0014332689423060521
US,IREN,2022-01-20,0.52997032,0.52997032,6.041662,6.041662,1.0,0.0012622971037321486
US,IREN,2022-01-21,0.52997032,0.52997032,5.077116,5.077116,1.0,0.007437473102267312
US,IREN,2022-01-24,0.52997032,0.52997032,4.934024,4.934024,1.0,0.005866102086622511
US,IREN,2022-01-25,0.52997032,0.52997032,5.061217,5.061217,1.0,0.003318506591086082
US,IREN,2022-01-26,0.52997032,0.52997032,5.697181,5.697181,1.0,0.0047736258136116
US,IREN,2022-01-27,0.52997032,0.52997032,5.379199,5.379199,1.0,0.002655224164251311
US,IREN,2022-01-28,0.52997032,0.52997032,5.829674,5.829674,1.0,0.004216066288391395
US,IREN,2022-01-31,0.52997032,0.52997032,6.979709,6.979709,1.0,0.006178855449867457
US,IREN,2022-02-01,0.52997032,0.52997032,7.32949,7.32949,1.0,0.002659507422981725
US,IREN,2022-02-02,0.52997032,0.52997032,6.619329,6.619329,1.0,0.0020130938653319303
US,IREN,2022-02-03,0.52997032,0.52997032,6.624629,6.624629,1.0,0.0015494452595005697
US,IREN,2022-02-04,0.52997032,0.52997032,6.96911,6.96911,1.0,0.0016166188325414147
US,IREN,2022-02-07,0.52997032,0.52997032,8.140344,8.140344,1.0,0.0037432850956634705
US,IREN,2022-02-08,0.52997032,0.52997032,7.610374,7.610374,1.0,0.0023244320549875323
US,IREN,2022-02-09,0.52997032,0.52997032,7.567976,7.567976,1.0,0.0027141708614927718
US,IREN,2022-02-10,0.52997032,0.52997032,7.811763,7.811763,1.0,0.0023677174978402565
US,IREN,2022-02-11,0.52997032,0.52997032,7.832961,7.832961,1.0,0.001947109038106134
US,IREN,2022-02-14,0.52997032,0.52997032,7.472582,7.472582,1.0,0.0028673869887657103
US,IREN,2022-02-15,0.52997032,0.52997032,7.695169,7.695169,1.0,0.0019905643017895797
US,IREN,2022-02-16,0.52997032,0.52997032,7.832961,7.832961,1.0,0.0023756424699405807
US,IREN,2022-02-17,0.52997032,0.52997032,7.202297,7.202297,1.0,0.0017630043886231214
US,IREN,2022-02-18,0.52997032,0.52997032,7.175798,7.175798,1.0,0.0021466862521659705
US,IREN,2022-02-22,0.52997032,0.52997032,7.50438,7.50438,1.0,0.00256665316653959
US,IREN,2022-02-23,0.52997032,0.52997032,7.096303,7.096303,1.0,0.002189179197808662
US,IREN,2022-02-24,0.52997032,0.52997032,7.345389,7.345389,1.0,0.001790062507651372
US,IREN,2022-02-25,0.52997032,0.52997032,7.668671,7.668671,1.0,0.0021211942585765936
US,IREN,2022-02-28,0.52997032,0.52997032,7.933656,7.933656,1.0,0.0038430265302404104
US,IREN,2022-03-01,0.52997032,0.52997032,8.007852,8.007852,1.0,0.00195339240884282
US,IREN,2022-03-02,0.52997032,0.52997032,8.166843,8.166843,1.0,0.0012220495668512153
US,IREN,2022-03-03,0.52997032,0.52997032,7.801163,7.801163,1.0,0.0010662295201738844
US,IREN,2022-03-04,0.52997032,0.52997032,7.642172,7.642172,1.0,0.001033793741506128
US,IREN,2022-03-07,0.52997032,0.52997032,7.67397,7.67397,1.0,0.0027024343551918153
US,IREN,2022-03-08,0.52997032,0.52997032,7.944255,7.944255,1.0,0.0010672861831205944
US,IREN,2022-03-09,0.52997032,0.52997032,8.707412,8.707412,1.0,0.00208260719204049
US,IREN,2022-03-10,0.52997032,0.52997032,9.422872,9.422872,1.0,0.002654827915646295
US,IREN,2022-03-11,0.52997032,0.52997032,9.184386,9.184386,1.0,0.0016048445882780756
US,IREN,2022-03-14,0.52997032,0.52997032,8.129745,8.129745,1.0,0.0025829748352700203
US,IREN,2022-03-15,0.52997032,0.52997032,7.467282,7.467282,1.0,0.0017599098757077566
US,IREN,2022-03-16,0.52997032,0.52997032,7.758765,7.758765,1.0,0.0016345066267107185
US,IREN,2022-03-17,0.52997032,0.52997032,7.663371,7.663371,1.0,0.0013264139018200113
US,IREN,2022-03-18,0.52997032,0.52997032,6.979709,6.979709,1.0,0.0073175418578157354
US,IREN,2022-03-21,0.52997032,0.52997032,6.926712,6.926712,1.0,0.003936277035287561
US,IREN,2022-03-22,0.52997032,0.52997032,7.509679,7.509679,1.0,0.0031768382803021877
US,IREN,2022-03-23,0.52997032,0.52997032,7.647472,7.647472,1.0,0.0024801200187965244
US,IREN,2022-03-24,0.52997032,0.52997032,7.32419,7.32419,1.0,0.005026432423611948
US,IREN,2022-03-25,0.52997032,0.52997032,7.626273,7.626273,1.0,0.0023582641382634407
US,IREN,2022-03-28,0.52997032,0.52997032,7.345389,7.345389,1.0,0.005628352923612779
US,IREN,2022-03-29,0.52997032,0.52997032,8.272837,8.272837,1.0,0.0050046764882984394
US,IREN,2022-03-30,0.52997032,0.52997032,8.426528,8.426528,1.0,0.0034695905234844093
US,IREN,2022-03-31,0.52997032,0.52997032,8.304635,8.304635,1.0,0.0012894684366475467
US,IREN,2022-04-01,0.52984751,0.52984751,8.371591,8.371591,1.0,0.0007705424528653537
US,IREN,2022-04-04,0.52984751,0.52984751,8.297412,8.297412,1.0,0.0010562661698646089
US,IREN,2022-04-05,0.52984751,0.52984751,8.048384,8.048384,1.0,0.0013143026754999754
US,IREN,2022-04-06,0.52984751,0.52984751,7.566222,7.566222,1.0,0.0014938637722389221
US,IREN,2022-04-07,0.52984751,0.52984751,7.423164,7.423164,1.0,0.0011019019415605068
US,IREN,2022-04-08,0.52984751,0.52984751,7.243015,7.243015,1.0,0.0007403262119699308
US,IREN,2022-04-11,0.52984751,0.52984751,6.919808,6.919808,1.0,0.001145046430434296
US,IREN,2022-04-12,0.52984751,0.52984751,6.803242,6.803242,1.0,0.0010928804780077196
