country,code,time,open,high,low,close,volume,amount
US,IREN,2021-11-17,28.0,28.25,21.46,24.45,5815310.0,143172932.2
US,IREN,2021-11-18,24.31,25.06,21.68,23.4,1145905.0,26183929.25
US,IREN,2021-11-19,23.77,25.13,23.05,24.8,986390.0,24235602.3
US,IREN,2021-11-22,25.0,25.21,22.085,22.64,1123638.0,27338112.54
US,IREN,2021-11-23,22.5,24.0,20.88,21.0,474890.0,10542558.0
US,IREN,2021-11-24,21.0,21.05,18.83,20.07,442208.0,8684965.12
US,IREN,2021-11-26,19.45,20.92,18.83,18.99,216631.0,4326121.07
US,IREN,2021-11-29,19.2,19.9156,18.9134,19.06,295332.0,5696954.28
US,IREN,2021-11-30,19.16,19.3076,17.13,18.15,640576.0,11588019.84
US,IREN,2021-12-01,17.85,19.3,17.85,18.47,338640.0,6305476.8
US,IREN,2021-12-02,18.24,19.0,16.9378,17.26,179253.0,3151267.74
US,IREN,2021-12-03,17.13,17.5,15.06,15.43,459737.0,7190286.68
US,IREN,2021-12-06,15.2,16.04,14.28,15.36,376378.0,5645670.0
US,IREN,2021-12-07,15.82,16.73,15.67,16.18,373294.0,5998834.58
US,IREN,2021-12-08,16.69,16.87,14.82,15.52,305508.0,4726208.76
US,IREN,2021-12-09,15.61,16.0,13.9001,14.86,391748.0,5754778.12
US,IREN,2021-12-10,14.75,15.2,13.12,14.4,600890.0,8382415.5
US,IREN,2021-12-13,14.52,14.52,13.5,13.52,605447.0,8361223.07
US,IREN,2021-12-14,13.5,13.54,12.5,12.99,338745.0,4390135.2
US,IREN,2021-12-15,12.6,13.85,12.6,13.78,333634.0,4367269.06
US,IREN,2021-12-16,13.94,14.19,13.26,14.02,183997.0,2535478.66
US,IREN,2021-12-17,13.78,17.7,12.61,17.7,1360445.0,21018875.25
US,IREN,2021-12-20,16.0,17.85,15.5,17.31,555087.0,9253300.29
US,IREN,2021-12-21,17.2,18.1,16.78,17.97,276821.0,4888658.86
US,IREN,2021-12-22,18.0,18.5,16.75,16.96,175571.0,3054935.4
US,IREN,2021-12-23,16.75,17.33,16.11,17.16,243811.0,4117967.79
US,IREN,2021-12-27,17.2,17.51,15.55,15.84,149516.0,2459538.2
US,IREN,2021-12-28,15.84,17.09,15.69,16.79,226899.0,3793751.28
US,IREN,2021-12-29,16.93,17.13,16.1,16.67,226545.0,3787832.4
US,IREN,2021-12-30,16.75,17.37,16.68,16.87,198389.0,3360709.66
US,IREN,2021-12-31,17.0,17.34,16.08,16.17,167137.0,2769460.09
US,IREN,2022-01-03,16.25,16.51,15.16,15.23,156903.0,2453962.92
US,IREN,2022-01-04,15.23,15.35,13.44,13.46,161131.0,2236498.28
US,IREN,2022-01-05,13.9,13.9,12.99,12.99,149712.0,2010632.16
US,IREN,2022-01-06,13.0,13.46,12.0,12.51,165511.0,2082128.38
US,IREN,2022-01-07,12.57,12.8699,11.7254,11.99,217587.0,2624099.22
US,IREN,2022-01-10,11.98,12.18,11.04,11.16,347762.0,3947098.7
US,IREN,2022-01-11,11.25,12.65,11.15,12.33,231135.0,2810601.6
US,IREN,2022-01-12,12.61,12.9476,12.0,12.41,108695.0,1351078.85
US,IREN,2022-01-13,12.58,12.88,12.0,12.07,75214.0,925884.34
US,IREN,2022-01-14,12.28,12.49,11.78,12.34,96075.0,1159625.25
US,IREN,2022-01-18,12.55,12.9373,11.03,11.24,167021.0,1934103.18
US,IREN,2022-01-19,11.2755,11.89,11.24,11.56,75959.0,878086.04
