country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,KLAC,2016,Q4,2016-06-30,USD,919171000.0,337568000.0,103797000.0,231251000.0,359376000.0,14888000.0,-16382000.0,328487000.0,271541000.0,155712000.0,156618000.0,1108488000.0,1382806000.0,3868032000.0,278014000.0,1094400000.0,1002423000.0,3270895000.0,156000.0,284825000.0,689114000.0,37110000.0,9160000.0,18262000.0,354093000.0,-69253000.0,-105191000.0,182514000.0,925974000.0,-7508000.0
US,KLAC,2017,Q1,2016-09-30,USD,750673000.0,277836000.0,94388000.0,223621000.0,249216000.0,14422000.0,-30732000.0,222220000.0,178101000.0,156129000.0,157021000.0,966325000.0,1528296000.0,3929162000.0,272351000.0,1066936000.0,974741000.0,3239848000.0,447018000.0,381124000.0,781509000.0,-34378000.0,4223000.0,154000.0,169777000.0,-167823000.0,-146689000.0,-142163000.0,1108488000.0,-9883000.0
US,KLAC,2017,Q2,2016-12-31,USD,876885000.0,318507000.0,93532000.0,224444000.0,337469000.0,14892000.0,-30624000.0,306845000.0,238251000.0,156335000.0,157123000.0,937033000.0,1655944000.0,4031639000.0,279966000.0,1062817000.0,1187736000.0,2941624000.0,483077000.0,534175000.0,965096000.0,-42493000.0,-43025000.0,-681000.0,222413000.0,-140333000.0,-100914000.0,-29292000.0,966325000.0,-8629000.0
US,KLAC,2017,Q3,2017-03-31,USD,913809000.0,343274000.0,96252000.0,226422000.0,349621000.0,14198000.0,-30472000.0,319149000.0,253562000.0,156749000.0,157746000.0,955807000.0,1747707000.0,4253330000.0,285740000.0,1071115000.0,1249186000.0,2927947000.0,493899000.0,702297000.0,1147312000.0,-55511000.0,14269000.0,53000.0,224838000.0,-98371000.0,-112228000.0,18774000.0,937033000.0,-9414000.0
US,KLAC,2017,Q4,2017-06-30,USD,938647000.0,347930000.0,105164000.0,241719000.0,355680000.0,14324000.0,-7378000.0,325032000.0,256162000.0,156668000.0,157931000.0,1153051000.0,1863689000.0,4392066000.0,283975000.0,1140107000.0,1293162000.0,2912594000.0,157000.0,848457000.0,1326417000.0,174034000.0,32620000.0,3632000.0,462637000.0,-154359000.0,-112974000.0,197244000.0,955807000.0,-10668000.0
US,KLAC,2018,Q1,2017-09-30,USD,969581000.0,353449000.0,107713000.0,254445000.0,366728000.0,15282000.0,-30576000.0,336152000.0,280936000.0,156826000.0,157846000.0,1320697000.0,1735787000.0,4559496000.0,279872000.0,1130902000.0,1466040000.0,2760402000.0,518223000.0,996514000.0,1463956000.0,60109000.0,184801000.0,3271000.0,373629000.0,112994000.0,-320132000.0,167646000.0,1153051000.0,-15756000.0
US,KLAC,2018,Q2,2017-12-31,USD,975822000.0,347334000.0,105546000.0,262291000.0,374679000.0,16130000.0,-27372000.0,347307000.0,-134319000.0,156184883.0,156587000.0,1073394000.0,1684796000.0,4353993000.0,281634000.0,1053275000.0,1166548000.0,3015095000.0,548691000.0,729456000.0,1225625000.0,237975000.0,325023000.0,-4154000.0,129371000.0,25955000.0,-406297000.0,-247303000.0,1320697000.0,-13369000.0
US,KLAC,2018,Q3,2018-03-31,USD,1021294000.0,368688000.0,113518000.0,266802000.0,394102000.0,16283000.0,-28119000.0,365983000.0,306881000.0,156221000.0,157201000.0,1255682000.0,1634300000.0,4540514000.0,284496000.0,1057670000.0,1200435000.0,3027606000.0,561677000.0,862743000.0,1370143000.0,13571000.0,-36495000.0,-338000.0,352607000.0,25894000.0,-202288000.0,182288000.0,1073394000.0,-14994000.0
US,KLAC,2018,Q4,2018-06-30,USD,1070004000.0,377898000.0,116649000.0,268600000.0,434798000.0,14989000.0,8560000.0,406489000.0,348767000.0,155740000.0,156822000.0,1404382000.0,1475936000.0,4549000000.0,286306000.0,1089619000.0,1218083000.0,2780762000.0,156000.0,1056445000.0,1620511000.0,-107955000.0,-37242000.0,98908000.0,373513000.0,126775000.0,-341386000.0,148700000.0,1255682000.0,-22842000.0
US,KLAC,2019,Q1,2018-09-30,USD,1093260000.0,381387000.0,114438000.0,267968000.0,453930000.0,16087000.0,-26362000.0,427568000.0,395944000.0,155221000.0,156083000.0,1649514000.0,1130794000.0,4521044000.0,291232000.0,1124065000.0,1310930000.0,2766810000.0,596166000.0,1027370000.0,1567369000.0,-50659000.0,-16235000.0,3895000.0,381405000.0,314871000.0,-449692000.0,245132000.0,1404382000.0,-22330000.0
