country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,KLAC,2016-06-13,1.55712,1.55712,112.906771,112.906771,0.8481546062,0.005055544852034525
US,KLAC,2016-06-14,1.55712,1.55712,113.093626,113.093626,0.8481546062,0.0032635635018495686
US,KLAC,2016-06-15,1.55712,1.55712,113.529619,113.529619,0.8481546062,0.0035841810521989315
US,KLAC,2016-06-16,1.55712,1.55712,113.342765,113.342765,0.8481546062,0.0038155183929305383
US,KLAC,2016-06-17,1.55712,1.55712,113.716474,113.716474,0.8481546062,0.010987592478421702
US,KLAC,2016-06-20,1.55712,1.55712,114.681888,114.681888,0.8481546062,0.006429819153308672
US,KLAC,2016-06-21,1.55712,1.55712,115.008883,115.008883,0.8481546062,0.007917366676942046
US,KLAC,2016-06-22,1.55712,1.55712,115.694016,115.694016,0.8481546062,0.008484959412248253
US,KLAC,2016-06-23,1.55712,1.55712,116.550432,116.550432,0.8481546062,0.010521591142622277
US,KLAC,2016-06-24,1.55712,1.55712,112.969056,112.969056,0.8481546062,0.012126875256884505
US,KLAC,2016-06-27,1.55712,1.55712,110.975942,110.975942,0.8481546062,0.007945110203452527
US,KLAC,2016-06-28,1.55712,1.55712,112.097069,112.097069,0.8481546062,0.013894247071516647
US,KLAC,2016-06-29,1.55712,1.55712,112.23721,112.23721,0.8481546062,0.012179298962186601
US,KLAC,2016-06-30,1.56129,1.56129,114.364492,114.364492,0.8481546062,0.01165461893690474
US,KLAC,2016-07-01,1.56129,1.56129,113.193525,113.193525,0.8481546062,0.007037379346565981
US,KLAC,2016-07-05,1.56129,1.56129,112.584622,112.584622,0.8481546062,0.007839671041254347
US,KLAC,2016-07-06,1.56129,1.56129,112.818815,112.818815,0.8481546062,0.012140512012502483
US,KLAC,2016-07-07,1.56129,1.56129,112.78759,112.78759,0.8481546062,0.012129072753940652
US,KLAC,2016-07-08,1.56129,1.56129,115.145138,115.145138,0.8481546062,0.005375682928860109
US,KLAC,2016-07-11,1.56129,1.56129,116.12875,116.12875,0.8481546062,0.0035919015685747045
