country,code,time,open,high,low,close,volume,amount
US,KLAC,2016-06-13,72.36,72.98,72.26,72.51,787209.0,57094300.7475
US,KLAC,2016-06-14,72.44,72.75,72.16,72.63,508176.0,36840219.12
US,KLAC,2016-06-15,73.06,73.19,72.62,72.91,558100.0,40710604.5
US,KLAC,2016-06-16,72.69,73.02,72.3,72.79,594122.0,43192669.4
US,KLAC,2016-06-17,72.79,73.03,72.43,73.03,1710900.0,124587738.0
US,KLAC,2016-06-20,73.3,74.01,73.28,73.65,1001200.0,73648272.0
US,KLAC,2016-06-21,73.75,74.05,73.66,73.86,1232829.0,91019765.07
US,KLAC,2016-06-22,73.96,74.47,73.85,74.3,1321210.0,97961115.45
US,KLAC,2016-06-23,74.88,75.17,74.57,74.85,1638338.0,122658270.215
US,KLAC,2016-06-24,72.97,74.46,72.5,72.55,1888300.0,138072496.0
US,KLAC,2016-06-27,72.19,72.22,70.98,71.27,1237149.0,88660283.085
US,KLAC,2016-06-28,71.61,72.2,71.55,71.99,2163501.0,155420503.0875
US,KLAC,2016-06-29,72.3,73.14,71.55,72.08,1896463.0,137052639.8525
US,KLAC,2016-06-30,72.37,73.25,72.02,73.25,1819624.0,132327606.34
US,KLAC,2016-07-01,73.0,73.11,72.47,72.5,1098739.0,79955237.03
US,KLAC,2016-07-05,72.23,72.36,71.68,72.11,1224000.0,88244280.0
US,KLAC,2016-07-06,71.96,72.34,71.51,72.26,1895486.0,136508163.005
US,KLAC,2016-07-07,72.16,72.9,72.08,72.24,1893700.0,136999726.5
US,KLAC,2016-07-08,72.41,73.9,72.34,73.75,839300.0,61352830.0
US,KLAC,2016-07-11,73.52,74.56,73.52,74.38,560800.0,41496396.0
US,KLAC,2016-07-12,74.8,75.37,74.62,75.34,578600.0,43413804.5
US,KLAC,2016-07-13,75.54,75.89,75.37,75.55,543225.0,41061019.6875
US,KLAC,2016-07-14,76.0,76.1,74.87,75.22,1854248.0,140083800.78
US,KLAC,2016-07-15,75.38,75.58,74.96,75.13,1643900.0,123724023.75
US,KLAC,2016-07-18,75.31,75.93,75.18,75.93,903964.0,68328378.85
US,KLAC,2016-07-19,75.7,76.18,75.61,75.95,651005.0,49385239.3
US,KLAC,2016-07-20,76.0,76.9,75.82,76.67,586708.0,44793689.03
US,KLAC,2016-07-21,76.47,76.51,75.62,75.74,473702.0,36041616.67
US,KLAC,2016-07-22,75.72,76.2,75.63,76.06,445515.0,33815702.2875
US,KLAC,2016-07-25,76.09,76.49,75.97,76.49,344831.0,26296812.06
US,KLAC,2016-07-26,76.82,77.26,76.35,76.99,553845.0,42565757.475
US,KLAC,2016-07-27,76.98,77.32,76.62,77.0,491625.0,37845292.5
US,KLAC,2016-07-28,77.38,77.85,76.88,77.45,946100.0,73218679.0
US,KLAC,2016-07-29,77.2,77.39,75.46,75.71,1446336.0,110557923.84
US,KLAC,2016-08-01,75.62,76.58,75.58,76.58,763200.0,58071888.0
US,KLAC,2016-08-02,76.44,76.5,75.42,75.72,872900.0,66357858.0
US,KLAC,2016-08-03,75.6,76.1,75.56,76.09,1000344.0,75863588.1
US,KLAC,2016-08-04,75.95,76.81,75.95,76.8,401520.0,30667093.8
US,KLAC,2016-08-05,76.94,77.63,76.8,77.63,431291.0,33317229.75
US,KLAC,2016-08-08,77.61,77.63,77.02,77.02,516900.0,39966708.0
US,KLAC,2016-08-09,77.1,77.51,76.76,77.41,269918.0,20836320.01
US,KLAC,2016-08-10,76.45,76.45,69.1,69.47,7369300.0,536982467.75
US,KLAC,2016-08-11,69.86,70.16,66.88,67.51,3423726.0,234876162.915
US,KLAC,2016-08-12,67.97,68.52,67.23,68.28,2896651.0,196972268.0
US,KLAC,2016-08-15,68.28,69.51,68.16,69.44,2021307.0,139161933.6825
US,KLAC,2016-08-16,69.11,69.38,68.93,69.19,1218423.0,84256996.5075
US,KLAC,2016-08-17,69.08,69.85,68.65,69.64,1044635.0,72398428.675
US,KLAC,2016-08-18,69.54,69.88,69.4,69.73,608373.0,42365574.7875
US,KLAC,2016-08-19,69.9,71.14,69.87,70.95,1636694.0,115329642.71
US,KLAC,2016-08-22,70.8,71.22,70.35,70.52,1007500.0,71252918.75
US,KLAC,2016-08-23,70.76,71.14,67.71,68.05,2441822.0,169499074.13
US,KLAC,2016-08-24,68.0,68.14,67.02,67.17,1322400.0,89371098.0
US,KLAC,2016-08-25,67.21,67.47,66.97,67.3,1365600.0,91819530.0
