country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,LITE,2016,Q4,2016-06-30,USD,241700000.0,162200000.0,29500000.0,71100000.0,4500000.0,14100000.0,1000000.0,14400000.0,14300000.0,59400000.0,61800000.0,157100000.0,0.0,489500000.0,183400000.0,236800000.0,173700000.0,19400000.0,100000.0,20200000.0,533200000.0,-15300000.0,-7800000.0,-6300000.0,13100000.0,-18600000.0,5000000.0,-100000.0,157200000.0,-18600000.0
US,LITE,2017,Q1,2016-10-01,USD,258100000.0,176400000.0,25100000.0,62000000.0,-5700000.0,13700000.0,0.0,-5700000.0,-3400000.0,59900000.0,59900000.0,166800000.0,0.0,489300000.0,196000000.0,248200000.0,163500000.0,42500000.0,100000.0,16600000.0,531500000.0,-4400000.0,-1200000.0,22500000.0,36300000.0,-28900000.0,2300000.0,9700000.0,157100000.0,-28900000.0
US,LITE,2017,Q2,2016-12-31,USD,265000000.0,178000000.0,31000000.0,69700000.0,17900000.0,14900000.0,0.0,17900000.0,11800000.0,60300000.0,62700000.0,155900000.0,0.0,527600000.0,219600000.0,269100000.0,202000000.0,42500000.0,100000.0,28200000.0,552200000.0,-8800000.0,30200000.0,-7700000.0,19200000.0,-35400000.0,6700000.0,-10900000.0,166800000.0,-35400000.0
US,LITE,2017,Q3,2017-04-01,USD,255800000.0,173700000.0,28100000.0,68500000.0,-43300000.0,15900000.0,-1100000.0,-44400000.0,-56000000.0,61000000.0,61000000.0,577900000.0,0.0,941600000.0,246600000.0,302900000.0,192100000.0,548000000.0,100000.0,-28000000.0,504400000.0,-6800000.0,-1900000.0,55300000.0,16400000.0,-40800000.0,445700000.0,422000000.0,155900000.0,-35700000.0
US,LITE,2017,Q4,2017-06-30,USD,222700000.0,155400000.0,26000000.0,61400000.0,-23200000.0,16500000.0,-4100000.0,-27600000.0,-54900000.0,61182552.0,61300000.0,272900000.0,282400000.0,930300000.0,273500000.0,302600000.0,184200000.0,394100000.0,100000.0,-83200000.0,654600000.0,8100000.0,15400000.0,8600000.0,13100000.0,-320600000.0,2000000.0,-305000000.0,577900000.0,-38100000.0
US,LITE,2018,Q1,2017-09-30,USD,243200000.0,174700000.0,26600000.0,62900000.0,7900000.0,17500000.0,-2900000.0,3500000.0,7100000.0,61700000.0,64500000.0,150800000.0,381700000.0,922500000.0,293700000.0,325900000.0,177200000.0,394300000.0,100000.0,-73900000.0,676900000.0,-24200000.0,-12900000.0,3500000.0,9700000.0,-132500000.0,300000.0,-122100000.0,272900000.0,-33000000.0
US,LITE,2018,Q2,2017-12-30,USD,404600000.0,233500000.0,35700000.0,79500000.0,100100000.0,19000000.0,-2900000.0,95500000.0,204800000.0,62200000.0,64600000.0,202100000.0,422400000.0,1053800000.0,301300000.0,453600000.0,217700000.0,389600000.0,100000.0,130700000.0,900100000.0,-6200000.0,47500000.0,4200000.0,105100000.0,-58600000.0,4400000.0,51300000.0,150800000.0,-17200000.0
US,LITE,2018,Q3,2018-03-31,USD,298800000.0,201800000.0,33200000.0,71400000.0,7300000.0,19200000.0,-2100000.0,2700000.0,2700000.0,62400000.0,63300000.0,176800000.0,516000000.0,1064700000.0,301800000.0,453500000.0,191500000.0,414300000.0,100000.0,133200000.0,912400000.0,37100000.0,-14700000.0,4300000.0,95100000.0,-117600000.0,-2800000.0,-25300000.0,202100000.0,-22700000.0
US,LITE,2018,Q4,2018-06-30,USD,301100000.0,205600000.0,32700000.0,71200000.0,32300000.0,21500000.0,-1800000.0,27700000.0,33500000.0,62700000.0,65000000.0,397300000.0,314200000.0,1127200000.0,306900000.0,454300000.0,214000000.0,405600000.0,100000.0,166400000.0,961900000.0,-25800000.0,-5300000.0,4400000.0,37600000.0,181700000.0,1900000.0,220500000.0,176800000.0,-20300000.0
US,LITE,2019,Q1,2018-09-29,USD,354100000.0,228100000.0,33000000.0,67600000.0,57700000.0,20500000.0,-2400000.0,52600000.0,47400000.0,63100000.0,63900000.0,459400000.0,274900000.0,1181100000.0,318600000.0,463900000.0,213900000.0,411800000.0,100000.0,213000000.0,1019300000.0,-27900000.0,-5400000.0,4300000.0,57200000.0,9500000.0,-4600000.0,62100000.0,397300000.0,-29600000.0
US,LITE,2019,Q2,2018-12-29,USD,373700000.0,248900000.0,62700000.0,105500000.0,26200000.0,31200000.0,-5100000.0,17700000.0,16300000.0,66800000.0,67800000.0,371300000.0,312800000.0,1356900000.0,444700000.0,1439700000.0,325500000.0,911400000.0,100000.0,229200000.0,1559700000.0,40400000.0,1700000.0,5700000.0,102400000.0,-681900000.0,491600000.0,-88100000.0,459400000.0,-24300000.0
US,LITE,2019,Q3,2019-03-30,USD,432900000.0,344600000.0,55200000.0,164700000.0,-71200000.0,60700000.0,-7400000.0,-82500000.0,-74300000.0,75816326.0,76200000.0,357300000.0,340200000.0,1418100000.0,390600000.0,1353300000.0,358000000.0,909500000.0,100000.0,154900000.0,1503900000.0,-9500000.0,14200000.0,19200000.0,42800000.0,-52900000.0,-2900000.0,-13000000.0,371300000.0,-26600000.0
US,LITE,2019,Q4,2019-06-30,USD,404600000.0,317800000.0,49400000.0,98900000.0,-9700000.0,45100000.0,-7500000.0,-21100000.0,-25800000.0,76464608.0,76500000.0,432600000.0,335900000.0,1332800000.0,433300000.0,1383800000.0,294000000.0,925500000.0,100000.0,129100000.0,1497100000.0,49100000.0,-16100000.0,42900000.0,127700000.0,-54400000.0,1000000.0,74300000.0,358300000.0,-85500000.0
US,LITE,2020,Q1,2019-09-28,USD,449900000.0,288500000.0,50400000.0,100300000.0,64800000.0,53700000.0,-7400000.0,53400000.0,47600000.0,76900000.0,77600000.0,539000000.0,291900000.0,1423200000.0,524900000.0,1444600000.0,316800000.0,989700000.0,100000.0,176700000.0,1561300000.0,-39100000.0,5300000.0,6800000.0,87500000.0,21700000.0,-2800000.0,106400000.0,432600000.0,-21700000.0
