country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,LITE,2016-06-13,0.594,0.594,14.32134,14.32134,1.0,0.009787356902356902
US,LITE,2016-06-14,0.594,0.594,14.54112,14.54112,1.0,0.006313855218855219
US,LITE,2016-06-15,0.594,0.594,15.33114,15.33114,1.0,0.016674781144781145
US,LITE,2016-06-16,0.594,0.594,15.1173,15.1173,1.0,0.010732306397306397
US,LITE,2016-06-17,0.594,0.594,14.83218,14.83218,1.0,0.020127760942760944
US,LITE,2016-06-20,0.594,0.594,14.78466,14.78466,1.0,0.01851422558922559
US,LITE,2016-06-21,0.594,0.594,14.77872,14.77872,1.0,0.011904107744107745
US,LITE,2016-06-22,0.594,0.594,14.6124,14.6124,1.0,0.011840387205387205
US,LITE,2016-06-23,0.594,0.594,14.9688,14.9688,1.0,0.011312760942760942
US,LITE,2016-06-24,0.594,0.594,14.39262,14.39262,1.0,0.09733436026936026
US,LITE,2016-06-27,0.594,0.594,13.26402,13.26402,1.0,0.021376127946127945
US,LITE,2016-06-28,0.594,0.594,13.97682,13.97682,1.0,0.01603986531986532
US,LITE,2016-06-29,0.594,0.594,14.26788,14.26788,1.0,0.014879006734006734
US,LITE,2016-06-30,0.594,0.594,14.3748,14.3748,1.0,0.015302676767676767
US,LITE,2016-07-01,0.594,0.594,14.0481,14.0481,1.0,0.010511380471380472
US,LITE,2016-07-05,0.599,0.599,14.0765,14.0765,1.0,0.005891168614357262
US,LITE,2016-07-06,0.599,0.599,13.9567,13.9567,1.0,0.008462070116861436
US,LITE,2016-07-07,0.599,0.599,14.29214,14.29214,1.0,0.0058670784641068445
US,LITE,2016-07-08,0.599,0.599,14.68149,14.68149,1.0,0.006219565943238731
US,LITE,2016-07-11,0.599,0.599,14.82525,14.82525,1.0,0.010094724540901502
US,LITE,2016-07-12,0.599,0.599,14.94505,14.94505,1.0,0.008011001669449081
US,LITE,2016-07-13,0.599,0.599,14.81926,14.81926,1.0,0.013591886477462437
US,LITE,2016-07-14,0.599,0.599,15.32242,15.32242,1.0,0.01696372287145242
US,LITE,2016-07-15,0.599,0.599,15.8136,15.8136,1.0,0.018949682804674458
US,LITE,2016-07-18,0.599,0.599,16.04721,16.04721,1.0,0.016248464106844742
US,LITE,2016-07-19,0.599,0.599,15.74771,15.74771,1.0,0.012990066777963272
US,LITE,2016-07-20,0.599,0.599,16.28681,16.28681,1.0,0.015893088480801336
US,LITE,2016-07-21,0.599,0.599,16.01127,16.01127,1.0,0.007818247078464107
US,LITE,2016-07-22,0.599,0.599,16.46651,16.46651,1.0,0.008720033388981635
US,LITE,2016-07-25,0.599,0.599,18.25752,18.25752,1.0,0.03439727879799666
US,LITE,2016-07-26,0.599,0.599,18.40128,18.40128,1.0,0.01616626043405676
US,LITE,2016-07-27,0.599,0.599,18.52707,18.52707,1.0,0.009221335559265442
US,LITE,2016-07-28,0.599,0.599,18.24554,18.24554,1.0,0.020425475792988312
US,LITE,2016-07-29,0.599,0.599,18.11975,18.11975,1.0,0.006819616026711185
US,LITE,2016-08-01,0.599,0.599,18.21559,18.21559,1.0,0.008322854757929883
US,LITE,2016-08-02,0.599,0.599,17.68248,17.68248,1.0,0.007457562604340567
US,LITE,2016-08-03,0.599,0.599,18.43123,18.43123,1.0,0.016181202003338897
US,LITE,2016-08-04,0.599,0.599,18.50311,18.50311,1.0,0.008123439065108514
US,LITE,2016-08-05,0.599,0.599,18.76667,18.76667,1.0,0.009435559265442404
US,LITE,2016-08-08,0.599,0.599,18.73073,18.73073,1.0,0.009447095158597664
US,LITE,2016-08-09,0.599,0.599,19.24587,19.24587,1.0,0.017759816360601
