country,code,time,open,high,low,close,volume,amount
US,LITE,2016-06-13,24.36,24.55,24.04,24.11,581369.0,14092384.56
US,LITE,2016-06-14,24.09,24.53,23.9814,24.48,375043.0,9128546.62
US,LITE,2016-06-15,25.12,26.15,24.825,25.81,990482.0,25544530.78
US,LITE,2016-06-16,25.72,25.72,24.8699,25.45,637499.0,16128724.7
US,LITE,2016-06-17,26.65,27.39,24.82,24.97,1195589.0,30559254.84
US,LITE,2016-06-20,25.2,25.4,24.7133,24.89,1099745.0,27460632.65
US,LITE,2016-06-21,24.94,24.98,24.06,24.88,707104.0,17394758.4
US,LITE,2016-06-22,24.8,24.93,24.265,24.6,703319.0,17259448.26
US,LITE,2016-06-23,24.73,25.58,24.66,25.2,671978.0,16974164.28
US,LITE,2016-06-24,23.75,25.02,23.75,24.23,5781661.0,140494362.3
US,LITE,2016-06-27,24.15,24.35,22.04,22.33,1269742.0,28569195.0
US,LITE,2016-06-28,22.52,23.59,22.52,23.53,952768.0,22056579.2
US,LITE,2016-06-29,23.78,24.27,23.3,24.02,883813.0,21105454.44
US,LITE,2016-06-30,24.13,24.2699,23.717,24.2,908979.0,21806406.21
US,LITE,2016-07-01,24.21,24.57,23.5,23.65,624376.0,14878880.08
US,LITE,2016-07-05,23.6,23.65,23.02,23.5,352881.0,8236242.54
US,LITE,2016-07-06,23.32,23.64,23.0504,23.3,506878.0,11789982.28
US,LITE,2016-07-07,23.4,23.96,23.4,23.86,351438.0,8350166.88
US,LITE,2016-07-08,24.13,24.56,23.8,24.51,372552.0,9056739.12
US,LITE,2016-07-11,24.67,24.97,24.47,24.75,604674.0,14995915.2
US,LITE,2016-07-12,25.0,25.0,24.34,24.95,479859.0,11823725.76
US,LITE,2016-07-13,25.14,25.71,24.59,24.74,814154.0,20353850.0
US,LITE,2016-07-14,24.86,25.86,24.8381,25.58,1016127.0,25677529.29
US,LITE,2016-07-15,25.78,26.79,25.35,26.4,1135086.0,30068428.14
US,LITE,2016-07-18,26.49,26.9,26.28,26.79,973283.0,25957457.61
US,LITE,2016-07-19,26.66,27.12,26.22,26.29,778105.0,20713155.1
US,LITE,2016-07-20,26.82,27.68,26.8,27.19,951996.0,25979970.84
US,LITE,2016-07-21,27.28,27.45,26.68,26.73,468313.0,12592936.57
US,LITE,2016-07-22,26.65,27.52,26.51,27.49,522330.0,14186482.8
US,LITE,2016-07-25,28.43,30.65,28.4,30.48,2060397.0,61379226.63
US,LITE,2016-07-26,30.6,31.41,30.54,30.72,968359.0,29922293.1
US,LITE,2016-07-27,30.95,31.04,30.54,30.93,552358.0,17045767.88
US,LITE,2016-07-28,29.14,30.57,28.435,30.46,1223486.0,36533291.96
US,LITE,2016-07-29,30.28,30.6225,29.7,30.25,408495.0,12369228.6
US,LITE,2016-08-01,30.33,30.48,29.98,30.41,498539.0,15095760.92
US,LITE,2016-08-02,30.34,30.47,29.31,29.52,446708.0,13235958.04
US,LITE,2016-08-03,30.05,31.08,29.86,30.77,969254.0,29775482.88
US,LITE,2016-08-04,30.88,31.24,30.56,30.89,486594.0,15040620.54
US,LITE,2016-08-05,31.27,31.89,30.93,31.33,565190.0,17758269.8
US,LITE,2016-08-08,31.5,31.5,30.861,31.27,565881.0,17632851.96
US,LITE,2016-08-09,31.16,32.48,30.79,32.13,1063813.0,34063292.26
US,LITE,2016-08-10,33.41,33.5,30.17,31.82,2431233.0,77288897.07
US,LITE,2016-08-11,30.69,32.05,30.24,31.81,1184276.0,37375750.56
US,LITE,2016-08-12,32.0,32.86,31.5,32.72,822082.0,26734106.64
US,LITE,2016-08-15,32.9,32.98,32.14,32.66,697093.0,22725231.8
US,LITE,2016-08-16,32.86,32.99,32.24,32.83,584767.0,19168662.26
US,LITE,2016-08-17,32.59,32.86,31.82,32.0,591348.0,19029578.64
US,LITE,2016-08-18,32.22,34.56,32.04,34.31,1756395.0,59699866.05
US,LITE,2016-08-19,34.45,34.79,34.27,34.6,1140871.0,39428501.76
US,LITE,2016-08-22,34.65,34.67,33.5,34.04,1475041.0,50210395.64
US,LITE,2016-08-23,33.96,34.39,33.78,34.21,998840.0,34040467.2
US,LITE,2016-08-24,34.13,34.24,33.58,33.66,386063.0,13060511.29
US,LITE,2016-08-25,33.5,34.0,33.2,33.87,330803.0,11164601.25
US,LITE,2016-08-26,33.78,34.15,33.47,33.89,795255.0,26839856.25
US,LITE,2016-08-29,33.83,34.6,33.8045,34.53,407728.0,14050306.88
US,LITE,2016-08-30,34.55,35.25,34.16,34.55,664215.0,23021691.9
US,LITE,2016-08-31,34.48,35.25,34.34,35.12,797076.0,27825923.16
US,LITE,2016-09-01,35.24,35.45,34.47,34.5,1731585.0,60034051.95
US,LITE,2016-09-02,34.75,35.25,34.08,35.24,567505.0,19766199.15
US,LITE,2016-09-06,35.45,36.85,35.39,36.25,1550209.0,56350097.15
US,LITE,2016-09-07,36.83,37.45,36.57,37.35,1404017.0,52159231.55
US,LITE,2016-09-08,37.33,37.82,36.94,37.6,768015.0,28746801.45
US,LITE,2016-09-09,37.6,38.0,36.2,36.43,1120868.0,41584202.8
