country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,LLY,2016-06-13,10.577,10.577,781.21722,781.21722,0.8509444285,0.00356153824335823
US,LLY,2016-06-14,10.577,10.577,786.08264,786.08264,0.8509444285,0.0034904982509218114
US,LLY,2016-06-15,10.577,10.577,779.63067,779.63067,0.8509444285,0.0032229526330717594
US,LLY,2016-06-16,10.577,10.577,785.34225,785.34225,0.8509444285,0.004527637326273991
US,LLY,2016-06-17,10.577,10.577,781.21722,781.21722,0.8509444285,0.006244610002836343
US,LLY,2016-06-20,10.577,10.577,775.08256,775.08256,0.8509444285,0.003441524061643188
US,LLY,2016-06-21,10.577,10.577,767.57289,767.57289,0.8509444285,0.005672714380259052
US,LLY,2016-06-22,10.577,10.577,772.86139,772.86139,0.8509444285,0.004170280797957833
US,LLY,2016-06-23,10.577,10.577,782.06338,782.06338,0.8509444285,0.0028266474425640543
US,LLY,2016-06-24,10.577,10.577,786.18841,786.18841,0.8509444285,0.009900066181336863
US,LLY,2016-06-27,10.577,10.577,792.11153,792.11153,0.8509444285,0.007240401815259525
US,LLY,2016-06-28,10.577,10.577,794.86155,794.86155,0.8509444285,0.007575210362106457
US,LLY,2016-06-29,10.577,10.577,826.59255,826.59255,0.8509444285,0.006735096908386121
US,LLY,2016-06-30,10.577,10.577,832.93875,832.93875,0.8509444285,0.0037980523778008888
US,LLY,2016-07-01,10.577,10.577,835.05415,835.05415,0.8509444285,0.002750883993570956
US,LLY,2016-07-05,10.577,10.577,842.35228,842.35228,0.8509444285,0.0031073083104850145
US,LLY,2016-07-06,10.577,10.577,846.37154,846.37154,0.8509444285,0.004415051526897986
US,LLY,2016-07-07,10.577,10.577,838.96764,838.96764,0.8509444285,0.0033916308972298382
US,LLY,2016-07-08,10.577,10.577,842.56382,842.56382,0.8509444285,0.0029639037534272476
US,LLY,2016-07-11,10.577,10.577,837.06378,837.06378,0.8509444285,0.003272600926538716
US,LLY,2016-07-12,10.577,10.577,842.66959,842.66959,0.8509444285,0.004188348302921433
US,LLY,2016-07-13,10.577,10.577,839.39072,839.39072,0.8509444285,0.0027580977592890233
US,LLY,2016-07-14,10.577,10.577,852.40043,852.40043,0.8509444285,0.003615243452774889
US,LLY,2016-07-15,10.577,10.577,848.48694,848.48694,0.8509444285,0.004282048785099745
US,LLY,2016-07-18,10.577,10.577,845.63115,845.63115,0.8509444285,0.0029191831332135766
US,LLY,2016-07-19,10.577,10.577,845.84269,845.84269,0.8509444285,0.003123490592795689
US,LLY,2016-07-20,10.577,10.577,849.12156,849.12156,0.8509444285,0.0026577479436513188
US,LLY,2016-07-21,10.577,10.577,850.3908,850.3908,0.8509444285,0.002565944029497967
US,LLY,2016-07-22,10.577,10.577,862.97743,862.97743,0.8509444285,0.004081057010494469
US,LLY,2016-07-25,10.577,10.577,867.10246,867.10246,0.8509444285,0.003952065803157795
US,LLY,2016-07-26,10.577,10.577,868.26593,868.26593,0.8509444285,0.004854816110428288
US,LLY,2016-07-27,10.577,10.577,882.1218,882.1218,0.8509444285,0.0038358967571144936
US,LLY,2016-07-28,10.577,10.577,877.15061,877.15061,0.8509444285,0.004596788314266805
US,LLY,2016-07-29,10.577,10.577,876.72753,876.72753,0.8509444285,0.0028516592606599223
US,LLY,2016-08-01,10.577,10.577,879.79486,879.79486,0.8509444285,0.0029603365793703317
US,LLY,2016-08-02,10.577,10.577,881.27564,881.27564,0.8509444285,0.003157920015127163
US,LLY,2016-08-03,10.577,10.577,874.92944,874.92944,0.8509444285,0.002780467051148719
US,LLY,2016-08-04,10.577,10.577,871.75634,871.75634,0.8509444285,0.0019795783303394156
US,LLY,2016-08-05,10.577,10.577,862.66012,862.66012,0.8509444285,0.005565756830859412
US,LLY,2016-08-08,10.577,10.577,863.0832,863.0832,0.8509444285,0.00399669093315685
US,LLY,2016-08-09,10.577,10.577,862.0255,862.0255,0.8509444285,0.0021206712678453247
US,LLY,2016-08-10,10.577,10.577,851.97735,851.97735,0.8509444285,0.004686308026850714
US,LLY,2016-08-11,10.577,10.577,852.08312,852.08312,0.8563664882,0.0022766379880873595
US,LLY,2016-08-12,10.577,10.577,848.48694,848.48694,0.8563664882,0.002387282783397939
US,LLY,2016-08-15,10.577,10.577,848.91002,848.91002,0.8563664882,0.002628722700198544
US,LLY,2016-08-16,10.577,10.577,844.46768,844.46768,0.8563664882,0.0020409690838612085
US,LLY,2016-08-17,10.577,10.577,847.32347,847.32347,0.8563664882,0.0023821007847215658
US,LLY,2016-08-18,10.577,10.577,843.83306,843.83306,0.8563664882,0.002872012858088305
US,LLY,2016-08-19,10.577,10.577,836.21762,836.21762,0.8563664882,0.003541658315212253
US,LLY,2016-08-22,10.577,10.577,838.65033,838.65033,0.8563664882,0.0029848132740852794
US,LLY,2016-08-23,10.577,10.577,841.61189,841.61189,0.8563664882,0.0032216479152878887
US,LLY,2016-08-24,10.577,10.577,829.65988,829.65988,0.8563664882,0.0032362673726009264
US,LLY,2016-08-25,10.577,10.577,825.11177,825.11177,0.8563664882,0.0026477573981280138
US,LLY,2016-08-26,10.577,10.577,827.54448,827.54448,0.8563664882,0.002460354542876052
US,LLY,2016-08-29,10.577,10.577,831.3522,831.3522,0.8563664882,0.002083107686489553
US,LLY,2016-08-30,10.577,10.577,822.57329,822.57329,0.8563664882,0.0019157123948189468
US,LLY,2016-08-31,10.577,10.577,822.36175,822.36175,0.8563664882,0.0020635756830859413
US,LLY,2016-09-01,10.577,10.577,816.86171,816.86171,0.8563664882,0.003351329299423277
US,LLY,2016-09-02,10.577,10.577,812.84245,812.84245,0.8563664882,0.0037282783397938925
US,LLY,2016-09-06,10.577,10.577,830.40027,830.40027,0.8563664882,0.005227001985440106
US,LLY,2016-09-07,10.577,10.577,831.24643,831.24643,0.8563664882,0.002810037817906779
US,LLY,2016-09-08,10.577,10.577,844.99653,844.99653,0.8563664882,0.004165075163089723
US,LLY,2016-09-09,10.577,10.577,827.54448,827.54448,0.8563664882,0.003925971447480382
US,LLY,2016-09-12,10.577,10.577,836.42916,836.42916,0.8563664882,0.003109486621915477
US,LLY,2016-09-13,10.577,10.577,830.08296,830.08296,0.8563664882,0.002977214711165737
US,LLY,2016-09-14,10.577,10.577,828.07333,828.07333,0.8563664882,0.0025157643944407676
US,LLY,2016-09-15,10.577,10.577,833.67914,833.67914,0.8563664882,0.0025089288077904887
US,LLY,2016-09-16,10.577,10.577,833.4676,833.4676,0.8563664882,0.004022976269263496
US,LLY,2016-09-19,10.577,10.577,837.27532,837.27532,0.8563664882,0.003140342252056349
US,LLY,2016-09-20,10.577,10.577,844.89076,844.89076,0.8563664882,0.003431694242223693
US,LLY,2016-09-21,10.577,10.577,855.36199,855.36199,0.8563664882,0.002975891084428477
US,LLY,2016-09-22,10.577,10.577,859.80433,859.80433,0.8563664882,0.0024957927578708517
US,LLY,2016-09-23,10.577,10.577,858.42932,858.42932,0.8563664882,0.002077810343197504
US,LLY,2016-09-26,10.577,10.577,841.08304,841.08304,0.8563664882,0.004096435662286092
US,LLY,2016-09-27,10.577,10.577,855.46776,855.46776,0.8563664882,0.006513121868204595
US,LLY,2016-09-28,10.577,10.577,853.66967,853.66967,0.8563664882,0.002333178595064763
US,LLY,2016-09-29,10.577,10.577,843.40998,843.40998,0.8563664882,0.0030908575210362105
US,LLY,2016-09-30,11.00875,11.00875,883.562275,883.562275,0.8563664882,0.003291018508004996
