country,code,time,open,high,low,close,volume,amount
US,LLY,2016-06-13,74.08,74.97,73.67,73.86,3767039.0,279307106.655
US,LLY,2016-06-14,73.54,74.37,73.06,74.32,3691900.0,272545287.75
US,LLY,2016-06-15,74.73,74.89,73.61,73.71,3408917.0,253060953.495
US,LLY,2016-06-16,73.47,74.47,72.95,74.25,4788882.0,353347658.37
US,LLY,2016-06-17,74.65,75.08,73.47,73.86,6604924.0,490514680.86
US,LLY,2016-06-20,74.45,74.7,73.22,73.28,3640100.0,269048891.25
US,LLY,2016-06-21,73.7,73.8,72.53,72.57,6000030.0,438902194.5
US,LLY,2016-06-22,72.5,73.91,72.5,73.07,4410906.0,321974083.47
US,LLY,2016-06-23,73.59,73.94,73.2,73.94,2989745.0,220247039.7875
US,LLY,2016-06-24,72.45,75.12,71.87,74.33,10471300.0,769038450.25
US,LLY,2016-06-27,74.06,75.07,73.2,74.89,7658173.0,569040544.765
US,LLY,2016-06-28,75.13,76.25,73.75,75.15,8012300.0,601483361.0
US,LLY,2016-06-29,75.88,78.24,75.87,78.15,7123712.0,548775153.92
US,LLY,2016-06-30,78.2,78.81,77.46,78.75,4017200.0,314566846.0
US,LLY,2016-07-01,78.89,79.33,78.37,78.95,2909610.0,229524584.85
US,LLY,2016-07-05,78.81,79.9,78.75,79.64,3286600.0,260545215.0
US,LLY,2016-07-06,79.32,80.4,79.1,80.02,4669800.0,372229758.0
US,LLY,2016-07-07,79.83,80.05,78.65,79.32,3587328.0,285058051.2
US,LLY,2016-07-08,79.32,79.9,78.93,79.66,3134921.0,249077310.7525
US,LLY,2016-07-11,79.54,79.77,78.95,79.14,3461430.0,274664470.5
US,LLY,2016-07-12,79.63,79.84,78.97,79.67,4430016.0,352308097.44
US,LLY,2016-07-13,79.91,80.03,79.33,79.36,2917240.0,232380045.3
US,LLY,2016-07-14,79.5,80.69,79.4,80.59,3823843.0,306079512.935
US,LLY,2016-07-15,80.98,81.0,79.94,80.22,4529123.0,364752920.805
US,LLY,2016-07-18,80.37,80.59,79.86,79.95,3087620.0,247603966.85
US,LLY,2016-07-19,79.85,80.25,79.58,79.97,3303716.0,264008204.85
US,LLY,2016-07-20,80.27,80.52,79.99,80.28,2811100.0,225632941.5
