country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,LRCX,2016,Q4,2016-06-30,USD,1546261000.0,847477000.0,152288000.0,389543000.0,360241000.0,74976000.0,-24604000.0,281992000.0,258939000.0,1598620000.0,1776490000.0,5039322000.0,1788612000.0,9214911000.0,639608000.0,3056617000.0,2418041000.0,3744205000.0,160000.0,4820109000.0,6102069000.0,10278000.0,245683000.0,87050999.0,423824000.0,521514000.0,1861887000.0,2807301000.0,2232021000.0,-51726000.0
US,LRCX,2017,Q1,2016-09-25,USD,1632419000.0,916222000.0,165010000.0,400250000.0,334222000.0,74562000.0,-28666000.0,292793000.0,263835000.0,1606070000.0,1800170000.0,5861701000.0,1352775000.0,9599002000.0,649587000.0,3037360000.0,2486252000.0,3762760000.0,162000.0,5035547000.0,6387350000.0,64962000.0,64962000.0,23637000.0,473224000.0,376752000.0,-29508000.0,822379000.0,5039322000.0,-41979000.0
US,LRCX,2017,Q2,2016-12-25,USD,1882299000.0,1035502000.0,160165000.0,406969000.0,411446000.0,77065000.0,-15696000.0,384805000.0,332791000.0,1626590000.0,1835430000.0,2503960000.0,3329425000.0,8503874000.0,672553000.0,3017185000.0,2658018000.0,2270032000.0,162000.0,5295000000.0,6593009000.0,-113863000.0,-113863000.0,41235000.0,404098000.0,-2027217000.0,-1729258000.0,-3357741000.0,5861701000.0,-36513000.0
US,LRCX,2017,Q3,2017-03-26,USD,2153995000.0,1182591000.0,167000000.0,432986000.0,555332000.0,76242000.0,-8407000.0,530580000.0,574713000.0,1634080000.0,1850940000.0,2128570000.0,3755036000.0,8875948000.0,675707000.0,2999238000.0,2756739000.0,2197085000.0,164000.0,5795760000.0,6921362000.0,-292607000.0,-292607000.0,1398000.0,422688000.0,-467250000.0,-333820000.0,-375390000.0,2503960000.0,-44116000.0
US,LRCX,2017,Q4,2017-06-30,USD,2344907000.0,1275946000.0,175310000.0,461022000.0,628407000.0,79036000.0,-7107000.0,603495000.0,526424000.0,1622130000.0,1864270000.0,2377534000.0,3663628000.0,9142498000.0,685595000.0,2980267000.0,2950115000.0,2185338000.0,162000.0,6249691000.0,6987312000.0,30676000.0,30676000.0,14265000.0,729272000.0,59102000.0,-539809000.0,248964000.0,2128570000.0,-34811000.0
US,LRCX,2018,Q1,2017-09-24,USD,2478140000.0,1328797000.0,181043000.0,456121000.0,711625000.0,79142000.0,-3696000.0,687720000.0,590690000.0,1621410000.0,1838800000.0,2406462000.0,3775925000.0,9228780000.0,745600000.0,3169846000.0,2788631000.0,2201821000.0,162000.0,6808174000.0,7408174000.0,92330000.0,92330000.0,11157000.0,858306000.0,-303891000.0,-528804000.0,28928000.0,2377534000.0,-60064000.0
US,LRCX,2018,Q2,2017-12-24,USD,2580815000.0,1375248000.0,186885000.0,468196000.0,757536000.0,79898000.0,-2739000.0,734219000.0,-9955000.0,1611350000.0,1611350000.0,1745173000.0,3954526000.0,9666122000.0,807340000.0,3246143000.0,3911695000.0,2727015000.0,159000.0,6717621000.0,6273555000.0,184684000.0,184684000.0,3431000.0,28704000.0,-294813000.0,-396022000.0,-661289000.0,2406462000.0,-84693000.0
US,LRCX,2018,Q3,2018-03-25,USD,2892115000.0,1561401000.0,197791000.0,503203000.0,797435000.0,82236000.0,-3973000.0,771701000.0,778800000.0,1623780000.0,1797790000.0,4698995000.0,1785976000.0,10425797000.0,826500000.0,3237702000.0,3948420000.0,2831051000.0,164000.0,7414395000.0,6884028000.0,64524000.0,64524000.0,64664000.0,1050379000.0,2085864000.0,-186462000.0,2953822000.0,1745173000.0,-49057000.0
US,LRCX,2018,Q4,2018-06-30,USD,3125928000.0,1646520000.0,196500000.0,524213000.0,982580000.0,85119000.0,-1166000.0,958149000.0,1021146000.0,1609160000.0,1754320000.0,4512257000.0,437338000.0,9149911000.0,902547000.0,3329567000.0,3150308000.0,2749127000.0,157000.0,8261194000.0,6580043000.0,-658731000.0,-658731000.0,11350000.0,718358000.0,1261280000.0,-2160769000.0,-186738000.0,4698995000.0,-79655000.0
US,LRCX,2019,Q1,2018-09-23,USD,2330691000.0,1272493000.0,174775000.0,466447000.0,613162000.0,79805000.0,-2855000.0,591374000.0,533360000.0,1556580000.0,1653270000.0,2568085000.0,1050863000.0,7515873000.0,951376000.0,3441704000.0,2824965000.0,2750975000.0,153000.0,8767786000.0,5381637000.0,136843000.0,136843000.0,3436000.0,720286000.0,-672331000.0,-1990193000.0,-1944549000.0,4768558000.0,-56098000.0
