country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,LRCX,2016-06-13,1.59862,1.59862,131.08684,131.08684,0.0873336341,0.00887615568427769
US,LRCX,2016-06-14,1.59862,1.59862,131.08684,131.08684,0.0873336341,0.009243666412280593
US,LRCX,2016-06-15,1.59862,1.59862,131.88615,131.88615,0.0873336341,0.010211413594225019
US,LRCX,2016-06-16,1.59862,1.59862,132.205874,132.205874,0.0873336341,0.008224018215711051
US,LRCX,2016-06-17,1.59862,1.59862,132.525598,132.525598,0.0873336341,0.01477837134528531
US,LRCX,2016-06-20,1.59862,1.59862,134.763666,134.763666,0.0873336341,0.01653130825336853
US,LRCX,2016-06-21,1.59862,1.59862,135.403114,135.403114,0.0873336341,0.008320595263414695
US,LRCX,2016-06-22,1.59862,1.59862,137.001734,137.001734,0.0873336341,0.015486482090803317
US,LRCX,2016-06-23,1.59862,1.59862,139.399664,139.399664,0.0873336341,0.016307189951333026
US,LRCX,2016-06-24,1.59862,1.59862,131.566426,131.566426,0.0873336341,0.03591034767486957
US,LRCX,2016-06-27,1.59862,1.59862,127.8896,127.8896,0.0873336341,0.018814959152268832
US,LRCX,2016-06-28,1.59862,1.59862,130.607254,130.607254,0.0873336341,0.014954861067670865
US,LRCX,2016-06-29,1.59862,1.59862,131.406564,131.406564,0.0873336341,0.025675895459834105
US,LRCX,2016-06-30,1.60607,1.60607,135.070487,135.070487,0.0873336341,0.017717951272360484
US,LRCX,2016-07-01,1.60607,1.60607,133.30381,133.30381,0.0873336341,0.010782219953053104
US,LRCX,2016-07-05,1.60607,1.60607,131.537133,131.537133,0.0873336341,0.01142166904306786
US,LRCX,2016-07-06,1.60607,1.60607,131.69774,131.69774,0.0873336341,0.012337170858057245
US,LRCX,2016-07-07,1.60607,1.60607,131.69774,131.69774,0.0873336341,0.011392685250331555
US,LRCX,2016-07-08,1.60607,1.60607,136.355343,136.355343,0.0873336341,0.01660658003698469
US,LRCX,2016-07-11,1.60607,1.60607,138.603841,138.603841,0.0873336341,0.01196655812013175
US,LRCX,2016-07-12,1.60607,1.60607,141.655374,141.655374,0.0873336341,0.014690262566388763
US,LRCX,2016-07-13,1.60607,1.60607,142.297802,142.297802,0.0873336341,0.012920981028224175
US,LRCX,2016-07-14,1.60607,1.60607,141.173553,141.173553,0.0873336341,0.015334306723866332
US,LRCX,2016-07-15,1.60607,1.60607,142.297802,142.297802,0.0873336341,0.011419801129465092
US,LRCX,2016-07-18,1.60607,1.60607,143.422051,143.422051,0.0873336341,0.011263718268817674
US,LRCX,2016-07-19,1.60607,1.60607,143.743265,143.743265,0.0873336341,0.010573013629542922
US,LRCX,2016-07-20,1.60607,1.60607,146.473584,146.473584,0.0873336341,0.015792431214081578
US,LRCX,2016-07-21,1.60607,1.60607,143.422051,143.422051,0.0873336341,0.013464543886630096
US,LRCX,2016-07-22,1.60607,1.60607,144.706907,144.706907,0.0873336341,0.007971632618752608
US,LRCX,2016-07-25,1.60607,1.60607,145.509942,145.509942,0.0873336341,0.00806899450210763
US,LRCX,2016-07-26,1.60607,1.60607,147.116012,147.116012,0.0873336341,0.016004321106801073
US,LRCX,2016-07-27,1.60607,1.60607,147.75844,147.75844,0.0873336341,0.016635308548195286
