country,code,time,open,high,low,close,volume,amount
US,LRCX,2016-06-13,81.5,82.9,81.2,82.0,1418960.0,116212824.0
US,LRCX,2016-06-14,81.7,82.3,81.2,82.0,1477711.0,120876759.8
US,LRCX,2016-06-15,82.6,83.2,81.9,82.5,1632417.0,134756023.35
US,LRCX,2016-06-16,81.8,82.8,81.4,82.7,1314708.0,108036129.9
US,LRCX,2016-06-17,82.5,82.9,81.7,82.9,2362500.0,194906250.0
US,LRCX,2016-06-20,84.0,84.8,83.6,84.3,2642728.0,222451629.4
US,LRCX,2016-06-21,84.7,85.0,84.1,84.7,1330147.0,112563689.875
US,LRCX,2016-06-22,84.5,85.9,84.4,85.7,2475700.0,210743962.5
US,LRCX,2016-06-23,86.3,87.2,86.2,87.2,2606900.0,226083402.5
US,LRCX,2016-06-24,83.0,85.8,82.3,82.3,5740700.0,478487345.0
US,LRCX,2016-06-27,81.4,81.8,79.2,80.0,3007797.0,242428438.2
US,LRCX,2016-06-28,81.0,81.7,80.5,81.7,2390714.0,194185744.65
US,LRCX,2016-06-29,82.5,83.7,81.3,82.2,4104600.0,338321655.0
US,LRCX,2016-06-30,82.8,84.1,82.2,84.1,2845627.0,237040729.1
US,LRCX,2016-07-01,84.0,84.0,82.8,83.0,1731700.0,144510365.0
US,LRCX,2016-07-05,82.7,82.7,81.0,81.9,1834400.0,150558380.0
US,LRCX,2016-07-06,81.5,82.2,80.7,82.0,1981436.0,161685177.6
US,LRCX,2016-07-07,82.2,83.2,81.5,82.0,1829745.0,150450782.625
US,LRCX,2016-07-08,82.9,85.3,82.6,84.9,2667133.0,223839137.025
US,LRCX,2016-07-11,85.5,86.7,85.0,86.3,1921913.0,165044278.875
US,LRCX,2016-07-12,87.3,88.3,87.0,88.2,2359359.0,206915784.3
US,LRCX,2016-07-13,88.5,89.4,88.2,88.6,2075200.0,184018360.0
US,LRCX,2016-07-14,89.5,89.8,87.8,87.9,2462797.0,218573233.75
US,LRCX,2016-07-15,88.2,88.8,87.6,88.6,1834100.0,161951030.0
US,LRCX,2016-07-18,89.6,89.7,88.4,89.3,1809032.0,161456106.0
US,LRCX,2016-07-19,88.8,90.0,88.2,89.5,1698100.0,151343162.5
US,LRCX,2016-07-20,90.0,91.5,89.5,91.2,2536375.0,229668756.25
US,LRCX,2016-07-21,91.1,91.3,89.0,89.3,2162500.0,195003437.5
US,LRCX,2016-07-22,89.7,90.3,89.0,90.1,1280300.0,114938932.5
US,LRCX,2016-07-25,90.1,90.7,89.6,90.6,1295937.0,116958314.25
US,LRCX,2016-07-26,91.2,92.2,90.4,91.6,2570406.0,234806588.1
US,LRCX,2016-07-27,92.2,92.3,91.0,92.0,2671747.0,245466755.625
US,LRCX,2016-07-28,92.9,93.8,91.6,93.1,2824505.0,262255289.25
US,LRCX,2016-07-29,93.1,93.1,89.7,89.8,3259500.0,297999787.5
US,LRCX,2016-08-01,90.2,91.0,89.8,90.8,1660504.0,150192586.8
US,LRCX,2016-08-02,90.6,91.1,89.0,89.7,2235326.0,201402872.6
US,LRCX,2016-08-03,89.3,90.8,89.2,90.8,2202836.0,198310310.9
US,LRCX,2016-08-04,90.8,92.0,90.4,91.9,2135900.0,194954272.5
US,LRCX,2016-08-05,92.0,93.3,91.8,93.2,1507613.0,139567273.475
US,LRCX,2016-08-08,93.2,93.3,92.5,92.7,1565400.0,145464795.0
US,LRCX,2016-08-09,93.0,93.5,92.6,93.3,1333431.0,124142426.1
US,LRCX,2016-08-10,93.1,93.2,88.1,89.1,7045700.0,640277987.5
US,LRCX,2016-08-11,89.1,89.9,88.6,88.9,4719746.0,420647362.25
US,LRCX,2016-08-12,89.1,90.2,88.5,89.2,2088692.0,186415761.0
US,LRCX,2016-08-15,89.2,91.4,89.1,90.7,2124021.0,191374292.1
US,LRCX,2016-08-16,90.4,90.9,89.8,89.9,2037024.0,183841416.0
US,LRCX,2016-08-17,89.6,90.7,89.5,90.2,1961600.0,176544000.0
US,LRCX,2016-08-18,90.5,91.1,90.0,90.9,1654300.0,149920937.5
US,LRCX,2016-08-19,92.3,93.6,91.5,93.2,2756802.0,255417705.3
US,LRCX,2016-08-22,92.8,93.7,92.4,93.2,1540137.0,143271244.425
US,LRCX,2016-08-23,94.4,94.9,93.5,93.9,2530900.0,238347507.5
US,LRCX,2016-08-24,93.9,94.2,92.3,92.7,1611649.0,150326560.475
US,LRCX,2016-08-25,92.8,94.0,92.6,93.4,1690498.0,157554413.6
US,LRCX,2016-08-26,93.4,94.1,92.8,93.8,1689478.0,158008429.95
US,LRCX,2016-08-29,93.9,95.8,93.0,94.3,1703100.0,160517175.0
US,LRCX,2016-08-30,94.6,94.8,92.7,93.0,2224600.0,208611865.0
US,LRCX,2016-08-31,93.0,93.5,92.3,93.3,1734666.0,161367304.65
