country,code,time,open,high,low,close,volume,amount
US,META,2016-06-13,115.0,115.48,113.31,113.95,31718239.0,3629676679.965
US,META,2016-06-14,114.07,114.95,113.58,114.94,17618500.0,2015292122.5
US,META,2016-06-15,115.3,115.44,114.07,114.6,19819432.0,2276311313.78
US,META,2016-06-16,113.87,114.5,112.94,114.39,19236300.0,2191495477.5
US,META,2016-06-17,114.42,114.43,112.56,113.02,24644308.0,2799778221.11
US,META,2016-06-20,113.77,114.72,112.75,113.37,20785400.0,2362312673.5
US,META,2016-06-21,114.12,115.21,113.97,114.38,19166300.0,2193008046.0
US,META,2016-06-22,114.65,114.74,113.61,113.91,14846329.0,1695859045.8475
US,META,2016-06-23,114.37,115.09,113.54,115.08,16176900.0,1852578588.0
US,META,2016-06-24,111.01,113.68,111.0,112.08,40643130.0,4549693580.025
US,META,2016-06-27,111.57,111.57,108.23,108.97,36409606.0,4008151476.51
US,META,2016-06-28,110.63,112.75,110.55,112.7,26813842.0,2993966563.115
US,META,2016-06-29,113.37,114.25,113.04,114.16,20968300.0,2384200551.5
US,META,2016-06-30,114.67,115.18,113.67,114.28,23192716.0,2654406346.2
US,META,2016-07-01,114.2,115.13,113.81,114.19,14980023.0,1712703479.6475
US,META,2016-07-05,113.94,114.11,112.97,114.0,14207037.0,1616121493.935
US,META,2016-07-06,113.36,116.79,112.97,116.7,24337600.0,2797728808.0
US,META,2016-07-07,116.63,116.97,115.36,115.85,16630201.0,1932470931.7025
US,META,2016-07-08,116.43,117.5,115.85,117.24,18142600.0,2118239263.0
US,META,2016-07-11,117.71,118.7,117.5,117.87,17711600.0,2088994662.0
US,META,2016-07-12,118.63,118.72,117.57,117.93,15217700.0,1798922361.25
US,META,2016-07-13,118.39,118.4,116.68,116.78,16207700.0,1905417731.25
US,META,2016-07-14,117.5,117.64,116.7,117.29,14579736.0,1709947887.42
US,META,2016-07-15,117.74,118.28,116.58,116.86,16646000.0,1953657790.0
US,META,2016-07-18,117.32,119.61,116.89,119.37,20868400.0,2468679549.0
US,META,2016-07-19,118.99,120.85,118.66,120.61,21541300.0,2580163060.75
US,META,2016-07-20,121.25,122.2,120.56,121.92,20046500.0,2435298936.25
US,META,2016-07-21,121.92,122.1,120.25,120.61,17801700.0,2157922074.0
US,META,2016-07-22,119.9,121.01,119.31,121.0,18422410.0,2216308035.05
US,META,2016-07-25,121.39,121.85,117.78,121.63,18487449.0,2230741814.9625
US,META,2016-07-26,122.0,122.07,120.75,121.22,17612000.0,2140034120.0
US,META,2016-07-27,122.42,125.0,121.51,123.34,52654239.0,6480025558.1325
US,META,2016-07-28,127.52,128.33,123.63,125.0,78955800.0,9957905496.0
US,META,2016-07-29,124.65,125.84,123.71,123.94,35058803.0,4366048031.605
US,META,2016-08-01,123.85,124.58,122.86,124.31,25006900.0,3098354910.0
US,META,2016-08-02,124.06,124.8,122.07,123.09,23968414.0,2960218971.07
US,META,2016-08-03,123.09,123.92,122.31,122.51,18525332.0,2277828509.39
US,META,2016-08-04,122.94,124.79,122.51,124.36,21066000.0,2604810900.0
US,META,2016-08-05,124.98,125.84,124.62,125.15,20184035.0,2525981520.1625
US,META,2016-08-08,125.25,125.45,124.55,125.26,15233929.0,1906183450.9475
US,META,2016-08-09,125.34,126.09,124.53,125.06,19621000.0,2457628355.0
US,META,2016-08-10,125.07,125.48,124.54,124.88,10670148.0,1333688473.89
US,META,2016-08-11,125.2,125.38,124.75,124.9,11729519.0,1466864322.3425
US,META,2016-08-12,124.7,125.0,124.18,124.88,12159000.0,1516105710.0
US,META,2016-08-15,124.91,124.92,123.7,123.9,19295130.0,2399494128.975
US,META,2016-08-16,123.5,123.92,122.78,123.3,14222410.0,1754689833.75
US,META,2016-08-17,123.66,124.38,122.85,124.37,13794200.0,1707928873.0
US,META,2016-08-18,124.01,124.26,123.64,123.91,12400816.0,1537143147.28
US,META,2016-08-19,123.6,124.16,123.28,123.56,11688300.0,1445258295.0
US,META,2016-08-22,123.33,124.83,123.11,124.15,14386400.0,1781827572.0
US,META,2016-08-23,124.51,125.09,124.25,124.37,13309500.0,1657764772.5
US,META,2016-08-24,124.47,124.69,123.09,123.48,12243719.0,1517394704.9675
US,META,2016-08-25,123.12,124.37,123.1,123.89,10730811.0,1326542855.82
US,META,2016-08-26,124.05,125.19,123.91,124.96,17504825.0,2179832095.1875
US,META,2016-08-29,124.35,126.73,124.35,126.54,15925900.0,1998581005.75
US,META,2016-08-30,126.6,126.6,125.15,125.84,17804300.0,2244187504.25
US,META,2016-08-31,125.6,126.22,125.1,126.12,14200636.0,1785871983.36
US,META,2016-09-01,126.38,126.63,125.6,126.17,13536125.0,1708191294.375
US,META,2016-09-02,126.85,126.86,126.0,126.51,12118800.0,1533694734.0
US,META,2016-09-06,126.67,129.94,126.47,129.73,26278407.0,3368957473.4175
US,META,2016-09-07,130.04,131.98,129.95,131.05,27990800.0,3659937054.0
US,META,2016-09-08,130.92,131.08,129.81,130.27,15676600.0,2046109832.0
US,META,2016-09-09,129.71,129.95,127.1,127.1,27100700.0,3481491425.5
US,META,2016-09-12,125.96,128.76,125.75,128.69,21252800.0,2705268912.0
US,META,2016-09-13,128.03,128.35,126.66,127.21,18016200.0,2298191512.5
US,META,2016-09-14,126.89,128.8,126.89,127.77,15720388.0,2005725003.95
US,META,2016-09-15,127.98,129.1,127.67,128.35,15111838.0,1938471019.45
US,META,2016-09-16,128.2,129.18,128.2,129.07,24119200.0,3103236570.0
US,META,2016-09-19,129.91,129.94,128.26,128.65,14958800.0,1932527372.0
US,META,2016-09-20,128.65,129.17,128.03,128.64,11083808.0,1425627094.48
US,META,2016-09-21,129.13,130.01,128.39,129.94,14068336.0,1819985457.48
US,META,2016-09-22,130.5,130.73,129.56,130.08,15538307.0,2023359491.7725
US,META,2016-09-23,127.56,128.6,127.3,127.96,28326300.0,3621659086.5
US,META,2016-09-26,127.37,128.16,126.8,127.31,15064940.0,1919424005.4
US,META,2016-09-27,127.61,129.01,127.43,128.69,15637111.0,2004443073.535
US,META,2016-09-28,129.21,129.47,128.4,129.23,12047636.0,1555078735.79
US,META,2016-09-29,129.18,129.29,127.55,128.09,14532241.0,1867792605.1275
US,META,2016-09-30,128.03,128.59,127.45,128.27,18402945.0,2357141210.325
US,META,2016-10-03,128.38,129.09,127.8,128.77,13156943.0,1690798744.93
US,META,2016-10-04,129.17,129.28,127.55,128.19,14307548.0,1839199526.53
US,META,2016-10-05,128.25,128.8,127.83,128.47,12386800.0,1589690945.0
US,META,2016-10-06,128.43,129.06,128.08,128.74,11682729.0,1502136087.9975
US,META,2016-10-07,129.04,129.25,128.33,128.99,12804420.0,1650521749.05
US,META,2016-10-10,129.68,130.7,129.2,130.24,15138720.0,1967352357.6
US,META,2016-10-11,130.23,130.64,128.23,128.88,17537928.0,2271073986.36
US,META,2016-10-12,129.01,129.66,128.46,129.05,11073000.0,1428915285.0
US,META,2016-10-13,128.21,128.25,126.75,127.82,17139306.0,2189674886.295
US,META,2016-10-14,128.49,128.95,127.58,127.88,13345300.0,1711201092.5
US,META,2016-10-17,128.2,128.47,127.32,127.54,11351700.0,1451683775.25
US,META,2016-10-18,128.68,129.39,128.01,128.57,13504000.0,1737458400.0
US,META,2016-10-19,128.74,130.47,128.6,130.11,16752321.0,2169090523.08
US,META,2016-10-20,130.07,130.66,129.5,130.0,13167503.0,1712532521.4225
US,META,2016-10-21,129.78,132.13,129.7,132.07,19088800.0,2499105696.0
US,META,2016-10-24,132.72,133.41,132.15,133.28,17470227.0,2321618466.03
US,META,2016-10-25,133.5,133.5,132.22,132.29,13336800.0,1772160642.0
US,META,2016-10-26,131.64,132.26,130.94,131.04,13084731.0,1720249584.57
US,META,2016-10-27,131.74,131.8,129.27,129.69,16741400.0,2186845375.0
US,META,2016-10-28,130.5,132.97,129.93,131.29,24545547.0,3219700763.8575
US,META,2016-10-31,132.01,132.12,130.88,130.99,15669000.0,2060473500.0
US,META,2016-11-01,131.41,131.94,128.65,129.5,22077800.0,2878393175.0
US,META,2016-11-02,130.23,130.23,126.28,127.17,50190225.0,6448314632.4375
US,META,2016-11-03,122.0,123.28,119.5,120.0,63766300.0,7728156728.5
US,META,2016-11-04,119.59,121.93,119.25,120.75,30545500.0,3677067290.0
US,META,2016-11-07,122.83,123.21,121.35,122.15,23008900.0,2815944226.5
US,META,2016-11-08,122.03,124.61,121.54,124.22,19460800.0,2395624480.0
US,META,2016-11-09,121.5,123.81,120.51,123.18,31916020.0,3901733445.0
US,META,2016-11-10,123.93,124.18,115.27,120.8,67846704.0,8212504285.68
US,META,2016-11-11,119.53,120.7,118.15,119.02,32840137.0,3919470350.95
US,META,2016-11-14,119.13,119.13,113.55,115.08,51377040.0,5996856551.4
US,META,2016-11-15,116.73,118.49,115.83,117.2,34681400.0,4059891387.5
US,META,2016-11-16,114.48,117.88,114.21,116.34,32397947.0,3749333411.4425
US,META,2016-11-17,116.81,117.79,116.01,117.79,18597800.0,2177802380.0
US,META,2016-11-18,118.39,119.13,116.84,117.02,22879303.0,2696211462.035
US,META,2016-11-21,118.2,121.95,117.8,121.77,35415400.0,4247368922.0
US,META,2016-11-22,122.4,122.98,120.9,121.47,26089200.0,3181251825.0
US,META,2016-11-23,121.23,121.31,119.94,120.84,15672136.0,1893664192.88
US,META,2016-11-25,121.01,121.14,120.07,120.38,8658605.0,1044660693.25
US,META,2016-11-28,120.12,121.69,119.82,120.41,18101314.0,2181389350.14
US,META,2016-11-29,120.57,122.1,120.4,120.87,18891000.0,2285527635.0
US,META,2016-11-30,120.32,121.79,117.95,118.42,30188922.0,3611198849.64
US,META,2016-12-01,118.38,118.45,114.0,115.1,43277000.0,5041013152.5
US,META,2016-12-02,115.11,116.48,114.3,115.4,25070400.0,2891181204.0
US,META,2016-12-05,115.95,117.57,115.07,117.43,20201528.0,2353579019.64
