country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MRVL,MRVL,2017,Q2,2016-07-31,USD,626404000.0,288469000.0,67308000.0,276560000.0,51080000.0,29812000.0,6284000.0,56643000.0,51305000.0,511235000.0,514314000.0,718752000.0,905257000.0,2230279000.0,274774000.0,2486397000.0,504488000.0,53100000.0,1022000.0,1078472000.0,4159088000.0,-59797000.0,-5845000.0,2074000.0,59282000.0,-85356000.0,-35396000.0,-61470000.0,780222000.0,-16504000.0
US,MRVL,MRVL,2017,Q3,2016-10-31,USD,654422000.0,286762000.0,59530000.0,282353000.0,88505000.0,29972000.0,3288000.0,88423000.0,72616000.0,511090000.0,522091000.0,751588000.0,898784000.0,2261141000.0,265984000.0,2493305000.0,503247000.0,70705000.0,1017000.0,1120389000.0,4180494000.0,-9712000.0,29908000.0,121000.0,121461000.0,-8082000.0,-80543000.0,32836000.0,718752000.0,-13741000.0
US,MRVL,MRVL,2017,Q4,2017-01-31,USD,571400000.0,250063000.0,109501000.0,338170000.0,-4501999.0,28648000.0,6902000.0,-8353000.0,-80091000.0,507834000.0,507834000.0,814092000.0,854268000.0,2290434000.0,243397000.0,2358216000.0,496416000.0,124583000.0,1012000.0,1009841000.0,4027651000.0,52134000.0,45636000.0,94097000.0,118846000.0,44257000.0,-100599000.0,62504000.0,751588000.0,-8656000.0
US,MRVL,MRVL,2018,Q1,2017-04-30,USD,579180000.0,230549000.0,55283000.0,248856000.0,102272000.0,21813000.0,3461000.0,102221000.0,98466000.0,503790000.0,517592000.0,725962000.0,923449000.0,2268988000.0,239358000.0,2367249000.0,540260000.0,134131000.0,1001000.0,1084502000.0,3961846000.0,-10626000.0,-8744000.0,-277000.0,134176000.0,-17337000.0,-204969000.0,-88130000.0,814092000.0,-10834000.0
US,MRVL,MRVL,2018,Q2,2017-07-31,USD,604750000.0,239572000.0,56255000.0,239380000.0,131631000.0,21509000.0,3750000.0,131550999.0,131227000.0,500817000.0,510309000.0,630501000.0,943006000.0,2208946000.0,235354000.0,2378504000.0,462563000.0,150790000.0,991000.0,1219666000.0,3974097000.0,-69086000.0,-23911000.0,-7076000.0,101004000.0,-12491000.0,-183974000.0,-95461000.0,725962000.0,-5411000.0
US,MRVL,MRVL,2018,Q3,2017-10-31,USD,616302000.0,238533000.0,59769000.0,228233000.0,156358000.0,22459000.0,4039000.0,156096000.0,200188000.0,494096000.0,504903000.0,800099000.0,931976000.0,2358421000.0,198173000.0,2323783000.0,478081000.0,143174000.0,982000.0,1390384000.0,4060949000.0,20227000.0,-148000.0,657000.0,216191000.0,92801000.0,-139394000.0,169598000.0,630501000.0,-14167000.0
US,MRVL,MRVL,2018,Q4,2018-01-31,USD,615409000.0,241927000.0,68291000.0,248291000.0,59090999.0,21276000.0,5446000.0,58799000.0,48763000.0,493663000.0,506197000.0,888482000.0,952790000.0,2363955000.0,202222000.0,2344332000.0,421142000.0,145732000.0,991000.0,1409452000.0,4141413000.0,15342000.0,-37556000.0,-4044000.0,119742000.0,-23452000.0,-7907000.0,88383000.0,800099000.0,-14726000.0
US,MRVL,MRVL,2019,Q1,2018-04-30,USD,604631000.0,228938000.0,72313000.0,249047000.0,132619000.0,20343000.0,5825000.0,132375000.0,128612000.0,497335000.0,508716000.0,1167258000.0,712053000.0,2448092000.0,213656000.0,2416227000.0,444641000.0,134167000.0,1000000.0,1542437000.0,4285511000.0,-45748000.0,-15779000.0,891000.0,128774000.0,216699000.0,-66697000.0,278776000.0,888482000.0,-13948000.0
US,MRVL,MRVL,2019,Q2,2018-07-31,USD,665310000.0,288200000.0,105501000.0,321786000.0,-7417000.0,52693000.0,-12220000.0,-23212000.0,6759000.0,552238000.0,562149000.0,498659000.0,25000000.0,1543934000.0,327645000.0,8818912000.0,608222000.0,2089558000.0,1316000.0,1509860000.0,7665066000.0,-69410000.0,-57225000.0,34739000.0,61935000.0,-1983418000.0,1252884000.0,-668599000.0,1167258000.0,-21704000.0
US,MRVL,MRVL,2019,Q3,2018-10-31,USD,851051000.0,467464000.0,101978000.0,366866000.0,-22092000.0,117950000.0,-21324000.0,-44462000.0,-53767000.0,657519000.0,657519000.0,610261000.0,0.0,1520221000.0,313113000.0,8711804000.0,656206000.0,2000540000.0,1314000.0,1416682000.0,7575279000.0,74514000.0,67938000.0,116718000.0,299394000.0,-1571000.0,-186221000.0,111602000.0,498659000.0,-22564000.0
